face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.502358;0.178607;0.376365;0.975106;0.389615;0.975716;0.396562;0.982595;0.398526;0.988397;0.397022;0.992623;0.397453;0.992689;0.392923;0.995929;0.391407;0.991445;0.390662;0.98691;0.388606;0.994987;0.384099;0.996115;0.380891;0.99136;0.378982;0.987977;0.3789;0.995127;0.373939;0.993073;0.371015;0.986675;0.370068;0.981861;0.369547;0.995917;0.365521;0.99406;0.363488;0.987544;0.362645;0.982545
0.503585;0.182936;0.411925;1.0099;0.418246;0.983782;0.421612;0.967012;0.420177;0.956882;0.418279;0.954648;0.405179;0.968799;0.404377;0.949409;0.405893;0.944301;0.405411;0.941863;0.400937;0.974007;0.400274;0.957101;0.400328;0.957585;0.398318;0.962431;0.399789;0.978673;0.397903;0.964939;0.398559;0.966651;0.396387;0.970047;0.398523;0.985187;0.395708;0.972688;0.3941;0.969925;0.390002;0.970207
0.501876;0.182315;0.631681;1.01268;0.64209;0.979418;0.647902;0.951251;0.652243;0.932312;0.652507;0.921942;0.655842;0.965348;0.654545;0.937636;0.659312;0.926151;0.665762;0.919154;0.648727;0.976953;0.643729;0.949393;0.64993;0.939297;0.655701;0.93789;0.638639;0.985836;0.638658;0.958051;0.64458;0.951815;0.64902;0.951463;0.626771;0.996037;0.627649;0.973929;0.635016;0.969258;0.642001;0.9685;0.377491;0.849075;0.390758;0.887783;0.408934;0.911395;0.423847;0.920464;0.433257;0.929331;0.434196;0.907393;0.450225;0.926412;0.44949;0.933785;0.447498;0.935358;0.43644;0.887963;0.451248;0.90896;0.445441;0.916031;0.443543;0.917638;0.432977;0.872521;0.446494;0.890952;0.438734;0.896555;0.434335;0.898406;0.426823;0.858591;0.434445;0.871013;0.431679;0.876381;0.430344;0.878636
0.510952;0.185558;0.368079;0.722149;0.403428;0.706071;0.424801;0.712933;0.435682;0.731671;0.433242;0.748201;0.435937;0.742667;0.445443;0.766561;0.434738;0.762783;0.427085;0.755499;0.426232;0.761239;0.431641;0.778877;0.42168;0.773562;0.416577;0.765972;0.412452;0.772847;0.416631;0.784397;0.408986;0.779103;0.403498;0.771444;0.397508;0.780539;0.400984;0.78725;0.395534;0.782004;0.390837;0.776352
0.503839;0.182527;0.36948;0.722121;0.386248;0.72441;0.400724;0.72811;0.41372;0.732353;0.423445;0.738208;0.416365;0.735873;0.435989;0.749093;0.430228;0.751202;0.422647;0.747925;0.416248;0.742679;0.433248;0.757037;0.425928;0.757735;0.419019;0.753386;0.413212;0.747688;0.428478;0.760521;0.421573;0.759587;0.413928;0.755821;0.40736;0.751192;0.419741;0.761076;0.416514;0.758519;0.411523;0.755256;0.385156;0.71692;0.355891;0.684869;0.340303;0.652444;0.333489;0.627927;0.32724;0.614548;0.368732;0.647732;0.378242;0.616302;0.376518;0.628541;0.373205;0.641699;0.389807;0.652579;0.397904;0.619411;0.395197;0.631103;0.391471;0.644345;0.408471;0.65845;0.415144;0.626791;0.412364;0.636501;0.409872;0.648024;0.42529;0.666041;0.432196;0.637017;0.428359;0.641142;0.424807;0.6502
0.503869;0.185745;0.388117;0.71491;0.360232;0.682207;0.341837;0.651963;0.32957;0.629177;0.31536;0.612228;0.363156;0.635919;0.376422;0.602709;0.37852;0.599235;0.375983;0.600825;0.382488;0.641698;0.396554;0.605457;0.39753;0.599652;0.392517;0.59865;0.400222;0.648652;0.412541;0.612746;0.413731;0.606772;0.40972;0.607582;0.416512;0.65597;0.42742;0.626335;0.429733;0.617045;0.426962;0.614296
0.499357;0.180372;0.379907;0.66964;0.352193;0.64618;0.337583;0.616121;0.324156;0.592026;0.311223;0.573942;0.368311;0.601415;0.3783;0.555248;0.383217;0.533897;0.386296;0.521678;0.390487;0.606501;0.400874;0.553538;0.403736;0.531191;0.404034;0.520267;0.408809;0.613677;0.418951;0.564044;0.421161;0.540924;0.420883;0.528192;0.422615;0.622994;0.431098;0.584888;0.432867;0.563618;0.432081;0.549529;0.675737;0.687041;0.703616;0.667471;0.721045;0.638426;0.731406;0.613492;0.744899;0.597372;0.685523;0.619222;0.678537;0.579596;0.676351;0.559815;0.675071;0.544658;0.662171;0.621867;0.653881;0.58054;0.652766;0.558758;0.653137;0.543009;0.643637;0.629666;0.634118;0.589652;0.632357;0.56859;0.633139;0.552392;0.630345;0.642005;0.618456;0.615382;0.615224;0.598608;0.614705;0.585918
0.500482;0.179774;0.379835;0.670642;0.356141;0.638437;0.339354;0.607053;0.32664;0.585508;0.310275;0.573556;0.370212;0.599523;0.380929;0.551918;0.386229;0.522134;0.390682;0.497137;0.392819;0.603552;0.401562;0.548076;0.406163;0.51303;0.41047;0.48498;0.412209;0.607437;0.418354;0.554338;0.4217;0.521643;0.425284;0.496124;0.427582;0.612034;0.43364;0.567497;0.436254;0.543211;0.437989;0.523912;0.668767;0.689218;0.697828;0.659281;0.719026;0.629041;0.732123;0.604973;0.743362;0.588542;0.688431;0.620566;0.681249;0.575446;0.677285;0.546334;0.673776;0.519579;0.666915;0.624837;0.659423;0.573183;0.655687;0.538788;0.652148;0.511261;0.647739;0.630113;0.640499;0.580691;0.637641;0.548675;0.63546;0.522934;0.631059;0.635975;0.622604;0.5969;0.619794;0.571908;0.617335;0.551501
0.509684;0.179053;0.383668;0.671762;0.359574;0.638071;0.343791;0.604768;0.331462;0.582499;0.313108;0.574061;0.372999;0.59322;0.379242;0.541761;0.381775;0.511682;0.384512;0.485123;0.395374;0.597946;0.400196;0.539124;0.401528;0.502023;0.40348;0.471419;0.415062;0.603527;0.418805;0.54693;0.420023;0.511697;0.421926;0.483846;0.431769;0.610654;0.435974;0.565158;0.436806;0.538252;0.437101;0.514921;0.655758;0.683308;0.686125;0.653866;0.709548;0.622672;0.725057;0.594601;0.737015;0.574433;0.684494;0.611159;0.68196;0.556825;0.677199;0.526221;0.671408;0.500335;0.661425;0.611941;0.661056;0.553469;0.658212;0.517575;0.654507;0.49208;0.641245;0.613969;0.64092;0.557741;0.640497;0.524967;0.639375;0.502307;0.62443;0.615752;0.622646;0.570943;0.623199;0.544914;0.623833;0.525868
0.511012;0.18075;0.387864;0.664182;0.365571;0.631977;0.349848;0.600619;0.336933;0.578222;0.318668;0.568063;0.37933;0.592996;0.385688;0.540243;0.387467;0.513607;0.388921;0.493572;0.401764;0.595829;0.406147;0.536317;0.405897;0.506232;0.405703;0.486849;0.421148;0.598709;0.423185;0.541554;0.422383;0.51293;0.422323;0.494132;0.436544;0.603077;0.439177;0.556715;0.439513;0.533063;0.439354;0.51566;0.654466;0.666505;0.687317;0.637895;0.709819;0.60696;0.725384;0.580476;0.737048;0.560411;0.683913;0.607808;0.678583;0.55146;0.675601;0.52562;0.674413;0.510816;0.658989;0.60846;0.655954;0.545065;0.657448;0.518313;0.65871;0.506064;0.637099;0.608734;0.635861;0.548606;0.63927;0.52142;0.642238;0.505693;0.620963;0.608208;0.619681;0.56107;0.623109;0.535762;0.627242;0.516615
