face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.485506;0.278904;0.598765;0.944221;0.569502;0.958731;0.554829;0.980517;0.54748;0.999554;0.543695;1.01565;0.54551;0.997034;0.541741;1.03191;0.541886;1.05737;0.545342;1.07599;0.554864;1.00062;0.55335;1.0417;0.555503;1.06904;0.5576;1.09197;0.566156;1.00321;0.565013;1.04246;0.565589;1.0699;0.568191;1.09047;0.577272;1.00391;0.575805;1.03672;0.572784;1.05699;0.571992;1.07275;0.410502;0.965759;0.447536;0.966585;0.477438;0.961407;0.496697;0.948752;0.505154;0.931046;0.500596;0.97699;0.525371;0.939219;0.520516;0.91905;0.512088;0.914007;0.499687;0.967266;0.517187;0.922838;0.504769;0.905906;0.494525;0.906038;0.492225;0.952099;0.503005;0.908847;0.488033;0.894682;0.477854;0.898562;0.482502;0.935191;0.491009;0.901315;0.481035;0.893011;0.472147;0.896958
0.483419;0.278334;0.389884;0.919941;0.412838;0.93482;0.440519;0.934395;0.463841;0.933492;0.479806;0.928415;0.469834;0.948265;0.504606;0.921703;0.503448;0.901049;0.495979;0.890279;0.471258;0.937823;0.504789;0.9155;0.501687;0.894529;0.49534;0.880541;0.466793;0.925959;0.496085;0.902921;0.492334;0.882656;0.484629;0.872121;0.458561;0.912046;0.48019;0.895514;0.478437;0.881612;0.47285;0.872965
0.483819;0.278111;0.418693;0.809609;0.425609;0.794909;0.434945;0.800553;0.443762;0.80867;0.448975;0.814712;0.444586;0.786473;0.45608;0.802566;0.455213;0.808771;0.449372;0.809131;0.445122;0.797792;0.458295;0.818434;0.452929;0.824186;0.445223;0.820451;0.445665;0.812003;0.452419;0.830061;0.446475;0.831619;0.439308;0.826592;0.444896;0.827238;0.450006;0.840725;0.443632;0.842772;0.435782;0.840487
0.483756;0.277078;0.656972;0.813155;0.665524;0.849095;0.681945;0.861974;0.69597;0.862761;0.70272;0.859356;0.714872;0.866839;0.728849;0.857864;0.720573;0.848238;0.711955;0.845308;0.719389;0.853519;0.732569;0.843148;0.722085;0.836517;0.71415;0.835857;0.71865;0.838062;0.728915;0.827091;0.719998;0.821729;0.712932;0.822168;0.714259;0.820766;0.724187;0.810374;0.717147;0.80806;0.70966;0.810028;0.593075;0.727902;0.573546;0.703863;0.562399;0.69121;0.556291;0.693757;0.553937;0.696826;0.58156;0.699436;0.578051;0.7178;0.575463;0.736587;0.575011;0.74528;0.592443;0.720108;0.588913;0.747253;0.588351;0.765249;0.58912;0.76773;0.600416;0.7429;0.59898;0.770831;0.59807;0.785699;0.598518;0.788446;0.605897;0.762265;0.603925;0.784996;0.603762;0.795975;0.60449;0.799679
0.486105;0.276687;0.663854;0.799529;0.662819;0.833885;0.673362;0.850077;0.686227;0.855701;0.694712;0.854329;0.697432;0.872208;0.70426;0.872058;0.69812;0.861153;0.693597;0.853487;0.709745;0.857686;0.718106;0.858534;0.71084;0.850347;0.705037;0.843112;0.716489;0.839648;0.724624;0.837817;0.716676;0.831371;0.708738;0.826312;0.719855;0.821996;0.723218;0.816941;0.716008;0.811896;0.709086;0.808419
0.487225;0.276001;0.614014;0.674491;0.617922;0.639544;0.60762;0.608439;0.592659;0.588749;0.579122;0.575254;0.607801;0.610145;0.587386;0.587049;0.571166;0.574537;0.558257;0.566795;0.599569;0.625136;0.571374;0.599114;0.558493;0.592986;0.553617;0.594073;0.590447;0.643135;0.560965;0.615896;0.553905;0.613317;0.555568;0.617571;0.58083;0.662097;0.556935;0.639742;0.551934;0.636393;0.55323;0.639276;0.394411;0.671177;0.38365;0.624563;0.39311;0.587228;0.411172;0.564914;0.426499;0.555355;0.422321;0.577681;0.442839;0.541929;0.439439;0.541943;0.433485;0.549784;0.438765;0.59584;0.452342;0.560837;0.444179;0.560513;0.436876;0.567575;0.44848;0.614021;0.456153;0.582133;0.448796;0.58018;0.442472;0.586967;0.454345;0.630981;0.459104;0.603929;0.452642;0.600008;0.44693;0.604853
0.485469;0.278068;0.611207;0.665127;0.611676;0.629212;0.600717;0.599863;0.587214;0.580578;0.574881;0.567333;0.604437;0.598737;0.587309;0.57753;0.571721;0.56695;0.558725;0.561238;0.599027;0.613479;0.572243;0.589818;0.556787;0.58412;0.549096;0.585057;0.591175;0.631416;0.561576;0.608395;0.553459;0.608159;0.553742;0.613661;0.582402;0.651103;0.558116;0.63248;0.551761;0.628834;0.55197;0.630607;0.398983;0.662139;0.389967;0.619013;0.39958;0.583021;0.416813;0.560515;0.431009;0.547988;0.425052;0.572798;0.447851;0.542444;0.452788;0.533839;0.452688;0.532036;0.441442;0.588722;0.457169;0.560298;0.452037;0.557704;0.44451;0.562415;0.452172;0.606503;0.461584;0.579111;0.456764;0.575087;0.450353;0.578928;0.459552;0.62448;0.46636;0.601026;0.461344;0.595809;0.455086;0.59806
0.485655;0.280369;0.604816;0.661256;0.603109;0.628198;0.593069;0.600998;0.582116;0.582875;0.570504;0.569759;0.600739;0.593637;0.58532;0.573579;0.571037;0.562558;0.559085;0.554023;0.598329;0.60722;0.574686;0.586387;0.559258;0.582817;0.550728;0.583932;0.593113;0.6249;0.567492;0.60623;0.557416;0.606283;0.554598;0.609912;0.586015;0.644842;0.56387;0.62926;0.556785;0.627502;0.555019;0.629239;0.404477;0.653393;0.395992;0.614375;0.404868;0.582441;0.420417;0.56094;0.434364;0.544127;0.428765;0.571668;0.453427;0.544706;0.461404;0.535845;0.462951;0.532176;0.442655;0.587784;0.465862;0.564737;0.469066;0.560884;0.466497;0.561154;0.452641;0.606441;0.468456;0.586511;0.468328;0.582853;0.463955;0.582239;0.45947;0.625392;0.470802;0.608112;0.468842;0.604847;0.463724;0.604945
0.482293;0.282005;0.599594;0.668236;0.597153;0.641142;0.590927;0.611397;0.582753;0.590025;0.573388;0.575792;0.603435;0.603586;0.579353;0.58011;0.56906;0.586063;0.56682;0.593546;0.603298;0.616729;0.575371;0.594454;0.567455;0.603534;0.567929;0.609815;0.599341;0.634036;0.572865;0.615386;0.568075;0.625037;0.571405;0.631909;0.592579;0.652385;0.571397;0.638671;0.569297;0.643654;0.573534;0.648115;0.412299;0.652794;0.419348;0.612016;0.432708;0.584183;0.447056;0.565277;0.459807;0.55421;0.424572;0.571485;0.448529;0.554439;0.460738;0.553686;0.465654;0.554834;0.421253;0.588578;0.461405;0.581356;0.465939;0.589967;0.460293;0.595787;0.421494;0.611116;0.460021;0.6082;0.459848;0.615665;0.451463;0.617085;0.425166;0.635465;0.456104;0.631203;0.455786;0.633963;0.448931;0.633997
0.483608;0.283999;0.587067;0.665497;0.579852;0.635171;0.58096;0.60547;0.583624;0.59087;0.585415;0.586694;0.5874;0.604508;0.593041;0.595768;0.58939;0.609141;0.585943;0.621899;0.592542;0.623625;0.596637;0.618314;0.592788;0.634068;0.590769;0.646194;0.596474;0.643757;0.595619;0.643221;0.591475;0.655685;0.591071;0.664344;0.599242;0.66278;0.595961;0.66065;0.593775;0.669589;0.594461;0.674457;0.420455;0.657002;0.421776;0.621928;0.42799;0.58595;0.433334;0.566626;0.437285;0.558917;0.434902;0.588441;0.4393;0.570966;0.43517;0.575379;0.431835;0.584342;0.438402;0.606054;0.433125;0.602009;0.424596;0.611071;0.421269;0.615296;0.438203;0.628047;0.429874;0.623256;0.422927;0.628636;0.420178;0.630653;0.435699;0.650944;0.427741;0.645019;0.42164;0.647956;0.419406;0.648159
0.479879;0.28822;0.592593;0.646733;0.595847;0.644892;0.594136;0.639938;0.590106;0.637729;0.584957;0.64171;0.597463;0.620661;0.58922;0.612092;0.587971;0.621201;0.591126;0.626242;0.594142;0.621168;0.584854;0.614928;0.587825;0.62846;0.594426;0.635736;0.5912;0.623311;0.583557;0.623018;0.588927;0.638322;0.596773;0.645873;0.588776;0.624792;0.582577;0.624353;0.587086;0.637682;0.593894;0.645159;0.427397;0.609237;0.425353;0.595879;0.425438;0.585341;0.431928;0.582102;0.439506;0.588535;0.412493;0.604466;0.409493;0.611911;0.411234;0.627834;0.411937;0.644451;0.413907;0.619783;0.414505;0.632569;0.420322;0.649642;0.421184;0.664115;0.420982;0.631715;0.424036;0.641001;0.42719;0.648313;0.425381;0.656073;0.431906;0.638753;0.436724;0.642085;0.438016;0.647248;0.43627;0.655046
0.479935;0.290365;0.436682;0.596666;0.433776;0.615265;0.429294;0.626441;0.427947;0.633591;0.424594;0.637612;0.412198;0.626567;0.404896;0.635018;0.399367;0.640034;0.394175;0.644635;0.407362;0.616341;0.413991;0.618556;0.422389;0.619026;0.427375;0.620048;0.407618;0.603857;0.414414;0.60364;0.421948;0.606132;0.427632;0.60846;0.410299;0.591794;0.414738;0.591962;0.421996;0.594677;0.427403;0.597585
0.479513;0.289682;0.601059;0.753208;0.584702;0.730533;0.58575;0.698165;0.595318;0.676796;0.605424;0.671244;0.601727;0.680841;0.615664;0.644657;0.610409;0.642071;0.602818;0.650454;0.613532;0.693845;0.625876;0.665559;0.612431;0.675352;0.603868;0.687265;0.622664;0.711373;0.628927;0.690989;0.614835;0.701568;0.6088;0.711399;0.629519;0.730796;0.631294;0.718484;0.620127;0.724352;0.615575;0.730814;0.426579;0.733975;0.444655;0.708314;0.439869;0.663887;0.424429;0.636819;0.407889;0.626763;0.406886;0.64682;0.401267;0.612588;0.414019;0.617906;0.425328;0.635298;0.391578;0.664289;0.399738;0.645965;0.416981;0.664944;0.420779;0.675796;0.382787;0.685765;0.397415;0.674818;0.412517;0.690889;0.414056;0.699081;0.378575;0.709061;0.392331;0.698549;0.405985;0.709789;0.406913;0.71614
0.475842;0.287136;0.596218;0.761732;0.583193;0.733631;0.591732;0.695777;0.60839;0.672898;0.62065;0.665959;0.610364;0.682142;0.625832;0.651915;0.612224;0.662519;0.601811;0.676984;0.62083;0.698769;0.634992;0.674126;0.616689;0.68592;0.606658;0.698504;0.62845;0.719618;0.637524;0.699598;0.619363;0.710693;0.612398;0.722019;0.63447;0.741965;0.637071;0.725723;0.623523;0.732831;0.618997;0.740655;0.429253;0.742205;0.446336;0.717958;0.442773;0.674912;0.426757;0.652709;0.409629;0.646073;0.411648;0.646108;0.40158;0.608904;0.415319;0.620469;0.427217;0.64015;0.395952;0.662336;0.401661;0.642723;0.41969;0.665635;0.420501;0.675316;0.385848;0.683892;0.400108;0.6781;0.415747;0.697812;0.413781;0.702921;0.379943;0.707679;0.392684;0.70231;0.406357;0.716601;0.403957;0.721047
0.476399;0.286501;0.593623;0.76518;0.583632;0.732994;0.594717;0.692349;0.613458;0.670256;0.625601;0.661684;0.610419;0.682925;0.62698;0.653068;0.612725;0.661205;0.6027;0.673765;0.620706;0.700688;0.635009;0.67422;0.617467;0.684597;0.609083;0.695243;0.627696;0.721949;0.640388;0.700391;0.623127;0.708935;0.615216;0.719336;0.633566;0.745862;0.639648;0.728633;0.627482;0.733328;0.621644;0.740085;0.431433;0.749002;0.448553;0.717674;0.44244;0.670481;0.423579;0.645862;0.405391;0.634668;0.411804;0.646437;0.403777;0.606299;0.417824;0.617918;0.430274;0.637374;0.394506;0.662115;0.4058;0.64572;0.423743;0.671236;0.425936;0.682088;0.383646;0.684026;0.402665;0.679618;0.418101;0.701114;0.417643;0.708596;0.376869;0.708817;0.393061;0.703186;0.407152;0.718503;0.406296;0.722853
