face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.453046;0.243986;0.42929;0.981972;0.442242;0.95616;0.465724;0.95229;0.48916;0.952307;0.508595;0.953289;0.482721;0.997619;0.516697;0.993559;0.534783;0.982418;0.54539;0.973237;0.4866;1.00394;0.520786;1.00427;0.537046;0.992531;0.545625;0.983344;0.488194;1.00271;0.516456;1.00035;0.52974;0.989639;0.536573;0.983382;0.488977;0.996068;0.509098;0.994417;0.518233;0.987515;0.522671;0.981959
0.454386;0.242369;0.413123;0.961416;0.431298;0.923262;0.454538;0.912333;0.475816;0.911256;0.495071;0.908882;0.475149;0.964343;0.509772;0.958154;0.527917;0.939661;0.538106;0.922851;0.476171;0.9792;0.508989;0.971595;0.522531;0.952574;0.52741;0.937087;0.473174;0.98694;0.501502;0.979947;0.513222;0.964228;0.51671;0.951096;0.467436;0.991381;0.487281;0.989215;0.497634;0.979872;0.501681;0.969785;0.416874;0.947763;0.439047;0.91755;0.467792;0.91181;0.492387;0.909682;0.502841;0.912978;0.507586;0.975241;0.543818;0.957705;0.546718;0.933953;0.541704;0.923169;0.506609;0.98522;0.545819;0.969223;0.549677;0.945316;0.545669;0.935561;0.500483;0.98432;0.530444;0.966425;0.533003;0.94703;0.530549;0.942595;0.492723;0.974641;0.515097;0.957624;0.515755;0.941905;0.512758;0.937272
0.451906;0.240876;0.678626;0.761311;0.661618;0.786732;0.659901;0.805996;0.660756;0.817268;0.663389;0.822668;0.689189;0.826538;0.686095;0.838279;0.680944;0.829976;0.678573;0.820665;0.697661;0.816257;0.694486;0.827818;0.687599;0.820174;0.683917;0.813276;0.701516;0.802422;0.697213;0.810576;0.691215;0.802956;0.687732;0.797007;0.702417;0.787885;0.697862;0.790077;0.692933;0.783691;0.689244;0.779635
0.451564;0.239009;0.680212;0.766326;0.696365;0.764504;0.700128;0.775488;0.696365;0.785723;0.690655;0.798483;0.704757;0.803172;0.698445;0.806581;0.693903;0.800282;0.69172;0.793975;0.695239;0.812046;0.689994;0.81526;0.685358;0.807894;0.68354;0.802494;0.683933;0.815417;0.678649;0.816066;0.67457;0.806475;0.672486;0.800369;0.671956;0.817932;0.667176;0.815999;0.665323;0.805703;0.664342;0.797654
0.452325;0.247125;0.329269;0.623106;0.329316;0.575707;0.33766;0.551423;0.349104;0.532165;0.364413;0.519818;0.379794;0.537339;0.415187;0.518445;0.436354;0.511163;0.450328;0.50303;0.389898;0.553079;0.42104;0.534793;0.43268;0.533269;0.441975;0.52756;0.396629;0.569295;0.417745;0.549624;0.419318;0.549348;0.417953;0.5489;0.401725;0.582104;0.417101;0.562157;0.416464;0.557766;0.414246;0.555305;0.660498;0.64988;0.679767;0.617089;0.681683;0.589107;0.678644;0.567438;0.679297;0.54905;0.640413;0.565739;0.618329;0.540424;0.609572;0.525915;0.604078;0.517971;0.624908;0.57251;0.600071;0.543834;0.59205;0.528092;0.586661;0.51838;0.614295;0.581901;0.590616;0.553399;0.582649;0.538427;0.578352;0.529501;0.607176;0.594064;0.58807;0.570339;0.581792;0.555501;0.579062;0.54671
0.450836;0.250129;0.317214;0.612575;0.312772;0.572711;0.320834;0.543675;0.336594;0.520824;0.344796;0.499802;0.353699;0.538456;0.384772;0.519477;0.40255;0.511873;0.417025;0.507715;0.364081;0.557857;0.396992;0.534727;0.415249;0.522808;0.429508;0.514562;0.371119;0.578832;0.402056;0.556508;0.418616;0.542484;0.430319;0.531971;0.375572;0.600827;0.399253;0.58098;0.412646;0.568991;0.4241;0.558434;0.676974;0.642199;0.683673;0.598252;0.681186;0.565497;0.671891;0.539506;0.658574;0.522011;0.652416;0.572906;0.623729;0.540817;0.606156;0.521307;0.592119;0.506696;0.638714;0.587993;0.608219;0.54825;0.588931;0.522168;0.573782;0.503578;0.629168;0.602751;0.600785;0.565351;0.583069;0.539657;0.569973;0.520532;0.623659;0.615786;0.601363;0.586732;0.586793;0.565315;0.576102;0.547815
0.450659;0.249123;0.316855;0.610226;0.315673;0.568666;0.328249;0.534751;0.346027;0.511161;0.35844;0.488605;0.357438;0.543176;0.389116;0.531221;0.407242;0.526619;0.421998;0.523062;0.365173;0.563391;0.398981;0.550226;0.417503;0.543364;0.430777;0.537805;0.369468;0.585056;0.400573;0.572147;0.418461;0.563915;0.431729;0.557059;0.369608;0.607551;0.394697;0.59571;0.408684;0.58768;0.419823;0.58024;0.67082;0.636669;0.677017;0.596413;0.669397;0.563632;0.656089;0.539855;0.641224;0.525731;0.646757;0.580326;0.615786;0.552284;0.593633;0.53618;0.57479;0.524065;0.634193;0.597943;0.601029;0.564436;0.578425;0.542971;0.559487;0.527694;0.625091;0.614564;0.594699;0.581825;0.57459;0.560389;0.558775;0.545215;0.618958;0.628795;0.595576;0.602251;0.580791;0.583961;0.569878;0.569472
0.450798;0.249664;0.318794;0.607272;0.322852;0.56895;0.341264;0.539039;0.35904;0.518463;0.375298;0.499446;0.364672;0.548592;0.395288;0.544463;0.413907;0.548264;0.428042;0.551129;0.369778;0.570019;0.401669;0.566441;0.420743;0.570086;0.435091;0.57231;0.371675;0.590916;0.400949;0.585724;0.419083;0.586977;0.432595;0.586995;0.370394;0.610748;0.394493;0.603711;0.40875;0.601848;0.420658;0.599836;0.669003;0.634489;0.669033;0.592294;0.654821;0.558927;0.636258;0.538259;0.616983;0.528444;0.636436;0.581625;0.604036;0.56361;0.578943;0.554795;0.557584;0.547578;0.62769;0.602472;0.592114;0.580924;0.565043;0.567554;0.542372;0.557454;0.621995;0.62243;0.587188;0.59874;0.562517;0.584389;0.543168;0.574384;0.619637;0.638902;0.594191;0.620036;0.576043;0.605271;0.562354;0.593368
0.45231;0.250977;0.321716;0.604072;0.327659;0.567845;0.347745;0.540746;0.365936;0.522132;0.379594;0.505013;0.372906;0.558278;0.404192;0.557555;0.42506;0.564203;0.443516;0.570961;0.373809;0.577854;0.408755;0.577388;0.431755;0.585174;0.450339;0.592355;0.371615;0.59701;0.404522;0.595858;0.426639;0.600667;0.444355;0.604731;0.366747;0.615823;0.392261;0.61213;0.408287;0.612392;0.422726;0.611889;0.667873;0.626186;0.663725;0.589797;0.648626;0.561508;0.630901;0.543898;0.613206;0.533869;0.62561;0.581512;0.593483;0.569779;0.570929;0.565918;0.552551;0.56427;0.621081;0.601035;0.585762;0.587481;0.561063;0.580222;0.540324;0.576045;0.619619;0.621565;0.585399;0.607191;0.562402;0.59946;0.543886;0.59438;0.621265;0.641699;0.5957;0.629386;0.577894;0.619822;0.564366;0.611509
0.451151;0.24998;0.320195;0.60585;0.326735;0.566541;0.346463;0.539464;0.36588;0.521918;0.37668;0.505158;0.372293;0.555412;0.40464;0.559476;0.422788;0.564957;0.437856;0.570615;0.374771;0.575434;0.410494;0.578275;0.430707;0.583207;0.446112;0.587546;0.373712;0.596122;0.406817;0.598012;0.425441;0.601081;0.439973;0.602808;0.369477;0.616909;0.394346;0.616266;0.408071;0.616111;0.419919;0.614751;0.666087;0.623085;0.659049;0.585632;0.642906;0.560106;0.625431;0.544203;0.609176;0.534192;0.623807;0.577883;0.592998;0.56876;0.571144;0.567098;0.551695;0.566007;0.619443;0.59852;0.585301;0.588507;0.561738;0.582939;0.541463;0.580549;0.618731;0.621255;0.585981;0.610413;0.565052;0.602863;0.547277;0.597993;0.621332;0.643896;0.596657;0.632312;0.581402;0.623511;0.569126;0.616018
