face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.468433;0.169683;0.413703;0.948068;0.439545;0.953607;0.465843;0.966443;0.489859;0.9736;0.515971;0.977277;0.483776;0.991542;0.512388;0.984279;0.520501;0.964633;0.523072;0.947671;0.479081;0.983584;0.507868;0.972952;0.515426;0.950644;0.516074;0.932919;0.473923;0.974622;0.497802;0.966508;0.50483;0.947019;0.505218;0.92938;0.46835;0.966435;0.487766;0.963347;0.497415;0.951442;0.5039;0.939622
0.472054;0.166372;0.400625;0.852817;0.431162;0.861904;0.46072;0.880862;0.481826;0.886011;0.496856;0.886547;0.485875;0.908486;0.520661;0.93575;0.536123;0.91794;0.539075;0.896316;0.476008;0.894326;0.510997;0.907268;0.520242;0.877269;0.517396;0.851899;0.465174;0.878507;0.489275;0.872689;0.490507;0.841943;0.483039;0.823943;0.455026;0.86064;0.479268;0.854768;0.480121;0.83626;0.473748;0.823766;0.601659;0.889229;0.577589;0.892669;0.557498;0.918268;0.544338;0.940682;0.534638;0.957445;0.5508;0.968893;0.519094;0.967735;0.506377;0.945634;0.503006;0.926184;0.555383;0.969206;0.521646;0.967298;0.508118;0.942545;0.50529;0.919825;0.556982;0.962096;0.528508;0.958987;0.51564;0.938392;0.51349;0.918598;0.558506;0.950946;0.538566;0.952512;0.527015;0.939763;0.521703;0.925489
0.471725;0.168448;0.404072;0.875584;0.428905;0.860163;0.454865;0.854051;0.47644;0.854409;0.489896;0.857156;0.463548;0.889398;0.498221;0.886099;0.503642;0.871503;0.503403;0.860818;0.459854;0.894916;0.489742;0.873657;0.482967;0.850706;0.474071;0.839189;0.451544;0.893387;0.472078;0.864263;0.464281;0.843768;0.453375;0.833812;0.442849;0.887922;0.460492;0.863869;0.456389;0.848232;0.447813;0.841946;0.591515;0.884067;0.572855;0.910561;0.550986;0.926963;0.53677;0.92912;0.52772;0.923054;0.558775;0.948831;0.53846;0.96581;0.529279;0.969881;0.519821;0.973149;0.564715;0.940496;0.54246;0.9368;0.531517;0.921617;0.522406;0.910782;0.56919;0.923863;0.544435;0.909532;0.535334;0.890386;0.532216;0.877351;0.570908;0.907031;0.552269;0.89273;0.544682;0.879545;0.541151;0.86882
0.472845;0.168397;0.579115;0.894983;0.559485;0.912795;0.545172;0.922085;0.537536;0.92769;0.533317;0.929632;0.551974;0.935985;0.547197;0.937533;0.546551;0.930663;0.548363;0.925827;0.560115;0.93209;0.553682;0.932568;0.554047;0.926396;0.555528;0.921769;0.56667;0.927439;0.558441;0.929393;0.559852;0.922791;0.560898;0.917072;0.57306;0.922439;0.5647;0.923673;0.565745;0.917652;0.566808;0.912049
0.469374;0.177196;0.602803;0.786642;0.581263;0.763827;0.58184;0.743077;0.588209;0.728452;0.593487;0.718108;0.607272;0.75123;0.612554;0.74211;0.607817;0.73976;0.601216;0.742034;0.622295;0.756179;0.625043;0.752404;0.615438;0.757828;0.608241;0.765407;0.632594;0.762447;0.63462;0.761739;0.624962;0.764439;0.617145;0.769575;0.641424;0.766694;0.645303;0.764485;0.638283;0.764345;0.632175;0.766825;0.382919;0.723335;0.397441;0.684487;0.417496;0.6623;0.43065;0.642623;0.440391;0.630877;0.442645;0.70033;0.475402;0.677564;0.475042;0.660312;0.468471;0.649028;0.438722;0.711805;0.469538;0.68999;0.46536;0.672322;0.461392;0.663746;0.430678;0.719541;0.456686;0.697698;0.454122;0.681501;0.451982;0.673738;0.421131;0.721751;0.442721;0.703931;0.446281;0.688203;0.4477;0.678377
0.46962;0.181811;0.583145;0.783082;0.607866;0.777448;0.622694;0.762365;0.631127;0.750853;0.637002;0.742157;0.622926;0.743347;0.629481;0.719834;0.633674;0.704868;0.636783;0.692311;0.615644;0.741283;0.621424;0.718003;0.625278;0.69977;0.629772;0.685074;0.608516;0.742653;0.61346;0.721513;0.617642;0.705522;0.621427;0.694146;0.600811;0.7465;0.605311;0.730402;0.609474;0.717433;0.612575;0.70788;0.373463;0.687638;0.400812;0.69687;0.427624;0.69064;0.447905;0.676597;0.460755;0.65937;0.441798;0.691647;0.469401;0.678439;0.484294;0.671715;0.493133;0.663546;0.43758;0.675227;0.458669;0.657728;0.463666;0.652423;0.464333;0.648615;0.428061;0.65873;0.443777;0.637965;0.439975;0.633443;0.433065;0.632065;0.415417;0.642623;0.430749;0.626371;0.429968;0.620649;0.425363;0.617367
0.46861;0.186538;0.634491;0.607279;0.651482;0.569986;0.660945;0.534613;0.670014;0.504461;0.679909;0.478349;0.631659;0.552441;0.616679;0.516296;0.620063;0.522685;0.626708;0.532258;0.613429;0.569082;0.600158;0.526994;0.605976;0.531498;0.613569;0.542272;0.597589;0.583914;0.584585;0.544937;0.590557;0.5444;0.597683;0.551619;0.586061;0.595077;0.569073;0.571522;0.550491;0.557047;0.53413;0.545534;0.3541;0.584455;0.337942;0.535361;0.338502;0.491965;0.343081;0.454678;0.338461;0.426036;0.386409;0.48929;0.405716;0.453052;0.395055;0.457513;0.383324;0.468973;0.404793;0.50945;0.416904;0.474652;0.405782;0.4769;0.396482;0.48763;0.416835;0.530443;0.428754;0.501962;0.419075;0.500803;0.410346;0.507474;0.422996;0.549667;0.447069;0.533501;0.46474;0.523397;0.479054;0.517711
0.468919;0.182713;0.645531;0.613087;0.663401;0.569068;0.662215;0.529978;0.664526;0.496296;0.667117;0.475107;0.64868;0.532413;0.633443;0.485688;0.633691;0.483764;0.637213;0.48898;0.627685;0.543729;0.610846;0.493021;0.614626;0.498247;0.62077;0.509611;0.610334;0.557022;0.594825;0.507511;0.601202;0.510461;0.608957;0.520561;0.597026;0.570055;0.577566;0.539045;0.565411;0.526498;0.556758;0.518172;0.345891;0.569821;0.335299;0.521171;0.337959;0.479462;0.343775;0.443421;0.342627;0.416998;0.378078;0.45907;0.397851;0.43337;0.390697;0.44574;0.380863;0.456867;0.397133;0.481806;0.414943;0.457284;0.405036;0.466145;0.394097;0.475784;0.409187;0.506484;0.424733;0.48507;0.415606;0.489685;0.405751;0.498012;0.415931;0.530416;0.439002;0.513622;0.45082;0.50491;0.459768;0.499888
0.469546;0.181748;0.638535;0.583187;0.655452;0.540872;0.65936;0.501839;0.665442;0.465773;0.672815;0.438732;0.64026;0.51012;0.625895;0.473508;0.626318;0.476485;0.629863;0.485452;0.620447;0.518439;0.607843;0.478925;0.61066;0.483674;0.614725;0.494751;0.6026;0.526997;0.591818;0.489024;0.596341;0.493577;0.601645;0.504456;0.588071;0.534792;0.573181;0.506108;0.563031;0.488102;0.554918;0.476286;0.348796;0.549292;0.336235;0.499201;0.337242;0.461328;0.341443;0.426577;0.341137;0.402742;0.373341;0.439819;0.390404;0.407521;0.383296;0.42186;0.374208;0.436873;0.393229;0.460699;0.408665;0.428806;0.399002;0.438713;0.389706;0.451031;0.406713;0.483485;0.420685;0.455005;0.410002;0.458826;0.40121;0.469076;0.415073;0.505206;0.438826;0.48345;0.450121;0.471011;0.460179;0.463587
0.468075;0.180687;0.637822;0.569591;0.653623;0.531492;0.657679;0.494242;0.663043;0.460317;0.671956;0.438698;0.638302;0.486639;0.623834;0.449357;0.622758;0.46316;0.626741;0.479281;0.620063;0.495056;0.609401;0.45808;0.608414;0.471841;0.61133;0.48774;0.603479;0.505491;0.592574;0.469102;0.593933;0.481125;0.598721;0.495582;0.589535;0.514717;0.573553;0.481119;0.559458;0.460562;0.548282;0.443895;0.348716;0.534335;0.33185;0.488579;0.330397;0.447133;0.332274;0.41073;0.326141;0.384556;0.369939;0.424656;0.384847;0.398129;0.378321;0.412757;0.370705;0.425751;0.390783;0.442582;0.402465;0.417078;0.393925;0.426762;0.385785;0.438696;0.406055;0.464354;0.416409;0.440647;0.407293;0.445502;0.399469;0.455718;0.416327;0.485184;0.439898;0.461552;0.453521;0.447425;0.46513;0.437709
