face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.451371;0.210871;0.658518;0.926062;0.64022;0.933449;0.62394;0.948588;0.614282;0.957375;0.606619;0.962545;0.624373;0.977257;0.603023;0.979662;0.596338;0.97425;0.594814;0.972378;0.630186;0.973824;0.605556;0.976588;0.5992;0.969049;0.596585;0.968367;0.634546;0.967208;0.613051;0.970874;0.606639;0.963237;0.603668;0.96053;0.638865;0.958343;0.622591;0.959419;0.616242;0.955093;0.611903;0.954319
0.451511;0.211002;0.314834;0.891254;0.335627;0.896351;0.370668;0.90254;0.400943;0.900871;0.423469;0.897216;0.370821;0.925533;0.422475;0.917373;0.451677;0.908178;0.474854;0.902334;0.371771;0.915734;0.428233;0.906235;0.461152;0.89924;0.487512;0.893965;0.370566;0.899707;0.422308;0.890734;0.449492;0.88877;0.470856;0.888004;0.368265;0.882958;0.401712;0.879529;0.416274;0.879832;0.426899;0.879849
0.452499;0.210456;0.30117;0.870366;0.315609;0.830609;0.341863;0.817859;0.370291;0.823254;0.392767;0.82384;0.364735;0.862975;0.410007;0.856902;0.4383;0.850654;0.459944;0.846241;0.37027;0.891401;0.422304;0.883133;0.454148;0.872655;0.479559;0.864992;0.369855;0.910763;0.418966;0.907304;0.448807;0.897876;0.471437;0.890946;0.365009;0.924516;0.403776;0.925361;0.426544;0.917759;0.443464;0.910615;0.381298;0.878749;0.408812;0.846032;0.433559;0.843089;0.453053;0.851059;0.465658;0.861861;0.466949;0.844738;0.48803;0.860496;0.478774;0.870546;0.468271;0.871641;0.465777;0.867503;0.482721;0.878441;0.469663;0.883089;0.460717;0.881935;0.455502;0.888161;0.46281;0.894858;0.451279;0.894107;0.44263;0.890175;0.441077;0.905682;0.443707;0.906599;0.435162;0.9034;0.427277;0.900064
0.453228;0.210251;0.294339;0.829471;0.308562;0.811512;0.334945;0.80505;0.361444;0.801917;0.381778;0.785444;0.360968;0.830966;0.408441;0.825537;0.434625;0.815889;0.455788;0.810768;0.36351;0.843936;0.417241;0.835;0.448093;0.825717;0.475004;0.819739;0.361279;0.852536;0.408489;0.844327;0.437155;0.83503;0.463681;0.831313;0.356395;0.858624;0.39175;0.857273;0.412928;0.851649;0.432698;0.851386;0.364732;0.850444;0.39583;0.827938;0.421946;0.824198;0.44324;0.826872;0.457677;0.833243;0.450153;0.820452;0.471863;0.827616;0.475462;0.828568;0.474228;0.82691;0.446866;0.837727;0.47038;0.841991;0.473335;0.841788;0.47245;0.838319;0.438062;0.857553;0.458141;0.860181;0.460381;0.856558;0.460054;0.852495;0.42558;0.876145;0.439988;0.878044;0.442598;0.873561;0.442432;0.870136
0.453525;0.209954;0.350475;0.823135;0.384935;0.81098;0.414479;0.808698;0.436957;0.807841;0.453471;0.80375;0.433291;0.797114;0.453806;0.797878;0.463544;0.794726;0.469297;0.790844;0.43005;0.809832;0.455835;0.810176;0.467484;0.806739;0.475348;0.802983;0.423002;0.825257;0.445026;0.82491;0.453958;0.821364;0.459761;0.81939;0.412595;0.842805;0.427086;0.842259;0.432158;0.836858;0.43406;0.833846
0.452486;0.209996;0.297756;0.774529;0.312971;0.731291;0.337654;0.708559;0.36556;0.697013;0.38958;0.687717;0.366819;0.743869;0.414672;0.74174;0.441785;0.738333;0.462431;0.737712;0.373539;0.772114;0.428617;0.767715;0.45984;0.764189;0.484611;0.763793;0.376907;0.795928;0.428284;0.790327;0.457392;0.785216;0.478321;0.783304;0.375895;0.816434;0.415724;0.813099;0.438509;0.807245;0.45373;0.801646;0.641798;0.77935;0.621493;0.741113;0.601223;0.725547;0.581007;0.721459;0.571039;0.722308;0.556502;0.743284;0.531576;0.748204;0.532124;0.750352;0.538046;0.75102;0.553477;0.771338;0.528795;0.770875;0.530049;0.770626;0.533844;0.769063;0.556873;0.79544;0.534404;0.792615;0.537391;0.79094;0.544287;0.785094;0.564018;0.815684;0.548859;0.815213;0.549657;0.809419;0.553597;0.800442
0.451893;0.212461;0.283445;0.773719;0.302197;0.726292;0.332072;0.698393;0.365034;0.690757;0.390097;0.686536;0.353529;0.722806;0.410202;0.723275;0.443053;0.722894;0.467837;0.724594;0.357963;0.753389;0.420338;0.751173;0.45807;0.750027;0.486053;0.750233;0.359255;0.781972;0.415251;0.779698;0.449844;0.777893;0.474552;0.776732;0.357388;0.807839;0.401364;0.802907;0.426959;0.798482;0.445471;0.794032;0.656683;0.774121;0.644307;0.729292;0.625124;0.711495;0.605605;0.703425;0.589068;0.700004;0.601918;0.726752;0.560157;0.722417;0.54093;0.722281;0.526511;0.721405;0.595394;0.754898;0.550146;0.747567;0.529659;0.745131;0.513881;0.741169;0.592777;0.779808;0.552217;0.772809;0.534208;0.765748;0.521857;0.757338;0.593763;0.800753;0.564776;0.796582;0.550963;0.787323;0.542469;0.778538
0.452991;0.212694;0.282308;0.765991;0.300427;0.716583;0.331886;0.683399;0.368773;0.671734;0.394506;0.664368;0.353959;0.714851;0.414184;0.708742;0.448166;0.704976;0.473229;0.704687;0.360598;0.747603;0.423918;0.737941;0.461619;0.732073;0.48835;0.731217;0.363069;0.775793;0.421567;0.76558;0.454423;0.757446;0.476424;0.753909;0.362079;0.798457;0.406841;0.788489;0.430658;0.780804;0.446812;0.776814;0.675365;0.747917;0.659203;0.706673;0.640935;0.685745;0.61984;0.676937;0.602139;0.67346;0.624257;0.706924;0.577806;0.698551;0.551759;0.695154;0.531595;0.69341;0.619982;0.735226;0.566588;0.724246;0.534314;0.719531;0.51101;0.716294;0.618211;0.761582;0.571401;0.752414;0.542769;0.745681;0.521066;0.739823;0.619006;0.783837;0.584772;0.780272;0.564223;0.776674;0.5468;0.773214
0.452426;0.210901;0.281253;0.756217;0.300183;0.702266;0.333673;0.666508;0.370145;0.654331;0.395695;0.644326;0.354508;0.694543;0.41366;0.688556;0.447246;0.6844;0.472967;0.684697;0.361354;0.7271;0.424571;0.71644;0.462239;0.71007;0.490104;0.709332;0.364243;0.755731;0.422351;0.746559;0.455647;0.739325;0.479049;0.736562;0.363521;0.779758;0.40726;0.770868;0.431707;0.763506;0.449112;0.759106;0.685985;0.719131;0.667131;0.679232;0.643238;0.658974;0.61838;0.652539;0.600288;0.651812;0.630823;0.686211;0.580638;0.676401;0.550998;0.674104;0.527364;0.675066;0.628088;0.715626;0.571363;0.705149;0.53557;0.700162;0.510206;0.699045;0.627165;0.740868;0.575501;0.734026;0.543152;0.728508;0.51999;0.725881;0.627494;0.761046;0.58787;0.757782;0.564645;0.7531;0.545788;0.749015
0.453528;0.21111;0.27862;0.748366;0.299709;0.694088;0.333247;0.659424;0.370363;0.645405;0.395902;0.632632;0.350197;0.685068;0.412514;0.676336;0.446776;0.670942;0.472681;0.667912;0.356991;0.71753;0.423952;0.704077;0.463085;0.695913;0.491909;0.692689;0.360778;0.746654;0.422249;0.733252;0.456992;0.723498;0.481756;0.718355;0.361297;0.771927;0.408888;0.761156;0.434396;0.752878;0.452671;0.747759;0.690845;0.719251;0.676178;0.673192;0.652909;0.648429;0.623857;0.637181;0.59786;0.634023;0.63275;0.678073;0.57997;0.668242;0.548335;0.665423;0.523078;0.66515;0.628518;0.707016;0.569208;0.69706;0.533665;0.690792;0.507272;0.687603;0.627019;0.732721;0.572675;0.724964;0.540898;0.719387;0.517387;0.716583;0.627949;0.754145;0.585854;0.748928;0.561956;0.743582;0.541903;0.738462
