face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.509537;0.223185;0.642494;0.881756;0.619757;0.894769;0.611026;0.918795;0.607229;0.944245;0.604508;0.965896;0.623655;0.93651;0.61978;0.972764;0.613368;0.985623;0.608155;0.988618;0.637339;0.942087;0.63296;0.97998;0.623389;0.988702;0.616411;0.985834;0.647223;0.943966;0.644297;0.978243;0.634943;0.986138;0.627663;0.983346;0.653585;0.943671;0.651966;0.971229;0.644151;0.980793;0.637629;0.980905
0.45253;0.252584;0.642282;0.87426;0.618768;0.892925;0.609001;0.920027;0.604372;0.945507;0.60088;0.966886;0.621026;0.938555;0.616837;0.973421;0.60984;0.983794;0.604697;0.983208;0.634321;0.943018;0.629744;0.979705;0.620116;0.985069;0.613879;0.978339;0.644461;0.943321;0.641732;0.976671;0.633134;0.981227;0.627186;0.97513;0.65189;0.94165;0.650005;0.968795;0.642464;0.976071;0.636663;0.973102
0.490997;0.253845;0.639709;0.885502;0.616;0.896821;0.6072;0.919822;0.602606;0.943669;0.597095;0.9651;0.621087;0.939872;0.614611;0.975774;0.606779;0.984715;0.60078;0.983623;0.633899;0.944521;0.627187;0.980886;0.618483;0.984886;0.612722;0.979889;0.643582;0.945735;0.639103;0.978162;0.630938;0.980915;0.625557;0.975911;0.650934;0.944419;0.647358;0.970314;0.640214;0.975482;0.634854;0.972773;0.509835;0.497782;0.510921;0.452445;0.520564;0.419418;0.532722;0.398211;0.544693;0.388828;0.556429;0.431605;0.581479;0.408155;0.584352;0.394496;0.578315;0.382971;0.563267;0.456459;0.587873;0.440458;0.590155;0.427806;0.584868;0.416779;0.562334;0.48036;0.583186;0.470702;0.586315;0.459067;0.582472;0.447235;0.555338;0.4993;0.567974;0.495034;0.571649;0.486836;0.569987;0.477426
0.516273;0.231649;0.644815;0.881846;0.623212;0.895617;0.615328;0.921771;0.611254;0.946491;0.604537;0.965751;0.628553;0.940887;0.622701;0.97427;0.615648;0.985827;0.609878;0.988925;0.641033;0.9446;0.636057;0.979472;0.627385;0.987526;0.620766;0.986343;0.650071;0.943963;0.646922;0.975471;0.638316;0.983145;0.632125;0.982139;0.656616;0.940464;0.654156;0.966274;0.646684;0.976093;0.640999;0.977864
0.516251;0.232178;0.64563;0.88365;0.623298;0.896739;0.614986;0.922008;0.610806;0.946672;0.604292;0.966546;0.630086;0.941266;0.622912;0.974923;0.615883;0.985919;0.610393;0.989001;0.642348;0.945639;0.635155;0.980139;0.626787;0.98706;0.620855;0.985242;0.651132;0.946007;0.645955;0.977539;0.637534;0.983478;0.631877;0.981323;0.65748;0.94374;0.653316;0.969293;0.645996;0.977865;0.64099;0.978638;0.410151;0.837477;0.425785;0.855828;0.435328;0.877888;0.444541;0.898121;0.455734;0.913366;0.423734;0.899478;0.439788;0.929018;0.451686;0.930838;0.460752;0.927358;0.417426;0.904513;0.436313;0.933257;0.450267;0.932668;0.459884;0.927993;0.414481;0.904488;0.431841;0.930794;0.445766;0.928834;0.454622;0.920634;0.413087;0.901859;0.424872;0.923162;0.435701;0.922114;0.443239;0.915031
0.514923;0.233073;0.643969;0.876211;0.622688;0.893306;0.615247;0.92052;0.611713;0.946171;0.607993;0.966881;0.628598;0.938925;0.626542;0.972405;0.621095;0.983468;0.615973;0.986474;0.641252;0.941848;0.638874;0.977871;0.630897;0.987237;0.624189;0.98727;0.650308;0.941255;0.648974;0.97343;0.640887;0.982237;0.634044;0.982055;0.656276;0.9384;0.65457;0.96457;0.647624;0.974658;0.641642;0.976616;0.404049;0.841759;0.422577;0.84914;0.42985;0.859986;0.436768;0.8731;0.43779;0.885616;0.412415;0.896856;0.420002;0.923857;0.430503;0.938175;0.440106;0.945524;0.407945;0.905998;0.415553;0.934985;0.427736;0.947815;0.43801;0.953946;0.405456;0.910028;0.411453;0.935636;0.421914;0.947823;0.430743;0.952828;0.404735;0.910236;0.408039;0.93096;0.415037;0.943509;0.423124;0.948553
0.516502;0.234741;0.643085;0.871657;0.621694;0.891798;0.614418;0.919612;0.611052;0.946194;0.60737;0.967205;0.626934;0.938363;0.624077;0.972679;0.618959;0.984296;0.614248;0.988637;0.639858;0.941371;0.636775;0.97833;0.629359;0.988987;0.622996;0.990629;0.649375;0.940121;0.647794;0.97404;0.639945;0.984028;0.633178;0.985185;0.655823;0.936266;0.654401;0.963825;0.647696;0.974397;0.641758;0.976838;0.397661;0.843231;0.405786;0.865135;0.41314;0.886362;0.418489;0.904841;0.419977;0.924088;0.401531;0.90704;0.401696;0.937473;0.406241;0.955857;0.41248;0.968377;0.401101;0.906078;0.401803;0.934849;0.405638;0.951364;0.409884;0.963382;0.401488;0.90226;0.403353;0.926923;0.406281;0.939804;0.40928;0.947456;0.402815;0.896343;0.405607;0.913495;0.407698;0.923725;0.410665;0.929883
0.517174;0.236938;0.645334;0.866727;0.624794;0.889026;0.61698;0.918046;0.611743;0.945253;0.607561;0.965768;0.629447;0.936754;0.626334;0.972524;0.620674;0.981911;0.615948;0.982509;0.642421;0.938618;0.639365;0.977576;0.630785;0.984186;0.624226;0.980311;0.651578;0.936842;0.650392;0.972048;0.642244;0.979691;0.635751;0.977469;0.657691;0.932989;0.657322;0.961368;0.650382;0.97084;0.644424;0.972076;0.387194;0.850415;0.398103;0.881459;0.405237;0.910133;0.411459;0.932553;0.418512;0.954887;0.390623;0.921253;0.390504;0.947727;0.394037;0.964588;0.399011;0.975022;0.388863;0.914797;0.38704;0.940722;0.388907;0.957684;0.391081;0.969961;0.388583;0.907556;0.388352;0.929632;0.390139;0.941513;0.390733;0.949157;0.389644;0.900854;0.390153;0.9182;0.392054;0.929537;0.393387;0.937394
0.51609;0.235555;0.643772;0.865765;0.622887;0.88984;0.615232;0.918957;0.610054;0.946547;0.605122;0.966469;0.629174;0.939168;0.624601;0.976048;0.618234;0.984662;0.612819;0.98522;0.642543;0.94166;0.636844;0.981166;0.627356;0.988224;0.620143;0.985702;0.651507;0.939508;0.64779;0.975559;0.637844;0.9832;0.630145;0.980973;0.65695;0.935305;0.654488;0.964014;0.645952;0.974013;0.638695;0.975419;0.378084;0.855277;0.396501;0.883299;0.403459;0.912519;0.410275;0.934904;0.414523;0.956636;0.383873;0.929055;0.387006;0.954595;0.390729;0.968042;0.393539;0.976348;0.375962;0.925257;0.377431;0.950292;0.381673;0.96356;0.385458;0.971885;0.371505;0.919366;0.372668;0.939475;0.376494;0.951443;0.380012;0.958435;0.368672;0.912685;0.370155;0.928731;0.373742;0.937916;0.376911;0.94333
0.516548;0.236694;0.642378;0.865277;0.621627;0.891247;0.614373;0.921638;0.609505;0.949555;0.60426;0.969635;0.628704;0.943454;0.624191;0.979918;0.61686;0.987151;0.61102;0.986412;0.641419;0.945876;0.636003;0.984244;0.625492;0.989465;0.617911;0.984781;0.650066;0.943454;0.646736;0.979036;0.636253;0.984791;0.628619;0.980341;0.655373;0.938478;0.653312;0.967557;0.644366;0.976714;0.636921;0.976183;0.369936;0.861575;0.390548;0.885668;0.400026;0.912867;0.405169;0.934731;0.409335;0.955698;0.37946;0.930491;0.381058;0.96039;0.383997;0.975256;0.387158;0.982106;0.367258;0.929283;0.367715;0.95884;0.371051;0.972954;0.374204;0.980237;0.358696;0.925289;0.359095;0.949699;0.363676;0.96253;0.367827;0.969565;0.352157;0.919373;0.353157;0.940085;0.357181;0.949892;0.360454;0.954786
