face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.504017;0.287043;0.633646;0.940741;0.603405;0.943959;0.581892;0.964529;0.569623;0.987619;0.564465;1.00628;0.587569;0.987488;0.580825;1.03471;0.577371;1.06544;0.575734;1.08921;0.60341;0.995901;0.598963;1.0464;0.59633;1.07816;0.594335;1.10206;0.618576;1.00167;0.613076;1.04526;0.608572;1.06477;0.606607;1.07428;0.630864;1.00493;0.623406;1.03881;0.61793;1.05506;0.615445;1.06497;0.40705;0.92227;0.438635;0.925581;0.460689;0.950838;0.472485;0.985103;0.482228;1.01524;0.45128;0.978554;0.454527;1.02731;0.454054;1.06503;0.452464;1.09644;0.432252;0.987054;0.429176;1.0459;0.425085;1.08779;0.421277;1.12069;0.416177;0.991571;0.417429;1.04675;0.417376;1.08362;0.417058;1.11219;0.403274;0.991067;0.406695;1.03388;0.409176;1.05849;0.410768;1.07788
0.504207;0.287255;0.625253;0.949418;0.603943;0.953127;0.59068;0.979804;0.591543;1.0024;0.595427;1.01604;0.585926;0.971444;0.579652;1.01228;0.577101;1.04262;0.575858;1.07008;0.60343;0.977462;0.599916;1.02306;0.601789;1.05482;0.602311;1.0842;0.618951;0.983675;0.615295;1.01664;0.616276;0.996549;0.617363;0.979534;0.631692;0.989155;0.622547;1.01263;0.619219;1.00271;0.619432;0.992253;0.411073;0.918592;0.431887;0.935632;0.447975;0.971042;0.463654;1.0029;0.476246;1.02864;0.426056;0.98355;0.434205;1.03813;0.441483;1.07664;0.447659;1.10897;0.418803;0.972677;0.415094;1.03612;0.411349;1.08609;0.408672;1.12476;0.418445;0.960014;0.437619;1.01011;0.44745;1.04365;0.451771;1.07008;0.420271;0.947369;0.441089;0.978343;0.453867;0.982318;0.459033;0.97989
0.504036;0.288471;0.41924;0.928578;0.429774;0.925655;0.436303;0.940734;0.444423;0.967779;0.446876;0.991878;0.427374;0.973121;0.427058;1.0008;0.426778;1.03028;0.426403;1.06084;0.428297;0.991215;0.425626;1.02536;0.422798;1.05539;0.421102;1.08595;0.429594;1.0034;0.428202;1.03997;0.424996;1.06679;0.421127;1.09092;0.431646;1.01075;0.430724;1.03767;0.429983;1.05704;0.428285;1.07313
0.504579;0.289225;0.630442;0.845916;0.607834;0.827794;0.587656;0.825996;0.576204;0.831814;0.57557;0.838738;0.60741;0.830703;0.586932;0.851565;0.587787;0.859942;0.592008;0.864952;0.616312;0.848802;0.591909;0.875627;0.596249;0.885086;0.602385;0.889221;0.623916;0.865278;0.600039;0.891552;0.604167;0.898508;0.611176;0.89868;0.629398;0.879311;0.612839;0.899272;0.614037;0.904209;0.618898;0.90404;0.392739;0.82414;0.387187;0.840969;0.394765;0.85708;0.406136;0.882275;0.416246;0.904393;0.418034;0.819627;0.430734;0.835944;0.425967;0.853648;0.42174;0.862386;0.433517;0.82959;0.447013;0.853508;0.436108;0.869468;0.42716;0.875954;0.444354;0.84155;0.456061;0.867177;0.444873;0.878956;0.437146;0.882639;0.451933;0.852208;0.461026;0.870971;0.454978;0.880839;0.45028;0.884768
0.503781;0.290787;0.621766;0.860946;0.616345;0.847748;0.60946;0.839991;0.600116;0.837958;0.592694;0.838474;0.600034;0.854184;0.596501;0.862896;0.597618;0.862401;0.597877;0.860084;0.600234;0.863316;0.595412;0.873689;0.597491;0.868446;0.598513;0.862551;0.600582;0.870453;0.593537;0.878101;0.596518;0.873082;0.598762;0.868076;0.600602;0.876548;0.592741;0.882518;0.592318;0.879901;0.592543;0.877514
0.504665;0.289366;0.406337;0.702109;0.436071;0.706751;0.458577;0.69541;0.46829;0.677537;0.467441;0.663653;0.45336;0.656951;0.477117;0.639917;0.487281;0.631891;0.492435;0.623335;0.44044;0.647516;0.458498;0.629454;0.465904;0.622961;0.470107;0.618168;0.428651;0.64534;0.443439;0.635675;0.447534;0.627799;0.449922;0.621476;0.420022;0.648495;0.432103;0.642256;0.435481;0.636943;0.438269;0.633697;0.632142;0.725244;0.604378;0.725198;0.586965;0.716419;0.58198;0.702826;0.582641;0.694229;0.599709;0.665833;0.57944;0.646085;0.565803;0.642549;0.55592;0.642695;0.614108;0.664164;0.593092;0.656122;0.58015;0.671166;0.574001;0.681102;0.626385;0.674741;0.613489;0.691569;0.604737;0.712408;0.59984;0.722952;0.636437;0.690395;0.624258;0.705113;0.616414;0.722149;0.611131;0.732944
0.504975;0.288989;0.423052;0.710194;0.448909;0.702969;0.46603;0.685691;0.475376;0.666329;0.476798;0.64939;0.448523;0.643431;0.458354;0.616684;0.466819;0.601109;0.47649;0.589142;0.435177;0.640086;0.444604;0.614474;0.455859;0.603028;0.465306;0.592659;0.424326;0.643092;0.44197;0.629881;0.45586;0.633792;0.464373;0.637179;0.415867;0.650984;0.432368;0.645357;0.442925;0.652393;0.44798;0.658504;0.624867;0.716229;0.612152;0.694076;0.597568;0.671044;0.583786;0.655895;0.575439;0.644185;0.618812;0.663592;0.603007;0.642535;0.589326;0.631322;0.577967;0.622815;0.621035;0.673227;0.59892;0.657788;0.590808;0.662844;0.58839;0.66894;0.620569;0.687699;0.595014;0.671747;0.591182;0.676838;0.59336;0.683542;0.616832;0.703944;0.594171;0.690626;0.589519;0.69036;0.59123;0.693534
0.506136;0.289419;0.427883;0.700403;0.456778;0.679825;0.47384;0.655788;0.480391;0.635657;0.47735;0.618573;0.447957;0.633272;0.457663;0.609027;0.464802;0.591442;0.470826;0.578228;0.436038;0.632111;0.448193;0.609991;0.457421;0.591984;0.465578;0.577895;0.427418;0.634822;0.443875;0.618523;0.45555;0.611413;0.463884;0.608608;0.421828;0.639799;0.438812;0.63045;0.449229;0.630103;0.455643;0.633742;0.616723;0.708878;0.592125;0.694734;0.579307;0.672493;0.57078;0.653667;0.563521;0.635591;0.600254;0.659395;0.593236;0.643678;0.586472;0.632186;0.579834;0.625576;0.609534;0.657045;0.601244;0.63909;0.593931;0.631005;0.587823;0.626393;0.616952;0.657341;0.607772;0.639633;0.600404;0.632361;0.59485;0.629703;0.62194;0.660585;0.615803;0.646149;0.610365;0.639251;0.605759;0.636355
0.505535;0.287816;0.43023;0.684165;0.457064;0.661978;0.47313;0.644803;0.483261;0.629315;0.487244;0.613367;0.456687;0.616113;0.469356;0.608887;0.478183;0.603177;0.482628;0.597141;0.44708;0.615358;0.460295;0.607786;0.469664;0.60444;0.474595;0.600113;0.438905;0.618321;0.452625;0.61339;0.461205;0.615948;0.464242;0.618333;0.431614;0.622683;0.44343;0.618109;0.451449;0.620867;0.455862;0.626576;0.621121;0.69903;0.59688;0.688985;0.582662;0.670583;0.573769;0.653392;0.564913;0.638089;0.586461;0.659759;0.573903;0.648066;0.565555;0.638173;0.559724;0.629928;0.592862;0.654079;0.580169;0.64038;0.571834;0.630575;0.566577;0.621958;0.60049;0.649643;0.588264;0.636513;0.582082;0.633778;0.57919;0.632741;0.608691;0.64593;0.598932;0.637762;0.594175;0.635962;0.591996;0.635666
0.510258;0.285359;0.613494;0.688653;0.596742;0.682759;0.58715;0.669612;0.581427;0.656079;0.577165;0.645939;0.58573;0.666638;0.576411;0.649181;0.568645;0.637333;0.561613;0.626912;0.591312;0.66131;0.582107;0.641154;0.574787;0.627142;0.568817;0.615588;0.598365;0.656411;0.591317;0.636468;0.585597;0.622384;0.58063;0.611624;0.606438;0.652737;0.601565;0.637077;0.597116;0.626132;0.592703;0.617066
