face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.513152;0.236412;0.640635;0.989671;0.622434;0.96966;0.598356;0.969171;0.576249;0.975158;0.558765;0.9817;0.58322;0.999685;0.547699;0.996674;0.532658;0.981321;0.527468;0.969659;0.586243;1.00755;0.55212;0.996206;0.546038;0.975012;0.547612;0.959989;0.590545;1.00694;0.563299;0.993958;0.559238;0.975819;0.562293;0.963433;0.595898;1.00268;0.573043;0.9955;0.568331;0.982576;0.570148;0.972451
0.512642;0.237283;0.657183;0.956168;0.629205;0.933367;0.599938;0.936026;0.579839;0.940573;0.564611;0.939868;0.577788;0.97429;0.545941;0.968313;0.536455;0.955253;0.532513;0.947777;0.585326;0.985339;0.561999;0.966621;0.565232;0.94665;0.569418;0.939638;0.595123;0.987052;0.575339;0.965132;0.582954;0.946966;0.591398;0.942882;0.605241;0.984818;0.588739;0.964821;0.592977;0.950224;0.599538;0.945908;0.46707;0.965738;0.488831;0.957019;0.513188;0.954868;0.531357;0.949727;0.545815;0.943344;0.523445;0.986504;0.55419;0.992959;0.573483;0.994839;0.590917;0.995587;0.521097;0.982987;0.552891;0.988597;0.572278;0.988819;0.587402;0.988636;0.517524;0.974884;0.544206;0.974267;0.560043;0.971606;0.571223;0.970968;0.513482;0.964041;0.532206;0.962379;0.54297;0.958233;0.54966;0.955402
0.515748;0.237764;0.66673;0.918294;0.635846;0.912378;0.608305;0.917214;0.58327;0.919052;0.56195;0.913803;0.593738;0.96513;0.550555;0.955705;0.532179;0.937494;0.522085;0.925648;0.598155;0.965838;0.56301;0.949594;0.558399;0.928098;0.55858;0.917758;0.603451;0.955863;0.577358;0.937871;0.577777;0.919698;0.580983;0.912169;0.608079;0.940214;0.58664;0.92853;0.58297;0.916795;0.582454;0.909877;0.462287;0.939456;0.482771;0.913;0.512047;0.915855;0.535331;0.926008;0.5551;0.932849;0.516991;0.959027;0.55298;0.97366;0.575296;0.972719;0.59277;0.968191;0.513561;0.975029;0.549753;0.98954;0.571048;0.981762;0.585136;0.969748;0.509219;0.983128;0.541491;0.992924;0.560443;0.982612;0.571302;0.968714;0.50525;0.986578;0.53027;0.990781;0.545223;0.981651;0.554233;0.969214
0.516192;0.238448;0.449896;0.817777;0.481139;0.78169;0.512732;0.778559;0.541105;0.790336;0.561936;0.802514;0.525981;0.832212;0.569876;0.852968;0.573341;0.833093;0.566058;0.817773;0.517608;0.859755;0.560101;0.873152;0.562218;0.84857;0.553927;0.832263;0.506925;0.87739;0.542809;0.883412;0.545685;0.861224;0.538261;0.84643;0.495681;0.887132;0.521726;0.885264;0.525515;0.867745;0.520859;0.855198;0.693011;0.796819;0.667146;0.777317;0.637864;0.776843;0.616549;0.780018;0.606827;0.778266;0.637806;0.803573;0.595718;0.793198;0.601655;0.779316;0.614973;0.779477;0.645171;0.814485;0.599804;0.803423;0.605501;0.786839;0.617978;0.786471;0.65224;0.817833;0.611585;0.808329;0.615566;0.793069;0.625326;0.792715;0.658221;0.816906;0.627103;0.810547;0.626967;0.798672;0.632905;0.79804
0.516506;0.241103;0.440804;0.788524;0.47909;0.756544;0.514273;0.753847;0.543367;0.76711;0.565154;0.780915;0.527673;0.79015;0.56768;0.801318;0.573222;0.7862;0.568881;0.773516;0.518983;0.81722;0.559881;0.824071;0.562574;0.805574;0.556293;0.791031;0.507242;0.836848;0.541578;0.838135;0.545108;0.819951;0.539583;0.808812;0.49437;0.852583;0.51911;0.849747;0.523074;0.832895;0.519982;0.823546;0.711628;0.773138;0.686699;0.742845;0.654187;0.739299;0.62963;0.749302;0.617883;0.754951;0.65599;0.766793;0.610707;0.761424;0.618788;0.750131;0.63118;0.748792;0.659189;0.78684;0.611857;0.777624;0.618225;0.764292;0.630735;0.764421;0.66232;0.799305;0.621456;0.792001;0.625625;0.777338;0.636108;0.774572;0.665506;0.808189;0.633903;0.803728;0.634674;0.788745;0.641748;0.784772
0.515114;0.243579;0.435342;0.761497;0.477455;0.729586;0.514449;0.730132;0.544686;0.742585;0.56668;0.751464;0.530832;0.762964;0.568632;0.765583;0.569631;0.753562;0.56274;0.744094;0.521294;0.784302;0.560488;0.788389;0.558954;0.773161;0.550353;0.760053;0.508987;0.800199;0.54244;0.801669;0.543992;0.785091;0.538137;0.7741;0.495333;0.812314;0.516967;0.809597;0.521131;0.794103;0.51929;0.786654;0.726685;0.737449;0.703615;0.769928;0.671918;0.779021;0.647324;0.772102;0.641036;0.754767;0.67378;0.789586;0.626911;0.773758;0.63126;0.758786;0.638622;0.75601;0.674281;0.767015;0.624796;0.748347;0.631346;0.737498;0.640805;0.737607;0.675157;0.739951;0.629699;0.729052;0.635167;0.722504;0.645324;0.722737;0.676801;0.713973;0.641618;0.713356;0.640354;0.710422;0.643793;0.711468
0.51474;0.243518;0.43179;0.737624;0.480263;0.702712;0.515479;0.698588;0.544234;0.704245;0.563469;0.709361;0.537803;0.729053;0.569987;0.721292;0.568512;0.708126;0.560224;0.699365;0.528342;0.748742;0.562455;0.742579;0.555896;0.728968;0.543346;0.71691;0.516017;0.764094;0.545712;0.755243;0.541673;0.740041;0.530728;0.73089;0.501138;0.775372;0.520696;0.76592;0.520866;0.752425;0.515293;0.746109;0.727254;0.692922;0.718943;0.737684;0.698281;0.760878;0.685248;0.769544;0.681514;0.767663;0.67786;0.758668;0.633736;0.749789;0.640061;0.738376;0.647984;0.735874;0.672312;0.735734;0.627354;0.728738;0.636781;0.718798;0.645836;0.717785;0.668913;0.711707;0.630388;0.710991;0.63937;0.703098;0.64767;0.700541;0.669216;0.690932;0.64012;0.694115;0.642695;0.689255;0.647325;0.687791
0.512239;0.239681;0.428598;0.735097;0.468908;0.685399;0.504754;0.670484;0.535479;0.6701;0.556247;0.675875;0.5432;0.693461;0.558269;0.675329;0.551901;0.670019;0.544016;0.669951;0.542849;0.713893;0.559528;0.690149;0.552408;0.681917;0.542207;0.678954;0.537254;0.730459;0.557656;0.706251;0.549552;0.694221;0.538214;0.691234;0.527673;0.744712;0.541542;0.721621;0.5388;0.710247;0.534178;0.707868;0.731674;0.680127;0.724817;0.722856;0.705962;0.744248;0.695013;0.755263;0.692035;0.757671;0.673631;0.734456;0.63636;0.721401;0.635294;0.710201;0.638883;0.704862;0.669388;0.713469;0.630148;0.701875;0.629465;0.691008;0.632672;0.686284;0.670107;0.690265;0.634639;0.685222;0.634511;0.675346;0.63697;0.668516;0.674191;0.66823;0.645842;0.665062;0.640112;0.660675;0.63825;0.658331
0.513966;0.241128;0.427446;0.722655;0.476873;0.665185;0.512287;0.648553;0.538933;0.642236;0.558112;0.637115;0.535281;0.663851;0.550855;0.64451;0.545323;0.630669;0.537347;0.627259;0.530132;0.680513;0.551128;0.65866;0.54445;0.645496;0.534079;0.64129;0.521743;0.693016;0.545219;0.672123;0.539502;0.659676;0.528653;0.657282;0.510589;0.705067;0.526209;0.688611;0.527368;0.676985;0.52331;0.672805;0.732653;0.683045;0.718981;0.712461;0.696281;0.720538;0.681105;0.720458;0.672873;0.716799;0.670548;0.724707;0.632144;0.707923;0.62933;0.696565;0.63253;0.691554;0.665781;0.707814;0.624279;0.693591;0.621757;0.683573;0.62668;0.68018;0.665385;0.686627;0.625496;0.677375;0.623505;0.667071;0.62716;0.662265;0.66803;0.663807;0.634779;0.658322;0.627536;0.651438;0.626718;0.647986
0.516356;0.240396;0.430048;0.702143;0.47326;0.648961;0.508239;0.631296;0.535469;0.62215;0.557905;0.612019;0.524846;0.640669;0.547382;0.627746;0.540594;0.621042;0.530981;0.621745;0.519364;0.656744;0.546402;0.642889;0.540723;0.635537;0.529874;0.635522;0.513066;0.670237;0.539983;0.656433;0.534711;0.648554;0.523148;0.647777;0.504554;0.682539;0.524563;0.669623;0.524068;0.661404;0.518185;0.660172;0.73472;0.690665;0.716776;0.650395;0.694252;0.634105;0.673301;0.626151;0.662124;0.624959;0.666118;0.653756;0.625182;0.643177;0.624237;0.637379;0.629726;0.636629;0.662173;0.679733;0.618183;0.662888;0.618375;0.65361;0.626814;0.651798;0.663009;0.699768;0.622696;0.684592;0.621743;0.672503;0.629011;0.666048;0.666337;0.713918;0.633593;0.70599;0.627981;0.694199;0.63088;0.683793
