face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.460869;0.148722;0.654544;0.887538;0.625155;0.901657;0.612374;0.929714;0.60925;0.957513;0.608051;0.982421;0.617689;0.97355;0.613096;1.01273;0.613889;1.01495;0.616305;1.00603;0.635574;0.978581;0.628858;1.0201;0.628305;1.0208;0.631275;1.01298;0.651202;0.976882;0.64521;1.01302;0.643904;1.01668;0.645488;1.01215;0.665548;0.970524;0.66167;0.997709;0.658433;1.00378;0.657666;1.00323;0.361584;0.871189;0.388326;0.890583;0.400343;0.908984;0.403978;0.928216;0.403878;0.940827;0.39108;0.942132;0.392111;0.968091;0.394063;0.963591;0.397466;0.953414;0.375474;0.945296;0.375029;0.967593;0.37595;0.961806;0.379379;0.952121;0.360707;0.942445;0.36039;0.959911;0.362454;0.953637;0.366044;0.944408;0.346248;0.935027;0.345569;0.949411;0.347899;0.944313;0.349899;0.934442
0.460564;0.146525;0.656076;0.886112;0.625959;0.904141;0.613999;0.932624;0.610583;0.960393;0.607638;0.986009;0.621499;0.972635;0.616565;1.0127;0.61442;1.01668;0.615082;1.00879;0.638024;0.976225;0.630133;1.0184;0.62696;1.01858;0.628641;1.01137;0.652606;0.973396;0.645897;1.01065;0.642888;1.01372;0.643546;1.00853;0.665671;0.96658;0.661539;0.994708;0.65746;1.00098;0.656414;0.999937
0.459938;0.145426;0.652805;0.902995;0.623069;0.915621;0.612047;0.942853;0.609965;0.970506;0.608493;0.9936;0.618406;0.986498;0.616649;1.02688;0.618504;1.02171;0.62102;1.00733;0.636103;0.990671;0.632814;1.03012;0.63308;1.02253;0.635332;1.00955;0.652145;0.986981;0.648521;1.02334;0.648066;1.01855;0.649675;1.00725;0.666708;0.977072;0.665194;1.00507;0.66242;1.00629;0.661544;0.998958;0.399842;0.718378;0.427749;0.705151;0.452218;0.716592;0.465149;0.730699;0.469318;0.744765;0.461292;0.748766;0.477121;0.766106;0.468479;0.756311;0.45764;0.745893;0.445442;0.762566;0.457736;0.777223;0.449653;0.76334;0.441923;0.753195;0.425568;0.769295;0.43382;0.781283;0.429251;0.767043;0.425447;0.757389;0.405972;0.770554;0.41079;0.776199;0.407995;0.765923;0.405357;0.759338
0.462078;0.144897;0.657885;0.89425;0.630384;0.910118;0.619358;0.93696;0.616942;0.963757;0.614;0.985578;0.619818;0.980763;0.61719;1.01875;0.62178;1.01249;0.626203;0.997936;0.637022;0.98505;0.633371;1.02436;0.635674;1.01587;0.639197;1.00329;0.652438;0.982833;0.648255;1.02;0.649651;1.01402;0.652718;1.00296;0.666178;0.97584;0.663028;1.00555;0.66191;1.00582;0.663304;1.00011
0.457565;0.144043;0.65183;0.901658;0.626801;0.919032;0.617922;0.946984;0.616914;0.972884;0.617744;0.993285;0.614655;0.985064;0.617177;1.02254;0.621636;1.01573;0.623406;1.00243;0.632314;0.98825;0.632349;1.0242;0.635238;1.01505;0.637433;1.00236;0.649173;0.985123;0.647883;1.01961;0.649462;1.01174;0.65101;0.999308;0.664492;0.977855;0.662338;1.00551;0.661459;1.00291;0.661715;0.994509;0.444995;0.576458;0.444946;0.606571;0.449539;0.625708;0.44845;0.624214;0.443175;0.617536;0.497202;0.601984;0.494978;0.609921;0.471897;0.614692;0.455769;0.61877;0.497178;0.576123;0.47942;0.580966;0.455611;0.589114;0.445193;0.596116;0.487252;0.556147;0.460517;0.5614;0.441633;0.568624;0.436443;0.574096;0.474478;0.540286;0.456549;0.543461;0.440465;0.550553;0.434893;0.555742
0.458771;0.140381;0.656325;0.895594;0.63018;0.914539;0.619978;0.943215;0.618303;0.968303;0.617717;0.985292;0.620805;0.980909;0.618616;1.01289;0.620999;1.00006;0.623751;0.98607;0.635702;0.984092;0.632343;1.01559;0.633348;1.00232;0.635944;0.990703;0.648978;0.980227;0.645799;1.0118;0.646725;1.001;0.648633;0.98916;0.66078;0.971875;0.65923;0.999185;0.658726;0.993914;0.659387;0.985111;0.438512;0.568324;0.455547;0.566917;0.468879;0.56731;0.480159;0.571466;0.488214;0.573577;0.4848;0.568243;0.500322;0.572058;0.499734;0.574366;0.494474;0.574684;0.482071;0.573525;0.496757;0.578547;0.494864;0.580124;0.490651;0.578232;0.476761;0.577696;0.486743;0.58064;0.484463;0.579098;0.480427;0.576203;0.470024;0.580477;0.478275;0.582636;0.47767;0.581089;0.474574;0.579179
0.457728;0.140464;0.657123;0.887073;0.626703;0.902539;0.613745;0.932385;0.611836;0.962662;0.610539;0.984409;0.622622;0.967375;0.615611;1.00269;0.614169;0.990241;0.615904;0.975083;0.640612;0.973577;0.631564;1.0055;0.628472;0.992849;0.6299;0.979758;0.655997;0.972321;0.647757;1.00291;0.644862;0.993448;0.645467;0.981553;0.669086;0.965936;0.663144;0.993246;0.660261;0.987736;0.660586;0.977596;0.434771;0.567113;0.451597;0.574514;0.46858;0.575529;0.48209;0.574662;0.492014;0.574655;0.473778;0.568916;0.490205;0.564736;0.497428;0.562723;0.502855;0.558977;0.4703;0.565633;0.484945;0.560485;0.491798;0.556818;0.497086;0.554711;0.464503;0.56378;0.476111;0.560362;0.48092;0.555825;0.483696;0.553726;0.457252;0.562779;0.465296;0.562344;0.468917;0.558477;0.47059;0.556209
0.463194;0.141894;0.657562;0.883582;0.626393;0.900272;0.614939;0.928848;0.613046;0.957727;0.611146;0.980125;0.625565;0.964378;0.617862;0.998647;0.614355;0.993609;0.614636;0.982452;0.643331;0.969587;0.632067;1.00257;0.627008;0.996346;0.62799;0.986385;0.658497;0.968073;0.649654;0.999352;0.644895;0.995372;0.644114;0.986662;0.671142;0.96131;0.665101;0.989007;0.66037;0.987679;0.658633;0.980197
0.456528;0.140747;0.443823;0.504992;0.460491;0.527873;0.48188;0.534482;0.499424;0.525884;0.510381;0.51121;0.492729;0.49299;0.51305;0.496687;0.502437;0.509906;0.488615;0.513871;0.487925;0.477179;0.505899;0.480371;0.495454;0.49531;0.483404;0.500314;0.481351;0.462463;0.496341;0.465544;0.487765;0.480453;0.478226;0.486487;0.473057;0.448669;0.487756;0.449285;0.483277;0.46278;0.47472;0.47144;0.652776;0.901321;0.624096;0.916647;0.614527;0.944437;0.612963;0.970309;0.612253;0.992655;0.621924;0.980565;0.61978;1.02234;0.619541;1.01999;0.621231;1.00758;0.639119;0.98311;0.63546;1.02608;0.634265;1.02081;0.635929;1.00859;0.654276;0.978693;0.650835;1.01835;0.649196;1.01634;0.650032;1.00609;0.667277;0.969897;0.666351;1.00034;0.662874;1.00497;0.661596;1.00031
0.451146;0.151154;0.436389;0.499514;0.456738;0.52212;0.48131;0.526304;0.498164;0.516929;0.510056;0.504298;0.488951;0.491958;0.507774;0.492335;0.497201;0.505915;0.486046;0.510439;0.485769;0.476794;0.503839;0.482462;0.490911;0.496376;0.480527;0.496434;0.480052;0.461345;0.498675;0.46813;0.486387;0.482739;0.475072;0.484379;0.472328;0.446324;0.489775;0.451233;0.482161;0.465407;0.471424;0.470556;0.657631;0.893438;0.627444;0.909439;0.615757;0.937045;0.612733;0.965272;0.611462;0.990832;0.626153;0.978564;0.6213;1.01713;0.619764;1.01244;0.621848;0.998437;0.643026;0.980981;0.636489;1.02098;0.633868;1.0149;0.636041;1.00402;0.657809;0.976825;0.6528;1.01376;0.650132;1.01102;0.651039;1.00282;0.671028;0.967578;0.668457;0.996868;0.6648;0.998872;0.663855;0.993909
