face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.434384;0.205507;0.561654;0.966873;0.531462;0.971416;0.512453;0.989325;0.505129;1.01079;0.504819;1.03079;0.51875;0.995497;0.513898;1.0448;0.512096;1.07845;0.512042;1.10728;0.538805;1.00177;0.532604;1.05291;0.531282;1.08139;0.530908;1.10579;0.556863;1.00819;0.549545;1.04448;0.545356;1.03684;0.544799;1.02772;0.57099;1.01407;0.561976;1.04177;0.556792;1.0388;0.553986;1.03274
0.435331;0.205999;0.555033;0.937453;0.523098;0.938468;0.5049;0.958006;0.495633;0.980018;0.49208;0.996575;0.513736;0.992772;0.507359;1.03862;0.505654;1.07023;0.504698;1.09488;0.531262;0.998326;0.524124;1.04967;0.521428;1.08412;0.519059;1.11223;0.547171;0.997605;0.538924;1.04239;0.535698;1.07558;0.533857;1.1012;0.560813;0.991998;0.555138;1.02168;0.55157;1.04736;0.549285;1.07023;0.39186;0.936218;0.425071;0.939992;0.444024;0.965234;0.453972;0.991757;0.461527;1.01438;0.436108;0.995142;0.447056;1.04093;0.452168;1.06861;0.455861;1.08974;0.423863;1.00229;0.436146;1.04952;0.441975;1.08032;0.446265;1.10509;0.412698;1.00567;0.426431;1.04573;0.433525;1.06897;0.437682;1.08506;0.404033;1.00652;0.415766;1.03608;0.424336;1.05201;0.429238;1.06305
0.431938;0.204628;0.538729;0.947548;0.514787;0.940019;0.50199;0.946593;0.502481;0.954545;0.505221;0.959149;0.511036;0.967292;0.500051;0.986769;0.503208;0.975895;0.508648;0.962549;0.526069;0.971377;0.521374;0.997834;0.525166;0.982509;0.528057;0.96915;0.54133;0.972614;0.538911;0.999149;0.544028;0.986356;0.547569;0.971765;0.556183;0.973162;0.560835;0.996571;0.565765;0.992548;0.568815;0.985066;0.423417;0.933182;0.398143;0.947091;0.387498;0.973875;0.38598;1.00348;0.385881;1.02752;0.410089;0.991433;0.408134;1.04503;0.40919;1.07835;0.412888;1.10563;0.426939;0.989818;0.425942;1.04619;0.425845;1.08519;0.428289;1.11542;0.441285;0.985257;0.442627;1.0356;0.440389;1.07134;0.439546;1.09957;0.453862;0.978076;0.455337;1.01688;0.453111;1.04084;0.451433;1.0599
0.432882;0.204752;0.383307;0.828645;0.411383;0.844241;0.435356;0.837938;0.449627;0.8229;0.452729;0.812436;0.452603;0.797889;0.468429;0.787478;0.459073;0.792274;0.449834;0.797708;0.444302;0.777691;0.455943;0.768775;0.445988;0.77694;0.438447;0.784456;0.430333;0.765007;0.435642;0.760243;0.428485;0.767093;0.422873;0.775739;0.412581;0.757673;0.419177;0.753301;0.414625;0.762209;0.409203;0.773561
0.435555;0.204926;0.399348;0.748076;0.43076;0.742437;0.44671;0.711295;0.455081;0.678395;0.457793;0.65256;0.422408;0.692916;0.431944;0.650448;0.444841;0.630101;0.456803;0.619397;0.408542;0.684911;0.422429;0.64259;0.439399;0.62426;0.454133;0.616712;0.399031;0.681005;0.411216;0.642256;0.428324;0.627253;0.443399;0.623218;0.393195;0.679641;0.404346;0.648723;0.417776;0.635724;0.430535;0.632076;0.535395;0.777886;0.508523;0.756205;0.496841;0.721427;0.495814;0.691696;0.492974;0.666418;0.508613;0.707063;0.507062;0.668433;0.502767;0.641972;0.497533;0.618489;0.521632;0.704622;0.518648;0.666046;0.512349;0.637309;0.505712;0.611879;0.533742;0.706727;0.530484;0.66913;0.524653;0.642327;0.51853;0.618572;0.546043;0.713922;0.542186;0.682876;0.536949;0.661026;0.531452;0.640236
0.438064;0.205858;0.403928;0.73772;0.435571;0.72025;0.451458;0.6882;0.458777;0.657574;0.463091;0.632008;0.428541;0.670569;0.4333;0.632244;0.442671;0.610361;0.452519;0.596174;0.414812;0.667419;0.421596;0.62919;0.434889;0.605516;0.446885;0.591947;0.403404;0.668118;0.40992;0.630255;0.423647;0.608487;0.435736;0.596626;0.394408;0.670861;0.399696;0.640415;0.408974;0.621866;0.418522;0.611007;0.536743;0.768688;0.505425;0.743715;0.492121;0.708561;0.490223;0.679307;0.490202;0.657903;0.500287;0.704857;0.500858;0.664979;0.498987;0.635863;0.495669;0.610511;0.515309;0.700092;0.515292;0.659469;0.511196;0.627359;0.505771;0.599846;0.528806;0.696622;0.52721;0.655418;0.524095;0.623326;0.5203;0.595058;0.541352;0.696265;0.538274;0.663449;0.534836;0.638397;0.531106;0.614127
0.438615;0.206142;0.409978;0.727856;0.437538;0.704618;0.451148;0.671924;0.457294;0.643019;0.461674;0.617042;0.426555;0.650337;0.428399;0.616179;0.434507;0.596037;0.443583;0.580685;0.414233;0.649906;0.418027;0.614555;0.427575;0.591436;0.438725;0.574144;0.403647;0.653974;0.406222;0.618492;0.416609;0.595734;0.428549;0.5796;0.394065;0.662041;0.396709;0.633645;0.403119;0.612965;0.411978;0.596082;0.535109;0.755929;0.50592;0.730217;0.493409;0.696988;0.490408;0.671297;0.4914;0.651733;0.496096;0.686876;0.49576;0.650708;0.494295;0.622566;0.492219;0.596808;0.507067;0.685505;0.507948;0.646625;0.505468;0.616346;0.501786;0.589116;0.518699;0.685904;0.520068;0.645737;0.519691;0.614926;0.518684;0.587771;0.530814;0.688554;0.531973;0.657217;0.532129;0.631627;0.531841;0.60613
0.438723;0.204286;0.40792;0.716542;0.436932;0.688801;0.450353;0.655113;0.457426;0.625167;0.463784;0.598348;0.427006;0.635154;0.428207;0.600432;0.432259;0.58059;0.438307;0.564578;0.413808;0.63582;0.416364;0.601828;0.423173;0.578351;0.430412;0.56072;0.402513;0.641122;0.404393;0.607465;0.412632;0.583473;0.420947;0.566118;0.393155;0.649781;0.394967;0.622236;0.401265;0.601414;0.408624;0.585398;0.53393;0.741938;0.507187;0.718401;0.494964;0.687716;0.493814;0.661344;0.494978;0.642225;0.492912;0.678231;0.49361;0.639995;0.495379;0.609509;0.495396;0.582573;0.503429;0.681146;0.505804;0.635198;0.507059;0.601493;0.50647;0.572796;0.515297;0.68336;0.517869;0.637784;0.520548;0.604766;0.522284;0.577086;0.528635;0.685045;0.529442;0.650698;0.53017;0.62338;0.530263;0.597599
0.437138;0.207778;0.406071;0.704542;0.433649;0.661768;0.441802;0.623834;0.447628;0.593652;0.450248;0.566516;0.416708;0.612543;0.413636;0.584149;0.415427;0.560637;0.419722;0.541746;0.406133;0.620139;0.401132;0.588358;0.403478;0.560704;0.408369;0.538291;0.397413;0.629795;0.392977;0.598812;0.395348;0.569725;0.400054;0.548498;0.392525;0.64263;0.388668;0.616758;0.389424;0.592141;0.391764;0.571311;0.537764;0.724256;0.514215;0.704584;0.500946;0.678558;0.496803;0.656371;0.49179;0.639081;0.493751;0.669283;0.490561;0.638982;0.492284;0.616028;0.493498;0.598209;0.501763;0.672856;0.500459;0.634143;0.50278;0.609615;0.504738;0.590913;0.512601;0.67578;0.512349;0.638896;0.515053;0.615341;0.518214;0.597679;0.526137;0.678889;0.528366;0.648213;0.530834;0.627162;0.533951;0.608816
0.435535;0.207054;0.399677;0.69605;0.424683;0.650526;0.432808;0.609877;0.437723;0.578945;0.43909;0.552849;0.410473;0.60574;0.404024;0.570977;0.403217;0.544549;0.40608;0.523547;0.40024;0.613342;0.391127;0.575216;0.390631;0.543545;0.393942;0.517548;0.391155;0.622561;0.383657;0.58538;0.383902;0.553501;0.387013;0.52994;0.385671;0.633426;0.378776;0.603226;0.377224;0.577531;0.377817;0.556766;0.535931;0.712441;0.512266;0.696579;0.501259;0.674946;0.497587;0.656834;0.491149;0.642838;0.501197;0.66814;0.495674;0.638208;0.495835;0.616651;0.495741;0.598283;0.510036;0.672897;0.506059;0.637892;0.505902;0.613127;0.505307;0.592521;0.520867;0.677481;0.518955;0.645218;0.518805;0.622382;0.519132;0.604219;0.53247;0.680999;0.533015;0.655067;0.532308;0.637037;0.531707;0.62163
