face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.509329;0.253867;0.46394;0.97029;0.492073;0.94975;0.520104;0.957243;0.540832;0.968368;0.560011;0.977926;0.524653;1.0054;0.547971;1.01635;0.556867;1.01321;0.560302;1.01203;0.519046;1.01399;0.542013;1.02823;0.551498;1.02774;0.554904;1.02936;0.512803;1.01563;0.533482;1.02622;0.541525;1.02557;0.543593;1.02591;0.50691;1.01309;0.522894;1.02311;0.529181;1.02328;0.530786;1.02302
0.510146;0.254332;0.442397;0.934341;0.473549;0.909739;0.505561;0.910056;0.529799;0.921709;0.548582;0.93623;0.511432;0.964937;0.544838;0.981244;0.56142;0.97544;0.572893;0.967381;0.504296;0.980585;0.53787;0.992288;0.55293;0.985947;0.560407;0.979763;0.496927;0.986285;0.525127;0.99565;0.542368;0.990326;0.551616;0.983263;0.489329;0.986826;0.509602;0.995118;0.524955;0.990838;0.535664;0.983804;0.633579;0.962677;0.608115;0.971378;0.58975;0.990528;0.583001;1.01168;0.581225;1.02941;0.583688;1.00185;0.583713;1.04866;0.584786;1.07615;0.584941;1.10048;0.598423;1.00415;0.60305;1.04863;0.608247;1.06832;0.610621;1.08365;0.61453;1.00501;0.6187;1.04294;0.623424;1.04333;0.626004;1.03984;0.629437;1.00596;0.629235;1.0359;0.630815;1.03876;0.632414;1.03764
0.510553;0.252581;0.434164;0.893027;0.464305;0.868689;0.494389;0.875865;0.514836;0.892315;0.529407;0.905003;0.500382;0.919665;0.539441;0.926849;0.559449;0.928718;0.575624;0.931997;0.49261;0.943974;0.534914;0.949728;0.55411;0.948406;0.569252;0.947784;0.481789;0.958912;0.514302;0.956549;0.521722;0.939997;0.525316;0.928429;0.471756;0.967986;0.495167;0.959658;0.49806;0.944025;0.496702;0.933393
0.511344;0.250023;0.441076;0.890875;0.456975;0.920106;0.476332;0.930457;0.487514;0.935963;0.496224;0.944664;0.49881;0.932201;0.527217;0.935449;0.541656;0.937315;0.553625;0.940419;0.499748;0.927798;0.528481;0.932513;0.54244;0.935932;0.555397;0.943955;0.494672;0.920456;0.519518;0.925557;0.531571;0.926263;0.543591;0.930943;0.486721;0.910692;0.502006;0.91293;0.512339;0.912953;0.522138;0.916527;0.66982;0.840144;0.638953;0.82326;0.612062;0.837117;0.595051;0.864395;0.588503;0.890555;0.623864;0.861095;0.598;0.902985;0.582812;0.927915;0.572919;0.94935;0.637228;0.884875;0.607256;0.93187;0.588777;0.96015;0.576743;0.982959;0.649196;0.903392;0.617703;0.937629;0.597774;0.941426;0.588673;0.940382;0.658054;0.915427;0.630646;0.937715;0.615209;0.936288;0.608232;0.930491
0.511854;0.250176;0.662094;0.822917;0.641127;0.84956;0.619467;0.878107;0.603015;0.904411;0.590412;0.918546;0.630669;0.864168;0.607535;0.888388;0.591732;0.901295;0.579312;0.912548;0.636291;0.859564;0.610079;0.882889;0.593085;0.897696;0.581233;0.911007;0.640621;0.851382;0.612489;0.872617;0.597871;0.884952;0.588526;0.894133;0.643274;0.84244;0.619867;0.857778;0.606542;0.866264;0.5987;0.873299
0.512367;0.252353;0.423914;0.707555;0.444425;0.661181;0.470477;0.647186;0.493833;0.647102;0.514545;0.652969;0.478215;0.655798;0.503608;0.645862;0.514836;0.646903;0.520947;0.647321;0.480362;0.682144;0.505272;0.691399;0.516187;0.702811;0.526179;0.707769;0.477185;0.706351;0.486027;0.709866;0.479254;0.705029;0.474201;0.700387;0.472136;0.726077;0.479064;0.720377;0.471975;0.713727;0.468025;0.708435;0.655832;0.774911;0.625005;0.758566;0.599584;0.771741;0.582965;0.798936;0.576369;0.823898;0.609838;0.779326;0.586286;0.802559;0.576166;0.816361;0.56975;0.828728;0.623699;0.798222;0.598608;0.829292;0.589544;0.846182;0.584123;0.858626;0.636996;0.813947;0.615859;0.825194;0.615349;0.814006;0.617157;0.80711;0.648945;0.825157;0.630417;0.830535;0.629092;0.820619;0.632502;0.812243
0.512618;0.255678;0.418725;0.693465;0.427487;0.654719;0.451757;0.636452;0.476174;0.633274;0.495147;0.636434;0.45693;0.637615;0.481869;0.616025;0.501468;0.604676;0.520166;0.597525;0.464633;0.662359;0.499262;0.651306;0.525571;0.646589;0.547211;0.645308;0.468721;0.688155;0.498998;0.67921;0.490566;0.672091;0.479504;0.669572;0.468648;0.712607;0.4898;0.699937;0.482536;0.692386;0.473388;0.690912;0.656064;0.759749;0.633002;0.740309;0.6103;0.74929;0.593526;0.771225;0.589302;0.789576;0.615197;0.740925;0.589849;0.749392;0.574139;0.754056;0.562039;0.758788;0.626025;0.767439;0.597764;0.792443;0.580539;0.808396;0.567782;0.822357;0.635772;0.78948;0.608988;0.805356;0.602579;0.795042;0.601649;0.785797;0.644585;0.805705;0.623575;0.81255;0.618328;0.804124;0.618961;0.796711
0.512464;0.258471;0.424248;0.679029;0.434364;0.64096;0.453001;0.623792;0.472513;0.618405;0.487728;0.618253;0.462212;0.614446;0.487035;0.595019;0.504709;0.581916;0.520697;0.570526;0.469352;0.635737;0.50151;0.627749;0.521906;0.622189;0.537586;0.6185;0.472747;0.659718;0.502918;0.654764;0.499347;0.651764;0.492422;0.649577;0.473137;0.684212;0.495077;0.675613;0.491201;0.67146;0.484504;0.669983
0.513896;0.256713;0.452712;0.640655;0.457638;0.610585;0.473186;0.595382;0.489126;0.590851;0.501794;0.59527;0.481704;0.593485;0.502708;0.571796;0.51702;0.560338;0.528603;0.551579;0.486616;0.613151;0.520495;0.607258;0.541863;0.60417;0.55765;0.603424;0.488241;0.636381;0.518694;0.633684;0.526224;0.630519;0.529671;0.628286;0.487272;0.658486;0.507878;0.654969;0.511422;0.651344;0.511432;0.647519;0.643774;0.696844;0.621567;0.664174;0.59378;0.659078;0.566541;0.665198;0.548271;0.681446;0.598587;0.667009;0.570683;0.665703;0.559159;0.667885;0.550586;0.673524;0.602915;0.690452;0.572631;0.694089;0.559942;0.703145;0.553116;0.712842;0.607558;0.711167;0.587763;0.707476;0.592302;0.697417;0.598818;0.691232;0.611933;0.72802;0.59448;0.720809;0.598095;0.713716;0.605482;0.710852
0.513454;0.252091;0.456207;0.642407;0.464025;0.612685;0.480461;0.598598;0.495572;0.593693;0.507527;0.596793;0.488773;0.594184;0.509223;0.575785;0.524588;0.564399;0.53827;0.555665;0.492637;0.611694;0.521923;0.607617;0.541548;0.606007;0.555746;0.606708;0.493609;0.634831;0.520879;0.636705;0.531456;0.638911;0.537675;0.640186;0.492233;0.657801;0.509362;0.657983;0.511985;0.658038;0.512065;0.656242;0.649465;0.691013;0.626108;0.661938;0.597569;0.657733;0.577031;0.667693;0.562542;0.675402;0.600339;0.649801;0.573382;0.650662;0.556008;0.654996;0.541901;0.660641;0.606044;0.671129;0.573243;0.684819;0.552596;0.697742;0.537767;0.709757;0.611748;0.692882;0.577879;0.707292;0.58386;0.698373;0.594198;0.689412;0.617312;0.712801;0.588423;0.720355;0.592978;0.712147;0.601486;0.703933
