face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.451955;0.186881;0.425584;0.974086;0.442007;1.00022;0.460995;1.01249;0.474259;1.02032;0.486543;1.0275;0.480699;1.0136;0.502599;1.01694;0.502469;1.01894;0.498536;1.02124;0.479954;1.00668;0.503735;1.01285;0.502616;1.01376;0.497897;1.01349;0.477052;0.998795;0.501474;1.00518;0.499739;1.00344;0.494064;1.00229;0.471411;0.988133;0.48877;0.993133;0.493141;0.991892;0.494536;0.990065
0.451601;0.187035;0.429545;0.946369;0.453427;0.9345;0.481778;0.944309;0.503231;0.959948;0.525482;0.972426;0.47963;0.994062;0.489615;1.02722;0.495841;1.05385;0.499964;1.07387;0.471187;1.00101;0.483787;1.03497;0.491334;1.05335;0.495583;1.06705;0.464331;1.00107;0.481835;1.01968;0.488864;1.01684;0.491306;1.01188;0.458515;0.997224;0.474814;1.00866;0.481651;1.00186;0.484876;0.993872
0.453666;0.189201;0.606897;0.927139;0.58281;0.928709;0.565594;0.94749;0.554948;0.970862;0.552981;0.991172;0.567804;0.99401;0.558315;1.02039;0.554746;1.03102;0.552642;1.03984;0.576098;0.998825;0.568517;1.0265;0.565758;1.04344;0.561878;1.0583;0.583615;0.998134;0.574119;1.01679;0.569952;1.02494;0.566654;1.02983;0.590216;0.995485;0.581816;1.0096;0.578977;1.0165;0.579025;1.02172;0.40609;0.862566;0.441899;0.838149;0.474154;0.853602;0.496108;0.878552;0.513269;0.905356;0.462194;0.92212;0.505112;0.935622;0.503416;0.903822;0.491558;0.887653;0.452192;0.938364;0.498634;0.938564;0.494111;0.906869;0.477438;0.893641;0.444828;0.945457;0.487798;0.942015;0.484705;0.914809;0.470006;0.903996;0.439391;0.94735;0.473654;0.943086;0.475484;0.921353;0.466154;0.909692
0.453715;0.188895;0.600008;0.949412;0.579035;0.948931;0.561086;0.953656;0.553023;0.953247;0.544874;0.949815;0.571106;0.985618;0.555393;0.980042;0.551;0.96608;0.550094;0.954261;0.582807;0.987225;0.566119;0.969183;0.559015;0.947897;0.553103;0.936173;0.593393;0.981811;0.577508;0.961444;0.57071;0.940871;0.566232;0.929916;0.60264;0.975111;0.590632;0.959319;0.583392;0.944073;0.578415;0.934854;0.417931;0.837299;0.449005;0.821684;0.46942;0.828243;0.483129;0.843096;0.491253;0.856808;0.459453;0.8807;0.477473;0.90976;0.480823;0.902155;0.479397;0.890809;0.446215;0.896203;0.465037;0.921605;0.465066;0.911187;0.462824;0.900232;0.434338;0.903067;0.450605;0.92257;0.451904;0.911426;0.451138;0.901641;0.425199;0.905235;0.438054;0.918746;0.440969;0.911189;0.44154;0.903087
0.452619;0.188839;0.606307;0.801984;0.588296;0.806812;0.564996;0.797761;0.551458;0.791235;0.545285;0.789541;0.543769;0.785061;0.523567;0.777926;0.533427;0.782004;0.544429;0.784215;0.549254;0.783599;0.529999;0.776483;0.542916;0.7824;0.553678;0.785687;0.560968;0.784176;0.547867;0.779282;0.559442;0.785155;0.566522;0.786792;0.575664;0.787174;0.563148;0.785079;0.571579;0.788627;0.578827;0.788971
0.453692;0.188071;0.321373;0.712523;0.345365;0.684714;0.347519;0.654201;0.340362;0.624918;0.332081;0.609304;0.340221;0.654251;0.339981;0.621152;0.334785;0.611546;0.329869;0.60882;0.319351;0.652849;0.321359;0.614365;0.31719;0.608509;0.311757;0.611555;0.301244;0.651389;0.300175;0.615403;0.297699;0.608651;0.295037;0.611143;0.286498;0.650364;0.280319;0.622442;0.277099;0.611173;0.274738;0.608516
0.454507;0.186594;0.579777;0.635398;0.563531;0.605019;0.538795;0.579819;0.514336;0.57283;0.494154;0.570957;0.5574;0.567505;0.529822;0.560717;0.512512;0.564079;0.499927;0.571907;0.559458;0.584649;0.527018;0.578553;0.51052;0.587314;0.501373;0.595271;0.558939;0.60678;0.533;0.607809;0.525988;0.612257;0.524128;0.615841;0.557188;0.628761;0.539962;0.627702;0.535695;0.627888;0.53509;0.629926;0.337;0.662898;0.32033;0.620201;0.296982;0.589922;0.281326;0.572618;0.273565;0.562424;0.259237;0.625122;0.23223;0.591775;0.239944;0.561999;0.255044;0.549301;0.269513;0.647514;0.263706;0.601184;0.278914;0.587772;0.284265;0.591693;0.288996;0.657478;0.297071;0.604512;0.306287;0.603778;0.300182;0.614864;0.31051;0.657485;0.319673;0.611552;0.324133;0.609832;0.316161;0.618779
0.454849;0.186259;0.585185;0.619856;0.573417;0.589157;0.549648;0.571604;0.52379;0.574324;0.507236;0.581546;0.569017;0.560567;0.534299;0.552284;0.510818;0.551698;0.49384;0.551277;0.568573;0.584996;0.524119;0.582654;0.523844;0.592468;0.531764;0.59452;0.563822;0.612718;0.521268;0.606583;0.522861;0.610162;0.530878;0.610805;0.556746;0.637772;0.522554;0.628271;0.525141;0.627557;0.533863;0.627772;0.336186;0.64835;0.319281;0.600792;0.291755;0.576435;0.270962;0.561164;0.25658;0.556645;0.251938;0.626355;0.227806;0.598275;0.225148;0.572771;0.231677;0.556464;0.257651;0.646648;0.260024;0.590133;0.279716;0.586493;0.283269;0.603464;0.272824;0.654467;0.281945;0.593862;0.299482;0.595468;0.298317;0.614469;0.290593;0.652551;0.302648;0.601785;0.315863;0.60363;0.313737;0.621772
0.454849;0.18241;0.583285;0.618391;0.574693;0.588469;0.556468;0.564942;0.539355;0.550945;0.525203;0.542105;0.56204;0.560274;0.53987;0.547164;0.522258;0.542826;0.509441;0.539017;0.561804;0.577982;0.531811;0.567673;0.515443;0.564265;0.506546;0.561767;0.559341;0.599561;0.527339;0.593774;0.512328;0.590206;0.505296;0.588065;0.555848;0.623158;0.528619;0.616321;0.516628;0.610602;0.510466;0.606324;0.335049;0.64277;0.313905;0.599154;0.285802;0.576014;0.265505;0.560192;0.249267;0.549077;0.244708;0.614653;0.217035;0.587238;0.216094;0.565224;0.222224;0.549294;0.250281;0.633103;0.254805;0.577909;0.277773;0.582775;0.275513;0.60251;0.264977;0.640635;0.275181;0.585281;0.294388;0.591095;0.289636;0.608966;0.282614;0.640564;0.293078;0.596649;0.307128;0.598874;0.303261;0.61376
0.454987;0.183611;0.578077;0.608556;0.569986;0.58064;0.554946;0.559723;0.542041;0.548104;0.532643;0.54211;0.555378;0.557496;0.533887;0.548575;0.516775;0.548276;0.504019;0.547488;0.555794;0.571805;0.528645;0.565151;0.509381;0.564585;0.496105;0.56378;0.555325;0.59151;0.527924;0.585642;0.510085;0.586258;0.498046;0.58607;0.554466;0.61345;0.53174;0.60969;0.519009;0.608392;0.51031;0.607122;0.336268;0.63643;0.308744;0.593244;0.280735;0.5702;0.262697;0.550927;0.247433;0.536293;0.241536;0.612532;0.212062;0.580175;0.211796;0.550909;0.220687;0.530001;0.250035;0.630127;0.252936;0.566996;0.274854;0.570615;0.274723;0.590891;0.266713;0.635232;0.27206;0.571981;0.290801;0.577882;0.288213;0.596978;0.285297;0.63291;0.289191;0.583973;0.303927;0.586837;0.302705;0.602728
