face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.464718;0.263448;0.50273;0.566974;0.505493;0.546197;0.503072;0.525225;0.496734;0.513546;0.492423;0.50307;0.501522;0.506468;0.498176;0.480746;0.493827;0.464395;0.491067;0.451695;0.495188;0.510039;0.487562;0.485902;0.481894;0.474545;0.478001;0.466731;0.489007;0.518847;0.482311;0.504887;0.482104;0.510515;0.484279;0.515577;0.483181;0.531229;0.479333;0.518669;0.480323;0.522979;0.483119;0.528135
0.461708;0.248779;0.578889;0.469415;0.597345;0.454039;0.603935;0.43229;0.607139;0.415174;0.612332;0.402834;0.577192;0.408456;0.567101;0.381359;0.559823;0.367732;0.552251;0.356691;0.564936;0.41378;0.553512;0.385377;0.544607;0.370101;0.535683;0.357528;0.555291;0.424271;0.542313;0.399203;0.533916;0.386335;0.526437;0.376121;0.548158;0.439221;0.535557;0.421725;0.528294;0.411607;0.522181;0.403717
0.451263;0.283681;0.584851;0.480275;0.599657;0.457851;0.604624;0.432394;0.60717;0.414292;0.612685;0.401106;0.574773;0.40681;0.566;0.380675;0.560159;0.368525;0.554045;0.358448;0.562164;0.413395;0.548762;0.389383;0.541065;0.376253;0.534019;0.366269;0.553193;0.42589;0.538771;0.404841;0.530945;0.393035;0.524891;0.384416;0.547748;0.442966;0.534636;0.429265;0.527716;0.420845;0.522805;0.415778;0.405663;0.452116;0.390611;0.432573;0.382928;0.415042;0.378094;0.401762;0.372733;0.387864;0.412574;0.400955;0.42899;0.378501;0.436421;0.370869;0.440981;0.365502;0.421929;0.414542;0.437194;0.404399;0.4388;0.407271;0.437017;0.407754;0.427622;0.432456;0.439128;0.429612;0.437885;0.433327;0.433725;0.433734;0.430256;0.449946;0.437628;0.452735;0.435242;0.455034;0.430701;0.45438
0.453464;0.284381;0.584115;0.487518;0.600329;0.464734;0.60372;0.43792;0.605134;0.418758;0.610605;0.405238;0.572167;0.415142;0.560439;0.388226;0.55363;0.374825;0.547178;0.364257;0.55932;0.423249;0.543392;0.399826;0.535739;0.386533;0.52938;0.377;0.55061;0.43673;0.53454;0.415905;0.526945;0.404421;0.520932;0.396304;0.545961;0.454232;0.53225;0.44162;0.525616;0.433591;0.521053;0.428191;0.410232;0.451851;0.393054;0.437761;0.382454;0.418353;0.377036;0.402916;0.373936;0.388066;0.411124;0.404441;0.425172;0.384093;0.435062;0.373717;0.444798;0.366264;0.423649;0.413473;0.431647;0.408787;0.428764;0.417346;0.426252;0.422978;0.4314;0.427115;0.436158;0.429621;0.429983;0.439354;0.424293;0.445718;0.436279;0.441957;0.439675;0.446506;0.43476;0.453928;0.429465;0.457814
0.4613;0.296183;0.5802;0.495859;0.596963;0.477197;0.599872;0.447317;0.600955;0.426186;0.606895;0.408862;0.568188;0.425897;0.554271;0.400587;0.54699;0.388775;0.542877;0.381277;0.554106;0.436034;0.538824;0.411412;0.533029;0.400141;0.530113;0.39355;0.544625;0.450548;0.530226;0.43166;0.525171;0.422914;0.523076;0.417025;0.539571;0.467163;0.531131;0.456415;0.5295;0.452152;0.529617;0.450991;0.413298;0.454595;0.396733;0.4381;0.388068;0.417617;0.381742;0.401116;0.376351;0.387639;0.413822;0.408157;0.427527;0.391616;0.436256;0.382969;0.443563;0.374169;0.423689;0.419105;0.433815;0.404496;0.439368;0.398902;0.443262;0.392808;0.429952;0.433559;0.436856;0.42983;0.434071;0.432972;0.429499;0.43451;0.433413;0.448855;0.439382;0.45075;0.437425;0.453721;0.433268;0.456343
0.460917;0.299259;0.571579;0.515156;0.589307;0.495933;0.593475;0.468873;0.596297;0.448555;0.602313;0.432785;0.562582;0.449762;0.550473;0.427695;0.541406;0.417251;0.533116;0.41161;0.550326;0.457781;0.533737;0.440331;0.522649;0.432761;0.51349;0.427552;0.542749;0.469677;0.5292;0.458296;0.522071;0.45509;0.516757;0.452591;0.53907;0.48312;0.530459;0.471322;0.525793;0.467323;0.5218;0.465455;0.415446;0.460146;0.397458;0.445421;0.38964;0.422984;0.384585;0.405501;0.377199;0.388601;0.414477;0.416169;0.425877;0.398232;0.431949;0.38848;0.436322;0.380333;0.42483;0.427298;0.436447;0.413159;0.439631;0.407285;0.440384;0.402702;0.431795;0.441601;0.4408;0.43676;0.43442;0.438685;0.42663;0.440929;0.435961;0.457392;0.440762;0.458473;0.435942;0.460906;0.429379;0.463497
0.460213;0.30419;0.560799;0.517609;0.580583;0.501837;0.586806;0.485306;0.591313;0.470369;0.598177;0.458205;0.561577;0.474874;0.55173;0.4577;0.545978;0.451491;0.541608;0.451516;0.550249;0.4791;0.538147;0.461475;0.532731;0.453428;0.528698;0.451513;0.540985;0.483135;0.53047;0.466436;0.524929;0.458468;0.52143;0.454844;0.534052;0.487727;0.527408;0.473451;0.523669;0.46541;0.520675;0.460958;0.411673;0.461039;0.395632;0.444555;0.390381;0.420864;0.387355;0.403976;0.383396;0.389501;0.411565;0.420332;0.425434;0.405693;0.429498;0.396403;0.429775;0.39054;0.42025;0.432966;0.434245;0.42222;0.431011;0.418284;0.424368;0.417504;0.426304;0.447903;0.43793;0.440766;0.430519;0.440112;0.421712;0.441488;0.431078;0.46305;0.439926;0.460143;0.434708;0.460446;0.427535;0.460964
0.45276;0.306969;0.412707;0.471439;0.39735;0.457494;0.392106;0.433097;0.389437;0.413445;0.386591;0.396859;0.410295;0.425279;0.421299;0.408124;0.429461;0.400638;0.437021;0.39604;0.419872;0.434533;0.425877;0.431525;0.421125;0.442412;0.416654;0.450517;0.426577;0.448745;0.429222;0.452794;0.422716;0.462551;0.417997;0.468912;0.43192;0.464877;0.43356;0.470413;0.428612;0.476965;0.425103;0.480327
0.443832;0.305785;0.414648;0.489804;0.400394;0.466634;0.393533;0.439212;0.39064;0.417537;0.387174;0.398227;0.402511;0.43477;0.414299;0.411955;0.421136;0.401328;0.424516;0.395283;0.412376;0.441934;0.427829;0.428523;0.432425;0.429397;0.431214;0.431088;0.422277;0.453616;0.434873;0.446575;0.433954;0.450286;0.429256;0.452223;0.430709;0.466691;0.439173;0.46445;0.436081;0.466924;0.43056;0.467641
0.451656;0.304044;0.401089;0.479884;0.396687;0.455121;0.396843;0.428327;0.397274;0.407019;0.396429;0.390133;0.406141;0.433267;0.427889;0.425121;0.430775;0.424745;0.42781;0.425359;0.41011;0.448601;0.437255;0.445797;0.436512;0.448994;0.429779;0.449665;0.41434;0.46612;0.43855;0.465343;0.435329;0.467631;0.428257;0.468363;0.418909;0.483115;0.437704;0.483611;0.435833;0.483497;0.429668;0.482872;0.567007;0.670862;0.572304;0.640366;0.56585;0.619335;0.555836;0.602852;0.550811;0.585512;0.532122;0.634663;0.508475;0.624506;0.496701;0.622053;0.48832;0.620086;0.526423;0.652496;0.501374;0.642699;0.488587;0.639816;0.479474;0.638494;0.525995;0.669963;0.501874;0.662953;0.490145;0.660148;0.482239;0.658861;0.53018;0.687478;0.511613;0.688092;0.502747;0.685652;0.498418;0.684078
