face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.47732;0.279546;0.421126;0.979171;0.443334;0.944708;0.46981;0.926288;0.488567;0.914189;0.49429;0.912461;0.492077;0.977683;0.527042;0.963025;0.526382;0.936131;0.516171;0.918453;0.480333;0.992163;0.513064;0.971471;0.507311;0.940324;0.495601;0.925594;0.465157;0.999357;0.485347;0.963764;0.476224;0.93729;0.467589;0.932435;0.449417;0.999393;0.463786;0.964212;0.460296;0.941666;0.455094;0.937419;0.622114;0.955799;0.596601;0.966806;0.584694;0.987182;0.579643;1.004;0.578576;1.01731;0.576366;1.00261;0.569387;1.03637;0.572807;1.0568;0.580359;1.06774;0.584522;1.00029;0.579557;1.03993;0.58366;1.06267;0.587293;1.0791;0.594285;0.998289;0.588389;1.03349;0.592305;1.05573;0.596152;1.06965;0.603893;0.995758;0.599595;1.02304;0.599738;1.04142;0.600432;1.05468
0.48051;0.282145;0.339612;0.799833;0.388642;0.783404;0.40726;0.743339;0.413923;0.698894;0.416212;0.664413;0.368887;0.686935;0.386896;0.656192;0.388546;0.66133;0.385616;0.668111;0.347541;0.68139;0.364209;0.647034;0.368368;0.655169;0.368232;0.666678;0.333713;0.682733;0.351239;0.648437;0.353814;0.653018;0.351719;0.662265;0.324871;0.686706;0.338059;0.652525;0.343522;0.646334;0.344469;0.646305
0.48137;0.281522;0.340991;0.774028;0.377608;0.709169;0.388196;0.652033;0.391454;0.607053;0.401183;0.570451;0.345838;0.637151;0.370682;0.612243;0.381954;0.614198;0.386421;0.62146;0.330878;0.658993;0.367244;0.651905;0.374431;0.66094;0.374923;0.670436;0.327072;0.686213;0.364322;0.683485;0.366823;0.695046;0.364765;0.706853;0.328585;0.709758;0.357634;0.705988;0.360109;0.71375;0.359453;0.722119
0.482908;0.282796;0.342845;0.762787;0.357551;0.684976;0.368616;0.629663;0.37176;0.592442;0.373871;0.563201;0.372709;0.637185;0.375626;0.606434;0.381455;0.584887;0.38851;0.568356;0.359865;0.653864;0.364633;0.629861;0.366858;0.616375;0.370607;0.608556;0.348528;0.672949;0.354004;0.64792;0.354633;0.639685;0.355401;0.639597;0.33774;0.691541;0.342484;0.674157;0.340293;0.666159;0.339165;0.664656;0.67625;0.688757;0.692096;0.648397;0.694405;0.613051;0.695668;0.594691;0.698789;0.582238;0.653191;0.593613;0.632817;0.568927;0.629169;0.560171;0.630318;0.560244;0.638422;0.61515;0.636596;0.608277;0.64691;0.613389;0.655052;0.616866;0.630479;0.640568;0.634224;0.639059;0.645349;0.641716;0.654402;0.641581;0.626302;0.665418;0.630181;0.66115;0.640328;0.665869;0.6481;0.667783
0.481715;0.282287;0.692595;0.672618;0.696935;0.63443;0.684342;0.603104;0.667048;0.584558;0.651602;0.575509;0.681803;0.594439;0.657568;0.556156;0.640441;0.530386;0.625909;0.509168;0.666568;0.608497;0.639642;0.574362;0.640304;0.576136;0.648263;0.584359;0.65363;0.624947;0.630942;0.593332;0.635436;0.595698;0.644491;0.605679;0.643669;0.641715;0.628807;0.613942;0.633291;0.614843;0.640727;0.622791
0.481729;0.28328;0.686842;0.60726;0.689244;0.570357;0.677407;0.541989;0.660807;0.527041;0.64886;0.519348;0.668863;0.535701;0.64351;0.509578;0.625403;0.49415;0.610016;0.482716;0.659837;0.552476;0.628992;0.536416;0.635888;0.545416;0.646266;0.552003;0.652314;0.574016;0.626479;0.561228;0.63566;0.567831;0.645185;0.57332;0.646268;0.595812;0.6285;0.58487;0.637195;0.589382;0.645468;0.593484;0.323755;0.61227;0.31537;0.573966;0.323158;0.545791;0.335864;0.530173;0.346239;0.525373;0.344712;0.531568;0.375741;0.499947;0.394213;0.485028;0.408615;0.474635;0.355492;0.550048;0.385378;0.528692;0.377181;0.536705;0.367418;0.542578;0.364263;0.5727;0.38536;0.55617;0.376471;0.562583;0.367047;0.567079;0.370074;0.595791;0.38312;0.583061;0.375306;0.586842;0.3677;0.589283
0.484022;0.279993;0.68453;0.597037;0.683779;0.558892;0.669129;0.530861;0.649011;0.517213;0.633634;0.508028;0.668026;0.530454;0.644881;0.509988;0.626841;0.493813;0.611021;0.478749;0.660155;0.5478;0.626471;0.535142;0.631111;0.542757;0.642612;0.547316;0.653774;0.569416;0.622735;0.557365;0.630773;0.564202;0.64316;0.56882;0.648589;0.592259;0.625986;0.580866;0.633184;0.585922;0.64348;0.589323;0.320202;0.59525;0.318306;0.557722;0.329248;0.533936;0.342465;0.516952;0.352334;0.508981;0.345324;0.52087;0.373236;0.494444;0.394927;0.4801;0.413344;0.470431;0.352644;0.538869;0.388988;0.52755;0.384039;0.536016;0.373182;0.539885;0.35884;0.56163;0.389026;0.552037;0.381855;0.559739;0.369369;0.563523;0.363266;0.58571;0.386245;0.575497;0.37986;0.58043;0.369244;0.584031
0.481739;0.281721;0.682724;0.586089;0.680039;0.548603;0.663432;0.524629;0.643782;0.513744;0.628167;0.505876;0.666809;0.526245;0.645548;0.511804;0.628546;0.499298;0.614111;0.487505;0.659194;0.543706;0.626583;0.534552;0.628872;0.537936;0.638238;0.538587;0.653162;0.565232;0.62111;0.553974;0.627095;0.556871;0.638846;0.558839;0.648902;0.588295;0.624324;0.576633;0.629456;0.57798;0.63949;0.579487;0.320006;0.576665;0.32325;0.543637;0.339962;0.523382;0.358878;0.513918;0.373199;0.510821;0.345037;0.510967;0.373815;0.493002;0.39698;0.48349;0.417021;0.477402;0.347236;0.529347;0.388789;0.526187;0.389771;0.534273;0.383415;0.536589;0.350893;0.552639;0.388536;0.550207;0.383089;0.557195;0.371647;0.5583;0.354628;0.577059;0.383795;0.571147;0.378989;0.574677;0.368995;0.576497
0.481035;0.28094;0.679383;0.580137;0.676336;0.544392;0.658467;0.521177;0.639417;0.512901;0.623723;0.507385;0.664895;0.523088;0.645525;0.510717;0.628077;0.500796;0.613795;0.492522;0.65975;0.542494;0.628909;0.535118;0.622476;0.535524;0.624171;0.534679;0.655078;0.565212;0.62269;0.557325;0.622569;0.557603;0.630701;0.557347;0.651692;0.589174;0.626069;0.581969;0.625337;0.581436;0.630997;0.581693;0.325814;0.562198;0.336051;0.533266;0.355171;0.516254;0.375236;0.511379;0.392684;0.511179;0.350649;0.502176;0.376446;0.488481;0.396835;0.481634;0.414521;0.476363;0.347645;0.519855;0.390138;0.523871;0.400774;0.532786;0.402628;0.536022;0.347178;0.542943;0.385168;0.548904;0.391374;0.554968;0.390097;0.555293;0.34761;0.566867;0.375823;0.571748;0.380374;0.573342;0.379061;0.571464
0.479748;0.279477;0.678762;0.577161;0.673506;0.546058;0.657294;0.526067;0.641479;0.518953;0.62714;0.512393;0.658213;0.526827;0.638554;0.515108;0.622357;0.508108;0.609219;0.501931;0.65546;0.543656;0.626932;0.538622;0.613527;0.538841;0.607432;0.537936;0.653457;0.563572;0.624641;0.560434;0.616475;0.561233;0.616571;0.561833;0.652407;0.584659;0.628642;0.581538;0.622636;0.581288;0.622291;0.581021;0.331472;0.556935;0.342499;0.531299;0.361825;0.516309;0.379891;0.513978;0.393414;0.514791;0.355431;0.499731;0.377332;0.487195;0.39718;0.478705;0.415252;0.47107;0.347843;0.51581;0.386832;0.524118;0.401629;0.534233;0.406775;0.5399;0.344347;0.538437;0.380267;0.549363;0.393054;0.555395;0.398068;0.555488;0.343528;0.560948;0.371504;0.568927;0.379138;0.571246;0.381436;0.568693
