face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.434027;0.210118;0.335531;0.92761;0.367645;0.920447;0.393025;0.937363;0.413769;0.960635;0.434717;0.97696;0.380274;0.987143;0.385744;1.0375;0.387894;1.07634;0.389135;1.10906;0.361449;0.999857;0.367702;1.05587;0.370963;1.09802;0.374273;1.13407;0.343677;1.00681;0.347703;1.05849;0.35143;1.09719;0.355259;1.13035;0.328142;1.0078;0.333868;1.04809;0.339077;1.07659;0.343603;1.10284;0.598726;0.970088;0.570185;0.960844;0.547109;0.972107;0.533294;0.991179;0.524395;1.00623;0.552797;1.0015;0.547035;1.03668;0.545078;1.06396;0.54744;1.08771;0.570436;1.01195;0.564534;1.04858;0.562329;1.06927;0.562281;1.08755;0.586904;1.01907;0.58174;1.04583;0.577508;1.05947;0.577641;1.06917;0.600923;1.02466;0.594263;1.04314;0.59033;1.05257;0.589411;1.06107
0.435547;0.209895;0.348582;0.930559;0.369025;0.923907;0.388172;0.931836;0.403002;0.950337;0.419015;0.969796;0.382013;0.985123;0.379676;1.02714;0.37502;1.05616;0.371075;1.07974;0.366219;0.992664;0.365701;1.04248;0.363717;1.07393;0.360727;1.10169;0.352115;0.993571;0.350874;1.04015;0.350485;1.07047;0.348636;1.09812;0.341262;0.988869;0.341388;1.02666;0.343579;1.04763;0.346133;1.0667
0.434757;0.210102;0.324024;0.868085;0.357619;0.864329;0.386387;0.882383;0.409728;0.902797;0.432768;0.918641;0.36862;0.918718;0.387137;0.960693;0.39449;0.971491;0.39788;0.975213;0.349291;0.933483;0.370258;0.978758;0.379456;0.985111;0.383014;0.984598;0.330055;0.94195;0.348786;0.982842;0.360159;0.989377;0.365388;0.988004;0.311341;0.945389;0.322833;0.978902;0.332937;0.986115;0.338573;0.984313;0.605206;0.925228;0.572888;0.917165;0.54679;0.934588;0.52866;0.959859;0.514356;0.980314;0.551508;0.979877;0.541373;1.02759;0.535775;1.06075;0.531905;1.08835;0.570269;0.991241;0.563327;1.04382;0.556283;1.07771;0.550266;1.10676;0.58914;0.994597;0.583454;1.04055;0.577181;1.06829;0.572616;1.09038;0.606242;0.992684;0.601401;1.02789;0.597648;1.05092;0.595057;1.07114
0.433498;0.209837;0.329098;0.854619;0.364493;0.850071;0.39117;0.866572;0.412715;0.887756;0.433941;0.904826;0.374537;0.89183;0.393344;0.938142;0.394311;0.943317;0.391883;0.938486;0.354221;0.904773;0.372466;0.956576;0.374718;0.961684;0.372594;0.957475;0.333834;0.913505;0.349353;0.960156;0.353524;0.96665;0.352675;0.964509;0.31442;0.918358;0.324962;0.95216;0.332309;0.958318;0.335873;0.956948;0.602089;0.91974;0.570661;0.901955;0.545826;0.91481;0.526821;0.938616;0.510158;0.95835;0.547956;0.9628;0.535161;1.00636;0.529849;1.03421;0.527573;1.0556;0.564707;0.981771;0.553277;1.03066;0.548281;1.05882;0.543928;1.08093;0.581394;0.991365;0.572671;1.0375;0.568365;1.06296;0.565838;1.0815;0.59634;0.993331;0.587891;1.02737;0.583012;1.04681;0.581259;1.06173
0.434267;0.20942;0.332679;0.837542;0.367231;0.833785;0.394665;0.849509;0.417268;0.868487;0.436581;0.883298;0.379242;0.881256;0.392434;0.916838;0.388374;0.916056;0.384211;0.909106;0.359188;0.892491;0.370609;0.930577;0.368722;0.928795;0.365795;0.922592;0.3395;0.898838;0.349667;0.933754;0.349673;0.934481;0.347606;0.931155;0.320301;0.899699;0.325031;0.925651;0.327969;0.929487;0.329808;0.928791;0.603456;0.902065;0.571444;0.880533;0.54433;0.886734;0.524026;0.905048;0.508035;0.92038;0.552325;0.929689;0.52782;0.951022;0.533612;0.945248;0.545056;0.938255;0.566182;0.955267;0.545339;0.978777;0.549982;0.966381;0.557803;0.952815;0.580941;0.972251;0.563894;0.997182;0.567129;0.985299;0.572253;0.97181;0.5944;0.981447;0.587005;1.01124;0.5847;1.01438;0.585444;1.01059
0.434846;0.20991;0.348486;0.825928;0.373782;0.811446;0.398892;0.82318;0.418554;0.841776;0.438185;0.84888;0.390288;0.863795;0.392933;0.880927;0.390051;0.864639;0.389612;0.84787;0.369193;0.87172;0.371916;0.893945;0.366411;0.874645;0.363799;0.856134;0.349889;0.875685;0.351632;0.898455;0.347013;0.878057;0.343873;0.860647;0.335465;0.876149;0.33181;0.896681;0.327728;0.888677;0.323043;0.879935;0.593238;0.885195;0.565797;0.867884;0.548144;0.871779;0.536827;0.882169;0.527819;0.889571;0.544972;0.90853;0.532257;0.915066;0.538983;0.901364;0.548504;0.889401;0.558523;0.923588;0.547593;0.942311;0.553462;0.922467;0.56067;0.907522;0.575304;0.932556;0.564756;0.956247;0.569196;0.935865;0.574955;0.918677;0.593561;0.937273;0.589975;0.963418;0.5897;0.955604;0.59114;0.945525
0.436184;0.209513;0.364454;0.825329;0.385457;0.816388;0.405205;0.818589;0.421941;0.822759;0.436544;0.826196;0.396235;0.839993;0.394824;0.837673;0.393361;0.821664;0.395864;0.807932;0.372714;0.845162;0.370497;0.844361;0.36752;0.826259;0.367574;0.809677;0.351732;0.847359;0.34788;0.848771;0.34671;0.829153;0.347661;0.813359;0.336266;0.845767;0.327013;0.851992;0.325065;0.84564;0.325316;0.840384;0.579113;0.874646;0.561113;0.875131;0.549818;0.884254;0.544224;0.893243;0.544321;0.898827;0.556089;0.891718;0.55087;0.908138;0.550674;0.903168;0.551585;0.897374;0.564653;0.893783;0.557429;0.917312;0.558429;0.911042;0.558597;0.904033;0.573722;0.896056;0.564298;0.920018;0.566637;0.911597;0.566448;0.901058;0.582636;0.899004;0.575935;0.915328;0.576245;0.90886;0.57616;0.901747
0.434045;0.210682;0.358808;0.792078;0.382517;0.782216;0.400913;0.787757;0.417194;0.798411;0.431802;0.804798;0.393815;0.813347;0.393023;0.817059;0.389829;0.799384;0.390192;0.783193;0.374351;0.820762;0.37323;0.824136;0.367043;0.801758;0.364615;0.782531;0.355409;0.824994;0.353067;0.830296;0.348288;0.80553;0.346131;0.785162;0.340869;0.826497;0.333827;0.834011;0.329515;0.817872;0.326397;0.803801;0.567752;0.889611;0.578106;0.894912;0.581145;0.897169;0.582498;0.898224;0.580911;0.898785;0.569326;0.889922;0.565912;0.888428;0.562683;0.889476;0.559427;0.891082;0.562907;0.890515;0.558227;0.889488;0.555137;0.890722;0.55163;0.892142;0.558149;0.893387;0.552554;0.895296;0.548056;0.895513;0.543863;0.894428;0.55576;0.897404;0.550219;0.898645;0.545498;0.89849;0.541124;0.897277
0.434813;0.210493;0.367435;0.790038;0.388894;0.782128;0.403101;0.783173;0.416777;0.78888;0.432265;0.792775;0.393338;0.785664;0.392229;0.778369;0.390677;0.766104;0.391621;0.754479;0.378307;0.793133;0.373387;0.781812;0.370758;0.768202;0.369481;0.753384;0.364371;0.801788;0.357603;0.794307;0.355419;0.778258;0.354056;0.762813;0.353085;0.809076;0.343169;0.809299;0.340556;0.800088;0.339311;0.78894
0.429426;0.210713;0.578128;0.715464;0.546469;0.708928;0.519066;0.723117;0.501126;0.738872;0.492004;0.742208;0.519508;0.732683;0.50284;0.766127;0.507888;0.758781;0.514162;0.746448;0.533746;0.747883;0.520481;0.781666;0.526481;0.771432;0.531548;0.761613;0.551359;0.760532;0.538043;0.793672;0.542423;0.78135;0.546075;0.769941;0.569317;0.77209;0.558613;0.798941;0.559754;0.787355;0.561534;0.775015;0.350998;0.638151;0.375853;0.66112;0.395204;0.681879;0.411461;0.702665;0.421482;0.722897;0.405699;0.652936;0.415928;0.692072;0.405889;0.691821;0.40062;0.676193;0.394514;0.64598;0.40178;0.695143;0.390676;0.692552;0.385792;0.676345;0.381897;0.644808;0.390967;0.693321;0.381154;0.686008;0.376002;0.668935;0.369071;0.647071;0.378137;0.682649;0.370724;0.6773;0.366328;0.664943
0.43181;0.209572;0.566945;0.698467;0.538284;0.697064;0.516315;0.70626;0.503136;0.720201;0.498499;0.726227;0.51894;0.709145;0.50576;0.738209;0.506627;0.736376;0.51009;0.728807;0.531589;0.721755;0.520346;0.750606;0.523836;0.746498;0.527629;0.740609;0.546695;0.733772;0.534354;0.763125;0.537383;0.756473;0.541078;0.747714;0.561537;0.745802;0.550946;0.768896;0.550798;0.761083;0.552507;0.751434;0.353699;0.636946;0.382009;0.659935;0.401104;0.673525;0.415797;0.686708;0.427514;0.701635;0.412802;0.638678;0.420013;0.665495;0.408367;0.668117;0.400237;0.659221;0.403127;0.631968;0.406912;0.672615;0.394901;0.672956;0.389034;0.659287;0.391123;0.630287;0.39498;0.669511;0.38418;0.66764;0.378293;0.654416;0.378132;0.63343;0.380477;0.662573;0.371419;0.661076;0.366055;0.650212
