face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.492872;0.279757;0.42722;0.962515;0.454863;0.940301;0.485389;0.939278;0.510912;0.942311;0.535839;0.941497;0.492284;0.993128;0.522187;1.00968;0.539658;1.013;0.553127;1.01174;0.485566;1.00621;0.513933;1.02489;0.529958;1.02719;0.541582;1.02529;0.478589;1.01117;0.502198;1.02605;0.517089;1.02953;0.526964;1.02856;0.471152;1.01192;0.487429;1.01985;0.499458;1.02338;0.508798;1.02467
0.493196;0.280403;0.422967;0.916552;0.450666;0.896628;0.478857;0.899502;0.498787;0.903878;0.516057;0.905224;0.496112;0.961893;0.524002;0.989971;0.536739;1.01038;0.546038;1.02536;0.484739;0.979716;0.509153;1.01593;0.521834;1.04134;0.529427;1.06101;0.470965;0.987768;0.492272;1.02354;0.504347;1.04856;0.511093;1.06781;0.453562;0.986938;0.468068;1.01432;0.477739;1.03026;0.484736;1.0436
0.490723;0.281796;0.418691;0.855102;0.452293;0.836285;0.477209;0.842118;0.500654;0.856179;0.521125;0.862721;0.48977;0.892097;0.519863;0.919612;0.532196;0.931324;0.541113;0.937046;0.477485;0.91776;0.509497;0.948111;0.52523;0.960069;0.5366;0.963597;0.459095;0.934525;0.486615;0.96884;0.503206;0.984028;0.516229;0.989107;0.438442;0.94264;0.454706;0.974247;0.467416;0.989836;0.479664;0.997208;0.639111;0.918435;0.610866;0.901456;0.587259;0.908065;0.570371;0.926784;0.55618;0.94277;0.588043;0.973449;0.573813;1.01978;0.566257;1.05143;0.559677;1.07768;0.603299;0.990954;0.594965;1.04521;0.585473;1.08161;0.576796;1.11208;0.6189;0.999112;0.614118;1.05135;0.607787;1.08856;0.60324;1.11844;0.632893;0.999282;0.627269;1.04281;0.622734;1.07175;0.621987;1.09686
0.493115;0.284583;0.477831;0.920608;0.464344;0.94823;0.449752;0.951955;0.441439;0.944988;0.43584;0.928435;0.45725;0.924507;0.443036;0.895797;0.434819;0.870888;0.431665;0.852495;0.471906;0.909845;0.46057;0.871272;0.449197;0.844386;0.441294;0.823508;0.486123;0.897064;0.482225;0.862372;0.471648;0.835514;0.460542;0.817751;0.501016;0.887703;0.497236;0.853496;0.493961;0.833938;0.488618;0.823564;0.628766;0.917437;0.602422;0.917189;0.583078;0.932748;0.574791;0.949026;0.574685;0.955803;0.596955;0.953108;0.579178;0.963399;0.579796;0.946311;0.587973;0.937363;0.612581;0.964834;0.599468;0.975816;0.601776;0.954313;0.611346;0.937153;0.627386;0.969687;0.617854;0.97555;0.619075;0.956593;0.625242;0.944341;0.641129;0.970607;0.638318;0.975308;0.63606;0.963048;0.637342;0.954919
0.491155;0.284982;0.3866;0.619512;0.41707;0.625056;0.445463;0.642371;0.464405;0.66663;0.47261;0.688597;0.439606;0.630299;0.462927;0.661769;0.471452;0.689844;0.477722;0.714097;0.422757;0.637053;0.44569;0.673691;0.457334;0.707227;0.467005;0.735996;0.402859;0.646983;0.418101;0.685375;0.429304;0.717837;0.438405;0.743214;0.382568;0.659252;0.386858;0.69356;0.392322;0.717834;0.398938;0.735957;0.670038;0.695127;0.635219;0.685903;0.601773;0.697506;0.576115;0.718453;0.562878;0.742637;0.635266;0.704505;0.612482;0.727191;0.597384;0.746999;0.587111;0.764178;0.655421;0.720801;0.639939;0.75413;0.624987;0.782539;0.613698;0.803273;0.672898;0.735837;0.665594;0.774141;0.653252;0.804958;0.642083;0.827533;0.685216;0.747329;0.684037;0.778469;0.678532;0.800897;0.671796;0.817805
0.492305;0.286432;0.391647;0.610454;0.419209;0.615969;0.442497;0.632594;0.4568;0.655188;0.460925;0.67749;0.432317;0.605895;0.448201;0.617964;0.458554;0.640672;0.46724;0.661376;0.413435;0.610758;0.424929;0.634957;0.435713;0.668391;0.446029;0.692461;0.395035;0.621692;0.398643;0.65627;0.407072;0.689445;0.417;0.708512;0.380802;0.635625;0.380835;0.665171;0.38316;0.68222;0.388675;0.690478;0.665226;0.667234;0.636397;0.658154;0.601838;0.668579;0.576257;0.690061;0.563696;0.710185;0.6253;0.669419;0.603202;0.697982;0.594189;0.717219;0.5905;0.729054;0.647542;0.689427;0.634851;0.724052;0.627532;0.743575;0.624937;0.748832;0.667961;0.708056;0.658563;0.742574;0.649851;0.759646;0.643234;0.761932;0.683456;0.724852;0.683261;0.756603;0.676871;0.769466;0.667974;0.771605
0.492219;0.285702;0.391239;0.603884;0.405435;0.615891;0.421972;0.634599;0.435587;0.654002;0.443687;0.671124;0.409788;0.594599;0.424056;0.603385;0.438055;0.617926;0.450598;0.631045;0.407848;0.589336;0.419828;0.615318;0.433909;0.648136;0.445831;0.671198;0.407248;0.593815;0.422255;0.623536;0.433297;0.647877;0.440848;0.661726;0.408095;0.604088;0.420595;0.628967;0.428382;0.641951;0.433754;0.649789;0.667574;0.660766;0.638774;0.648646;0.602727;0.649006;0.575988;0.662449;0.562838;0.677694;0.625104;0.647928;0.604919;0.662956;0.595842;0.680604;0.592662;0.691543;0.645997;0.667398;0.639785;0.683373;0.633944;0.701863;0.633471;0.70816;0.66586;0.688407;0.661618;0.70576;0.655059;0.718598;0.652565;0.719727;0.680746;0.709287;0.681489;0.729624;0.674497;0.737452;0.665961;0.735784
0.493843;0.283329;0.388941;0.615464;0.405062;0.620755;0.421493;0.629059;0.433117;0.638882;0.442347;0.644998;0.420827;0.59583;0.437731;0.60026;0.450724;0.610646;0.460128;0.622281;0.416508;0.591544;0.437046;0.606204;0.450802;0.624207;0.459345;0.637662;0.411599;0.594;0.428703;0.612469;0.430006;0.627638;0.42887;0.633792;0.4072;0.600531;0.420662;0.613591;0.423196;0.623403;0.424236;0.628302;0.679794;0.641655;0.644504;0.641572;0.608556;0.645854;0.579624;0.660938;0.564292;0.678922;0.633526;0.630708;0.617343;0.64214;0.60592;0.660203;0.599005;0.674889;0.654048;0.642659;0.645607;0.666143;0.634389;0.689037;0.627132;0.701829;0.673726;0.659184;0.667206;0.684054;0.656675;0.702127;0.649664;0.713208;0.689289;0.679406;0.688435;0.708538;0.680228;0.724084;0.670323;0.734537
0.493785;0.281297;0.384469;0.611881;0.401168;0.601892;0.417963;0.604629;0.429085;0.617588;0.435888;0.631668;0.418456;0.591269;0.435089;0.5941;0.446072;0.602486;0.456487;0.611295;0.411027;0.598153;0.430243;0.611653;0.440344;0.624619;0.450405;0.634417;0.403731;0.607895;0.420328;0.626953;0.429447;0.641809;0.438129;0.651086;0.396862;0.619281;0.410068;0.636679;0.417296;0.647134;0.423672;0.65508;0.688473;0.641419;0.647029;0.649054;0.613909;0.664863;0.588942;0.683979;0.571857;0.710254;0.636228;0.646943;0.622005;0.660889;0.609429;0.679955;0.601784;0.698464;0.656786;0.6505;0.646384;0.669087;0.632854;0.697922;0.625219;0.72026;0.67683;0.659958;0.671775;0.682083;0.659701;0.710723;0.651438;0.731686;0.695469;0.673138;0.696291;0.700485;0.688746;0.724769;0.680933;0.743291
0.494173;0.281037;0.38438;0.623013;0.401884;0.609876;0.417054;0.608644;0.427686;0.610813;0.436558;0.612811;0.417857;0.616582;0.43163;0.621121;0.441954;0.626389;0.451221;0.630626;0.410809;0.618999;0.42514;0.626066;0.435154;0.632518;0.445347;0.637408;0.403169;0.620969;0.415866;0.625518;0.424374;0.630717;0.431869;0.634642;0.395767;0.622601;0.405522;0.626305;0.41281;0.629078;0.419323;0.631346;0.687226;0.640876;0.650562;0.651074;0.620937;0.673759;0.60017;0.701975;0.583514;0.730944;0.643452;0.6616;0.624853;0.684106;0.61582;0.711377;0.612569;0.737108;0.666182;0.664873;0.655386;0.693939;0.645905;0.731266;0.641027;0.762565;0.688523;0.670316;0.687322;0.703383;0.67998;0.744877;0.67428;0.777546;0.708847;0.677714;0.712372;0.709364;0.710363;0.741753;0.707714;0.766453
0.494355;0.281595;0.676537;0.637156;0.657514;0.640728;0.642074;0.655396;0.636079;0.666423;0.629662;0.671431;0.638078;0.685255;0.623541;0.717892;0.61453;0.744216;0.6086;0.766556;0.651265;0.697507;0.63924;0.732007;0.629814;0.76044;0.621372;0.783256;0.668607;0.701173;0.67249;0.742631;0.674171;0.77546;0.672455;0.804604;0.686284;0.699977;0.694562;0.726672;0.69875;0.748506;0.698878;0.769611
0.496372;0.282851;0.411152;0.673111;0.428859;0.683368;0.439974;0.69242;0.447583;0.704116;0.45818;0.714531;0.420135;0.66858;0.413961;0.660286;0.406914;0.649816;0.401533;0.640339;0.40478;0.669543;0.39136;0.655506;0.38361;0.644654;0.376458;0.634885;0.392044;0.67307;0.376375;0.661783;0.370672;0.653227;0.365945;0.647376;0.383816;0.678703;0.370862;0.677254;0.364523;0.676004;0.359074;0.676564
0.494912;0.284852;0.364175;0.658339;0.380346;0.636929;0.389281;0.61903;0.389828;0.613039;0.38834;0.609214;0.356415;0.58744;0.345905;0.564405;0.345925;0.569111;0.347851;0.579283;0.338757;0.596366;0.321428;0.572604;0.321044;0.580508;0.323812;0.5895;0.326621;0.610231;0.307572;0.592273;0.308193;0.601686;0.313431;0.610983;0.319317;0.628385;0.301229;0.618293;0.301294;0.624073;0.307147;0.631154;0.582004;0.67582;0.543725;0.6884;0.520627;0.680936;0.504052;0.679494;0.495454;0.680716;0.509082;0.638631;0.484493;0.654034;0.484419;0.676404;0.490404;0.689298;0.517744;0.636001;0.489797;0.650505;0.490483;0.673302;0.496729;0.685017;0.526772;0.639161;0.498812;0.652358;0.498036;0.67563;0.504139;0.688853;0.536078;0.6467;0.512829;0.654923;0.509542;0.673518;0.512923;0.686348
0.495534;0.284007;0.354064;0.657337;0.371465;0.628111;0.377084;0.601559;0.374063;0.59081;0.372777;0.580553;0.343445;0.574961;0.339673;0.550634;0.33391;0.53815;0.32771;0.528713;0.325131;0.580725;0.315201;0.55888;0.304188;0.545845;0.292518;0.5331;0.311842;0.593088;0.296613;0.57641;0.282936;0.564563;0.269724;0.551295;0.302823;0.611828;0.285583;0.602592;0.271925;0.596244;0.259096;0.588356;0.583227;0.679667;0.550617;0.680184;0.525888;0.667369;0.503607;0.664054;0.480067;0.666926;0.522511;0.617791;0.493386;0.611041;0.474862;0.629624;0.463598;0.649918;0.527146;0.621439;0.495025;0.613336;0.477278;0.634575;0.466464;0.65565;0.531856;0.631707;0.503182;0.623619;0.485923;0.639745;0.476002;0.658651;0.537505;0.646189;0.517202;0.639601;0.504267;0.645966;0.495329;0.657716
0.49701;0.285313;0.337481;0.650943;0.357063;0.626656;0.364182;0.602602;0.361644;0.58893;0.360873;0.574377;0.330685;0.569372;0.32701;0.54299;0.320532;0.528279;0.316423;0.5163;0.31278;0.571154;0.303684;0.546518;0.29568;0.528521;0.288796;0.511008;0.299803;0.578068;0.286468;0.558237;0.276232;0.541843;0.265433;0.523781;0.28898;0.591098;0.273096;0.577959;0.259921;0.566493;0.246081;0.551455;0.572601;0.682222;0.542599;0.658955;0.521327;0.642188;0.502343;0.635739;0.483234;0.630936;0.525846;0.61255;0.508703;0.592478;0.490125;0.583127;0.473067;0.579316;0.526466;0.620108;0.504879;0.595552;0.484672;0.588408;0.466777;0.58714;0.526963;0.631547;0.504354;0.612352;0.485883;0.607036;0.470005;0.605802;0.527818;0.646119;0.509717;0.634554;0.495416;0.630135;0.482664;0.627973
0.498576;0.284745;0.332847;0.652734;0.341949;0.60902;0.339532;0.578398;0.332144;0.558059;0.327376;0.537736;0.318574;0.566142;0.312843;0.536545;0.308189;0.514921;0.303861;0.496408;0.305924;0.573268;0.29485;0.544297;0.288394;0.520346;0.283581;0.497182;0.295848;0.582108;0.281084;0.55778;0.27159;0.53779;0.262719;0.518373;0.288534;0.594977;0.273756;0.577829;0.263657;0.563556;0.25486;0.549262;0.554531;0.673821;0.524244;0.662953;0.505812;0.646054;0.49286;0.63066;0.47914;0.619056;0.514459;0.630767;0.499378;0.609371;0.485542;0.597207;0.47263;0.586605;0.522312;0.623634;0.508629;0.601519;0.493196;0.586968;0.479214;0.573527;0.529586;0.619595;0.51448;0.598504;0.500901;0.582145;0.489919;0.567735;0.537251;0.618643;0.52702;0.601709;0.516953;0.58946;0.508775;0.578357
0.49642;0.288377;0.32247;0.648746;0.325575;0.600907;0.317931;0.568805;0.308577;0.543904;0.29814;0.52251;0.314588;0.562571;0.304256;0.533556;0.292651;0.510409;0.281179;0.489724;0.306988;0.571755;0.289245;0.540734;0.273472;0.515783;0.260095;0.49466;0.297939;0.582903;0.275721;0.555179;0.259719;0.533361;0.248753;0.516107;0.289465;0.595926;0.270553;0.576088;0.258771;0.559464;0.250601;0.546211
