face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.449725;0.248017;0.372968;0.918894;0.406493;0.941239;0.439551;0.955828;0.467935;0.96111;0.493275;0.963147;0.44511;0.982707;0.481912;0.98431;0.50306;0.976779;0.518225;0.966001;0.441821;0.97094;0.48218;0.978324;0.505746;0.96978;0.522342;0.960213;0.438716;0.956077;0.472055;0.963449;0.496665;0.955119;0.513323;0.946177;0.435663;0.938392;0.462227;0.944332;0.481327;0.940803;0.494632;0.936194
0.449661;0.247699;0.361005;0.88523;0.390099;0.917962;0.421769;0.935612;0.449514;0.941087;0.472344;0.938889;0.419297;0.946514;0.457525;0.95322;0.477927;0.947832;0.494206;0.942988;0.415321;0.929498;0.45592;0.93499;0.479182;0.928623;0.498522;0.924922;0.410951;0.908508;0.444989;0.910103;0.465877;0.903966;0.482673;0.900712;0.406513;0.885683;0.427927;0.885498;0.439058;0.883094;0.448113;0.880285;0.609336;0.915722;0.587482;0.933915;0.573475;0.956177;0.562814;0.974004;0.551733;0.987971;0.56991;0.98612;0.550474;1.00605;0.535406;1.01794;0.524901;1.02393;0.573419;0.984504;0.54878;1.00863;0.532097;1.01778;0.520624;1.02301;0.575973;0.979997;0.553051;0.999379;0.536763;1.00707;0.526048;1.01037;0.580023;0.973199;0.56358;0.987933;0.551462;0.995357;0.542499;0.998909
0.449639;0.246658;0.366877;0.865015;0.409333;0.883752;0.436153;0.896853;0.456335;0.908809;0.471828;0.915793;0.427865;0.902081;0.446466;0.899318;0.455391;0.894983;0.461138;0.886036;0.414389;0.902552;0.435722;0.899355;0.445927;0.893197;0.453178;0.88745;0.402074;0.90172;0.421406;0.90054;0.43172;0.893238;0.437154;0.885503;0.38875;0.901851;0.40159;0.902026;0.408129;0.895941;0.410568;0.888967;0.602829;0.924681;0.578716;0.943701;0.557929;0.960085;0.54308;0.970401;0.528741;0.976297;0.565974;0.963071;0.54788;0.970265;0.53379;0.969099;0.524668;0.968306;0.575363;0.961549;0.557661;0.966194;0.545599;0.965659;0.536146;0.966479;0.583946;0.95693;0.567417;0.962333;0.557939;0.960561;0.55102;0.957762;0.592514;0.950195;0.57993;0.955589;0.573582;0.954847;0.569273;0.952411
0.44931;0.247668;0.595343;0.919762;0.576109;0.916912;0.560275;0.919397;0.549945;0.924416;0.542149;0.924072;0.558999;0.943004;0.556385;0.952699;0.557886;0.943999;0.560851;0.933731;0.567671;0.952719;0.566876;0.9573;0.567987;0.945908;0.568843;0.936562;0.577804;0.958585;0.576834;0.963337;0.579062;0.953174;0.580534;0.945368;0.587243;0.961986;0.585629;0.965978;0.586066;0.96015;0.586798;0.955424
0.449125;0.247565;0.346843;0.791092;0.367597;0.761263;0.387178;0.762279;0.402171;0.77224;0.41113;0.782756;0.415457;0.779648;0.42977;0.792716;0.423236;0.793187;0.416858;0.791139;0.413033;0.799196;0.425569;0.808682;0.418977;0.806655;0.414422;0.803731;0.404151;0.815327;0.41512;0.820361;0.41044;0.817416;0.405124;0.814022;0.393377;0.827742;0.398722;0.826843;0.396259;0.821561;0.392855;0.817249;0.684905;0.784206;0.656566;0.788616;0.636398;0.800694;0.624995;0.819389;0.613947;0.833953;0.650672;0.829914;0.635914;0.843152;0.630357;0.831353;0.628536;0.822225;0.66846;0.835085;0.65405;0.842237;0.646802;0.828542;0.644644;0.822436;0.684183;0.833843;0.672101;0.844084;0.66523;0.828884;0.663445;0.819543;0.69729;0.830486;0.688507;0.840257;0.680461;0.830842;0.676076;0.823294
0.446732;0.252804;0.684978;0.798451;0.663983;0.791912;0.64334;0.79146;0.625444;0.793451;0.611069;0.792322;0.654653;0.798165;0.630903;0.791571;0.62033;0.787929;0.614972;0.788565;0.670626;0.808157;0.648968;0.801647;0.640256;0.792835;0.636157;0.790762;0.685421;0.816123;0.670674;0.807425;0.667227;0.796942;0.667178;0.792344;0.697889;0.822556;0.686648;0.816112;0.681822;0.807504;0.679694;0.80468
0.447609;0.251643;0.274893;0.729043;0.306785;0.740014;0.333544;0.731871;0.345434;0.713203;0.34458;0.697329;0.304934;0.71487;0.322962;0.698523;0.322195;0.693588;0.316433;0.691711;0.287964;0.697786;0.307769;0.678967;0.308326;0.677038;0.302249;0.681517;0.276236;0.685118;0.293498;0.664742;0.294775;0.664662;0.290611;0.671403;0.267026;0.677683;0.277957;0.656359;0.280055;0.654772;0.277034;0.659413;0.689575;0.788227;0.688558;0.752391;0.680772;0.73018;0.671312;0.722107;0.662372;0.719248;0.696098;0.759744;0.669194;0.758054;0.654367;0.755188;0.646803;0.754576;0.694707;0.786578;0.662592;0.781652;0.647487;0.776455;0.6419;0.773196;0.688675;0.810085;0.659212;0.805396;0.644407;0.796947;0.640699;0.79174;0.681361;0.826394;0.656441;0.822385;0.644642;0.813213;0.640496;0.805363
0.448526;0.252605;0.269779;0.724569;0.273281;0.682566;0.282736;0.650058;0.285328;0.630341;0.282485;0.621769;0.284106;0.66856;0.301542;0.657175;0.297664;0.658015;0.290326;0.65662;0.288829;0.693717;0.316761;0.685896;0.310915;0.686465;0.301789;0.685523;0.294588;0.720198;0.323433;0.715056;0.319098;0.713159;0.311396;0.711328;0.299785;0.745058;0.32548;0.742327;0.326509;0.73977;0.322982;0.736778;0.685293;0.801561;0.681643;0.768237;0.68138;0.737875;0.677433;0.718198;0.674417;0.706591;0.694805;0.74974;0.668251;0.734917;0.652874;0.736021;0.641134;0.736387;0.692588;0.778464;0.658995;0.763018;0.640668;0.760769;0.629431;0.759287;0.686296;0.805422;0.657248;0.787787;0.639185;0.783011;0.62908;0.780467;0.679868;0.828214;0.656181;0.811718;0.640462;0.806304;0.631643;0.802129
0.447854;0.252318;0.26041;0.716701;0.265609;0.673457;0.272541;0.640242;0.278925;0.627415;0.278258;0.631205;0.259358;0.661809;0.292161;0.651921;0.296488;0.646631;0.295014;0.641664;0.263598;0.688585;0.310522;0.684653;0.315325;0.676513;0.312211;0.670855;0.272266;0.715109;0.316748;0.713123;0.320645;0.700578;0.31656;0.689521;0.283413;0.738265;0.318286;0.735321;0.324427;0.723607;0.323141;0.713235;0.676032;0.826078;0.663634;0.787038;0.662308;0.756478;0.658793;0.737332;0.657436;0.722382;0.685048;0.743431;0.687297;0.723545;0.68425;0.706178;0.679455;0.69301;0.692922;0.754646;0.67984;0.740903;0.658759;0.740489;0.641223;0.746484;0.696275;0.773057;0.682244;0.761019;0.660961;0.763382;0.644106;0.770359;0.697498;0.793391;0.685443;0.781691;0.66756;0.781236;0.652708;0.783056
0.4456;0.253122;0.253711;0.726852;0.253833;0.677822;0.260771;0.646007;0.269343;0.629714;0.276912;0.627996;0.257094;0.652724;0.291353;0.636838;0.305522;0.637198;0.30958;0.642531;0.261923;0.67897;0.309268;0.665122;0.321684;0.664137;0.322118;0.66814;0.269358;0.705806;0.314424;0.691225;0.325601;0.687526;0.326098;0.689401;0.278848;0.730299;0.313308;0.717948;0.321721;0.709556;0.322567;0.705146;0.679546;0.825395;0.664958;0.797233;0.658461;0.767713;0.654215;0.750081;0.653354;0.734963;0.682317;0.748374;0.685631;0.724998;0.684462;0.704321;0.682599;0.688169;0.691732;0.756994;0.677602;0.737911;0.659211;0.73765;0.646118;0.744736;0.696898;0.772745;0.683531;0.75611;0.666244;0.758435;0.653735;0.766031;0.699861;0.789861;0.688065;0.77611;0.674622;0.775643;0.664165;0.778354
