face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.476148;0.207481;0.41986;0.966232;0.44365;0.962044;0.459429;0.968934;0.473096;0.977057;0.486662;0.98025;0.454245;1.01502;0.457982;1.03336;0.46112;1.04036;0.462211;1.04305;0.446354;1.01883;0.45133;1.03959;0.45647;1.04835;0.459946;1.0554;0.439957;1.01839;0.444007;1.04117;0.447888;1.05219;0.450374;1.0605;0.434297;1.01369;0.436007;1.03078;0.437553;1.03833;0.438369;1.04464
0.4745;0.204569;0.603572;0.938865;0.580099;0.92626;0.561296;0.942629;0.544253;0.964847;0.529461;0.985195;0.565662;1.00159;0.55309;1.03909;0.548076;1.06204;0.546071;1.07832;0.57466;1.01181;0.565938;1.05293;0.560616;1.07882;0.555889;1.09933;0.582889;1.01599;0.575249;1.04967;0.570885;1.07243;0.568407;1.08841;0.589784;1.01633;0.582679;1.04151;0.578436;1.05847;0.577882;1.07129;0.406544;0.928979;0.427758;0.913199;0.445694;0.917914;0.461492;0.926691;0.477205;0.933774;0.438175;0.979166;0.440164;1.02018;0.442945;1.04811;0.446086;1.07038;0.434276;0.991816;0.43617;1.03624;0.439716;1.06774;0.443733;1.09423;0.433044;0.999616;0.436776;1.03782;0.439856;1.06251;0.441114;1.08141;0.435875;1.00163;0.439281;1.02928;0.442746;1.04371;0.443735;1.05321
0.472572;0.202348;0.593177;0.959724;0.578021;0.933523;0.559634;0.933213;0.544328;0.940308;0.531959;0.946722;0.55163;0.98388;0.539682;0.984908;0.541062;0.982064;0.547088;0.982512;0.562547;0.996812;0.553249;0.997321;0.555943;0.994246;0.559039;0.995898;0.574775;1.0053;0.567453;1.00354;0.569675;0.995915;0.574497;0.991425;0.587765;1.01301;0.584641;1.01673;0.584229;1.01148;0.586703;1.00677;0.420095;0.924303;0.440586;0.957908;0.452297;0.985883;0.458341;1.00815;0.463647;1.0326;0.454793;0.997036;0.458738;1.03647;0.461655;1.06745;0.46478;1.09425;0.446839;0.989905;0.452322;1.03476;0.454402;1.06856;0.45627;1.09873;0.438894;0.98194;0.445246;1.02331;0.447051;1.05505;0.447773;1.07931;0.430172;0.972289;0.438609;1.00085;0.442522;1.02179;0.444409;1.03906
0.473051;0.205075;0.589723;0.940895;0.570315;0.93527;0.555825;0.938943;0.545706;0.946714;0.540062;0.954102;0.55606;0.963891;0.544794;0.979216;0.545732;0.97753;0.548584;0.972078;0.565315;0.973887;0.556794;0.988878;0.558894;0.98346;0.559742;0.975458;0.57581;0.977882;0.571193;0.988868;0.573541;0.982468;0.573422;0.973148;0.586217;0.978656;0.584744;0.986367;0.585253;0.980947;0.583888;0.973108
0.470955;0.204618;0.616512;0.809711;0.587174;0.787843;0.561044;0.786883;0.54111;0.798912;0.532273;0.819427;0.579039;0.820487;0.561537;0.843268;0.556616;0.84711;0.556795;0.847086;0.5924;0.84343;0.576072;0.869999;0.568707;0.87626;0.568475;0.875569;0.603978;0.862222;0.590456;0.890102;0.582658;0.899847;0.580239;0.900003;0.614045;0.874584;0.609559;0.899963;0.60401;0.912834;0.599669;0.918664
0.470114;0.206443;0.360261;0.70581;0.343407;0.673241;0.337889;0.625389;0.34374;0.588552;0.357296;0.559487;0.350504;0.602505;0.358664;0.584732;0.35917;0.601211;0.356828;0.616924;0.372833;0.61565;0.380672;0.599734;0.379665;0.610987;0.376244;0.625901;0.393172;0.631554;0.397454;0.62025;0.391295;0.630459;0.384197;0.636713;0.408492;0.648151;0.429088;0.624893;0.445991;0.607831;0.458554;0.590367
0.473326;0.211729;0.396478;0.677639;0.422542;0.651842;0.439561;0.615558;0.455765;0.591486;0.480804;0.573416;0.396405;0.578761;0.376829;0.546402;0.370897;0.526162;0.368034;0.505161;0.380959;0.59204;0.359759;0.55934;0.355566;0.536604;0.354394;0.516476;0.370645;0.612614;0.350025;0.582675;0.345518;0.561181;0.344546;0.542181;0.364855;0.6389;0.347675;0.621007;0.341745;0.606859;0.338284;0.594193;0.61411;0.710286;0.583377;0.686826;0.566327;0.657671;0.555283;0.635671;0.538236;0.617786;0.61031;0.617797;0.621794;0.582384;0.622639;0.564106;0.618102;0.550494;0.625085;0.633919;0.642749;0.602617;0.640933;0.590675;0.633632;0.585197;0.636018;0.656047;0.652262;0.631277;0.650083;0.622011;0.641976;0.61965;0.641629;0.679994;0.656222;0.671194;0.65532;0.666928;0.649224;0.665886
0.475074;0.214887;0.407703;0.671307;0.429339;0.631435;0.443554;0.594715;0.461117;0.570999;0.481238;0.55833;0.397454;0.560835;0.380315;0.527185;0.373137;0.505678;0.368184;0.482211;0.384544;0.570797;0.365773;0.536238;0.357089;0.509882;0.352688;0.482308;0.376611;0.588648;0.35909;0.558106;0.351097;0.533133;0.347328;0.507944;0.373049;0.612832;0.358921;0.592553;0.351462;0.575411;0.345975;0.556159;0.595279;0.702625;0.577908;0.66429;0.567484;0.627467;0.554284;0.605894;0.536222;0.588633;0.606454;0.596292;0.618793;0.564566;0.62574;0.542493;0.628995;0.518946;0.618874;0.609549;0.635426;0.580122;0.64131;0.556569;0.640785;0.535347;0.627649;0.631191;0.645794;0.605577;0.650787;0.584756;0.649035;0.567202;0.633361;0.65687;0.651366;0.641737;0.658414;0.628343;0.659236;0.616694
0.473537;0.216605;0.413656;0.656146;0.433447;0.615181;0.446083;0.578432;0.463161;0.555418;0.483189;0.544108;0.401634;0.546989;0.385318;0.512092;0.377759;0.487721;0.372376;0.462219;0.388964;0.555775;0.371848;0.519884;0.361538;0.491976;0.353931;0.46115;0.381199;0.573103;0.364612;0.541666;0.355351;0.515617;0.349485;0.487686;0.377999;0.597181;0.363288;0.578336;0.353406;0.559892;0.344591;0.536634;0.587665;0.686769;0.572346;0.644325;0.563694;0.606327;0.550578;0.584552;0.534158;0.566831;0.602589;0.57665;0.617636;0.544793;0.625428;0.520499;0.629038;0.494575;0.614702;0.590895;0.633367;0.560008;0.640654;0.534371;0.642912;0.507363;0.623109;0.612821;0.642347;0.584575;0.650331;0.560627;0.653716;0.536282;0.629101;0.639496;0.647457;0.623763;0.657538;0.609359;0.664611;0.592206
0.473833;0.215101;0.416449;0.643128;0.43634;0.603986;0.450081;0.568541;0.467125;0.545956;0.484993;0.535577;0.404285;0.534041;0.38599;0.498094;0.377018;0.473922;0.370303;0.449219;0.391715;0.54372;0.373322;0.506148;0.362806;0.477943;0.35463;0.447368;0.384442;0.561458;0.365658;0.528819;0.356298;0.503998;0.349537;0.476911;0.382011;0.585356;0.366152;0.564962;0.355896;0.546607;0.346426;0.523267;0.586016;0.67262;0.568496;0.629032;0.559549;0.589369;0.546153;0.566449;0.528004;0.548323;0.599412;0.558218;0.616564;0.524152;0.624247;0.498179;0.627489;0.472058;0.612846;0.572307;0.633547;0.539297;0.640367;0.510567;0.642512;0.481479;0.62213;0.594205;0.64268;0.563836;0.650009;0.537882;0.652746;0.51253;0.628483;0.620787;0.647427;0.602899;0.656856;0.586987;0.662869;0.569541
