face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.46882;0.245976;4.58948e-39;5.78908e-39;2.99843e-39;5.8614e-39;2.44397e-39;6.02211e-39;2.49219e-39;5.73283e-39;2.98638e-39;5.68462e-39;4.92698e-39;7.62923e-39;5.44527e-39;7.58102e-39;4.78233e-39;6.45604e-39;3.6011e-39;5.45158e-39;5.7225e-39;6.5846e-39;7.2111e-39;6.40782e-39;7.04235e-39;5.00159e-39;6.18053e-39;3.965e-39;6.20464e-39;5.46766e-39;6.50597e-39;5.00963e-39;5.87919e-39;4.39892e-39;5.46938e-39;4.3266e-39;6.49392e-39;4.23821e-39;5.97562e-39;3.0168e-39;5.21626e-39;2.85608e-39;5.03546e-39;3.50697e-39
0.468876;0.245066;0.574993;0.84835;0.544673;0.818802;0.51462;0.802643;0.488066;0.795531;0.473409;0.791783;0.486985;0.79186;0.454407;0.803748;0.45984;0.822699;0.469559;0.832333;0.48582;0.808672;0.455993;0.824874;0.465012;0.842944;0.475186;0.850433;0.492161;0.83024;0.465602;0.846343;0.47331;0.861477;0.481919;0.865695;0.503704;0.854033;0.479702;0.86542;0.483455;0.875952;0.490613;0.879747
0.467779;0.245095;0.583453;0.854612;0.560813;0.810943;0.527958;0.78326;0.499471;0.771569;0.479289;0.757114;0.509265;0.79273;0.490328;0.786117;0.480819;0.781925;0.473273;0.781897;0.510146;0.815171;0.493168;0.810638;0.486753;0.809198;0.477382;0.805761;0.516673;0.835587;0.498377;0.826131;0.492958;0.82435;0.487364;0.822751;0.524899;0.854408;0.507543;0.846147;0.501122;0.84158;0.496406;0.839327
0.468208;0.243432;0.5503;0.730256;0.525854;0.728005;0.510347;0.705922;0.502798;0.688338;0.497155;0.67257;0.501743;0.675539;0.484372;0.645888;0.470944;0.628087;0.458181;0.612592;0.51089;0.670283;0.493835;0.638281;0.478824;0.617716;0.464657;0.59949;0.522977;0.671175;0.507131;0.641021;0.495885;0.621247;0.485915;0.603245;0.538017;0.676132;0.529371;0.653946;0.522248;0.638793;0.516126;0.623335
0.466145;0.242763;0.649156;0.950638;0.678445;0.83517;0.660403;0.750847;0.63482;0.674299;0.608743;0.644159;0.531087;0.706904;0.470513;0.663657;0.443059;0.654159;0.433744;0.651494;0.466075;0.739939;0.388471;0.710277;0.385765;0.688456;0.392412;0.678495;0.420015;0.773488;0.347941;0.756445;0.366376;0.741293;0.384263;0.75191;0.396076;0.8107;0.33808;0.781456;0.328311;0.740766;0.329341;0.723377;0.536212;0.693217;0.517741;0.693966;0.504451;0.677291;0.496526;0.659055;0.48952;0.644069;0.488463;0.648655;0.472201;0.626176;0.4634;0.610169;0.455936;0.594257;0.496935;0.64005;0.480619;0.613061;0.46997;0.593738;0.460436;0.574921;0.508096;0.635597;0.49578;0.609125;0.486877;0.589848;0.478911;0.570813;0.521533;0.636162;0.515463;0.614522;0.510469;0.600223;0.505802;0.585752
0.464749;0.23859;0.682253;0.912506;0.581721;0.83856;0.504046;0.777928;0.437653;0.742426;0.40228;0.712159;0.453234;0.76424;0.383887;0.761612;0.366663;0.766138;0.368633;0.765979;0.476646;0.759873;0.406298;0.746118;0.397503;0.726721;0.395053;0.705492;0.513756;0.757693;0.465537;0.733081;0.460611;0.703646;0.452406;0.680905;0.557603;0.754143;0.537278;0.717714;0.524196;0.669325;0.510115;0.631566;0.525394;0.691179;0.503237;0.690219;0.48805;0.672701;0.479946;0.654036;0.471312;0.639761;0.484395;0.655435;0.471277;0.637347;0.461865;0.625386;0.453431;0.612876;0.492872;0.649256;0.47972;0.628383;0.469364;0.614898;0.460636;0.600807;0.502978;0.646897;0.490686;0.625691;0.481837;0.612621;0.475318;0.599957;0.514998;0.647184;0.508404;0.628316;0.50307;0.61775;0.499865;0.608564
0.462163;0.238282;0.693512;0.918468;0.609208;0.857863;0.539204;0.795837;0.490776;0.757536;0.467626;0.724665;0.497184;0.7839;0.437814;0.746969;0.40709;0.713319;0.387787;0.681938;0.521389;0.777753;0.461787;0.730577;0.432716;0.683886;0.400637;0.646173;0.556019;0.778511;0.513188;0.726153;0.484077;0.669596;0.450138;0.624863;0.599679;0.783251;0.584001;0.726495;0.571144;0.663899;0.54701;0.613427;0.517349;0.681972;0.499075;0.677042;0.485545;0.667001;0.478101;0.65597;0.472081;0.647931;0.480125;0.665617;0.46587;0.652091;0.456697;0.639776;0.448843;0.627658;0.48777;0.661546;0.474534;0.64205;0.46685;0.627794;0.460052;0.614257;0.497442;0.657807;0.487226;0.636992;0.480533;0.62395;0.47459;0.612272;0.508691;0.654544;0.503235;0.63673;0.499128;0.625757;0.495718;0.616594
0.46298;0.236118;0.714172;0.901394;0.672453;0.845027;0.628056;0.791798;0.593227;0.745185;0.572432;0.698176;0.56135;0.755573;0.495253;0.713691;0.451534;0.677845;0.413063;0.646303;0.570721;0.761615;0.492994;0.712249;0.447521;0.670862;0.405018;0.638886;0.582998;0.775374;0.515776;0.736264;0.472979;0.696249;0.439843;0.669491;0.601519;0.797948;0.55096;0.761418;0.522086;0.726253;0.496367;0.703934;0.51298;0.679075;0.504885;0.677225;0.493047;0.671406;0.482665;0.664538;0.47308;0.662083;0.47985;0.660938;0.467829;0.652328;0.45937;0.644739;0.451062;0.635667;0.480759;0.656885;0.46868;0.645849;0.460364;0.635738;0.452603;0.623233;0.482946;0.654283;0.472828;0.643109;0.466111;0.63348;0.459915;0.62374;0.486964;0.653239;0.479437;0.644872;0.474702;0.637743;0.47111;0.629983
0.462043;0.235172;0.705908;0.886235;0.661829;0.832833;0.622;0.778309;0.592539;0.733051;0.570134;0.689755;0.582135;0.757355;0.524466;0.709123;0.481667;0.671147;0.443938;0.637694;0.585768;0.761237;0.518667;0.706137;0.471163;0.665482;0.429496;0.634573;0.593532;0.76911;0.533019;0.714771;0.491142;0.67059;0.454258;0.639446;0.605581;0.782241;0.55893;0.737182;0.529138;0.705421;0.50163;0.682213;0.504956;0.676113;0.507634;0.674025;0.50421;0.668317;0.501865;0.663729;0.500514;0.659127;0.487262;0.664354;0.477206;0.655531;0.470708;0.648414;0.464379;0.640926;0.483617;0.661791;0.47326;0.649153;0.46553;0.639424;0.458506;0.629346;0.481723;0.659072;0.472176;0.64744;0.465136;0.638114;0.460011;0.628918;0.481521;0.657165;0.474634;0.64822;0.469429;0.64119;0.465877;0.633417
0.463426;0.233771;0.709929;0.883872;0.655233;0.849989;0.621388;0.807121;0.596028;0.777634;0.573343;0.755641;0.603362;0.782996;0.567094;0.739067;0.541234;0.705649;0.516552;0.675731;0.604605;0.779418;0.560052;0.729462;0.530835;0.694498;0.50402;0.663334;0.606907;0.776943;0.563952;0.728001;0.536082;0.692816;0.51238;0.664242;0.610458;0.778366;0.578483;0.735009;0.555073;0.70739;0.534185;0.685969
0.467923;0.232906;0.691512;0.87386;0.677812;0.856188;0.648116;0.819464;0.62217;0.78735;0.597317;0.761173;0.624401;0.783179;0.585439;0.736628;0.552539;0.702215;0.519887;0.671114;0.618186;0.781102;0.577651;0.732735;0.547017;0.695463;0.516083;0.658148;0.614106;0.783951;0.57635;0.739361;0.550673;0.705217;0.528664;0.674199;0.611824;0.791648;0.584069;0.76106;0.566944;0.739227;0.554805;0.719785;0.450292;0.690118;0.430585;0.655227;0.419688;0.616033;0.409863;0.584847;0.400776;0.562159;0.452324;0.597589;0.457069;0.563423;0.459379;0.537307;0.457282;0.515549;0.463477;0.609927;0.468935;0.59442;0.469374;0.600797;0.469854;0.607568;0.471447;0.628816;0.477388;0.614646;0.474826;0.625958;0.471872;0.638003;0.474442;0.649649;0.480533;0.632384;0.47643;0.625467;0.470398;0.624715
