face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.458234;0.175222;0.405797;0.93103;0.431996;0.910821;0.457167;0.914844;0.478115;0.925708;0.500388;0.926981;0.465755;0.959484;0.495422;0.967074;0.508981;0.963535;0.519106;0.960353;0.457148;0.979194;0.487096;0.982386;0.497226;0.9718;0.502692;0.96194;0.44758;0.9876;0.472911;0.987249;0.481911;0.974614;0.486182;0.96185;0.438349;0.991017;0.457925;0.988302;0.466495;0.978193;0.470489;0.968752;0.571075;0.933044;0.545478;0.939755;0.525866;0.962545;0.514415;0.983525;0.508311;0.997052;0.520095;0.972839;0.50195;1.00472;0.496585;1.02529;0.495849;1.04299;0.53115;0.978153;0.519908;1.01529;0.51921;1.03553;0.52228;1.04784;0.545982;0.982156;0.541193;1.01408;0.542903;1.03048;0.547407;1.03848;0.562272;0.985402;0.561021;1.0112;0.562546;1.02432;0.565338;1.03251
0.458631;0.174287;0.404109;0.92586;0.431266;0.906607;0.457982;0.91235;0.480205;0.925219;0.500498;0.930342;0.465138;0.955638;0.494483;0.96651;0.507774;0.964318;0.515431;0.960586;0.456587;0.973882;0.487318;0.979875;0.498718;0.971738;0.503886;0.962487;0.446971;0.982866;0.473379;0.985245;0.484842;0.975987;0.490798;0.964271;0.438767;0.987363;0.459655;0.988084;0.469565;0.979949;0.474833;0.96939;0.566431;0.933311;0.543408;0.938802;0.527162;0.957965;0.515739;0.974456;0.507241;0.983096;0.52419;0.9635;0.507288;0.979549;0.499611;0.991487;0.49482;1.0026;0.532986;0.967991;0.52253;0.991916;0.51998;1.00701;0.52063;1.01699;0.5458;0.97117;0.540787;0.994831;0.54122;1.01005;0.543906;1.01957;0.560549;0.973001;0.55836;0.993792;0.558152;1.00563;0.559232;1.01353
0.459125;0.174399;0.403921;0.921961;0.432543;0.905261;0.459305;0.911247;0.480797;0.924445;0.499657;0.930608;0.467264;0.953393;0.493985;0.963852;0.506806;0.963029;0.515224;0.960568;0.457781;0.970737;0.485458;0.977228;0.497344;0.972114;0.50444;0.965244;0.44747;0.979744;0.471509;0.981129;0.482028;0.9726;0.488116;0.962262;0.438707;0.984932;0.458633;0.983751;0.467189;0.97572;0.471699;0.965997;0.565269;0.935587;0.547946;0.935499;0.531628;0.949578;0.520722;0.963708;0.510699;0.973599;0.528234;0.964943;0.513923;0.981027;0.507947;0.988285;0.503749;0.995312;0.535692;0.970573;0.522559;0.983499;0.517706;0.988483;0.514514;0.992225;0.543451;0.973198;0.532365;0.980394;0.530153;0.980517;0.530709;0.979825;0.550402;0.973686;0.539952;0.978505;0.537357;0.978568;0.537098;0.978068
0.458961;0.174693;0.403368;0.921454;0.431783;0.905084;0.458878;0.911238;0.480148;0.924896;0.499175;0.931309;0.466538;0.953488;0.492524;0.965736;0.505455;0.965227;0.51413;0.962262;0.456351;0.970356;0.483344;0.978406;0.495388;0.973964;0.502913;0.966984;0.445437;0.978796;0.468671;0.980783;0.478521;0.972151;0.483861;0.96158;0.4362;0.983698;0.455663;0.983138;0.463587;0.975623;0.467657;0.96652;0.561679;0.933919;0.551603;0.943611;0.541502;0.958823;0.533435;0.970417;0.524457;0.97837;0.532236;0.959758;0.517394;0.973537;0.509609;0.982943;0.503686;0.992981;0.534307;0.959029;0.520815;0.971987;0.513752;0.979719;0.509087;0.986714;0.537489;0.958129;0.526124;0.969642;0.524393;0.971;0.525734;0.971397;0.540953;0.956807;0.531068;0.966417;0.528884;0.968952;0.529163;0.970396
0.458919;0.17498;0.404273;0.921346;0.431969;0.904325;0.458877;0.910682;0.480075;0.92398;0.500301;0.929319;0.466489;0.952994;0.493668;0.964203;0.507074;0.96357;0.515781;0.961187;0.456872;0.970744;0.484782;0.977623;0.496566;0.971601;0.502922;0.963696;0.446803;0.979822;0.470855;0.98299;0.481953;0.975701;0.487978;0.965819;0.437947;0.985146;0.457459;0.987071;0.46705;0.980495;0.47258;0.971053;0.558395;0.931491;0.554088;0.952315;0.547918;0.967861;0.540912;0.977659;0.532601;0.983726;0.536466;0.959185;0.522309;0.968782;0.515231;0.976767;0.510253;0.985574;0.534228;0.952228;0.521798;0.963286;0.516423;0.972312;0.51313;0.980959;0.533587;0.946483;0.523606;0.95837;0.519764;0.967821;0.519204;0.974603;0.53377;0.941524;0.526053;0.952717;0.523102;0.96149;0.522475;0.968039
0.458764;0.175043;0.402565;0.92414;0.431168;0.906086;0.458372;0.911766;0.47948;0.925231;0.498609;0.931681;0.466289;0.954131;0.492438;0.965939;0.505892;0.966397;0.515314;0.964332;0.456937;0.971297;0.48403;0.979163;0.496263;0.975205;0.504172;0.968756;0.446576;0.980405;0.469608;0.983732;0.480847;0.977478;0.488146;0.967974;0.437438;0.985896;0.456039;0.988036;0.465534;0.982278;0.471953;0.973309;0.553667;0.934995;0.551514;0.955729;0.546947;0.96872;0.541328;0.975707;0.534671;0.979707;0.539037;0.961789;0.528915;0.969007;0.523412;0.975051;0.519792;0.980898;0.53487;0.953376;0.525053;0.962427;0.519255;0.970142;0.515219;0.977798;0.532607;0.94571;0.524068;0.955971;0.521429;0.963653;0.521462;0.96987;0.531721;0.939047;0.524587;0.949506;0.522709;0.956814;0.5228;0.962199
0.458902;0.177813;0.404632;0.922752;0.432433;0.905432;0.458909;0.91179;0.480082;0.924814;0.49992;0.930491;0.46646;0.955121;0.493657;0.966429;0.507303;0.965492;0.516052;0.962716;0.456838;0.972386;0.484802;0.979624;0.496853;0.973516;0.503464;0.965334;0.446813;0.981126;0.471272;0.984136;0.482537;0.976575;0.488826;0.96653;0.43843;0.986018;0.458074;0.986896;0.467571;0.980324;0.473044;0.970975
0.458247;0.180278;0.405861;0.933864;0.432668;0.913635;0.45735;0.917954;0.478024;0.928721;0.500447;0.929984;0.465644;0.962588;0.495004;0.970289;0.507814;0.966521;0.517359;0.963759;0.457225;0.981296;0.487151;0.984067;0.496508;0.974513;0.501596;0.966603;0.447861;0.989398;0.472497;0.988329;0.480426;0.97578;0.484298;0.963422;0.438735;0.992969;0.457483;0.990503;0.46562;0.980903;0.4697;0.971782;0.572264;0.936247;0.543687;0.94381;0.522653;0.966946;0.512465;0.990694;0.506506;1.00725;0.520301;0.980761;0.508818;1.01728;0.508155;1.04181;0.510085;1.06099;0.533586;0.984585;0.528236;1.027;0.529344;1.0539;0.532006;1.07343;0.54996;0.987495;0.549093;1.02757;0.551785;1.05205;0.554938;1.06792;0.567348;0.989247;0.569038;1.02016;0.571106;1.03778;0.573442;1.05013
0.457365;0.178349;0.403163;0.929399;0.431744;0.911342;0.458594;0.916777;0.479678;0.929921;0.498709;0.93558;0.465772;0.959591;0.492194;0.970557;0.505008;0.970188;0.513291;0.967527;0.455982;0.976244;0.482909;0.981746;0.494203;0.976691;0.500912;0.969954;0.445324;0.984115;0.468023;0.983436;0.476797;0.973841;0.481012;0.962732;0.436598;0.988284;0.455;0.985008;0.462284;0.97666;0.465533;0.967402;0.568569;0.944912;0.548956;0.947181;0.529991;0.962719;0.517939;0.979179;0.506678;0.989075;0.526722;0.976951;0.515726;0.999439;0.51026;1.01297;0.508269;1.02526;0.53652;0.983002;0.52891;1.00507;0.527898;1.01011;0.529744;1.01235;0.548284;0.98617;0.542666;1.00662;0.542592;1.01059;0.545858;1.00993;0.560569;0.988031;0.555551;1.00423;0.553935;1.00834;0.555618;1.00867
0.457249;0.178381;0.403642;0.929894;0.43168;0.912424;0.458468;0.918424;0.479195;0.931905;0.499538;0.937918;0.466143;0.960941;0.492387;0.973406;0.505682;0.974517;0.514904;0.97311;0.455838;0.977085;0.481134;0.981674;0.490794;0.974362;0.495546;0.96577;0.445057;0.984817;0.46537;0.9833;0.471561;0.972827;0.473173;0.961064;0.43593;0.989767;0.453239;0.987288;0.45938;0.978504;0.461251;0.968693;0.563852;0.945618;0.553639;0.956069;0.542003;0.968302;0.53268;0.978568;0.523401;0.987431;0.53277;0.972665;0.517076;0.983809;0.510254;0.990051;0.505851;0.995653;0.535477;0.972648;0.520707;0.985017;0.514819;0.99141;0.510697;0.996291;0.539082;0.970988;0.526051;0.981781;0.523087;0.985871;0.522526;0.987694;0.542335;0.969454;0.531592;0.978022;0.528821;0.981206;0.528022;0.983216
