face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.433386;0.205486;0.353756;0.959129;0.380402;0.958293;0.399846;0.980448;0.411157;1.00662;0.41481;1.03243;0.386272;1.00752;0.399887;1.0474;0.406237;1.07596;0.409656;1.10057;0.376737;1.01597;0.393656;1.05582;0.403173;1.08118;0.408833;1.10265;0.370071;1.02048;0.389105;1.05108;0.397353;1.06275;0.400645;1.06878;0.365;1.02325;0.381555;1.04386;0.389634;1.05029;0.393419;1.0536;0.579573;0.971382;0.556755;0.974883;0.536102;0.989439;0.52594;1.00777;0.524542;1.02161;0.537206;1.00129;0.539899;1.04945;0.539784;1.07681;0.538751;1.09378;0.554985;1.00615;0.555774;1.05523;0.555506;1.07152;0.553823;1.07835;0.570748;1.01268;0.572726;1.0529;0.571457;1.0643;0.56948;1.06816;0.583344;1.02045;0.580577;1.05094;0.578983;1.0583;0.57781;1.06232
0.431042;0.202549;0.382035;1.01663;0.395434;0.997328;0.401584;0.99131;0.403739;0.992327;0.404279;0.999388;0.390258;1.00422;0.391396;0.99888;0.393693;1.00186;0.395017;1.00396;0.37873;1.01188;0.378828;1.01008;0.381486;1.0198;0.383537;1.02991;0.37068;1.0183;0.370413;1.01482;0.373357;1.02765;0.375688;1.0433;0.365226;1.02494;0.36457;1.02624;0.365198;1.0334;0.366295;1.04229
0.427807;0.202714;0.567869;0.90249;0.534972;0.903052;0.506;0.907453;0.490436;0.91601;0.487066;0.925618;0.511674;0.965761;0.475963;0.977861;0.45491;0.965985;0.440871;0.958212;0.52499;0.973171;0.484152;0.982187;0.458062;0.966905;0.444802;0.956075;0.535997;0.968676;0.502187;0.964086;0.486275;0.944809;0.482758;0.930941;0.545578;0.955579;0.520445;0.946756;0.50663;0.928238;0.502566;0.913581;0.335236;0.890009;0.356876;0.875402;0.374447;0.890218;0.386565;0.91457;0.393841;0.931944;0.35878;0.938247;0.393778;0.955931;0.415731;0.956432;0.429632;0.955537;0.35463;0.95645;0.390105;0.977423;0.413113;0.979637;0.426387;0.97894;0.353968;0.964994;0.385146;0.985628;0.40465;0.989765;0.415726;0.989442;0.355805;0.96558;0.377464;0.982336;0.391859;0.983951;0.401475;0.982199
0.426931;0.200967;0.569214;0.893675;0.547388;0.924008;0.520357;0.942449;0.499313;0.947793;0.481946;0.947409;0.518322;0.951126;0.481498;0.95004;0.458405;0.946595;0.439535;0.945654;0.523593;0.934895;0.485423;0.931943;0.460306;0.929332;0.440049;0.932678;0.529387;0.915045;0.497269;0.913293;0.474851;0.910536;0.456524;0.911455;0.53515;0.893506;0.510349;0.888856;0.494352;0.889623;0.482537;0.891025;0.333362;0.881245;0.353883;0.898405;0.368926;0.917297;0.384479;0.931117;0.398845;0.938859;0.361404;0.944838;0.396098;0.959542;0.418321;0.95955;0.433054;0.953775;0.35658;0.937738;0.395214;0.952679;0.419139;0.950871;0.43654;0.945311;0.355782;0.923589;0.389841;0.937301;0.41506;0.934642;0.434589;0.929848;0.358633;0.907018;0.38418;0.916074;0.402345;0.917507;0.417713;0.917078
0.426644;0.201388;0.347309;0.879851;0.366873;0.900511;0.379389;0.918748;0.38908;0.933133;0.39643;0.943832;0.381248;0.922862;0.393172;0.935291;0.399983;0.935658;0.405146;0.932641;0.37229;0.919753;0.383464;0.931078;0.389259;0.926618;0.393825;0.92183;0.362228;0.913727;0.37103;0.921042;0.378389;0.913957;0.383167;0.908803;0.352265;0.905731;0.358764;0.907588;0.365545;0.904344;0.369928;0.901592
0.425549;0.204742;0.536849;0.805991;0.510483;0.77567;0.481588;0.77482;0.463348;0.78058;0.44781;0.784398;0.457953;0.821505;0.422889;0.824626;0.409178;0.816574;0.401834;0.808018;0.466365;0.83761;0.444365;0.824923;0.44916;0.808367;0.452152;0.800745;0.478301;0.844831;0.464753;0.82223;0.475045;0.809539;0.483049;0.805391;0.489555;0.847788;0.476662;0.826947;0.484436;0.814393;0.491723;0.808682;0.315669;0.820521;0.3286;0.792994;0.347966;0.793096;0.364729;0.806439;0.379442;0.819668;0.347571;0.844727;0.379868;0.856569;0.40663;0.8483;0.427892;0.836647;0.352432;0.862954;0.390782;0.877777;0.419329;0.867265;0.439662;0.853789;0.357564;0.871924;0.391364;0.882715;0.417003;0.873414;0.435381;0.863245;0.363058;0.872314;0.386979;0.881102;0.405292;0.877256;0.420101;0.870331
0.4284;0.204801;0.502854;0.734192;0.489699;0.700585;0.463631;0.692514;0.440615;0.697036;0.420962;0.694274;0.43762;0.714281;0.406404;0.716649;0.384036;0.7185;0.363689;0.719054;0.438789;0.734623;0.407833;0.74348;0.385382;0.747316;0.364358;0.74915;0.445083;0.751451;0.422641;0.759351;0.410858;0.756269;0.402374;0.753283;0.454643;0.764318;0.439504;0.766487;0.432563;0.761157;0.42966;0.758251;0.300856;0.758477;0.309126;0.728018;0.330267;0.717172;0.352999;0.718989;0.372117;0.72216;0.35094;0.761218;0.393612;0.744584;0.394576;0.72175;0.390124;0.708607;0.35952;0.779999;0.409901;0.758775;0.427016;0.734004;0.433992;0.718457;0.36466;0.78805;0.408125;0.768325;0.420719;0.741641;0.423855;0.724603;0.367204;0.78801;0.396817;0.77465;0.406405;0.760332;0.408339;0.749729
0.42886;0.203923;0.510829;0.720935;0.491294;0.684532;0.462175;0.670347;0.436447;0.673855;0.414373;0.678709;0.44463;0.692639;0.414387;0.699939;0.39379;0.706385;0.377019;0.714442;0.444984;0.715322;0.414153;0.7213;0.395581;0.728156;0.381744;0.732277;0.44896;0.734933;0.424318;0.738911;0.4215;0.738693;0.424026;0.737788;0.455519;0.751595;0.434201;0.752893;0.429371;0.749034;0.430074;0.746204;0.28964;0.744232;0.301357;0.706689;0.321637;0.691505;0.342782;0.686041;0.360549;0.680168;0.343941;0.732462;0.384643;0.717641;0.399661;0.702277;0.409497;0.691631;0.353712;0.755137;0.396923;0.73699;0.418548;0.719175;0.434437;0.704709;0.358945;0.76866;0.398475;0.755837;0.420654;0.740965;0.436154;0.727369;0.360623;0.774886;0.391837;0.76787;0.410612;0.759639;0.42461;0.750465
0.431348;0.203767;0.511175;0.705801;0.486932;0.666045;0.458751;0.653468;0.433193;0.656391;0.412331;0.664281;0.446994;0.672855;0.418423;0.682639;0.401035;0.690605;0.386902;0.699024;0.44632;0.69585;0.418868;0.703358;0.402417;0.710554;0.39076;0.716897;0.448863;0.716377;0.425757;0.722589;0.424447;0.722924;0.427494;0.720838;0.453798;0.734091;0.436026;0.735526;0.43226;0.734427;0.433817;0.732327;0.287156;0.737631;0.300601;0.699982;0.318684;0.680769;0.340219;0.673546;0.358695;0.668896;0.348299;0.720125;0.391002;0.708247;0.410746;0.694422;0.424288;0.683562;0.355528;0.742056;0.399224;0.72822;0.422365;0.712167;0.438776;0.699008;0.358345;0.755007;0.397555;0.744071;0.420105;0.731677;0.435448;0.719269;0.358036;0.759751;0.388687;0.752879;0.406079;0.746285;0.41887;0.738239
0.432829;0.204114;0.508426;0.69454;0.487679;0.659939;0.461713;0.644411;0.436989;0.645954;0.415712;0.651132;0.449656;0.656093;0.424157;0.661853;0.406138;0.668335;0.391517;0.675378;0.446609;0.678591;0.421923;0.682823;0.404265;0.690579;0.392452;0.698341;0.446959;0.699604;0.425617;0.703941;0.418214;0.709363;0.416189;0.713629;0.449324;0.718521;0.432222;0.721066;0.425117;0.724302;0.422513;0.727578;0.284876;0.732844;0.295022;0.693324;0.313229;0.671921;0.336838;0.663183;0.358556;0.657297;0.34134;0.712604;0.384541;0.697911;0.407055;0.683008;0.42289;0.670341;0.351556;0.735465;0.397357;0.716872;0.422205;0.698442;0.439554;0.682376;0.357139;0.7476;0.398358;0.731311;0.422266;0.71561;0.438523;0.700274;0.358965;0.751491;0.391037;0.741955;0.409341;0.732587;0.422474;0.721517
