face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.454328;0.256888;0.413348;0.930861;0.439157;0.915272;0.461045;0.933243;0.477802;0.96029;0.490475;0.984452;0.461543;0.970645;0.48101;1.00109;0.491697;1.02016;0.497959;1.03511;0.45314;0.986736;0.474678;1.01987;0.486441;1.04289;0.495438;1.06388;0.444217;0.996703;0.464276;1.03032;0.476348;1.05319;0.484176;1.07378;0.43504;1.00151;0.447666;1.02974;0.456752;1.04545;0.462096;1.05808
0.456047;0.255691;0.409671;0.821218;0.44457;0.818209;0.463314;0.82837;0.471267;0.851506;0.469597;0.870294;0.470453;0.882125;0.479906;0.926581;0.472379;0.924634;0.466463;0.911926;0.454051;0.89536;0.461805;0.936628;0.454492;0.927537;0.450971;0.91294;0.433862;0.899203;0.440726;0.933511;0.434619;0.921949;0.431184;0.906885;0.413178;0.896155;0.41516;0.922007;0.412607;0.911919;0.411316;0.897119
0.460025;0.254754;0.415918;0.760902;0.440277;0.765293;0.457205;0.774718;0.467883;0.785358;0.471428;0.797337;0.474581;0.763092;0.486266;0.780036;0.480225;0.790255;0.473125;0.795563;0.468295;0.752175;0.477967;0.77167;0.471266;0.78449;0.465798;0.793381;0.45743;0.747401;0.465161;0.764617;0.458993;0.776686;0.453646;0.786991;0.444785;0.745615;0.450461;0.755874;0.448201;0.765799;0.446252;0.776288;0.643169;0.812622;0.611751;0.823737;0.587524;0.847859;0.57442;0.873725;0.568127;0.892779;0.606092;0.840742;0.590474;0.844298;0.584449;0.854612;0.583373;0.857359;0.627703;0.842057;0.607081;0.825218;0.599828;0.83132;0.596092;0.834194;0.648053;0.841054;0.626667;0.820388;0.619318;0.825759;0.615972;0.832184;0.666829;0.838677;0.653524;0.826023;0.643188;0.82778;0.635228;0.83206
0.459302;0.254339;0.654034;0.797845;0.62468;0.783222;0.596965;0.786296;0.576675;0.804097;0.562375;0.817165;0.604958;0.834722;0.601863;0.851962;0.611471;0.835894;0.620681;0.820769;0.623981;0.852904;0.631167;0.863566;0.63544;0.846533;0.637234;0.834674;0.645115;0.862507;0.653763;0.870603;0.656113;0.853655;0.656376;0.84406;0.665669;0.867167;0.671723;0.877432;0.67284;0.862256;0.67278;0.850627
0.454924;0.255179;0.650005;0.799317;0.623392;0.77713;0.601919;0.766195;0.586719;0.760997;0.576579;0.753045;0.608588;0.830875;0.618527;0.820246;0.621755;0.804012;0.624813;0.790039;0.624342;0.852495;0.637231;0.837342;0.6391;0.816358;0.640094;0.802929;0.642241;0.864501;0.653821;0.851369;0.656162;0.831825;0.657569;0.819616;0.66017;0.86949;0.669482;0.861073;0.672803;0.843474;0.674711;0.829169;0.440871;0.673083;0.462173;0.681419;0.474961;0.681276;0.478873;0.678525;0.480239;0.680143;0.46836;0.629393;0.471858;0.635233;0.471962;0.65598;0.469997;0.66994;0.452174;0.62722;0.456101;0.644836;0.455769;0.670521;0.45551;0.682196;0.438354;0.635214;0.438862;0.656967;0.438037;0.681266;0.439096;0.693937;0.426367;0.647749;0.424092;0.664505;0.423524;0.683106;0.424706;0.694343
0.455701;0.257721;0.640363;0.786973;0.615769;0.768047;0.606001;0.767858;0.598431;0.777195;0.595281;0.778219;0.60727;0.820354;0.620086;0.810481;0.624389;0.802608;0.627679;0.794522;0.620576;0.842364;0.629042;0.833476;0.632585;0.823646;0.637135;0.815991;0.635027;0.855077;0.642989;0.850491;0.647661;0.840435;0.650047;0.833045;0.649842;0.861197;0.655274;0.859876;0.659622;0.8515;0.663113;0.843727;0.430024;0.680185;0.456238;0.664667;0.471027;0.64784;0.481904;0.631973;0.488608;0.617798;0.458894;0.63103;0.469661;0.629506;0.473839;0.627797;0.475504;0.624781;0.44882;0.632533;0.457567;0.62791;0.462452;0.621122;0.465872;0.616291;0.438579;0.635629;0.445698;0.628218;0.450507;0.620835;0.455104;0.615422;0.428834;0.639965;0.431537;0.628922;0.432809;0.621567;0.43573;0.615615
0.456085;0.257719;0.631762;0.779848;0.615113;0.77121;0.60938;0.778762;0.606454;0.793904;0.605453;0.803588;0.610538;0.824122;0.614399;0.825578;0.619777;0.820512;0.625214;0.81703;0.621265;0.840935;0.623953;0.842105;0.628082;0.837395;0.63296;0.834453;0.633151;0.850138;0.636435;0.851751;0.639454;0.846689;0.642944;0.842414;0.645659;0.853407;0.648665;0.859581;0.650358;0.855411;0.652988;0.849775;0.435797;0.678077;0.45772;0.664568;0.469217;0.652198;0.478649;0.642395;0.484887;0.634278;0.457984;0.635981;0.465228;0.623855;0.47111;0.615938;0.476458;0.610065;0.450177;0.63626;0.457163;0.623623;0.463336;0.614351;0.469473;0.607887;0.443009;0.63974;0.449194;0.627645;0.453693;0.619491;0.458785;0.613562;0.436552;0.645692;0.438694;0.63727;0.440617;0.630254;0.443743;0.624005
0.456146;0.255752;0.627185;0.780369;0.622205;0.782561;0.623572;0.795254;0.624505;0.80521;0.625661;0.813467;0.623759;0.837431;0.626059;0.837439;0.62986;0.833397;0.633732;0.830354;0.629173;0.843647;0.628505;0.843674;0.631599;0.842113;0.635889;0.842916;0.635469;0.843531;0.636022;0.844166;0.63739;0.841285;0.639248;0.839205;0.641742;0.839504;0.642791;0.842522;0.643849;0.841034;0.645248;0.837976
0.456039;0.254784;0.445148;0.602164;0.469831;0.591282;0.486674;0.571599;0.49316;0.547752;0.485359;0.531262;0.473467;0.536136;0.481531;0.520017;0.486;0.529582;0.487213;0.539612;0.458721;0.539075;0.468204;0.525225;0.474383;0.535203;0.476985;0.546362;0.445873;0.5489;0.454564;0.537126;0.461328;0.545448;0.464922;0.555351;0.434794;0.561792;0.442005;0.555858;0.44666;0.562002;0.449558;0.569692;0.557002;0.625458;0.532983;0.600568;0.52206;0.570115;0.51977;0.54561;0.521452;0.528195;0.537186;0.54355;0.535322;0.520455;0.530082;0.531081;0.526548;0.543335;0.552541;0.549464;0.548558;0.532853;0.542393;0.546801;0.539062;0.559345;0.566963;0.561321;0.562501;0.549605;0.554372;0.563542;0.549565;0.575297;0.580013;0.576934;0.575794;0.56717;0.567749;0.577078;0.562361;0.586176
0.456548;0.251296;0.445207;0.595767;0.467953;0.593927;0.487499;0.575196;0.494706;0.549771;0.489613;0.532198;0.478397;0.549167;0.483957;0.532671;0.484174;0.540377;0.483178;0.549923;0.463376;0.547413;0.467235;0.535025;0.468905;0.544467;0.468746;0.554971;0.44882;0.551706;0.451556;0.541194;0.453726;0.55018;0.454104;0.563103;0.435945;0.557739;0.438339;0.551756;0.439076;0.558925;0.439504;0.569315;0.557598;0.634813;0.53215;0.611623;0.519734;0.578547;0.515463;0.552554;0.510332;0.531573;0.537712;0.555842;0.539355;0.529835;0.532225;0.520855;0.521878;0.520609;0.551405;0.560953;0.551926;0.537071;0.539803;0.534377;0.526665;0.53936;0.564943;0.572619;0.563901;0.553503;0.552104;0.551475;0.540085;0.554928;0.578619;0.59032;0.579556;0.574332;0.570186;0.570951;0.560563;0.571273
