face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.483798;0.268912;0.419617;0.937333;0.449685;0.922685;0.483906;0.920639;0.50992;0.916149;0.522193;0.917946;0.506151;0.960448;0.552635;0.953405;0.555489;0.94382;0.55257;0.939711;0.502258;0.970482;0.532203;0.955429;0.520633;0.939486;0.510312;0.936749;0.493079;0.968148;0.515563;0.947926;0.503497;0.936878;0.492614;0.937655;0.483386;0.9602;0.497256;0.943005;0.485421;0.934211;0.47502;0.934614
0.485237;0.264657;0.606132;0.906998;0.581084;0.887792;0.553324;0.896297;0.530877;0.906145;0.513497;0.907186;0.542886;0.958921;0.533104;0.993092;0.531904;1.0128;0.537025;1.02686;0.554254;0.972593;0.545248;1.01005;0.540341;1.0335;0.538669;1.05375;0.567083;0.982481;0.557909;1.0146;0.551818;1.03915;0.550366;1.06063;0.580786;0.986999;0.572512;1.01284;0.566684;1.02905;0.565443;1.04378;0.419882;0.879575;0.441415;0.927206;0.47551;0.942617;0.501537;0.938584;0.517482;0.92949;0.50643;0.90856;0.538221;0.898878;0.534538;0.897567;0.528362;0.901123;0.503181;0.878616;0.524229;0.878417;0.510374;0.882668;0.49942;0.891279;0.493775;0.852763;0.502644;0.858244;0.489418;0.862646;0.478079;0.869966;0.483046;0.832485;0.489196;0.842658;0.478834;0.849732;0.467459;0.856599
0.485804;0.262236;0.59289;0.884342;0.575768;0.91226;0.556481;0.935215;0.548606;0.952421;0.548623;0.960792;0.540148;0.940535;0.53641;0.968441;0.540297;0.968919;0.541024;0.961222;0.549672;0.940367;0.546496;0.960247;0.550899;0.957756;0.550811;0.949474;0.562376;0.936924;0.557917;0.955556;0.561783;0.950882;0.561031;0.941469;0.575693;0.933782;0.5714;0.948189;0.571817;0.943468;0.569599;0.934824;0.405176;0.855054;0.435883;0.840679;0.462578;0.841508;0.48478;0.849696;0.498244;0.862812;0.502008;0.856181;0.509404;0.869373;0.492357;0.865881;0.47871;0.857457;0.496482;0.866936;0.499575;0.871388;0.479434;0.866356;0.462328;0.857849;0.485254;0.875017;0.488651;0.877932;0.466935;0.867722;0.450436;0.858649;0.470326;0.8818;0.477;0.882048;0.460138;0.872085;0.446065;0.863823
0.487552;0.262019;0.595409;0.733108;0.580312;0.697924;0.561263;0.67953;0.54766;0.67649;0.543155;0.684892;0.526425;0.687243;0.517045;0.706787;0.528816;0.713504;0.538417;0.710746;0.525717;0.715381;0.524051;0.738014;0.541217;0.742355;0.549763;0.735223;0.534459;0.744536;0.538859;0.767118;0.557323;0.76998;0.567474;0.759623;0.548454;0.771174;0.551465;0.789788;0.567338;0.79122;0.579943;0.780432
0.484146;0.264373;0.603159;0.662016;0.566431;0.654968;0.54326;0.638933;0.52946;0.620628;0.526538;0.604197;0.531681;0.637721;0.516345;0.594105;0.52585;0.58654;0.531977;0.59514;0.541631;0.629975;0.52871;0.590571;0.539737;0.586496;0.546819;0.59752;0.555439;0.621915;0.543409;0.589282;0.552911;0.590091;0.559652;0.603359;0.570692;0.615216;0.559303;0.591831;0.566002;0.595285;0.572128;0.605128;0.3911;0.606593;0.383411;0.569756;0.392819;0.540943;0.407874;0.531871;0.420812;0.540045;0.414043;0.531382;0.432504;0.526325;0.429548;0.540642;0.422583;0.548189;0.427635;0.550875;0.441034;0.547943;0.434899;0.5621;0.42761;0.569528;0.435359;0.574493;0.445383;0.57511;0.438684;0.586632;0.431631;0.5916;0.438883;0.598896;0.445643;0.600243;0.439414;0.609857;0.432774;0.614513
0.48536;0.265692;0.60889;0.636508;0.593677;0.599188;0.568743;0.583538;0.545304;0.584392;0.527766;0.590675;0.554461;0.578263;0.524878;0.582373;0.525419;0.590835;0.53344;0.593173;0.551047;0.600467;0.523402;0.601772;0.526378;0.607694;0.533257;0.609681;0.550965;0.623543;0.526211;0.623828;0.530259;0.627762;0.538865;0.629261;0.55303;0.645523;0.532331;0.643615;0.534836;0.64373;0.542483;0.644911;0.386448;0.586352;0.38155;0.551439;0.390486;0.532856;0.40184;0.524251;0.412273;0.523887;0.417208;0.516192;0.421396;0.528187;0.415379;0.540189;0.409505;0.546927;0.430086;0.531264;0.431596;0.544293;0.424449;0.554391;0.418694;0.558913;0.437204;0.553877;0.438412;0.565217;0.429311;0.572864;0.421783;0.576484;0.441545;0.577744;0.443891;0.584168;0.434566;0.590722;0.42724;0.594683
0.48338;0.267474;0.607354;0.625383;0.594933;0.585406;0.575212;0.57211;0.557456;0.570255;0.546014;0.570688;0.547419;0.568083;0.530796;0.556991;0.53472;0.554935;0.540288;0.557141;0.542439;0.58834;0.526329;0.572919;0.531857;0.568382;0.537597;0.569276;0.542963;0.608244;0.526826;0.59468;0.532634;0.590448;0.539741;0.591038;0.54648;0.626669;0.531933;0.615461;0.535432;0.610359;0.542064;0.609552;0.383873;0.569108;0.378257;0.534518;0.388571;0.515444;0.400965;0.506621;0.410391;0.506701;0.417174;0.492695;0.413736;0.512162;0.404072;0.527748;0.396753;0.536037;0.431404;0.508419;0.425268;0.529353;0.414752;0.54132;0.406827;0.547265;0.439035;0.531584;0.433147;0.550387;0.42122;0.558503;0.412755;0.561082;0.442663;0.555866;0.437607;0.57057;0.425687;0.576214;0.418122;0.576837
0.481482;0.266833;0.600839;0.618411;0.591029;0.577057;0.576004;0.559569;0.560313;0.553906;0.549001;0.551892;0.544546;0.555094;0.532286;0.54672;0.533461;0.546318;0.537218;0.54924;0.537748;0.573014;0.529343;0.561329;0.53442;0.559821;0.539181;0.562724;0.537402;0.590349;0.528071;0.58024;0.534715;0.578378;0.541767;0.580382;0.540329;0.606695;0.53122;0.59853;0.535411;0.595717;0.541519;0.5959;0.389314;0.560822;0.376785;0.523379;0.382752;0.502687;0.391826;0.497864;0.399184;0.502477;0.420011;0.47895;0.412305;0.493229;0.403413;0.51031;0.397451;0.521925;0.436139;0.498708;0.425811;0.515004;0.415585;0.527504;0.409935;0.536947;0.442305;0.525741;0.432193;0.541638;0.420766;0.550059;0.414292;0.555183;0.444219;0.554438;0.434918;0.565997;0.423942;0.572374;0.417541;0.575695
0.481756;0.267507;0.390169;0.560267;0.377591;0.522523;0.384206;0.497987;0.395431;0.491874;0.403325;0.498191;0.425093;0.476422;0.416318;0.483155;0.40725;0.499899;0.40263;0.509935;0.441291;0.497852;0.429433;0.507658;0.419565;0.518708;0.415145;0.526036;0.446965;0.524507;0.435382;0.531832;0.424588;0.539928;0.418804;0.544633;0.448849;0.550919;0.438395;0.555523;0.427786;0.562313;0.4218;0.566108
0.481888;0.26947;0.39361;0.557033;0.39687;0.519207;0.410091;0.496699;0.423875;0.483583;0.431447;0.476179;0.434867;0.487189;0.456577;0.497465;0.44858;0.507459;0.43961;0.507285;0.445149;0.503985;0.457623;0.513585;0.448019;0.52345;0.438574;0.525091;0.449774;0.524534;0.457742;0.533862;0.448403;0.543066;0.438255;0.543864;0.451558;0.546116;0.454907;0.551857;0.445759;0.558418;0.436929;0.558797;0.590886;0.583071;0.569386;0.559083;0.548489;0.54288;0.530798;0.538473;0.517059;0.53773;0.531289;0.522222;0.496596;0.522651;0.483093;0.526502;0.477018;0.522712;0.53014;0.533231;0.498862;0.558308;0.505815;0.5713;0.514789;0.567336;0.532993;0.553554;0.509854;0.584932;0.520198;0.594531;0.52869;0.58754;0.53867;0.577243;0.521245;0.604773;0.530514;0.610514;0.537379;0.604169
