face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.641272;0.191443;0.282666;0.933851;0.284694;0.945004;0.287013;0.960451;0.288295;0.972152;0.289006;0.982032;0.290988;0.971171;0.29475;0.99281;0.29728;1.00877;0.299702;1.02306;0.289633;0.971489;0.292555;0.995574;0.293741;1.01177;0.295223;1.02593;0.287991;0.970842;0.289641;0.992597;0.28898;1.00692;0.288123;1.01775;0.286014;0.969347;0.287556;0.984973;0.2882;0.992958;0.288417;0.998153
0.642435;0.190337;0.284205;0.936177;0.291791;0.951874;0.29311;0.971092;0.290592;0.985539;0.287335;0.994916;0.299389;0.971608;0.298918;0.994639;0.298519;1.01077;0.297558;1.02385;0.292856;0.971305;0.292567;0.997307;0.292143;1.01516;0.291701;1.02946;0.285864;0.970762;0.284314;0.996819;0.283981;1.0149;0.283239;1.02784;0.279131;0.970036;0.279485;0.990515;0.280099;1.00312;0.280343;1.01187;0.19838;0.853574;0.221589;0.829205;0.240673;0.828537;0.252432;0.833459;0.254777;0.841637;0.263313;0.847033;0.277965;0.877574;0.276365;0.893676;0.274139;0.903893;0.259832;0.869494;0.277062;0.902139;0.280449;0.916259;0.282952;0.923616;0.248846;0.889311;0.250466;0.912579;0.239639;0.905079;0.233743;0.893918;0.234137;0.905303;0.232924;0.921577;0.224132;0.914347;0.219725;0.904103
0.642418;0.189594;0.284597;0.938348;0.289137;0.949893;0.29084;0.967345;0.289518;0.980999;0.287499;0.991791;0.29706;0.972693;0.29741;0.996365;0.298082;1.01415;0.297909;1.02988;0.291705;0.97445;0.29195;0.999519;0.29253;1.01774;0.29342;1.03378;0.286351;0.974691;0.285778;0.99873;0.286287;1.01564;0.286624;1.02941;0.28163;0.973571;0.282349;0.991548;0.283995;1.00237;0.285801;1.0106;0.202328;0.840947;0.228423;0.831122;0.245445;0.841021;0.253706;0.854051;0.256628;0.868372;0.260061;0.862714;0.277773;0.894064;0.286074;0.914028;0.2929;0.928075;0.25267;0.875945;0.258897;0.906846;0.257561;0.922458;0.257537;0.926663;0.240074;0.886956;0.241081;0.906493;0.237371;0.906872;0.233658;0.898609;0.227025;0.894472;0.230202;0.909911;0.226867;0.908835;0.223346;0.90328
0.642886;0.189967;0.284798;0.939943;0.288377;0.951202;0.290197;0.968663;0.29059;0.982379;0.290285;0.994298;0.295115;0.976138;0.294565;0.999175;0.294809;1.0163;0.294726;1.0308;0.291237;0.976829;0.290657;1.00082;0.290886;1.01836;0.291342;1.03263;0.287277;0.97625;0.286505;0.998295;0.287226;1.01439;0.287643;1.02652;0.283827;0.97481;0.283656;0.992295;0.284797;1.00341;0.286192;1.01164
0.641585;0.190052;0.284325;0.941414;0.282213;0.955536;0.283716;0.974235;0.284913;0.987901;0.285575;0.999073;0.291641;0.981858;0.292276;1.00301;0.291637;1.01608;0.290789;1.02685;0.293094;0.979866;0.2934;0.999548;0.292853;1.01177;0.292083;1.02163;0.292837;0.97703;0.292802;0.993676;0.292241;1.00308;0.291105;1.00866;0.291837;0.974072;0.291335;0.988332;0.290844;0.995121;0.290253;0.998606;0.23405;0.618663;0.224905;0.592861;0.226705;0.577651;0.22879;0.567257;0.23036;0.563084;0.25811;0.565966;0.265441;0.567127;0.26338;0.574247;0.260284;0.578063;0.266337;0.578656;0.273358;0.580544;0.268917;0.590304;0.264748;0.593739;0.269186;0.594516;0.275037;0.599877;0.269662;0.608571;0.263704;0.61053;0.269186;0.611143;0.271702;0.617062;0.266908;0.623404;0.261687;0.625771
0.639031;0.191587;0.284329;0.94485;0.279888;0.957622;0.280895;0.975583;0.284033;0.988837;0.286837;0.999884;0.285308;0.986994;0.286405;1.00831;0.286836;1.02249;0.286732;1.03536;0.289713;0.985023;0.29069;1.00556;0.291294;1.01896;0.290927;1.03017;0.292856;0.981567;0.293014;0.998575;0.292856;1.00916;0.291472;1.01616;0.294705;0.977266;0.294214;0.991071;0.29349;0.99793;0.292472;1.00174
0.634815;0.196563;0.286557;0.945346;0.288938;0.961932;0.289489;0.98119;0.288239;0.996348;0.287257;1.00968;0.299989;0.992806;0.296766;1.01709;0.292813;1.0271;0.290464;1.03249;0.296866;0.992761;0.292336;1.01618;0.288056;1.02379;0.285954;1.02825;0.29221;0.991024;0.286857;1.01021;0.283592;1.01045;0.282743;1.00765;0.287876;0.988814;0.283935;1.0026;0.281986;1.00408;0.281622;1.00328;0.535072;0.38029;0.540672;0.342284;0.551586;0.304569;0.554373;0.274727;0.549256;0.252758;0.554529;0.305638;0.580724;0.287371;0.597806;0.277592;0.612982;0.269431;0.556854;0.325426;0.598457;0.316499;0.590478;0.326891;0.578518;0.329301;0.560736;0.349009;0.597653;0.342799;0.589549;0.348781;0.578937;0.349042;0.564441;0.372736;0.594719;0.360898;0.588623;0.364007;0.578963;0.366791
0.643034;0.199499;0.287029;0.949176;0.287721;0.957476;0.2882;0.977244;0.288205;0.994094;0.288233;1.00834;0.293288;0.994821;0.292285;1.02264;0.292525;1.04222;0.292859;1.06009;0.291652;0.997117;0.290318;1.02391;0.290123;1.04334;0.2899;1.061;0.289537;0.997415;0.288422;1.01927;0.287667;1.03551;0.286663;1.04894;0.287685;0.995703;0.286622;1.00967;0.286567;1.01863;0.286773;1.02612;0.538756;0.379184;0.54704;0.339565;0.560816;0.304825;0.567993;0.276001;0.566522;0.254927;0.551203;0.309402;0.571507;0.290421;0.583869;0.28051;0.593639;0.269135;0.551465;0.325764;0.589256;0.318518;0.588279;0.329901;0.581352;0.333911;0.554556;0.347405;0.590108;0.344139;0.585909;0.35255;0.577925;0.353503;0.557867;0.368959;0.588596;0.36155;0.587241;0.365745;0.581556;0.367637
0.644089;0.200432;0.285037;0.946939;0.28565;0.964987;0.286378;0.984252;0.286302;0.998708;0.284648;1.01119;0.297601;0.99599;0.295027;1.02014;0.291822;1.03122;0.290312;1.03851;0.29632;0.995009;0.29232;1.01878;0.288402;1.02693;0.286515;1.03208;0.292796;0.99236;0.286926;1.01139;0.28374;1.012;0.283193;1.00989;0.28925;0.989483;0.284325;1.0029;0.282145;1.00435;0.28176;1.00396;0.541364;0.380848;0.547943;0.341128;0.56031;0.306294;0.566883;0.278652;0.565995;0.257663;0.554721;0.310895;0.572263;0.290176;0.585357;0.277937;0.596245;0.265302;0.554582;0.325933;0.5898;0.320633;0.594853;0.332287;0.593063;0.337285;0.557291;0.346526;0.591825;0.346003;0.591304;0.356168;0.585412;0.359176;0.560765;0.367245;0.588851;0.362763;0.590953;0.367306;0.589102;0.370261
0.643651;0.201774;0.285951;0.950556;0.284204;0.960031;0.284523;0.97973;0.286084;0.996071;0.287855;1.00943;0.287971;1.00002;0.287281;1.02725;0.287734;1.0465;0.288595;1.06443;0.290112;1.00065;0.289691;1.02699;0.289523;1.04557;0.289336;1.06224;0.291532;0.998867;0.290408;1.01973;0.289338;1.0343;0.288248;1.04565;0.292487;0.995273;0.290044;1.00949;0.289594;1.01794;0.289753;1.02466;0.542097;0.37881;0.550161;0.338394;0.561111;0.30303;0.565521;0.273458;0.561695;0.252998;0.556203;0.309744;0.576756;0.291024;0.590524;0.279036;0.601436;0.267475;0.555209;0.325867;0.595227;0.320423;0.595211;0.332949;0.588307;0.337741;0.557537;0.347131;0.594407;0.344668;0.591337;0.354228;0.583363;0.356418;0.560784;0.368377;0.589774;0.364708;0.589451;0.370105;0.585257;0.372157
0.643584;0.205382;0.283929;0.947261;0.284192;0.96676;0.285234;0.987096;0.285995;1.00245;0.285429;1.01459;0.295599;0.99906;0.293875;1.02299;0.289813;1.03148;0.286871;1.03622;0.294845;0.997427;0.290961;1.02068;0.285943;1.02615;0.2829;1.02887;0.291922;0.994286;0.286698;1.01267;0.282656;1.01404;0.28086;1.01236;0.288659;0.990956;0.284337;1.0047;0.281438;1.00702;0.279975;1.00726;0.541374;0.378421;0.548232;0.338659;0.560752;0.303278;0.567053;0.273236;0.565882;0.251894;0.55416;0.309357;0.576867;0.290631;0.589314;0.280244;0.598603;0.2688;0.553967;0.326026;0.592741;0.316676;0.594388;0.324929;0.589472;0.326875;0.557274;0.34759;0.594254;0.343291;0.588013;0.352696;0.578216;0.354539;0.561895;0.36875;0.592975;0.360473;0.590066;0.365506;0.583761;0.368451
0.640422;0.20455;0.283951;0.951135;0.280609;0.96672;0.282286;0.987537;0.286821;1.00234;0.292196;1.01421;0.28368;1.00177;0.283;1.031;0.283182;1.05102;0.284497;1.06952;0.288982;1.00081;0.28769;1.02914;0.287395;1.04861;0.288061;1.06631;0.293276;0.99749;0.291327;1.01671;0.286739;1.02022;0.284399;1.02234;0.296243;0.992724;0.294047;1.00655;0.291191;1.00938;0.290078;1.00956;0.541259;0.375754;0.548833;0.336548;0.5606;0.300961;0.565549;0.272872;0.563328;0.251344;0.555251;0.307603;0.573061;0.289932;0.586134;0.278045;0.596587;0.265362;0.55422;0.324552;0.59302;0.319959;0.594477;0.328756;0.588161;0.330602;0.556184;0.346731;0.594324;0.348231;0.589815;0.355265;0.580165;0.353494;0.559541;0.368991;0.589961;0.366764;0.587851;0.369892;0.581201;0.369753
0.642563;0.205302;0.28266;0.949663;0.276931;0.96651;0.276746;0.989415;0.279297;1.00735;0.281594;1.0214;0.284614;1.00407;0.284743;1.03085;0.283709;1.04566;0.283238;1.05673;0.29168;1.00318;0.290348;1.02926;0.288054;1.04068;0.286281;1.04854;0.296377;0.99894;0.293749;1.01934;0.289989;1.02238;0.287896;1.02188;0.298967;0.993744;0.295173;1.0098;0.291812;1.01344;0.29006;1.01358;0.542732;0.375492;0.551693;0.337513;0.562907;0.302375;0.567271;0.271925;0.564076;0.248596;0.555454;0.308341;0.577118;0.291903;0.589718;0.2807;0.599544;0.267635;0.553402;0.325314;0.593151;0.318498;0.594744;0.327421;0.589703;0.330127;0.55512;0.347276;0.59369;0.345669;0.588626;0.353981;0.579216;0.353878;0.55839;0.368647;0.59;0.364314;0.587911;0.368237;0.581824;0.369533
