face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.436592;0.242648;0.30666;0.851691;0.331073;0.90432;0.346764;0.951161;0.35902;0.986065;0.366888;1.00546;0.343162;0.981611;0.341449;1.03182;0.350049;1.03856;0.362593;1.03543;0.327074;0.969931;0.326097;1.02147;0.334831;1.01995;0.346191;1.00782;0.31268;0.95245;0.310446;0.993081;0.324078;0.992268;0.337633;0.984347;0.298242;0.932422;0.298173;0.962097;0.310449;0.968383;0.321419;0.968416
0.433001;0.242948;0.405888;0.977317;0.405889;0.961961;0.408145;0.952276;0.411467;0.944794;0.413468;0.942636;0.438334;0.968606;0.452559;0.956246;0.448644;0.954316;0.442974;0.953205;0.450514;0.98017;0.466534;0.964392;0.46047;0.965182;0.45506;0.966984;0.458076;0.988574;0.469889;0.974639;0.465064;0.974033;0.459627;0.975007;0.462903;0.994373;0.472244;0.985994;0.468136;0.985787;0.462449;0.987992;0.315513;0.853579;0.321882;0.899506;0.337622;0.946462;0.35085;0.973185;0.365402;0.98719;0.352264;0.983297;0.379724;1.01283;0.40867;1.01336;0.433376;1.00575;0.347219;0.974335;0.386056;1.00653;0.414113;1.00592;0.436099;0.996586;0.341523;0.958624;0.377181;0.990377;0.408973;0.987555;0.431012;0.981917;0.331501;0.939853;0.358922;0.961139;0.386057;0.968056;0.407035;0.971325
0.437877;0.249275;0.404864;0.964466;0.416546;0.955352;0.4238;0.948843;0.428337;0.942113;0.432005;0.93734;0.45243;0.957736;0.466075;0.956704;0.460494;0.956621;0.452666;0.955296;0.449754;0.966187;0.464454;0.965115;0.459108;0.965179;0.453017;0.9638;0.443705;0.973435;0.457071;0.971346;0.451687;0.969002;0.445434;0.967344;0.43491;0.979009;0.44789;0.977355;0.445087;0.973954;0.439428;0.97296;0.3248;0.859635;0.335268;0.892285;0.349748;0.925124;0.360621;0.947538;0.374288;0.958679;0.360927;0.944277;0.382222;0.971221;0.401336;0.975468;0.416249;0.966799;0.358384;0.936642;0.385991;0.963385;0.406796;0.966662;0.421251;0.958469;0.355095;0.928147;0.382421;0.948441;0.402561;0.949693;0.415165;0.943584;0.350568;0.916944;0.370189;0.927272;0.38408;0.933373;0.394029;0.935874
0.44079;0.25345;0.404254;0.940803;0.42003;0.950185;0.433925;0.956033;0.442207;0.961532;0.446363;0.969451;0.450422;0.946436;0.458935;0.956505;0.453203;0.961008;0.448167;0.960008;0.448167;0.947912;0.456604;0.95869;0.449289;0.962179;0.444032;0.95954;0.443122;0.950888;0.449256;0.962261;0.441096;0.962166;0.434851;0.956858;0.436469;0.954231;0.441048;0.964843;0.435192;0.96231;0.429455;0.956684
0.439874;0.257196;0.422801;0.95;0.423134;0.936187;0.422554;0.917649;0.41469;0.904155;0.411152;0.892186;0.411466;0.910385;0.405471;0.891608;0.398378;0.880566;0.391109;0.874326;0.401968;0.907573;0.393534;0.887002;0.385337;0.869412;0.379688;0.862967;0.397034;0.908867;0.387803;0.886875;0.37973;0.867755;0.373334;0.859438;0.397488;0.91264;0.386874;0.895045;0.380732;0.877219;0.377189;0.86928;0.273467;0.880872;0.287335;0.934332;0.307591;0.942197;0.328659;0.934751;0.344311;0.921111;0.316525;0.90865;0.338324;0.903169;0.352698;0.903988;0.365414;0.90446;0.314242;0.865506;0.33004;0.856881;0.342395;0.855843;0.350844;0.857687;0.308081;0.82812;0.316509;0.82052;0.324301;0.828419;0.330061;0.833854;0.296785;0.799476;0.300389;0.791471;0.303418;0.800865;0.304999;0.808596
0.439711;0.256171;0.420794;0.922751;0.404739;0.931115;0.393092;0.931766;0.384202;0.929089;0.379756;0.926026;0.396971;0.911278;0.391881;0.917498;0.394204;0.924617;0.397459;0.928379;0.404379;0.907697;0.400634;0.916804;0.403131;0.922357;0.407007;0.924522;0.411288;0.905303;0.408787;0.912976;0.411645;0.917534;0.415656;0.9192;0.417356;0.901744;0.415156;0.904371;0.41645;0.909025;0.4189;0.912242;0.264575;0.883687;0.285294;0.836732;0.307339;0.809605;0.331419;0.804696;0.352163;0.815414;0.310531;0.841963;0.344144;0.845303;0.371445;0.840625;0.396306;0.833286;0.317902;0.866628;0.353704;0.868003;0.383928;0.858229;0.409683;0.847141;0.324738;0.886446;0.360651;0.881072;0.388127;0.869063;0.409871;0.857461;0.328742;0.900704;0.357048;0.893518;0.37846;0.885707;0.396333;0.878335
0.441541;0.254324;0.343586;0.838942;0.334374;0.814164;0.314791;0.800476;0.298978;0.803669;0.291327;0.809349;0.305094;0.807944;0.294569;0.830345;0.309659;0.83052;0.326581;0.822537;0.313157;0.834405;0.301174;0.856629;0.320788;0.851791;0.340182;0.841332;0.324251;0.860232;0.318593;0.874655;0.336541;0.866455;0.352603;0.854021;0.335672;0.882488;0.335535;0.892573;0.345366;0.885805;0.353883;0.874334
0.445093;0.24923;0.340371;0.852081;0.315077;0.840566;0.295235;0.831911;0.279527;0.822483;0.267072;0.81357;0.304584;0.83786;0.297489;0.84425;0.301715;0.842446;0.304486;0.839366;0.317158;0.846839;0.312799;0.854946;0.315264;0.851294;0.316471;0.84654;0.331046;0.855884;0.324764;0.862355;0.327478;0.856698;0.330906;0.848634;0.342647;0.862569;0.336103;0.864767;0.336297;0.860994;0.338336;0.855706;0.333769;0.857509;0.316323;0.814599;0.290719;0.791682;0.266006;0.789978;0.252236;0.794289;0.289824;0.836297;0.291446;0.808557;0.300817;0.809699;0.303943;0.822083;0.300651;0.861113;0.307815;0.8269;0.31814;0.828292;0.324451;0.836724;0.314441;0.877622;0.31927;0.844117;0.329236;0.844589;0.335312;0.848746;0.327373;0.888206;0.328858;0.863074;0.336888;0.86155;0.341069;0.865953
0.443349;0.252126;0.321847;0.836343;0.302792;0.816178;0.280926;0.806828;0.257758;0.803991;0.238537;0.801773;0.291686;0.809244;0.279912;0.818466;0.280276;0.819356;0.281376;0.819506;0.298737;0.828564;0.290608;0.844116;0.295375;0.847166;0.301571;0.847076;0.308288;0.84953;0.299386;0.867285;0.309022;0.865772;0.320317;0.858437;0.317067;0.869878;0.310636;0.881016;0.317708;0.879775;0.326301;0.873171
0.443306;0.251683;0.286236;0.831048;0.29636;0.842938;0.302102;0.846668;0.305138;0.846716;0.304655;0.847866;0.299857;0.839752;0.302172;0.846286;0.305971;0.848072;0.306194;0.847964;0.293196;0.834773;0.296114;0.845744;0.302169;0.845202;0.303848;0.841601;0.287862;0.831401;0.288609;0.8413;0.292425;0.83822;0.293937;0.832219;0.281971;0.828117;0.279225;0.831819;0.278109;0.82631;0.276138;0.817725;0.330496;0.826626;0.300149;0.798272;0.26431;0.781152;0.233318;0.784827;0.212754;0.789703;0.278565;0.805321;0.270032;0.830184;0.284905;0.827303;0.296751;0.820094;0.294215;0.83237;0.290721;0.855884;0.306675;0.853674;0.320067;0.843916;0.310214;0.857006;0.313334;0.878045;0.327101;0.87334;0.336906;0.858029;0.324286;0.87887;0.324223;0.894519;0.334885;0.888066;0.344199;0.87473
