face_x;face_y;landmark_x_1;landmark_y_1;landmark_z_1;landmark_x_2;landmark_y_2;landmark_z_2;landmark_x_3;landmark_y_3;landmark_z_3;landmark_x_4;landmark_y_4;landmark_z_4;landmark_x_5;landmark_y_5;landmark_z_5;landmark_x_6;landmark_y_6;landmark_z_6;landmark_x_7;landmark_y_7;landmark_z_7;landmark_x_8;landmark_y_8;landmark_z_8;landmark_x_9;landmark_y_9;landmark_z_9;landmark_x_10;landmark_y_10;landmark_z_10;landmark_x_11;landmark_y_11;landmark_z_11;landmark_x_12;landmark_y_12;landmark_z_12;landmark_x_13;landmark_y_13;landmark_z_13;landmark_x_14;landmark_y_14;landmark_z_14;landmark_x_15;landmark_y_15;landmark_z_15;landmark_x_16;landmark_y_16;landmark_z_16;landmark_x_17;landmark_y_17;landmark_z_17;landmark_x_18;landmark_y_18;landmark_z_18;landmark_x_19;landmark_y_19;landmark_z_19;landmark_x_20;landmark_y_20;landmark_z_20;landmark_x_21;landmark_y_21;landmark_z_21;landmark_x_22;landmark_y_22;landmark_z_22;landmark_x_23;landmark_y_23;landmark_z_23;landmark_x_24;landmark_y_24;landmark_z_24;landmark_x_25;landmark_y_25;landmark_z_25;landmark_x_26;landmark_y_26;landmark_z_26;landmark_x_27;landmark_y_27;landmark_z_27;landmark_x_28;landmark_y_28;landmark_z_28;landmark_x_29;landmark_y_29;landmark_z_29;landmark_x_30;landmark_y_30;landmark_z_30;landmark_x_31;landmark_y_31;landmark_z_31;landmark_x_32;landmark_y_32;landmark_z_32;landmark_x_33;landmark_y_33;landmark_z_33;landmark_x_34;landmark_y_34;landmark_z_34;landmark_x_35;landmark_y_35;landmark_z_35;landmark_x_36;landmark_y_36;landmark_z_36;landmark_x_37;landmark_y_37;landmark_z_37;landmark_x_38;landmark_y_38;landmark_z_38;landmark_x_39;landmark_y_39;landmark_z_39;landmark_x_40;landmark_y_40;landmark_z_40;landmark_x_41;landmark_y_41;landmark_z_41;landmark_x_42;landmark_y_42;landmark_z_42
0.442464;0.3081;0.611159;0.934121;1.18999e-05;0.649907;0.933299;-0.0413271;0.674982;0.946782;-0.07422;0.68038;0.968814;-0.0986086;0.676022;0.978275;-0.119483;0.661034;0.979061;-0.102404;0.671323;1.00746;-0.137616;0.668672;0.994948;-0.148159;0.665931;0.984027;-0.150689;0.634055;0.990977;-0.0955161;0.643895;1.02124;-0.140217;0.644705;1.00301;-0.157015;0.644034;0.987394;-0.171774;0.608342;0.99608;-0.0872929;0.615899;1.02077;-0.124051;0.615845;0.993961;-0.126441;0.613731;0.975124;-0.125738;0.586958;0.995833;-0.0807564;0.593088;1.01024;-0.109432;0.592559;0.991217;-0.121662;0.591174;0.976901;-0.129463
0.443233;0.307169;0.645122;0.873892;1.63791e-05;0.598826;0.901901;-0.0193717;0.560503;0.925602;-0.0636367;0.541246;0.953549;-0.10498;0.534015;0.985079;-0.14757;0.55489;0.878701;-0.154392;0.531092;0.947226;-0.216614;0.528657;0.993741;-0.238409;0.529227;1.02238;-0.24889;0.58822;0.86496;-0.163875;0.57006;0.946858;-0.231088;0.565498;1.00325;-0.257708;0.562736;1.03701;-0.276674;0.622821;0.866063;-0.167285;0.613421;0.944075;-0.22094;0.606416;0.997165;-0.232586;0.600796;1.02821;-0.24157;0.655682;0.877491;-0.169032;0.653061;0.946017;-0.213287;0.644913;0.986969;-0.233085;0.636766;1.01286;-0.248391
0.442223;0.307215;0.278693;0.844457;1.4562e-05;0.328106;0.852299;-0.0150961;0.369977;0.88995;-0.0488753;0.392209;0.936833;-0.0822754;0.398796;0.974495;-0.12388;0.357165;0.863644;-0.122713;0.383674;0.928617;-0.164706;0.391229;0.979877;-0.176216;0.394804;1.01215;-0.180259;0.32946;0.866681;-0.130645;0.350839;0.941381;-0.183059;0.360511;1.00036;-0.194102;0.368274;1.03763;-0.201567;0.299869;0.876151;-0.133367;0.316542;0.937023;-0.17886;0.327785;0.993118;-0.186325;0.336345;1.02965;-0.187569;0.272615;0.891563;-0.134067;0.283451;0.937936;-0.162062;0.29077;0.974689;-0.168439;0.298796;1.00133;-0.173883;0.647642;0.833515;1.81706e-05;0.589675;0.852845;-0.0168543;0.543436;0.876599;-0.0621479;0.518747;0.90797;-0.103972;0.510557;0.950496;-0.148571;0.54622;0.842517;-0.154217;0.515031;0.922884;-0.21867;0.508828;0.984615;-0.241629;0.508116;1.03043;-0.250473;0.582436;0.831212;-0.16579;0.55529;0.932084;-0.235607;0.547637;1.00683;-0.252731;0.545245;1.06038;-0.25913;0.621041;0.83491;-0.172189;0.600582;0.927339;-0.232031;0.589944;1.00135;-0.241817;0.583061;1.05409;-0.241252;0.656697;0.847795;-0.176423;0.645168;0.921462;-0.217353;0.63297;0.975071;-0.227703;0.62405;1.01523;-0.231843
0.442337;0.31069;0.284366;0.817484;1.4062e-05;0.331696;0.822907;-0.0163635;0.365088;0.854723;-0.0580195;0.380042;0.904275;-0.093659;0.382431;0.942357;-0.132594;0.365376;0.826182;-0.139569;0.391093;0.892966;-0.185019;0.39615;0.952351;-0.196669;0.398385;0.997713;-0.196669;0.332395;0.828201;-0.144091;0.356874;0.9251;-0.188084;0.366343;0.993928;-0.185325;0.374094;1.04209;-0.184559;0.300539;0.845553;-0.143937;0.32147;0.9427;-0.184712;0.336329;1.00342;-0.182566;0.348917;1.04266;-0.1795;0.275277;0.872831;-0.141025;0.289517;0.949987;-0.167084;0.302784;0.993224;-0.166471;0.316359;1.02245;-0.165704;0.657375;0.829837;2.27195e-05;0.598185;0.850585;-0.00978253;0.558886;0.870268;-0.0413999;0.529009;0.901104;-0.0724044;0.502402;0.93197;-0.101593;0.558271;0.814701;-0.107585;0.525462;0.869364;-0.154796;0.512322;0.916045;-0.173952;0.50396;0.957866;-0.180307;0.585593;0.815535;-0.124018;0.555131;0.878824;-0.179853;0.542382;0.934484;-0.190294;0.536296;0.981833;-0.191747;0.616663;0.826823;-0.137909;0.597957;0.895634;-0.18412;0.587067;0.94867;-0.192473;0.577591;0.991601;-0.195378;0.647801;0.844309;-0.149893;0.640307;0.902227;-0.183394;0.634945;0.942845;-0.190113;0.627474;0.976588;-0.193744
0.440826;0.31032;0.28014;0.791968;1.49497e-05;0.322372;0.807537;-0.00537652;0.356525;0.837418;-0.0411937;0.374456;0.878815;-0.0765238;0.381334;0.911704;-0.115639;0.360457;0.78655;-0.131671;0.391314;0.836933;-0.182885;0.40076;0.892521;-0.200253;0.402909;0.937192;-0.203371;0.331312;0.794778;-0.141246;0.35456;0.864881;-0.193128;0.365341;0.925359;-0.192831;0.371175;0.966479;-0.188526;0.300451;0.81535;-0.145625;0.32348;0.88651;-0.189268;0.336027;0.938801;-0.190901;0.344237;0.972523;-0.18719;0.273942;0.845002;-0.146293;0.291827;0.909951;-0.173681;0.303959;0.942609;-0.174275;0.314761;0.963818;-0.172049;0.647053;0.823294;1.73577e-05;0.596753;0.855665;-0.0162209;0.566018;0.873543;-0.0482718;0.542094;0.8939;-0.0787058;0.518386;0.916617;-0.106265;0.563917;0.790792;-0.106773;0.535106;0.825159;-0.164513;0.522366;0.868664;-0.194609;0.516513;0.90953;-0.206782;0.583431;0.780262;-0.118693;0.55731;0.820882;-0.17973;0.543654;0.878955;-0.196638;0.537481;0.926255;-0.201541;0.604489;0.785866;-0.130528;0.585916;0.831605;-0.18514;0.571957;0.890887;-0.202894;0.564372;0.940472;-0.207966;0.628208;0.803917;-0.140335;0.619073;0.845791;-0.184633;0.610636;0.889135;-0.202894;0.603877;0.928592;-0.212024
0.441573;0.316837;0.276213;0.773173;1.82174e-05;0.325976;0.793981;-0.00439332;0.362492;0.824672;-0.0435524;0.380823;0.865013;-0.0845474;0.38844;0.892174;-0.129679;0.360074;0.751145;-0.137878;0.388186;0.796744;-0.19136;0.398488;0.850751;-0.199785;0.403463;0.892889;-0.196926;0.332675;0.755131;-0.151794;0.353254;0.822568;-0.211068;0.362286;0.885014;-0.207307;0.367988;0.924489;-0.20159;0.303301;0.774603;-0.16067;0.32653;0.841102;-0.208661;0.338913;0.897754;-0.20505;0.346249;0.932954;-0.199032;0.278653;0.804283;-0.166236;0.298225;0.862973;-0.197979;0.310461;0.900116;-0.202493;0.320313;0.924102;-0.205351;0.618809;0.807027;1.45904e-05;0.597232;0.82486;-0.0333607;0.579018;0.831867;-0.069089;0.564748;0.843174;-0.0990061;0.547115;0.857301;-0.128277;0.566546;0.766077;-0.109911;0.54776;0.785631;-0.163001;0.536773;0.815512;-0.187107;0.526537;0.846211;-0.194568;0.579825;0.763767;-0.112996;0.552359;0.787578;-0.163575;0.5386;0.834344;-0.175198;0.527845;0.874955;-0.180076;0.593298;0.771898;-0.117731;0.568443;0.802123;-0.162858;0.557014;0.851305;-0.168454;0.54907;0.891515;-0.166015;0.607669;0.787345;-0.123255;0.594683;0.825424;-0.162427;0.588834;0.860609;-0.175915;0.583521;0.888294;-0.181942
0.441344;0.320039;0.276626;0.754727;2.01124e-05;0.33565;0.784648;-0.0183436;0.372844;0.807409;-0.0581973;0.39348;0.83718;-0.0953689;0.405589;0.862643;-0.13699;0.367326;0.721397;-0.132756;0.394565;0.754307;-0.184997;0.404777;0.799323;-0.200641;0.407547;0.840087;-0.204659;0.337144;0.715064;-0.141295;0.356731;0.781633;-0.19533;0.367619;0.842069;-0.185571;0.371023;0.884166;-0.176099;0.306317;0.72826;-0.14883;0.32365;0.798716;-0.194756;0.337239;0.853244;-0.186145;0.342555;0.886397;-0.179256;0.27964;0.75272;-0.15615;0.297848;0.812464;-0.185715;0.309302;0.850863;-0.190594;0.315865;0.874413;-0.195761;0.618465;0.793157;1.18946e-05;0.598464;0.789884;-0.0311674;0.583197;0.790397;-0.0643838;0.574309;0.803676;-0.0906109;0.569055;0.81972;-0.122211;0.56855;0.745671;-0.0968034;0.556142;0.75868;-0.139696;0.547529;0.777644;-0.167835;0.539293;0.796488;-0.189236;0.575435;0.754658;-0.0977141;0.562996;0.781646;-0.148347;0.555568;0.810394;-0.178399;0.54866;0.833934;-0.201803;0.586891;0.771246;-0.0970766;0.583432;0.800797;-0.135142;0.58436;0.81931;-0.135598;0.584658;0.833439;-0.134141;0.599132;0.793667;-0.0978962;0.593229;0.819637;-0.130862;0.594578;0.831906;-0.137692;0.59609;0.841583;-0.140788
0.441015;0.320272;0.283596;0.750693;2.0981e-05;0.344782;0.758673;-0.0207476;0.383405;0.771955;-0.0613736;0.407159;0.79167;-0.0993165;0.424801;0.808598;-0.142097;0.377392;0.698406;-0.124032;0.399443;0.724855;-0.178377;0.404564;0.769968;-0.196517;0.404275;0.810405;-0.2009;0.346087;0.695011;-0.132422;0.363065;0.759644;-0.1814;0.367798;0.811754;-0.170214;0.369846;0.845276;-0.162958;0.314929;0.709533;-0.140509;0.3283;0.777079;-0.181853;0.336992;0.820413;-0.160085;0.340399;0.847028;-0.146556;0.285402;0.732301;-0.149579;0.299814;0.787927;-0.173993;0.309247;0.816915;-0.165225;0.314021;0.835505;-0.161597;0.617389;0.7843;8.84917e-06;0.596498;0.784394;-0.0255421;0.581056;0.779862;-0.0476892;0.568201;0.784097;-0.0637454;0.558798;0.792842;-0.084195;0.579432;0.745162;-0.0800012;0.57498;0.734979;-0.11471;0.574439;0.740053;-0.132763;0.574635;0.747585;-0.144506;0.587461;0.751751;-0.0792823;0.586396;0.752741;-0.118544;0.589539;0.766474;-0.143707;0.592905;0.775175;-0.162958;0.597127;0.76297;-0.0766462;0.5985;0.777503;-0.107281;0.60238;0.79092;-0.113272;0.605067;0.798762;-0.114949;0.606555;0.777608;-0.0750087;0.602245;0.789842;-0.100571;0.604297;0.798462;-0.110556;0.606146;0.803384;-0.115588
0.440654;0.320671;0.284894;0.755857;2.10536e-05;0.342955;0.759879;-0.0204106;0.383905;0.757744;-0.0589949;0.409204;0.766969;-0.0986679;0.426716;0.782779;-0.1423;0.381588;0.683227;-0.10817;0.401198;0.695551;-0.170254;0.408305;0.738387;-0.199395;0.41138;0.777039;-0.212857;0.351869;0.675542;-0.119732;0.367221;0.726285;-0.179756;0.375042;0.782259;-0.183082;0.38125;0.819802;-0.181973;0.321119;0.688246;-0.131293;0.333885;0.745058;-0.179123;0.343578;0.79139;-0.172629;0.349727;0.820664;-0.16471;0.290488;0.707923;-0.14523;0.302519;0.759307;-0.177222;0.313392;0.793028;-0.177856;0.321079;0.814181;-0.175005
0.440788;0.320875;0.335518;0.709562;2.54e-05;0.365888;0.725483;-0.0358932;0.393855;0.727895;-0.0694343;0.411935;0.7458;-0.102591;0.42237;0.769628;-0.135793;0.381272;0.665723;-0.116975;0.406035;0.672691;-0.176232;0.413081;0.720736;-0.198487;0.414222;0.763377;-0.203553;0.353533;0.659079;-0.116432;0.361909;0.670212;-0.187269;0.367535;0.730821;-0.208439;0.371515;0.775025;-0.212057;0.324673;0.664055;-0.114985;0.319499;0.675708;-0.183469;0.327621;0.733811;-0.211695;0.335994;0.775541;-0.219295;0.300686;0.676551;-0.11218;0.283291;0.69022;-0.158138;0.288759;0.729704;-0.182112;0.300612;0.759196;-0.195954
