face_x;face_y;landmark_x_1;landmark_y_1;landmark_z_1;landmark_x_2;landmark_y_2;landmark_z_2;landmark_x_3;landmark_y_3;landmark_z_3;landmark_x_4;landmark_y_4;landmark_z_4;landmark_x_5;landmark_y_5;landmark_z_5;landmark_x_6;landmark_y_6;landmark_z_6;landmark_x_7;landmark_y_7;landmark_z_7;landmark_x_8;landmark_y_8;landmark_z_8;landmark_x_9;landmark_y_9;landmark_z_9;landmark_x_10;landmark_y_10;landmark_z_10;landmark_x_11;landmark_y_11;landmark_z_11;landmark_x_12;landmark_y_12;landmark_z_12;landmark_x_13;landmark_y_13;landmark_z_13;landmark_x_14;landmark_y_14;landmark_z_14;landmark_x_15;landmark_y_15;landmark_z_15;landmark_x_16;landmark_y_16;landmark_z_16;landmark_x_17;landmark_y_17;landmark_z_17;landmark_x_18;landmark_y_18;landmark_z_18;landmark_x_19;landmark_y_19;landmark_z_19;landmark_x_20;landmark_y_20;landmark_z_20;landmark_x_21;landmark_y_21;landmark_z_21;landmark_x_22;landmark_y_22;landmark_z_22;landmark_x_23;landmark_y_23;landmark_z_23;landmark_x_24;landmark_y_24;landmark_z_24;landmark_x_25;landmark_y_25;landmark_z_25;landmark_x_26;landmark_y_26;landmark_z_26;landmark_x_27;landmark_y_27;landmark_z_27;landmark_x_28;landmark_y_28;landmark_z_28;landmark_x_29;landmark_y_29;landmark_z_29;landmark_x_30;landmark_y_30;landmark_z_30;landmark_x_31;landmark_y_31;landmark_z_31;landmark_x_32;landmark_y_32;landmark_z_32;landmark_x_33;landmark_y_33;landmark_z_33;landmark_x_34;landmark_y_34;landmark_z_34;landmark_x_35;landmark_y_35;landmark_z_35;landmark_x_36;landmark_y_36;landmark_z_36;landmark_x_37;landmark_y_37;landmark_z_37;landmark_x_38;landmark_y_38;landmark_z_38;landmark_x_39;landmark_y_39;landmark_z_39;landmark_x_40;landmark_y_40;landmark_z_40;landmark_x_41;landmark_y_41;landmark_z_41;landmark_x_42;landmark_y_42;landmark_z_42
0.508558;0.323954;0.274165;0.904504;2.75379e-05;0.318144;0.913628;-0.0774987;0.352716;0.899031;-0.138555;0.365893;0.913747;-0.187992;0.358764;0.943021;-0.224494;0.313101;0.823936;-0.156751;0.317182;0.796594;-0.224713;0.307414;0.816087;-0.254529;0.29768;0.841973;-0.275137;0.271608;0.830288;-0.146338;0.246829;0.799729;-0.239841;0.238888;0.842003;-0.286756;0.239842;0.885567;-0.315037;0.237159;0.848825;-0.135267;0.206944;0.837798;-0.215067;0.202298;0.874533;-0.241814;0.208889;0.908875;-0.249268;0.214851;0.876498;-0.12847;0.188216;0.889701;-0.1915;0.181736;0.917551;-0.226687;0.187956;0.94408;-0.244444
0.507288;0.325335;0.276435;0.876232;2.41215e-05;0.316198;0.870567;-0.0690302;0.357971;0.857131;-0.129779;0.385265;0.881169;-0.180831;0.392111;0.912706;-0.219722;0.319606;0.779576;-0.152003;0.33529;0.75142;-0.222867;0.339236;0.798647;-0.257251;0.342526;0.836252;-0.280733;0.281827;0.791822;-0.143931;0.274141;0.75755;-0.224335;0.277065;0.814178;-0.252429;0.282371;0.855529;-0.268154;0.248379;0.813955;-0.137746;0.231049;0.793097;-0.214376;0.235543;0.84002;-0.240898;0.246523;0.872849;-0.250123;0.225657;0.843198;-0.134286;0.20344;0.846046;-0.19645;0.203571;0.881818;-0.232931;0.214164;0.906668;-0.253268;0.714098;0.901585;1.10868e-05;0.676006;0.91544;-0.0547035;0.644295;0.918064;-0.116443;0.622649;0.935208;-0.171979;0.619044;0.966964;-0.226011;0.678654;0.848299;-0.167253;0.665266;0.822572;-0.246206;0.64779;0.855667;-0.288529;0.635431;0.899948;-0.313666;0.716367;0.854302;-0.166501;0.714029;0.837678;-0.251577;0.701613;0.890424;-0.300131;0.68909;0.944752;-0.33429;0.750093;0.876372;-0.163815;0.753997;0.876965;-0.239116;0.739945;0.931706;-0.279291;0.723903;0.983482;-0.297768;0.773255;0.902808;-0.161989;0.788961;0.916395;-0.21355;0.783464;0.956651;-0.251362;0.769387;0.992989;-0.275424
0.508175;0.330394;0.279794;0.910312;3.09238e-05;0.326908;0.879152;-0.0559617;0.367207;0.84877;-0.112856;0.388922;0.85651;-0.164535;0.390393;0.892501;-0.209048;0.324228;0.789602;-0.127363;0.345182;0.749991;-0.199726;0.352973;0.810473;-0.2348;0.353817;0.85677;-0.247502;0.284157;0.795738;-0.127596;0.28602;0.760281;-0.217438;0.300294;0.8242;-0.254726;0.30397;0.858408;-0.264281;0.249209;0.816568;-0.128761;0.242603;0.801637;-0.209281;0.261866;0.857015;-0.238063;0.271056;0.884367;-0.241908;0.221439;0.846284;-0.130626;0.205806;0.841117;-0.180033;0.220708;0.881656;-0.199959;0.233083;0.903113;-0.205203;0.711511;0.928644;1.57691e-05;0.666914;0.915797;-0.0602201;0.635977;0.891138;-0.113512;0.615927;0.902569;-0.157105;0.601285;0.930343;-0.201338;0.667062;0.814942;-0.169469;0.627854;0.827783;-0.259;0.608773;0.877383;-0.293533;0.597501;0.931332;-0.300781;0.704351;0.823835;-0.165312;0.679791;0.860972;-0.257721;0.659438;0.917537;-0.271364;0.644497;0.958401;-0.266034;0.737467;0.85275;-0.165525;0.721432;0.89889;-0.242799;0.702316;0.945332;-0.24216;0.687788;0.972142;-0.227451;0.764591;0.888105;-0.167444;0.758382;0.925119;-0.225319;0.741277;0.955417;-0.23683;0.724315;0.96339;-0.238962
0.507665;0.32874;0.273109;0.892439;3.11147e-05;0.32533;0.861402;-0.0579726;0.369606;0.827405;-0.101921;0.395577;0.820172;-0.140941;0.398846;0.833628;-0.167698;0.33639;0.766153;-0.0989289;0.348557;0.715731;-0.177673;0.357351;0.768578;-0.22438;0.361385;0.818794;-0.243391;0.298158;0.773864;-0.0934719;0.29435;0.726617;-0.180959;0.305632;0.789761;-0.220859;0.312789;0.830391;-0.225905;0.264955;0.793739;-0.0925918;0.255308;0.765035;-0.166407;0.269612;0.820591;-0.191521;0.279649;0.854557;-0.192225;0.236558;0.817189;-0.0940587;0.213414;0.798474;-0.143054;0.222393;0.83474;-0.167815;0.237023;0.861682;-0.176617;0.724592;0.938456;1.8899e-05;0.6767;0.907565;-0.0365615;0.637474;0.867266;-0.073647;0.604526;0.858992;-0.106612;0.578806;0.873309;-0.143959;0.657047;0.767424;-0.110995;0.625172;0.780145;-0.186452;0.612791;0.81811;-0.212081;0.601165;0.861515;-0.219131;0.690038;0.768269;-0.117473;0.654403;0.842624;-0.196074;0.637295;0.904294;-0.19112;0.621614;0.952521;-0.171017;0.722475;0.796928;-0.129859;0.688694;0.869555;-0.197789;0.671002;0.922264;-0.180449;0.657793;0.961349;-0.155488;0.75212;0.834563;-0.144531;0.728772;0.881009;-0.197027;0.708098;0.922645;-0.196074;0.691452;0.950733;-0.187119
0.504897;0.329931;0.267291;0.869181;2.93282e-05;0.322417;0.832299;-0.046347;0.368614;0.803592;-0.0964297;0.402019;0.793985;-0.145228;0.408125;0.802522;-0.186905;0.348656;0.741206;-0.085164;0.356685;0.681796;-0.151883;0.362204;0.715333;-0.203133;0.363655;0.765008;-0.235237;0.309933;0.745711;-0.0828875;0.305387;0.682464;-0.155618;0.310121;0.732813;-0.193443;0.316729;0.780534;-0.201615;0.27495;0.763108;-0.083588;0.266239;0.709531;-0.136939;0.272618;0.758264;-0.160872;0.282619;0.800567;-0.165075;0.244956;0.784897;-0.0850472;0.224445;0.743478;-0.135772;0.229078;0.777025;-0.16379;0.244199;0.811075;-0.175114;0.735105;0.897683;1.72042e-05;0.671175;0.875472;-0.0232805;0.627817;0.840707;-0.0473178;0.592153;0.832654;-0.0707993;0.56492;0.840651;-0.0991285;0.651365;0.72833;-0.0894332;0.610702;0.779146;-0.165435;0.599749;0.828039;-0.185298;0.596365;0.862885;-0.182744;0.686236;0.731721;-0.10329;0.646442;0.80448;-0.180853;0.633136;0.864617;-0.183407;0.628671;0.903863;-0.166286;0.719886;0.759866;-0.123154;0.682367;0.816919;-0.191352;0.665559;0.871365;-0.186055;0.66199;0.908877;-0.170259;0.749027;0.798044;-0.14368;0.721531;0.824143;-0.19296;0.700035;0.865089;-0.197689;0.686647;0.899176;-0.195608
0.504695;0.330105;0.272968;0.839678;3.03397e-05;0.327512;0.803914;-0.0378959;0.374722;0.778214;-0.078523;0.407495;0.764654;-0.117898;0.408601;0.763863;-0.155111;0.363071;0.722185;-0.0751659;0.382289;0.670285;-0.139179;0.376548;0.684431;-0.200177;0.365156;0.716431;-0.240349;0.327343;0.719594;-0.0792058;0.329774;0.645338;-0.152722;0.325832;0.668086;-0.202567;0.325012;0.71133;-0.221913;0.291787;0.730093;-0.086546;0.28539;0.669176;-0.147714;0.286645;0.703018;-0.193007;0.293641;0.746456;-0.210305;0.259598;0.746848;-0.0926913;0.241803;0.704379;-0.147828;0.244686;0.728925;-0.188683;0.257422;0.763024;-0.211216;0.722806;0.825195;1.47024e-05;0.660873;0.826791;-0.0310405;0.622177;0.813171;-0.064695;0.590742;0.818007;-0.0993799;0.565271;0.83224;-0.130496;0.635105;0.715968;-0.107976;0.609692;0.740655;-0.178452;0.598621;0.779138;-0.198257;0.595865;0.800707;-0.200268;0.665844;0.70345;-0.124363;0.644557;0.729563;-0.202781;0.630927;0.775134;-0.221179;0.623981;0.80106;-0.223391;0.698401;0.714523;-0.143867;0.682636;0.740321;-0.20439;0.671298;0.782216;-0.208713;0.665669;0.803577;-0.204289;0.729965;0.741199;-0.165784;0.722234;0.754877;-0.207506;0.713682;0.790418;-0.221984;0.70745;0.817523;-0.231434
0.506885;0.329052;0.293337;0.781285;2.69096e-05;0.337404;0.761939;-0.0497749;0.377137;0.743147;-0.0947714;0.407086;0.733107;-0.133689;0.42014;0.733959;-0.173615;0.364667;0.70473;-0.139317;0.38625;0.658401;-0.211311;0.382543;0.642734;-0.260794;0.372221;0.641703;-0.288827;0.332929;0.703954;-0.138573;0.335582;0.640512;-0.224478;0.330988;0.617342;-0.276934;0.32514;0.61502;-0.307304;0.298739;0.713911;-0.138998;0.289661;0.663618;-0.208338;0.286362;0.651668;-0.252087;0.285232;0.651908;-0.275235;0.267683;0.724357;-0.138892;0.249441;0.686299;-0.196551;0.243976;0.680859;-0.239557;0.244833;0.685145;-0.270563;0.698339;0.764276;1.1752e-05;0.656331;0.775575;-0.0596461;0.627274;0.765695;-0.0940419;0.599379;0.770484;-0.123575;0.572722;0.781463;-0.151859;0.636516;0.70592;-0.155874;0.616231;0.709749;-0.239298;0.605001;0.746033;-0.27249;0.600714;0.76966;-0.286052;0.663977;0.698102;-0.159265;0.647016;0.691113;-0.245901;0.637158;0.727897;-0.278914;0.631284;0.75272;-0.298008;0.693956;0.704353;-0.166135;0.689582;0.690754;-0.237692;0.684628;0.714793;-0.260534;0.681694;0.729795;-0.271419;0.722056;0.721355;-0.177377;0.732374;0.704751;-0.240191;0.739029;0.704857;-0.281055;0.741178;0.705702;-0.307822
0.508633;0.325609;0.299874;0.732105;2.54054e-05;0.350614;0.726706;-0.0576879;0.382356;0.715274;-0.0980492;0.410944;0.712967;-0.12952;0.428251;0.716069;-0.160132;0.361392;0.65748;-0.132046;0.385125;0.628996;-0.206808;0.388361;0.625112;-0.262273;0.381941;0.633938;-0.293996;0.32791;0.651038;-0.126388;0.331229;0.604001;-0.20216;0.327709;0.585678;-0.267728;0.320069;0.582764;-0.310969;0.29547;0.661877;-0.121135;0.285397;0.622172;-0.1864;0.281736;0.610288;-0.243077;0.278737;0.607549;-0.278842;0.266632;0.681245;-0.115477;0.249922;0.66331;-0.171245;0.242138;0.665397;-0.214183;0.239893;0.671044;-0.243279;0.704396;0.738673;9.65008e-06;0.65601;0.75057;-0.0619643;0.621405;0.741963;-0.116172;0.591545;0.750785;-0.159812;0.566776;0.758216;-0.206775;0.645672;0.701857;-0.182057;0.627732;0.681455;-0.259108;0.620882;0.682929;-0.291496;0.619975;0.68587;-0.306327;0.679559;0.691582;-0.185296;0.674417;0.656509;-0.2782;0.670507;0.64159;-0.328146;0.665639;0.628082;-0.362751;0.71384;0.696876;-0.186489;0.722764;0.658578;-0.261153;0.724236;0.637066;-0.307691;0.72124;0.612359;-0.341102;0.743275;0.712946;-0.188365;0.754085;0.690913;-0.238311;0.763674;0.673631;-0.271552;0.767095;0.655738;-0.301213
0.507395;0.330807;0.3144;0.693335;2.84439e-05;0.355693;0.698145;-0.065425;0.386564;0.687229;-0.111037;0.412129;0.683624;-0.147877;0.432635;0.680091;-0.184408;0.354771;0.627326;-0.137455;0.375196;0.613391;-0.213818;0.378309;0.626186;-0.262526;0.374365;0.641938;-0.283165;0.326345;0.613153;-0.13343;0.326694;0.565686;-0.189464;0.325451;0.543017;-0.236108;0.325857;0.523964;-0.271607;0.298091;0.618995;-0.133224;0.290733;0.570686;-0.181518;0.28551;0.547435;-0.226201;0.283437;0.526003;-0.258398;0.272718;0.641038;-0.134462;0.255055;0.609305;-0.17543;0.243645;0.59841;-0.206388;0.236759;0.588767;-0.230948;0.716133;0.734247;1.26203e-05;0.661201;0.737041;-0.0444011;0.616108;0.720795;-0.0870315;0.583123;0.726444;-0.123229;0.562624;0.729402;-0.163855;0.649375;0.665905;-0.141667;0.626248;0.640723;-0.208125;0.610871;0.650281;-0.244376;0.602655;0.662396;-0.259584;0.679871;0.653661;-0.148855;0.670973;0.607718;-0.220001;0.660121;0.595525;-0.262709;0.650561;0.590091;-0.289167;0.711923;0.659333;-0.156042;0.713659;0.607186;-0.216876;0.710489;0.587013;-0.269584;0.704797;0.571442;-0.306459;0.740638;0.676819;-0.16198;0.750812;0.642411;-0.204063;0.760548;0.625631;-0.238126;0.765776;0.612239;-0.267501
0.504259;0.338836;0.321679;0.678145;2.88033e-05;0.357954;0.684207;-0.0569759;0.389296;0.666835;-0.0993556;0.410125;0.65946;-0.134286;0.430478;0.659213;-0.171532;0.361514;0.59974;-0.117978;0.374042;0.564673;-0.181296;0.379102;0.560903;-0.226494;0.377355;0.566681;-0.248842;0.329291;0.585354;-0.116267;0.32451;0.537658;-0.157942;0.320148;0.515816;-0.191363;0.31532;0.500518;-0.214616;0.300652;0.593029;-0.119086;0.287903;0.542997;-0.154419;0.277482;0.517205;-0.182706;0.267452;0.495179;-0.203744;0.275528;0.619571;-0.12422;0.253484;0.591322;-0.161163;0.240523;0.580682;-0.187235;0.229415;0.57111;-0.206563;0.714312;0.697899;5.92299e-06;0.667552;0.710684;-0.053975;0.624314;0.706567;-0.0986542;0.590856;0.71771;-0.134226;0.574287;0.726147;-0.171194;0.650056;0.634478;-0.140781;0.628728;0.601524;-0.209237;0.610974;0.620512;-0.25577;0.601933;0.64547;-0.281132;0.681931;0.61822;-0.141426;0.676247;0.559606;-0.207948;0.661362;0.556574;-0.252761;0.649359;0.564926;-0.284356;0.715424;0.626475;-0.143683;0.720176;0.563651;-0.202467;0.713623;0.552823;-0.254051;0.705317;0.548377;-0.292739;0.744368;0.65099;-0.146692;0.759086;0.614583;-0.190108;0.767461;0.604243;-0.226324;0.76993;0.598062;-0.260499
