face_x;face_y;landmark_x_1;landmark_y_1;landmark_z_1;landmark_x_2;landmark_y_2;landmark_z_2;landmark_x_3;landmark_y_3;landmark_z_3;landmark_x_4;landmark_y_4;landmark_z_4;landmark_x_5;landmark_y_5;landmark_z_5;landmark_x_6;landmark_y_6;landmark_z_6;landmark_x_7;landmark_y_7;landmark_z_7;landmark_x_8;landmark_y_8;landmark_z_8;landmark_x_9;landmark_y_9;landmark_z_9;landmark_x_10;landmark_y_10;landmark_z_10;landmark_x_11;landmark_y_11;landmark_z_11;landmark_x_12;landmark_y_12;landmark_z_12;landmark_x_13;landmark_y_13;landmark_z_13;landmark_x_14;landmark_y_14;landmark_z_14;landmark_x_15;landmark_y_15;landmark_z_15;landmark_x_16;landmark_y_16;landmark_z_16;landmark_x_17;landmark_y_17;landmark_z_17;landmark_x_18;landmark_y_18;landmark_z_18;landmark_x_19;landmark_y_19;landmark_z_19;landmark_x_20;landmark_y_20;landmark_z_20;landmark_x_21;landmark_y_21;landmark_z_21;landmark_x_22;landmark_y_22;landmark_z_22;landmark_x_23;landmark_y_23;landmark_z_23;landmark_x_24;landmark_y_24;landmark_z_24;landmark_x_25;landmark_y_25;landmark_z_25;landmark_x_26;landmark_y_26;landmark_z_26;landmark_x_27;landmark_y_27;landmark_z_27;landmark_x_28;landmark_y_28;landmark_z_28;landmark_x_29;landmark_y_29;landmark_z_29;landmark_x_30;landmark_y_30;landmark_z_30;landmark_x_31;landmark_y_31;landmark_z_31;landmark_x_32;landmark_y_32;landmark_z_32;landmark_x_33;landmark_y_33;landmark_z_33;landmark_x_34;landmark_y_34;landmark_z_34;landmark_x_35;landmark_y_35;landmark_z_35;landmark_x_36;landmark_y_36;landmark_z_36;landmark_x_37;landmark_y_37;landmark_z_37;landmark_x_38;landmark_y_38;landmark_z_38;landmark_x_39;landmark_y_39;landmark_z_39;landmark_x_40;landmark_y_40;landmark_z_40;landmark_x_41;landmark_y_41;landmark_z_41;landmark_x_42;landmark_y_42;landmark_z_42
0.439514;0.365064;0.299615;0.747063;3.62324e-05;0.340814;0.783119;-0.0334905;0.367208;0.834112;-0.0834976;0.377022;0.879132;-0.121731;0.384449;0.91626;-0.156498;0.343721;0.802179;-0.161506;0.360066;0.848918;-0.212259;0.358454;0.899024;-0.236914;0.355277;0.948103;-0.253478;0.30425;0.803083;-0.153223;0.308534;0.861917;-0.211681;0.305174;0.924282;-0.224586;0.302652;0.976771;-0.231906;0.26932;0.807464;-0.137622;0.260387;0.870726;-0.178456;0.258024;0.928479;-0.190301;0.261992;0.976333;-0.201473;0.241291;0.807136;-0.120864;0.227245;0.876216;-0.159965;0.224047;0.922346;-0.187316;0.227705;0.958317;-0.207251;0.686859;0.906595;2.30531e-05;0.647883;0.914639;-0.0443514;0.623534;0.937739;-0.08426;0.610984;0.959926;-0.109259;0.60989;0.974275;-0.132979;0.639634;0.896309;-0.168671;0.6282;0.936934;-0.218368;0.619816;0.977919;-0.230567;0.614257;1.00329;-0.235988;0.674142;0.901952;-0.156171;0.668052;0.969908;-0.209332;0.658252;1.01324;-0.208579;0.65247;1.03167;-0.204664;0.70376;0.918587;-0.13968;0.705253;0.990419;-0.18599;0.693807;1.02726;-0.182375;0.685708;1.04092;-0.17605;0.72554;0.938351;-0.122889;0.731946;0.999533;-0.161291;0.718723;1.03154;-0.1634;0.703727;1.04252;-0.163701
0.4391;0.365378;0.295261;0.815713;1.16586e-05;0.337926;0.834766;-0.0651276;0.37162;0.853343;-0.121424;0.390829;0.879415;-0.162507;0.396073;0.917732;-0.198118;0.345448;0.7743;-0.204645;0.362108;0.809281;-0.275676;0.37131;0.870178;-0.308888;0.379897;0.923478;-0.328085;0.307199;0.77354;-0.191975;0.305919;0.809113;-0.273373;0.31105;0.881879;-0.294874;0.317817;0.928711;-0.30812;0.271282;0.791943;-0.175561;0.262274;0.820936;-0.239969;0.265889;0.887172;-0.255711;0.273423;0.929323;-0.265118;0.242919;0.818286;-0.161355;0.227984;0.848495;-0.213092;0.230774;0.892832;-0.238625;0.241336;0.922002;-0.260126
0.438361;0.367115;0.272727;0.867238;2.86894e-05;0.321183;0.854821;-0.0429972;0.355478;0.844648;-0.0802545;0.371544;0.856321;-0.113442;0.388434;0.879338;-0.151743;0.339562;0.769024;-0.0999268;0.363366;0.78686;-0.164162;0.375774;0.837617;-0.204341;0.376063;0.892527;-0.224796;0.307052;0.764755;-0.0967437;0.322501;0.772196;-0.160718;0.331624;0.828619;-0.198184;0.331905;0.88576;-0.217699;0.274915;0.774285;-0.0942912;0.272613;0.783642;-0.15143;0.282274;0.843981;-0.181799;0.288902;0.898188;-0.195575;0.245131;0.792249;-0.0917343;0.240726;0.803469;-0.136193;0.249074;0.846741;-0.155708;0.259415;0.888207;-0.165414;0.672102;0.844517;2.6491e-05;0.628881;0.824645;-0.0255411;0.592919;0.810478;-0.0637674;0.556747;0.807025;-0.0971879;0.524675;0.80915;-0.13456;0.607189;0.794976;-0.151637;0.575348;0.821482;-0.207647;0.553911;0.856663;-0.238286;0.541869;0.889763;-0.25585;0.643907;0.809426;-0.157491;0.622271;0.859275;-0.230285;0.608265;0.923189;-0.2619;0.596504;0.966451;-0.278683;0.679232;0.831391;-0.155345;0.67035;0.880899;-0.21799;0.65654;0.94445;-0.250581;0.639041;0.989925;-0.270877;0.707692;0.853722;-0.151051;0.704288;0.898762;-0.195547;0.695709;0.941839;-0.221893;0.683542;0.975787;-0.239847
0.439949;0.366549;0.276177;0.832663;2.15324e-05;0.308323;0.811423;-0.0576381;0.337747;0.802102;-0.109911;0.360906;0.821574;-0.155518;0.385772;0.858952;-0.208587;0.333405;0.72978;-0.129612;0.344828;0.746854;-0.202048;0.356615;0.774506;-0.243799;0.361307;0.806214;-0.269118;0.309987;0.732151;-0.123241;0.314888;0.7639;-0.203557;0.322566;0.81952;-0.245475;0.325606;0.869327;-0.267776;0.283115;0.751992;-0.116953;0.280622;0.769498;-0.184107;0.288895;0.814365;-0.217138;0.293995;0.851786;-0.236589;0.256922;0.777417;-0.111336;0.25641;0.804722;-0.169854;0.257931;0.848566;-0.194838;0.260501;0.882933;-0.208084;0.679389;0.87502;1.49734e-05;0.625364;0.887242;-0.0285373;0.594561;0.891077;-0.0698438;0.577246;0.910747;-0.110667;0.564894;0.93726;-0.15294;0.598431;0.806131;-0.119663;0.577326;0.801625;-0.176738;0.551293;0.82324;-0.213401;0.530564;0.856145;-0.239907;0.625912;0.801987;-0.129047;0.608074;0.831431;-0.194634;0.587466;0.88794;-0.220559;0.572278;0.940589;-0.238359;0.653034;0.813068;-0.138914;0.641415;0.871506;-0.199277;0.627259;0.936092;-0.216883;0.617377;0.988729;-0.223074;0.677973;0.836114;-0.14762;0.672485;0.889455;-0.203147;0.667542;0.934898;-0.225203;0.661134;0.969677;-0.233329
0.440519;0.366785;0.285663;0.812324;2.19413e-05;0.322956;0.800369;-0.0469114;0.351033;0.786264;-0.0923495;0.371517;0.79258;-0.13166;0.385978;0.811249;-0.172377;0.351302;0.713131;-0.124896;0.368803;0.734756;-0.200504;0.371758;0.772743;-0.231041;0.365967;0.803905;-0.247649;0.322587;0.711705;-0.126637;0.331248;0.736866;-0.207602;0.335566;0.784443;-0.241354;0.333659;0.816095;-0.257963;0.291853;0.726257;-0.129517;0.292284;0.739609;-0.191396;0.296294;0.784431;-0.209076;0.294195;0.812643;-0.218049;0.261093;0.747148;-0.134874;0.255555;0.756701;-0.194209;0.254742;0.790552;-0.225818;0.253271;0.812757;-0.24631;0.679295;0.875573;1.23458e-05;0.632404;0.890047;-0.0249733;0.601058;0.885062;-0.0692575;0.577656;0.883702;-0.111021;0.565799;0.881662;-0.16339;0.595674;0.808766;-0.097602;0.577811;0.813356;-0.155404;0.558581;0.826343;-0.197822;0.539292;0.844739;-0.227804;0.619442;0.7946;-0.106308;0.596029;0.827037;-0.164176;0.581629;0.879477;-0.183159;0.570481;0.928269;-0.194026;0.65015;0.798257;-0.1158;0.630016;0.849927;-0.162866;0.621295;0.903668;-0.168234;0.616642;0.946613;-0.16902;0.681209;0.815652;-0.126339;0.664307;0.859826;-0.16051;0.65655;0.90032;-0.164045;0.652348;0.92971;-0.16483
0.441366;0.369365;0.302639;0.77088;2.17543e-05;0.333873;0.773203;-0.0603078;0.35359;0.768855;-0.112515;0.367985;0.796523;-0.155619;0.373793;0.828006;-0.200803;0.347486;0.720262;-0.156065;0.357937;0.715086;-0.225327;0.360438;0.740306;-0.254014;0.359329;0.766515;-0.269323;0.320042;0.718622;-0.153538;0.321383;0.703431;-0.225476;0.328144;0.731131;-0.260851;0.336448;0.753484;-0.280619;0.291292;0.734407;-0.149673;0.291859;0.715364;-0.212396;0.300364;0.746312;-0.239893;0.306341;0.76929;-0.252973;0.264852;0.758381;-0.14737;0.252407;0.750237;-0.202587;0.25286;0.772839;-0.23157;0.254971;0.792293;-0.247474;0.657755;0.826108;9.00836e-06;0.615924;0.84347;-0.0573715;0.587973;0.8504;-0.113814;0.574837;0.863356;-0.157415;0.570421;0.886147;-0.20148;0.58578;0.78341;-0.163122;0.568904;0.824677;-0.227362;0.563584;0.87442;-0.25842;0.559408;0.909847;-0.279524;0.615267;0.780457;-0.158477;0.602296;0.817502;-0.2263;0.595087;0.871703;-0.248466;0.588607;0.911891;-0.263862;0.647402;0.790663;-0.152769;0.641977;0.826118;-0.209842;0.633152;0.870576;-0.219;0.627507;0.897922;-0.224575;0.676398;0.807025;-0.149318;0.675875;0.837616;-0.198826;0.674343;0.869759;-0.21462;0.674021;0.89115;-0.222982
0.442897;0.367916;0.293953;0.78641;2.39789e-05;0.329255;0.785598;-0.0458126;0.356299;0.782044;-0.0939955;0.377276;0.798493;-0.137549;0.392763;0.822889;-0.186954;0.350638;0.718907;-0.13066;0.367043;0.705318;-0.203694;0.370979;0.735275;-0.251247;0.369671;0.764663;-0.279542;0.321475;0.715358;-0.135253;0.327597;0.681599;-0.21599;0.335085;0.711471;-0.268135;0.340411;0.73865;-0.294801;0.290432;0.72491;-0.138734;0.289838;0.693962;-0.210212;0.301647;0.730163;-0.24784;0.308638;0.758448;-0.261617;0.260213;0.740348;-0.14103;0.251103;0.725275;-0.198509;0.262297;0.749599;-0.223248;0.273711;0.771814;-0.231544;0.637441;0.827263;1.69534e-05;0.610002;0.834499;-0.053424;0.585396;0.835944;-0.10299;0.572963;0.850776;-0.142464;0.567927;0.876372;-0.175669;0.585909;0.774111;-0.148251;0.570278;0.825734;-0.208323;0.577679;0.870949;-0.232985;0.585618;0.896983;-0.247452;0.608799;0.772852;-0.143291;0.597453;0.817268;-0.196336;0.605371;0.860504;-0.200607;0.612194;0.885793;-0.205843;0.632264;0.783146;-0.139915;0.624711;0.827553;-0.185727;0.62826;0.858571;-0.177598;0.632227;0.866053;-0.171536;0.651315;0.799553;-0.139295;0.647166;0.839999;-0.179527;0.651761;0.860819;-0.181869;0.655304;0.866716;-0.180216
0.443207;0.367939;0.287873;0.795915;2.67495e-05;0.331183;0.795124;-0.0384896;0.359177;0.78239;-0.0780303;0.380545;0.795198;-0.116358;0.397485;0.82432;-0.160185;0.353439;0.70582;-0.103663;0.371238;0.699243;-0.175305;0.377358;0.742057;-0.218485;0.377928;0.778274;-0.2387;0.322191;0.700058;-0.110536;0.335533;0.679303;-0.188405;0.346062;0.73213;-0.229805;0.349917;0.774279;-0.243875;0.290475;0.708516;-0.118622;0.29697;0.686466;-0.191639;0.312346;0.735907;-0.225762;0.318242;0.775366;-0.234172;0.261192;0.726345;-0.125657;0.260181;0.722356;-0.178055;0.276692;0.761498;-0.199887;0.289348;0.795202;-0.206679
0.44478;0.366561;0.312254;0.748754;2.33244e-05;0.343074;0.771653;-0.0381423;0.371421;0.780598;-0.0807553;0.389793;0.801785;-0.122361;0.400686;0.832153;-0.164813;0.363116;0.689377;-0.135653;0.378487;0.687074;-0.20799;0.381665;0.739664;-0.237473;0.380303;0.781568;-0.244562;0.330972;0.683834;-0.133719;0.332578;0.67648;-0.212823;0.336861;0.744495;-0.241017;0.338058;0.790526;-0.243273;0.29887;0.694753;-0.130014;0.287045;0.688118;-0.20364;0.293983;0.753537;-0.243112;0.300566;0.796927;-0.250845;0.272761;0.713381;-0.12365;0.249054;0.725036;-0.176574;0.250359;0.768024;-0.208473;0.257358;0.799041;-0.219912;0.615487;0.696208;3.2638e-05;0.653224;0.738854;-0.0298897;0.672547;0.777803;-0.0688668;0.677624;0.81939;-0.0978521;0.668011;0.855837;-0.123952;0.665451;0.743178;-0.165125;0.680353;0.774567;-0.218961;0.67564;0.820212;-0.232915;0.668275;0.855727;-0.236533;0.634277;0.739563;-0.16323;0.62931;0.778371;-0.232571;0.622356;0.835154;-0.247387;0.61852;0.872473;-0.252383;0.602842;0.744835;-0.155133;0.58551;0.782848;-0.211553;0.576402;0.83542;-0.223785;0.572307;0.869375;-0.227747;0.57563;0.752848;-0.146692;0.556143;0.791551;-0.19691;0.549991;0.828605;-0.225508;0.549138;0.856317;-0.242391
0.443816;0.366623;0.286855;0.782467;2.9199e-05;0.329055;0.786127;-0.028141;0.362075;0.784291;-0.0596192;0.386504;0.804216;-0.0934425;0.408374;0.83756;-0.139893;0.356282;0.697215;-0.0950661;0.378506;0.711509;-0.159285;0.389271;0.756868;-0.194281;0.392306;0.800212;-0.207089;0.327541;0.687712;-0.100658;0.345668;0.711217;-0.175971;0.356643;0.769703;-0.209614;0.360651;0.818584;-0.217371;0.298154;0.697188;-0.10634;0.303388;0.738766;-0.171552;0.312159;0.801593;-0.201136;0.316738;0.850157;-0.207991;0.269217;0.717477;-0.11058;0.267372;0.752627;-0.160458;0.274992;0.797708;-0.181022;0.281665;0.834356;-0.185803;0.63942;0.74524;1.81808e-05;0.637928;0.776796;-0.022846;0.624487;0.801707;-0.0594236;0.604055;0.826659;-0.0854936;0.592332;0.849828;-0.109056;0.630015;0.748021;-0.156897;0.618887;0.795976;-0.209197;0.606967;0.845953;-0.228301;0.597;0.888118;-0.239605;0.637047;0.732106;-0.161435;0.610817;0.791773;-0.219863;0.59284;0.857169;-0.215246;0.580146;0.907055;-0.211425;0.638962;0.729047;-0.162708;0.612289;0.785304;-0.216838;0.596064;0.850294;-0.223366;0.584387;0.901223;-0.227824;0.635216;0.735726;-0.161276;0.617163;0.777059;-0.202669;0.604406;0.81315;-0.215246;0.593695;0.843451;-0.228142
