face_x;face_y;landmark_x_1;landmark_y_1;landmark_z_1;landmark_x_2;landmark_y_2;landmark_z_2;landmark_x_3;landmark_y_3;landmark_z_3;landmark_x_4;landmark_y_4;landmark_z_4;landmark_x_5;landmark_y_5;landmark_z_5;landmark_x_6;landmark_y_6;landmark_z_6;landmark_x_7;landmark_y_7;landmark_z_7;landmark_x_8;landmark_y_8;landmark_z_8;landmark_x_9;landmark_y_9;landmark_z_9;landmark_x_10;landmark_y_10;landmark_z_10;landmark_x_11;landmark_y_11;landmark_z_11;landmark_x_12;landmark_y_12;landmark_z_12;landmark_x_13;landmark_y_13;landmark_z_13;landmark_x_14;landmark_y_14;landmark_z_14;landmark_x_15;landmark_y_15;landmark_z_15;landmark_x_16;landmark_y_16;landmark_z_16;landmark_x_17;landmark_y_17;landmark_z_17;landmark_x_18;landmark_y_18;landmark_z_18;landmark_x_19;landmark_y_19;landmark_z_19;landmark_x_20;landmark_y_20;landmark_z_20;landmark_x_21;landmark_y_21;landmark_z_21;landmark_x_22;landmark_y_22;landmark_z_22;landmark_x_23;landmark_y_23;landmark_z_23;landmark_x_24;landmark_y_24;landmark_z_24;landmark_x_25;landmark_y_25;landmark_z_25;landmark_x_26;landmark_y_26;landmark_z_26;landmark_x_27;landmark_y_27;landmark_z_27;landmark_x_28;landmark_y_28;landmark_z_28;landmark_x_29;landmark_y_29;landmark_z_29;landmark_x_30;landmark_y_30;landmark_z_30;landmark_x_31;landmark_y_31;landmark_z_31;landmark_x_32;landmark_y_32;landmark_z_32;landmark_x_33;landmark_y_33;landmark_z_33;landmark_x_34;landmark_y_34;landmark_z_34;landmark_x_35;landmark_y_35;landmark_z_35;landmark_x_36;landmark_y_36;landmark_z_36;landmark_x_37;landmark_y_37;landmark_z_37;landmark_x_38;landmark_y_38;landmark_z_38;landmark_x_39;landmark_y_39;landmark_z_39;landmark_x_40;landmark_y_40;landmark_z_40;landmark_x_41;landmark_y_41;landmark_z_41;landmark_x_42;landmark_y_42;landmark_z_42
0.493699;0.413307;0.765282;0.851498;2.35836e-05;0.715118;0.847605;-0.040777;0.672572;0.844539;-0.108855;0.649629;0.861794;-0.166361;0.639391;0.894387;-0.217593;0.689142;0.806555;-0.206557;0.671161;0.790644;-0.299961;0.668485;0.837221;-0.33946;0.663543;0.887031;-0.358048;0.735386;0.824736;-0.210855;0.738896;0.788982;-0.295778;0.732638;0.85177;-0.322266;0.720149;0.90051;-0.347127;0.778114;0.855154;-0.211088;0.786849;0.829692;-0.27417;0.776569;0.888355;-0.285555;0.764024;0.923297;-0.296011;0.812959;0.888028;-0.213179;0.825575;0.892416;-0.26232;0.820046;0.929544;-0.292526;0.808251;0.948302;-0.320407
0.488751;0.41765;0.74467;0.946001;1.49381e-05;0.691437;0.951602;-0.0769413;0.641972;0.93121;-0.150331;0.602924;0.926434;-0.213809;0.585911;0.931273;-0.276599;0.666501;0.800848;-0.15881;0.645388;0.744707;-0.257579;0.623856;0.793906;-0.311432;0.612562;0.84581;-0.334348;0.71175;0.804458;-0.15881;0.709244;0.740253;-0.278203;0.684399;0.798897;-0.350389;0.668674;0.845227;-0.392097;0.757308;0.829978;-0.162591;0.759412;0.788563;-0.268578;0.734762;0.846168;-0.327931;0.719638;0.887817;-0.357264;0.799316;0.861679;-0.166945;0.802732;0.851063;-0.245662;0.784366;0.887425;-0.29814;0.768121;0.914185;-0.331369;0.216653;0.836271;3.40744e-05;0.158814;0.875957;-0.0478328;0.120335;0.92071;-0.0945139;0.105614;0.949487;-0.127577;0.084436;0.971839;-0.149596;0.137098;0.827973;-0.18686;0.119119;0.913593;-0.294585;0.134619;0.978876;-0.339301;0.147524;1.04054;-0.350684;0.190111;0.81629;-0.183879;0.177748;0.903221;-0.288623;0.188141;0.994917;-0.327919;0.191339;1.07411;-0.332526;0.234845;0.834428;-0.176019;0.224811;0.928766;-0.262877;0.219138;1.01571;-0.294314;0.211168;1.08194;-0.298379;0.270088;0.866446;-0.168567;0.267109;0.956735;-0.226291;0.264939;1.0258;-0.257186;0.257581;1.07135;-0.270194
0.48046;0.417789;0.754195;0.942068;1.81009e-05;0.685915;0.918102;-0.0435053;0.633116;0.882881;-0.0929649;0.597619;0.863705;-0.143673;0.580886;0.86371;-0.199119;0.663569;0.785139;-0.114221;0.646387;0.7162;-0.190027;0.620385;0.759242;-0.238943;0.608265;0.815376;-0.263785;0.7059;0.788656;-0.131636;0.699903;0.705476;-0.226522;0.670234;0.758009;-0.286834;0.652592;0.81684;-0.316542;0.749861;0.809245;-0.150844;0.748315;0.743609;-0.237022;0.720298;0.790869;-0.289651;0.704447;0.840968;-0.317054;0.790668;0.838306;-0.169667;0.793531;0.799014;-0.233949;0.771143;0.834592;-0.26737;0.752465;0.872979;-0.286578;0.225505;0.897977;2.04456e-05;0.196349;0.958494;-0.0431111;0.171487;0.974714;-0.0941276;0.16085;0.953745;-0.137239;0.157907;0.93514;-0.169071;0.142133;0.875533;-0.143458;0.131298;0.848955;-0.23358;0.139007;0.889975;-0.278694;0.151894;0.922971;-0.292396;0.154126;0.842134;-0.153893;0.140724;0.815187;-0.251499;0.151444;0.880613;-0.287758;0.16875;0.927841;-0.309472;0.169887;0.820675;-0.163906;0.165294;0.802352;-0.25171;0.169158;0.866032;-0.273002;0.180023;0.907554;-0.281013;0.193825;0.808317;-0.173498;0.202932;0.809042;-0.229785;0.213865;0.854735;-0.246439;0.22398;0.886267;-0.253607
0.466103;0.427135;0.75019;0.90583;2.04608e-05;0.664233;0.855808;-0.000564504;0.618748;0.810439;-0.0230549;0.58876;0.779976;-0.0531094;0.574294;0.757962;-0.0897085;0.649099;0.715819;-0.0535489;0.630508;0.676147;-0.11846;0.614422;0.698608;-0.152548;0.609454;0.728531;-0.162969;0.687662;0.715901;-0.0823008;0.681792;0.668045;-0.161086;0.661084;0.707407;-0.199506;0.650147;0.74419;-0.217209;0.728764;0.733178;-0.112936;0.72342;0.693148;-0.17791;0.699277;0.731442;-0.196241;0.686332;0.764034;-0.20051;0.77048;0.761993;-0.143132;0.765629;0.731065;-0.185946;0.743382;0.763573;-0.202644;0.727859;0.795013;-0.210931
0.468611;0.42801;0.239104;0.85608;4.31459e-05;0.296054;0.797721;-0.0455505;0.334351;0.735132;-0.0751158;0.35879;0.681078;-0.0994637;0.364996;0.643692;-0.115227;0.291451;0.63505;-0.0694914;0.296568;0.556871;-0.139871;0.294317;0.599422;-0.187975;0.290818;0.646486;-0.20914;0.243192;0.630658;-0.0703055;0.237744;0.53719;-0.145791;0.241006;0.583602;-0.185606;0.244836;0.631715;-0.197447;0.200104;0.646119;-0.0791862;0.186307;0.565385;-0.152896;0.193988;0.609058;-0.188567;0.203363;0.650253;-0.196707;0.16128;0.678543;-0.0872528;0.139798;0.622353;-0.144089;0.151619;0.649468;-0.172877;0.170598;0.681332;-0.184422;0.708647;0.739295;1.78288e-05;0.64728;0.728257;-0.070754;0.604272;0.706321;-0.133852;0.573593;0.689965;-0.189714;0.563791;0.685316;-0.243422;0.63752;0.595235;-0.163518;0.619545;0.548372;-0.261724;0.604042;0.602199;-0.305504;0.59955;0.654489;-0.315313;0.679654;0.601589;-0.167943;0.674761;0.543139;-0.282298;0.654183;0.612613;-0.333255;0.644158;0.665819;-0.348327;0.720075;0.624556;-0.176197;0.72386;0.592476;-0.283255;0.699634;0.653565;-0.332298;0.686144;0.696944;-0.350002;0.756585;0.656997;-0.184212;0.765738;0.64322;-0.260049;0.743994;0.687611;-0.300241;0.72544;0.720238;-0.320576
0.455955;0.440862;0.243334;0.80414;4.58871e-05;0.301475;0.736012;-0.0360137;0.342028;0.676831;-0.065561;0.371063;0.627714;-0.0929709;0.384314;0.584362;-0.119483;0.299668;0.59327;-0.0848521;0.313965;0.525922;-0.163813;0.316594;0.512474;-0.239684;0.31678;0.533095;-0.285523;0.256285;0.589329;-0.0946953;0.255969;0.508008;-0.170998;0.259325;0.483635;-0.241983;0.264009;0.49908;-0.290552;0.216384;0.6029;-0.109065;0.207657;0.531634;-0.173584;0.211662;0.508929;-0.222584;0.221307;0.514313;-0.257933;0.177762;0.630112;-0.125015;0.158196;0.57876;-0.180913;0.157973;0.559609;-0.220141;0.166337;0.556259;-0.253766;0.708426;0.704697;1.33857e-05;0.652581;0.695812;-0.0707438;0.608719;0.678064;-0.131267;0.574997;0.674004;-0.184217;0.551562;0.676811;-0.244802;0.630414;0.594252;-0.150723;0.608186;0.54396;-0.244433;0.592058;0.562599;-0.314253;0.590447;0.596057;-0.348732;0.671924;0.57649;-0.151831;0.662093;0.509368;-0.243447;0.649238;0.515684;-0.310805;0.642531;0.53585;-0.349471;0.713958;0.5836;-0.156511;0.718518;0.514324;-0.232119;0.709919;0.511842;-0.295782;0.703037;0.523718;-0.336172;0.755048;0.606107;-0.163899;0.76746;0.561228;-0.219805;0.766886;0.554877;-0.266721;0.761035;0.559246;-0.30317
0.458102;0.443297;0.241292;0.756051;4.05331e-05;0.297981;0.70902;-0.0435522;0.34129;0.657094;-0.079192;0.369525;0.614389;-0.112342;0.391977;0.572943;-0.148835;0.302047;0.553669;-0.0816475;0.31302;0.493393;-0.139353;0.315076;0.462098;-0.203812;0.317481;0.445504;-0.248967;0.262002;0.552558;-0.0899692;0.260264;0.48389;-0.155246;0.258646;0.456784;-0.225912;0.2605;0.453601;-0.276797;0.225149;0.567928;-0.102042;0.216744;0.503987;-0.15511;0.216065;0.479266;-0.205722;0.222129;0.475395;-0.24351;0.189774;0.597524;-0.116367;0.17234;0.54922;-0.168888;0.165608;0.528216;-0.21227;0.166502;0.519605;-0.247876;0.706309;0.67868;9.95241e-06;0.653744;0.673491;-0.0398709;0.605902;0.661492;-0.0823936;0.565404;0.676464;-0.121247;0.536691;0.695914;-0.169844;0.631094;0.554382;-0.109406;0.606437;0.496846;-0.174038;0.584749;0.515413;-0.226582;0.574685;0.557151;-0.253348;0.67352;0.537789;-0.118163;0.670997;0.459588;-0.173421;0.660556;0.439667;-0.206724;0.651965;0.437454;-0.225719;0.711879;0.554289;-0.128524;0.726361;0.483514;-0.179712;0.72043;0.458587;-0.228803;0.712614;0.445313;-0.262969;0.744461;0.589515;-0.138762;0.765436;0.546989;-0.180328;0.770509;0.530211;-0.207711;0.769943;0.518967;-0.230036
0.453808;0.449215;0.255518;0.724936;3.7115e-05;0.302087;0.691458;-0.0504848;0.341272;0.642987;-0.0861211;0.368147;0.604339;-0.118409;0.392839;0.56507;-0.152402;0.307897;0.533298;-0.0781598;0.318288;0.474907;-0.131298;0.321645;0.443783;-0.18589;0.326035;0.422049;-0.226961;0.267314;0.532152;-0.0839729;0.26346;0.468326;-0.141661;0.262508;0.445862;-0.201307;0.265605;0.44181;-0.244905;0.23081;0.55008;-0.0952198;0.221177;0.488628;-0.140776;0.218348;0.462701;-0.183489;0.223041;0.450487;-0.218241;0.19737;0.585113;-0.110258;0.178725;0.537987;-0.151518;0.166596;0.511048;-0.186143;0.162804;0.490729;-0.217483;0.700053;0.678464;1.02969e-05;0.652544;0.68124;-0.0505407;0.605437;0.659916;-0.0953768;0.566846;0.670505;-0.133579;0.539988;0.700799;-0.187036;0.628126;0.550786;-0.127618;0.599281;0.499255;-0.184087;0.578981;0.510343;-0.224982;0.568666;0.538778;-0.248569;0.669203;0.535191;-0.127425;0.66677;0.453752;-0.180883;0.656393;0.432728;-0.211521;0.648585;0.420928;-0.230366;0.7055;0.554331;-0.128579;0.724423;0.480499;-0.17678;0.722163;0.454513;-0.228315;0.720408;0.43137;-0.266901;0.733476;0.593897;-0.129861;0.758914;0.551613;-0.171909;0.768353;0.535576;-0.207803;0.772817;0.517139;-0.237416
0.450872;0.454364;0.25778;0.706071;3.73728e-05;0.304145;0.678604;-0.0610616;0.342311;0.631135;-0.0990582;0.366993;0.595405;-0.131835;0.39419;0.565712;-0.169346;0.309049;0.526497;-0.0878292;0.318482;0.468266;-0.148102;0.32473;0.448174;-0.198966;0.329923;0.440702;-0.228222;0.266926;0.521799;-0.0876471;0.265689;0.458351;-0.134627;0.269687;0.429761;-0.177965;0.274473;0.408218;-0.207343;0.228641;0.540944;-0.0953557;0.215141;0.477053;-0.13402;0.211353;0.441007;-0.170803;0.210263;0.40547;-0.199695;0.194099;0.579616;-0.107738;0.17247;0.53764;-0.146281;0.160274;0.509731;-0.177479;0.153134;0.478495;-0.202123;0.692162;0.667774;9.16566e-06;0.647435;0.674233;-0.0499131;0.603225;0.657968;-0.0930563;0.569771;0.673783;-0.127152;0.53842;0.708695;-0.175896;0.625895;0.546209;-0.138723;0.600576;0.489647;-0.184389;0.579892;0.487484;-0.222055;0.563987;0.499283;-0.25012;0.667117;0.534637;-0.139954;0.66646;0.459396;-0.18919;0.657779;0.433413;-0.223655;0.651704;0.414012;-0.252089;0.701507;0.556814;-0.140446;0.721742;0.489846;-0.191775;0.72467;0.46197;-0.245442;0.726676;0.438085;-0.287539;0.727556;0.598977;-0.139831;0.758968;0.568472;-0.18722;0.771825;0.557844;-0.22107;0.77907;0.545483;-0.250489
0.45344;0.459519;0.251616;0.704127;3.89877e-05;0.297648;0.686351;-0.058062;0.334466;0.640482;-0.0971751;0.364239;0.609459;-0.132891;0.394311;0.587292;-0.172409;0.306268;0.537783;-0.0837115;0.322625;0.485726;-0.149097;0.333986;0.475929;-0.199337;0.340158;0.476495;-0.220779;0.266737;0.520302;-0.0838361;0.268485;0.455899;-0.118929;0.274917;0.423622;-0.146479;0.280394;0.392304;-0.162312;0.230665;0.53182;-0.0933105;0.216521;0.463603;-0.124788;0.210924;0.421125;-0.151965;0.205142;0.373077;-0.172035;0.197024;0.567523;-0.108083;0.171078;0.529258;-0.138252;0.155515;0.502856;-0.161314;0.143309;0.469298;-0.178767;0.688226;0.670447;9.10269e-06;0.646437;0.677042;-0.0570485;0.606714;0.672934;-0.0965156;0.575277;0.688307;-0.126222;0.542478;0.727348;-0.167811;0.62204;0.556231;-0.126465;0.598383;0.496543;-0.157384;0.579575;0.476002;-0.190849;0.562143;0.472749;-0.223586;0.659467;0.543018;-0.121675;0.663224;0.470713;-0.16284;0.659279;0.440981;-0.206975;0.656241;0.432492;-0.245654;0.693425;0.562322;-0.116643;0.718527;0.511043;-0.158111;0.724669;0.488617;-0.210006;0.725741;0.478488;-0.252444;0.72147;0.60323;-0.111793;0.758471;0.593231;-0.15993;0.775483;0.595945;-0.198609;0.784434;0.59985;-0.231468
