face_x;face_y;landmark_x_1;landmark_y_1;landmark_z_1;landmark_x_2;landmark_y_2;landmark_z_2;landmark_x_3;landmark_y_3;landmark_z_3;landmark_x_4;landmark_y_4;landmark_z_4;landmark_x_5;landmark_y_5;landmark_z_5;landmark_x_6;landmark_y_6;landmark_z_6;landmark_x_7;landmark_y_7;landmark_z_7;landmark_x_8;landmark_y_8;landmark_z_8;landmark_x_9;landmark_y_9;landmark_z_9;landmark_x_10;landmark_y_10;landmark_z_10;landmark_x_11;landmark_y_11;landmark_z_11;landmark_x_12;landmark_y_12;landmark_z_12;landmark_x_13;landmark_y_13;landmark_z_13;landmark_x_14;landmark_y_14;landmark_z_14;landmark_x_15;landmark_y_15;landmark_z_15;landmark_x_16;landmark_y_16;landmark_z_16;landmark_x_17;landmark_y_17;landmark_z_17;landmark_x_18;landmark_y_18;landmark_z_18;landmark_x_19;landmark_y_19;landmark_z_19;landmark_x_20;landmark_y_20;landmark_z_20;landmark_x_21;landmark_y_21;landmark_z_21;landmark_x_22;landmark_y_22;landmark_z_22;landmark_x_23;landmark_y_23;landmark_z_23;landmark_x_24;landmark_y_24;landmark_z_24;landmark_x_25;landmark_y_25;landmark_z_25;landmark_x_26;landmark_y_26;landmark_z_26;landmark_x_27;landmark_y_27;landmark_z_27;landmark_x_28;landmark_y_28;landmark_z_28;landmark_x_29;landmark_y_29;landmark_z_29;landmark_x_30;landmark_y_30;landmark_z_30;landmark_x_31;landmark_y_31;landmark_z_31;landmark_x_32;landmark_y_32;landmark_z_32;landmark_x_33;landmark_y_33;landmark_z_33;landmark_x_34;landmark_y_34;landmark_z_34;landmark_x_35;landmark_y_35;landmark_z_35;landmark_x_36;landmark_y_36;landmark_z_36;landmark_x_37;landmark_y_37;landmark_z_37;landmark_x_38;landmark_y_38;landmark_z_38;landmark_x_39;landmark_y_39;landmark_z_39;landmark_x_40;landmark_y_40;landmark_z_40;landmark_x_41;landmark_y_41;landmark_z_41;landmark_x_42;landmark_y_42;landmark_z_42
0.45771;0.236752;0.302205;0.934875;1.22356e-05;0.268571;0.963894;0.0147071;0.245084;0.969139;0.0211744;0.228751;0.963934;0.0278303;0.222949;0.955578;0.0331286;0.214285;0.94261;0.00990841;0.195546;0.928668;0.0273778;0.207566;0.930835;0.041142;0.219951;0.938239;0.0514747;0.219947;0.913817;0.00781077;0.2068;0.908855;0.0226262;0.222465;0.913653;0.0263784;0.233838;0.921573;0.0224377;0.232021;0.890774;0.00938518;0.222766;0.886028;0.0231919;0.237288;0.896525;0.0193266;0.249768;0.907864;0.00896565;0.247396;0.871828;0.0124256;0.241367;0.870419;0.0243421;0.252473;0.882192;0.0191946;0.262588;0.893315;0.0115582
0.457689;0.234378;0.280372;0.922234;2.12272e-05;0.265797;0.871821;0.00101303;0.251926;0.850614;0.00280894;0.23801;0.850543;0.00762579;0.232345;0.851059;0.0115604;0.236022;0.872152;0.00343054;0.237285;0.876404;0.000129166;0.251183;0.882626;-0.00754461;0.266362;0.887423;-0.0105608;0.232144;0.906241;0.00492579;0.236443;0.917544;0.0108513;0.254252;0.920771;0.00898006;0.270659;0.923658;0.00603655;0.233201;0.937585;0.00671155;0.233968;0.951501;0.0152088;0.252643;0.953519;0.0108256;0.267469;0.950182;0.00388552;0.237297;0.965802;0.00855711;0.235472;0.983743;0.0151747;0.250524;0.988667;0.014756;0.263536;0.987493;0.0152943
0.458868;0.23105;0.280161;0.809171;1.4593e-05;0.260697;0.845535;-0.0584748;0.239712;0.853461;-0.10091;0.229814;0.880357;-0.132354;0.230037;0.908161;-0.165126;0.20629;0.77285;-0.10443;0.194187;0.706866;-0.134201;0.189141;0.688707;-0.152317;0.191088;0.689237;-0.163279;0.216913;0.750976;-0.0933519;0.1996;0.67807;-0.123469;0.203799;0.664695;-0.149663;0.209422;0.664358;-0.172511;0.233831;0.741457;-0.0838898;0.225476;0.675528;-0.113545;0.229535;0.667033;-0.130623;0.234539;0.66801;-0.139162;0.252861;0.741222;-0.0780048;0.256116;0.699224;-0.111699;0.257985;0.692947;-0.131547;0.260118;0.691673;-0.140778
0.461543;0.229279;0.229698;0.695476;1.57263e-05;0.222982;0.634356;0.043697;0.230293;0.568295;0.0463239;0.252915;0.522795;0.0397682;0.272903;0.501869;0.0312024;0.215866;0.536245;-0.0133398;0.273079;0.485953;-0.0155212;0.306717;0.479316;0.00023663;0.325621;0.482667;0.0135797;0.226032;0.559216;-0.0381921;0.290986;0.49995;-0.0396083;0.324594;0.490292;-0.0218828;0.343221;0.489457;-0.0119693;0.244961;0.584642;-0.0572881;0.301393;0.526168;-0.0550953;0.3327;0.511644;-0.0367987;0.349949;0.504767;-0.0259487;0.269048;0.609221;-0.073369;0.307658;0.557267;-0.0703995;0.33134;0.535484;-0.0593439;0.346602;0.519394;-0.0515319
0.464067;0.230666;0.246257;0.652627;1.49624e-05;0.242075;0.598328;0.0286231;0.251808;0.542389;0.0237636;0.272801;0.505291;0.0141019;0.293091;0.486901;0.0054502;0.223649;0.514299;-0.0220104;0.274141;0.476904;-0.0230014;0.30549;0.470742;-0.00610765;0.327096;0.470939;0.00743685;0.233824;0.536278;-0.040705;0.289965;0.489029;-0.0487087;0.321644;0.476812;-0.0352166;0.343669;0.471915;-0.02626;0.253774;0.561628;-0.0549212;0.304913;0.512469;-0.0585801;0.332952;0.496005;-0.0419627;0.351373;0.489381;-0.0297283;0.27809;0.586065;-0.0665457;0.31498;0.54295;-0.0685276;0.333971;0.523254;-0.0577416;0.347603;0.510307;-0.0474129
0.467327;0.228565;0.253793;0.651505;1.43644e-05;0.242193;0.592396;0.0372086;0.249385;0.536987;0.0376186;0.270806;0.501772;0.0325344;0.294474;0.488273;0.0260973;0.236181;0.508127;-0.00415137;0.285064;0.467099;0.00346204;0.314954;0.458735;0.0209721;0.333572;0.45847;0.034318;0.251578;0.525866;-0.0209824;0.306963;0.476133;-0.0125771;0.335631;0.468246;0.00718033;0.35221;0.468807;0.0195063;0.273134;0.547793;-0.0325549;0.321917;0.49906;-0.018061;0.346717;0.489948;0.00585804;0.359991;0.488803;0.0204596;0.296541;0.570556;-0.0412472;0.329889;0.529121;-0.0257897;0.345743;0.516068;-0.00738021;0.353611;0.509439;0.00575554;0.730112;0.668511;2.64891e-05;0.732778;0.597184;0.0516438;0.715228;0.544681;0.0699324;0.689165;0.516013;0.0799769;0.667766;0.506245;0.0867048;0.720462;0.49973;0.0271012;0.672267;0.480168;0.0440868;0.645938;0.495829;0.0557185;0.635153;0.514555;0.062778;0.701372;0.509501;0.00430859;0.64939;0.489372;0.0254192;0.622064;0.506693;0.0420258;0.607509;0.525332;0.0497013;0.680753;0.532601;-0.0128162;0.62861;0.509634;0.00631334;0.604699;0.526582;0.0260825;0.59419;0.546447;0.0360085;0.660283;0.562255;-0.0264852;0.619276;0.540426;-0.0104827;0.599969;0.547774;0.00437077;0.588893;0.5587;0.0128873
0.464923;0.233926;0.263341;0.654344;1.48602e-05;0.246563;0.588345;0.0446222;0.252056;0.534677;0.0548429;0.273477;0.500689;0.0589145;0.299801;0.488109;0.0650636;0.253781;0.497217;0.0147183;0.301508;0.459726;0.0305167;0.327811;0.455561;0.0543028;0.341407;0.461841;0.0744118;0.271067;0.509792;-0.00511036;0.326145;0.467114;0.0195586;0.349401;0.464968;0.0451207;0.358745;0.471768;0.0609504;0.291652;0.530082;-0.0200883;0.339833;0.490317;0.00193456;0.357376;0.489085;0.0262166;0.361798;0.495466;0.0398442;0.312656;0.553962;-0.032054;0.343591;0.521477;-0.0105687;0.351416;0.517893;0.0108439;0.351435;0.521391;0.0267982;0.721764;0.661847;2.38903e-05;0.732029;0.607802;0.0428592;0.728711;0.571287;0.0502428;0.715118;0.550451;0.0498609;0.705402;0.544335;0.0471875;0.718718;0.515615;0.0149158;0.69187;0.479509;0.0276887;0.672118;0.483586;0.0437503;0.660979;0.493896;0.0564807;0.700288;0.515494;-0.00527252;0.666696;0.480142;0.0116271;0.642617;0.487754;0.0317625;0.629718;0.499929;0.0453204;0.680714;0.531793;-0.0191593;0.643692;0.500637;-0.00125978;0.622969;0.512675;0.0217903;0.615195;0.529705;0.0369183;0.661219;0.558654;-0.0298104;0.625077;0.535959;-0.0133033;0.611542;0.543978;0.00512931;0.609922;0.558979;0.0201565
0.465571;0.233225;0.27384;0.652894;1.51692e-05;0.257627;0.578025;0.0540212;0.265653;0.519314;0.0673073;0.289442;0.488952;0.0729199;0.316902;0.48427;0.0799795;0.270549;0.488163;0.021694;0.315778;0.453691;0.0425987;0.337787;0.455358;0.0641941;0.3461;0.464678;0.0805934;0.289286;0.50095;-0.00155662;0.342064;0.463888;0.0295977;0.357245;0.473741;0.058713;0.357503;0.485889;0.0757701;0.310092;0.5227;-0.0183506;0.356235;0.488239;0.0120693;0.362043;0.501761;0.0433442;0.355114;0.516343;0.0596338;0.330311;0.547183;-0.0320093;0.360245;0.517666;-0.00117089;0.359872;0.526233;0.026309;0.351572;0.537844;0.0446377;0.720962;0.642984;2.30482e-05;0.733895;0.583301;0.0540223;0.725093;0.538955;0.0631424;0.702971;0.508681;0.06647;0.684449;0.499296;0.0706193;0.727748;0.487715;0.0172543;0.690558;0.460955;0.0497909;0.672896;0.477423;0.0827383;0.668818;0.491218;0.103033;0.707982;0.493066;-0.00678873;0.665249;0.465248;0.0283463;0.648551;0.483617;0.0632656;0.646469;0.497272;0.0834367;0.685663;0.512506;-0.0222046;0.643592;0.487256;0.0183018;0.633128;0.507237;0.0587056;0.6365;0.523127;0.0794518;0.663635;0.539126;-0.0354534;0.630054;0.518807;0.00128573;0.627043;0.53342;0.0323723;0.634895;0.548689;0.0515985
0.469379;0.233064;0.282674;0.650405;1.53185e-05;0.270654;0.579222;0.0627893;0.280813;0.523463;0.0812805;0.303889;0.493009;0.0915135;0.328763;0.485875;0.103138;0.28212;0.485318;0.0232486;0.328734;0.45209;0.0531398;0.349425;0.458309;0.084512;0.35667;0.469375;0.106908;0.300986;0.497754;-0.00174758;0.352641;0.462205;0.0386655;0.364804;0.476191;0.0725286;0.361502;0.488081;0.0910647;0.321838;0.520846;-0.0187381;0.364799;0.48714;0.0196469;0.368164;0.503257;0.0518831;0.359176;0.51671;0.0653027;0.34104;0.546473;-0.0313946;0.367171;0.518021;0.00471817;0.365438;0.527461;0.0326289;0.356719;0.538389;0.048517;0.72421;0.635992;2.2108e-05;0.737741;0.572256;0.0558174;0.731067;0.530396;0.0736576;0.712599;0.501205;0.0862893;0.69208;0.488403;0.10335;0.724277;0.481592;0.0201677;0.695387;0.448525;0.0630765;0.685036;0.466759;0.105155;0.688291;0.487516;0.130992;0.699963;0.489179;0.000229091;0.666576;0.455453;0.0452773;0.659507;0.480505;0.0804656;0.667016;0.500744;0.0971165;0.676702;0.508806;-0.0104017;0.64529;0.479227;0.0380797;0.642887;0.504626;0.071525;0.653728;0.522261;0.0838696;0.656632;0.534988;-0.017748;0.635327;0.513014;0.0209264;0.637748;0.529786;0.0450722;0.649186;0.543167;0.058073
0.46984;0.232649;0.289146;0.647901;1.48793e-05;0.277835;0.577694;0.0596497;0.289358;0.52402;0.0751095;0.314483;0.495071;0.08275;0.33843;0.487099;0.0909267;0.285403;0.484907;0.0122315;0.330043;0.452645;0.044525;0.349249;0.459892;0.0787287;0.356716;0.469842;0.101606;0.305729;0.497705;-0.0108911;0.35416;0.460105;0.0325504;0.363427;0.47423;0.072652;0.359056;0.485927;0.092848;0.327178;0.520083;-0.0261833;0.366651;0.485582;0.0159289;0.368069;0.500917;0.0520538;0.358625;0.51484;0.0651008;0.346342;0.544464;-0.0374654;0.369539;0.516988;0.00157781;0.366122;0.526863;0.0298025;0.356354;0.538741;0.0427154;0.724574;0.635412;1.918e-05;0.731796;0.587932;0.055035;0.722403;0.54744;0.0812643;0.709085;0.517557;0.100271;0.695393;0.504593;0.122234;0.718325;0.487177;0.0446869;0.694442;0.456413;0.0847277;0.682802;0.468243;0.122319;0.680345;0.483493;0.145718;0.69467;0.489428;0.0287213;0.670007;0.457742;0.0720988;0.662433;0.481041;0.106944;0.663917;0.497432;0.12536;0.673706;0.502822;0.0192496;0.651034;0.475996;0.0676639;0.650127;0.501787;0.102129;0.657638;0.516837;0.11573;0.657102;0.521956;0.0125972;0.648028;0.509608;0.0503889;0.650308;0.528693;0.0712119;0.657846;0.540572;0.0829538
