face_x;face_y;landmark_x_1;landmark_y_1;landmark_z_1;landmark_x_2;landmark_y_2;landmark_z_2;landmark_x_3;landmark_y_3;landmark_z_3;landmark_x_4;landmark_y_4;landmark_z_4;landmark_x_5;landmark_y_5;landmark_z_5;landmark_x_6;landmark_y_6;landmark_z_6;landmark_x_7;landmark_y_7;landmark_z_7;landmark_x_8;landmark_y_8;landmark_z_8;landmark_x_9;landmark_y_9;landmark_z_9;landmark_x_10;landmark_y_10;landmark_z_10;landmark_x_11;landmark_y_11;landmark_z_11;landmark_x_12;landmark_y_12;landmark_z_12;landmark_x_13;landmark_y_13;landmark_z_13;landmark_x_14;landmark_y_14;landmark_z_14;landmark_x_15;landmark_y_15;landmark_z_15;landmark_x_16;landmark_y_16;landmark_z_16;landmark_x_17;landmark_y_17;landmark_z_17;landmark_x_18;landmark_y_18;landmark_z_18;landmark_x_19;landmark_y_19;landmark_z_19;landmark_x_20;landmark_y_20;landmark_z_20;landmark_x_21;landmark_y_21;landmark_z_21;landmark_x_22;landmark_y_22;landmark_z_22;landmark_x_23;landmark_y_23;landmark_z_23;landmark_x_24;landmark_y_24;landmark_z_24;landmark_x_25;landmark_y_25;landmark_z_25;landmark_x_26;landmark_y_26;landmark_z_26;landmark_x_27;landmark_y_27;landmark_z_27;landmark_x_28;landmark_y_28;landmark_z_28;landmark_x_29;landmark_y_29;landmark_z_29;landmark_x_30;landmark_y_30;landmark_z_30;landmark_x_31;landmark_y_31;landmark_z_31;landmark_x_32;landmark_y_32;landmark_z_32;landmark_x_33;landmark_y_33;landmark_z_33;landmark_x_34;landmark_y_34;landmark_z_34;landmark_x_35;landmark_y_35;landmark_z_35;landmark_x_36;landmark_y_36;landmark_z_36;landmark_x_37;landmark_y_37;landmark_z_37;landmark_x_38;landmark_y_38;landmark_z_38;landmark_x_39;landmark_y_39;landmark_z_39;landmark_x_40;landmark_y_40;landmark_z_40;landmark_x_41;landmark_y_41;landmark_z_41;landmark_x_42;landmark_y_42;landmark_z_42
0.442298;0.318141;0;0;0;0;0;-0;0;0;-0;0;0;-0;0;0;-0;0;0;-0;0;0;-0;0;0;-0;0;0;-0;0;0;-0;0;0;-0;0;0;-0;0;0;-0;0;0;-0;0;0;-0;0;0;-0;0;0;-0;0;0;-0;0;0;-0;0;0;-0;0;0;-0
0.442313;0.316469;0.352814;0.889927;1.75473e-05;0.371849;0.895111;-0.0482931;0.393647;0.908643;-0.0860975;0.412997;0.925169;-0.11115;0.427117;0.941828;-0.138239;0.422461;0.881595;-0.115375;0.448104;0.924646;-0.153934;0.449872;0.965184;-0.163895;0.446975;0.995705;-0.165706;0.422529;0.876812;-0.101642;0.450723;0.925856;-0.140201;0.451777;0.975707;-0.156651;0.451225;1.01141;-0.171139;0.420226;0.879366;-0.0874557;0.443179;0.920422;-0.113489;0.445883;0.970704;-0.126166;0.447271;1.00596;-0.138163;0.412908;0.882398;-0.075307;0.426634;0.916696;-0.093266;0.428949;0.952571;-0.107754;0.43306;0.979854;-0.122544
0.44093;0.3166;0.342389;0.905797;2.37229e-05;0.382303;0.883342;-0.0322262;0.416376;0.840169;-0.0697539;0.42698;0.805755;-0.106537;0.413773;0.785197;-0.141033;0.379207;0.773269;-0.058098;0.384068;0.734005;-0.111548;0.401319;0.711826;-0.153814;0.417875;0.708643;-0.179959;0.353583;0.780239;-0.0688098;0.356831;0.729384;-0.128832;0.378392;0.71688;-0.167758;0.397934;0.720496;-0.19274;0.329962;0.801676;-0.0830075;0.34516;0.78399;-0.142195;0.369722;0.820536;-0.146334;0.380876;0.854261;-0.137402;0.309079;0.834027;-0.0994928;0.323753;0.821084;-0.142994;0.344763;0.848846;-0.14234;0.354839;0.877776;-0.131737;0.713376;0.965702;1.58942e-05;0.666662;0.898132;-0.0168653;0.642724;0.83842;-0.0552267;0.633293;0.80272;-0.0895714;0.624345;0.777294;-0.123621;0.663269;0.80609;-0.121656;0.668619;0.743732;-0.184449;0.672;0.686024;-0.23093;0.674267;0.632295;-0.267879;0.693032;0.822888;-0.138067;0.704236;0.757875;-0.21619;0.703574;0.702929;-0.270827;0.702192;0.652089;-0.319764;0.722613;0.847744;-0.147107;0.73208;0.791959;-0.21167;0.724903;0.756968;-0.238595;0.721105;0.726674;-0.265717;0.747492;0.878459;-0.155165;0.753487;0.841131;-0.196929;0.741327;0.81883;-0.211276;0.731784;0.802705;-0.230734
0.439088;0.31614;0.333465;0.900248;2.50165e-05;0.37239;0.869825;-0.0163658;0.403571;0.823112;-0.0461859;0.41659;0.787755;-0.0821967;0.412034;0.760307;-0.121308;0.366287;0.753441;-0.0211056;0.36646;0.717508;-0.0555265;0.380816;0.693639;-0.0855354;0.39492;0.681769;-0.10366;0.344815;0.754478;-0.0366665;0.350043;0.710672;-0.0686032;0.369137;0.693609;-0.0957106;0.3876;0.691166;-0.117492;0.324415;0.770421;-0.0555265;0.344422;0.755224;-0.0928488;0.36537;0.789776;-0.101116;0.375972;0.825791;-0.101832;0.307003;0.79671;-0.0757577;0.32864;0.787945;-0.106363;0.347273;0.815842;-0.109304;0.357904;0.84821;-0.10843;0.694281;0.943802;1.63611e-05;0.648064;0.861597;-0.0187667;0.628281;0.808483;-0.0520617;0.620724;0.774909;-0.0830186;0.613641;0.75026;-0.116126;0.652593;0.789626;-0.106524;0.665174;0.741672;-0.171138;0.660457;0.706279;-0.216649;0.65322;0.674355;-0.243455;0.67496;0.802479;-0.118927;0.689803;0.750957;-0.191143;0.682872;0.721151;-0.238253;0.677217;0.694515;-0.273261;0.695269;0.822557;-0.128829;0.706269;0.775531;-0.187342;0.699588;0.753088;-0.218449;0.694016;0.737175;-0.240854;0.714442;0.848894;-0.137831;0.723144;0.811952;-0.17664;0.71751;0.792223;-0.201245;0.711832;0.781222;-0.22465
0.439378;0.316387;0.33993;0.883543;2.18568e-05;0.37663;0.854584;-0.00911377;0.406513;0.805514;-0.0278912;0.416491;0.767634;-0.0533051;0.41425;0.736147;-0.0790607;0.374711;0.729997;-0.0019888;0.380389;0.682452;-0.0298774;0.38847;0.644208;-0.0536895;0.398878;0.614533;-0.0682972;0.350932;0.729683;-0.0180353;0.356384;0.67985;-0.0496746;0.373052;0.649339;-0.0786336;0.389238;0.628092;-0.0984949;0.329514;0.744242;-0.0370317;0.355365;0.726796;-0.0721413;0.369974;0.762678;-0.0890127;0.375672;0.793954;-0.0958467;0.311401;0.767176;-0.0567221;0.339774;0.765999;-0.0869198;0.352431;0.797154;-0.100972;0.35668;0.824277;-0.108917;0.675091;0.890565;1.7278e-05;0.638621;0.841633;-0.038596;0.622112;0.809694;-0.0750516;0.614442;0.783458;-0.103287;0.612258;0.756597;-0.128608;0.639528;0.807751;-0.114763;0.639837;0.784825;-0.1726;0.630764;0.756561;-0.209671;0.623489;0.726829;-0.231713;0.655941;0.802925;-0.113579;0.660277;0.768586;-0.176244;0.65187;0.73717;-0.219326;0.647877;0.704379;-0.255758;0.669869;0.799977;-0.110665;0.677455;0.760262;-0.16076;0.669089;0.736976;-0.187993;0.66063;0.718263;-0.208396;0.681731;0.800795;-0.108205;0.688726;0.767382;-0.138809;0.683976;0.75384;-0.156934;0.676721;0.746729;-0.17506
0.440733;0.319685;0.345218;0.865441;1.9574e-05;0.380485;0.841112;-0.00567639;0.408061;0.793939;-0.0233366;0.416303;0.752257;-0.0488302;0.411361;0.712928;-0.0732912;0.382483;0.709994;0.000960885;0.389847;0.652888;-0.0223499;0.396216;0.612489;-0.0342821;0.40368;0.577055;-0.0400417;0.357157;0.70793;-0.0153971;0.36098;0.649799;-0.043759;0.372893;0.615098;-0.0625063;0.383887;0.586558;-0.0720979;0.334666;0.719861;-0.0339838;0.364578;0.709404;-0.0685642;0.376526;0.748881;-0.0812765;0.378757;0.777386;-0.0842137;0.317696;0.739694;-0.0528688;0.347939;0.745993;-0.0822862;0.358932;0.778702;-0.0968343;0.361265;0.80302;-0.104177;0.66391;0.875841;1.06222e-05;0.650121;0.876411;-0.034114;0.641317;0.858269;-0.0633545;0.643071;0.836406;-0.0854317;0.644389;0.821762;-0.104221;0.617823;0.82693;-0.0816151;0.614838;0.796361;-0.115436;0.61556;0.773216;-0.134812;0.615446;0.753999;-0.14726;0.631068;0.81243;-0.0759197;0.632451;0.779576;-0.112558;0.632986;0.755604;-0.138217;0.632193;0.734699;-0.164052;0.647468;0.805959;-0.0696371;0.650208;0.776694;-0.0956483;0.65325;0.759645;-0.106863;0.654156;0.742312;-0.118195;0.663622;0.804936;-0.0653508;0.670717;0.781815;-0.0799711;0.674587;0.774073;-0.0885436;0.676038;0.766107;-0.0981143
0.443139;0.319181;0.349506;0.850547;2.09122e-05;0.389276;0.827545;-0.0174179;0.416016;0.782119;-0.0429738;0.420323;0.739201;-0.0734612;0.411635;0.700135;-0.101058;0.390732;0.693546;-0.016434;0.399204;0.628501;-0.0397915;0.405949;0.584485;-0.0525695;0.411857;0.543043;-0.0595658;0.362846;0.691919;-0.0312647;0.367707;0.624159;-0.0641328;0.377038;0.576288;-0.0861906;0.385397;0.532637;-0.100475;0.337568;0.706198;-0.0486583;0.365981;0.693776;-0.0902232;0.381648;0.737452;-0.0981426;0.38679;0.770141;-0.0964421;0.318676;0.72944;-0.0673395;0.347058;0.72692;-0.101835;0.36252;0.761657;-0.111455;0.370262;0.790325;-0.113107;0.653462;0.874294;1.08605e-05;0.656457;0.843497;-0.0199955;0.649552;0.815003;-0.0363514;0.64221;0.796649;-0.0480791;0.635828;0.785623;-0.0587284;0.624345;0.811055;-0.0530218;0.62878;0.788417;-0.0791733;0.636584;0.778839;-0.0872164;0.640868;0.772979;-0.0898226;0.621089;0.823343;-0.0506403;0.627524;0.79802;-0.0743654;0.636002;0.789387;-0.0823186;0.640262;0.783997;-0.0924737;0.622282;0.838321;-0.0496967;0.62723;0.812721;-0.069872;0.636979;0.808412;-0.0695125;0.641265;0.808217;-0.0710403;0.626238;0.854647;-0.0487531;0.631189;0.832227;-0.0585936;0.637665;0.830483;-0.0574703;0.640116;0.832862;-0.0588183
0.444399;0.324655;0.35142;0.84533;2.13689e-05;0.391313;0.82548;-0.0169469;0.419057;0.782577;-0.0416977;0.422362;0.740585;-0.0713579;0.410489;0.704475;-0.095688;0.400783;0.688071;-0.0121268;0.410593;0.619651;-0.0325931;0.417209;0.577446;-0.0448601;0.422861;0.540447;-0.0509554;0.371319;0.682679;-0.0261153;0.373645;0.607858;-0.0542708;0.379501;0.562236;-0.0741633;0.38504;0.525568;-0.0871699;0.344469;0.696606;-0.0431514;0.369983;0.682903;-0.0828344;0.385571;0.727065;-0.0917095;0.392263;0.762227;-0.0906894;0.32447;0.719394;-0.0618197;0.352164;0.719781;-0.0946168;0.366993;0.755964;-0.104767;0.375601;0.786327;-0.107419
0.443254;0.325017;0.363538;0.814074;2.00104e-05;0.396119;0.821819;-0.0258038;0.419447;0.780333;-0.0511607;0.42143;0.741365;-0.0770051;0.411072;0.703786;-0.0951694;0.403731;0.694069;-0.0265759;0.415232;0.629474;-0.0491695;0.423291;0.58645;-0.0562402;0.428814;0.551814;-0.0592066;0.376194;0.690272;-0.0396404;0.377271;0.617318;-0.0703815;0.382556;0.568118;-0.0912683;0.386214;0.523853;-0.107035;0.352139;0.703553;-0.0556306;0.374412;0.687175;-0.10159;0.392098;0.729955;-0.104922;0.399543;0.761416;-0.100371;0.334475;0.722637;-0.072779;0.36141;0.724961;-0.104678;0.377489;0.758673;-0.108092;0.384979;0.786198;-0.107523;0.574515;0.81617;1.0392e-05;0.542704;0.80637;-0.0360678;0.512579;0.764905;-0.0662969;0.507077;0.731617;-0.096526;0.525201;0.710802;-0.122706;0.534281;0.671644;-0.036468;0.52137;0.605052;-0.054855;0.514816;0.561658;-0.0676153;0.507488;0.526288;-0.0793867;0.560608;0.671366;-0.0446609;0.561211;0.592525;-0.0651197;0.561743;0.540993;-0.0864496;0.561282;0.501701;-0.102082;0.584104;0.69224;-0.0569268;0.57482;0.646281;-0.0941717;0.555919;0.675798;-0.116396;0.546926;0.711534;-0.123647;0.604469;0.72088;-0.0721355;0.597012;0.693234;-0.109898;0.578535;0.712861;-0.130239;0.565351;0.742427;-0.13702
0.443177;0.324326;0.369164;0.830225;2.17327e-05;0.400411;0.824634;-0.0190866;0.423685;0.782598;-0.0416288;0.423798;0.743332;-0.0679608;0.418465;0.706004;-0.0885563;0.414466;0.693832;-0.011968;0.425725;0.628657;-0.0342799;0.436506;0.590133;-0.0458217;0.445285;0.558744;-0.0516041;0.385994;0.686784;-0.0250649;0.386401;0.611266;-0.0490239;0.388285;0.561626;-0.0657031;0.390205;0.519587;-0.079157;0.360143;0.699451;-0.0420896;0.384011;0.68187;-0.0809539;0.400843;0.724484;-0.0838567;0.409486;0.758958;-0.079756;0.341024;0.719287;-0.0610495;0.367985;0.721211;-0.092058;0.382233;0.756968;-0.0985086;0.390687;0.786514;-0.100167;0.575866;0.832357;1.30031e-05;0.536378;0.818002;-0.0214654;0.503382;0.777695;-0.0507411;0.497463;0.736752;-0.0838462;0.515995;0.710567;-0.114079;0.521257;0.68221;-0.0257485;0.502663;0.615202;-0.0475666;0.493096;0.574452;-0.062532;0.484189;0.539996;-0.0723577;0.548603;0.677922;-0.042301;0.542452;0.598193;-0.065908;0.539519;0.547632;-0.0868192;0.534076;0.506559;-0.0993155;0.573921;0.695512;-0.0624816;0.559357;0.651415;-0.103296;0.542129;0.678367;-0.131514;0.531129;0.708752;-0.142599;0.596297;0.723926;-0.0835439;0.581159;0.697688;-0.119824;0.562554;0.714613;-0.141591;0.548367;0.741037;-0.149553
