face_x;face_y;landmark_x_1;landmark_y_1;landmark_z_1;landmark_x_2;landmark_y_2;landmark_z_2;landmark_x_3;landmark_y_3;landmark_z_3;landmark_x_4;landmark_y_4;landmark_z_4;landmark_x_5;landmark_y_5;landmark_z_5;landmark_x_6;landmark_y_6;landmark_z_6;landmark_x_7;landmark_y_7;landmark_z_7;landmark_x_8;landmark_y_8;landmark_z_8;landmark_x_9;landmark_y_9;landmark_z_9;landmark_x_10;landmark_y_10;landmark_z_10;landmark_x_11;landmark_y_11;landmark_z_11;landmark_x_12;landmark_y_12;landmark_z_12;landmark_x_13;landmark_y_13;landmark_z_13;landmark_x_14;landmark_y_14;landmark_z_14;landmark_x_15;landmark_y_15;landmark_z_15;landmark_x_16;landmark_y_16;landmark_z_16;landmark_x_17;landmark_y_17;landmark_z_17;landmark_x_18;landmark_y_18;landmark_z_18;landmark_x_19;landmark_y_19;landmark_z_19;landmark_x_20;landmark_y_20;landmark_z_20;landmark_x_21;landmark_y_21;landmark_z_21;landmark_x_22;landmark_y_22;landmark_z_22;landmark_x_23;landmark_y_23;landmark_z_23;landmark_x_24;landmark_y_24;landmark_z_24;landmark_x_25;landmark_y_25;landmark_z_25;landmark_x_26;landmark_y_26;landmark_z_26;landmark_x_27;landmark_y_27;landmark_z_27;landmark_x_28;landmark_y_28;landmark_z_28;landmark_x_29;landmark_y_29;landmark_z_29;landmark_x_30;landmark_y_30;landmark_z_30;landmark_x_31;landmark_y_31;landmark_z_31;landmark_x_32;landmark_y_32;landmark_z_32;landmark_x_33;landmark_y_33;landmark_z_33;landmark_x_34;landmark_y_34;landmark_z_34;landmark_x_35;landmark_y_35;landmark_z_35;landmark_x_36;landmark_y_36;landmark_z_36;landmark_x_37;landmark_y_37;landmark_z_37;landmark_x_38;landmark_y_38;landmark_z_38;landmark_x_39;landmark_y_39;landmark_z_39;landmark_x_40;landmark_y_40;landmark_z_40;landmark_x_41;landmark_y_41;landmark_z_41;landmark_x_42;landmark_y_42;landmark_z_42
0.42548;0.434684;0.691535;1.04326;1.60367e-05;0.646872;1.01405;-0.0532482;0.633915;0.970226;-0.100952;0.636671;0.932003;-0.140264;0.646948;0.899157;-0.178526;0.647884;0.918998;-0.101501;0.638895;0.860272;-0.160744;0.639152;0.863977;-0.206599;0.640115;0.877643;-0.237969;0.683641;0.924516;-0.0968059;0.682117;0.864061;-0.155449;0.684257;0.881013;-0.203103;0.686706;0.903969;-0.245561;0.716868;0.943115;-0.094608;0.719628;0.901917;-0.150853;0.713747;0.918559;-0.190715;0.707969;0.939797;-0.220386;0.740945;0.967281;-0.0934092;0.747311;0.944769;-0.13367;0.739748;0.950601;-0.163441;0.728179;0.964004;-0.188017;0.277078;0.935018;1.63245e-05;0.322387;0.891474;0.00096709;0.347193;0.848941;0.0140067;0.357836;0.815607;0.030096;0.365597;0.799479;0.0525784;0.330461;0.806149;0.0479207;0.354703;0.773322;0.0679399;0.361048;0.782476;0.0722841;0.356916;0.794603;0.0727319;0.311662;0.812557;0.0561164;0.337102;0.779107;0.078778;0.345736;0.797358;0.0849136;0.343065;0.816271;0.0864363;0.297912;0.827198;0.0621625;0.322484;0.810708;0.0860333;0.32652;0.829296;0.0912732;0.321459;0.841529;0.091094;0.288394;0.840797;0.0665067;0.307106;0.835099;0.0877351;0.308509;0.848395;0.092975;0.304278;0.854367;0.0953935
0.425778;0.438212;0.69776;1.03059;1.04178e-05;0.656898;1.00538;-0.0566063;0.642634;0.965813;-0.096474;0.645636;0.939989;-0.124014;0.648771;0.918674;-0.153039;0.645226;0.914675;-0.115604;0.630034;0.872419;-0.160048;0.62215;0.836618;-0.195752;0.616911;0.803393;-0.226095;0.677027;0.908793;-0.106369;0.674095;0.888855;-0.156997;0.678496;0.874803;-0.191959;0.68183;0.863362;-0.217685;0.705437;0.92436;-0.0947424;0.695056;0.932891;-0.13193;0.684353;0.954111;-0.12385;0.674641;0.9699;-0.117171;0.728891;0.949157;-0.0883933;0.714547;0.954318;-0.116593;0.701802;0.977541;-0.116264;0.693764;0.998929;-0.11445;0.299009;0.920388;1.14736e-05;0.312106;0.928275;-0.0717687;0.323852;0.915183;-0.129111;0.33646;0.893247;-0.167728;0.353063;0.881279;-0.204741;0.305092;0.875078;-0.194686;0.304147;0.836157;-0.260116;0.309041;0.799944;-0.306019;0.313508;0.766443;-0.341284;0.304677;0.864565;-0.175014;0.303069;0.824255;-0.23476;0.316468;0.788392;-0.273085;0.329746;0.752725;-0.309225;0.307403;0.864766;-0.148565;0.311836;0.835206;-0.191189;0.325122;0.805036;-0.217711;0.339145;0.777921;-0.242046;0.31206;0.868471;-0.124958;0.321169;0.85361;-0.156798;0.334106;0.842046;-0.178948;0.347558;0.830881;-0.199641
0.424964;0.441043;0.694245;0.997538;1.17371e-05;0.668886;0.961254;-0.023111;0.657026;0.928128;-0.0487167;0.651196;0.910354;-0.0684956;0.646984;0.89558;-0.0932994;0.664609;0.90541;-0.0735561;0.653933;0.880898;-0.0995004;0.646249;0.853755;-0.118388;0.640186;0.83091;-0.133713;0.679633;0.913615;-0.0746965;0.658974;0.909367;-0.105131;0.647164;0.918826;-0.116393;0.638403;0.928821;-0.125088;0.692804;0.932495;-0.0734849;0.670369;0.930758;-0.096293;0.662197;0.943299;-0.0918739;0.656961;0.954822;-0.0923015;0.702834;0.952888;-0.074554;0.681433;0.953866;-0.0869559;0.672898;0.964447;-0.0850315;0.668004;0.973997;-0.0867421
0.425977;0.432855;0.326531;0.938254;2.67499e-05;0.372905;0.918313;-0.0166222;0.405175;0.861427;-0.0401829;0.407224;0.807707;-0.0708933;0.399548;0.760905;-0.0960528;0.386706;0.747704;-0.009465;0.401184;0.672792;-0.0334857;0.40946;0.622923;-0.0427773;0.415223;0.580112;-0.0449493;0.35319;0.743351;-0.0275579;0.35885;0.657778;-0.057861;0.363195;0.601778;-0.075177;0.365081;0.554134;-0.0845289;0.321223;0.762806;-0.0495046;0.347249;0.739563;-0.0955098;0.366033;0.789329;-0.104982;0.374257;0.825556;-0.102871;0.295276;0.792593;-0.0724016;0.326343;0.791554;-0.112705;0.345318;0.833167;-0.124531;0.355402;0.864797;-0.128513;0.602126;0.953257;1.09803e-05;0.554807;0.927387;-0.0397443;0.520532;0.880288;-0.0724538;0.509745;0.844087;-0.105464;0.51879;0.826018;-0.137812;0.550554;0.76;-0.0397443;0.539136;0.687391;-0.0534534;0.534065;0.641952;-0.0648777;0.529376;0.603373;-0.0726341;0.584226;0.760626;-0.048042;0.589366;0.674047;-0.0630137;0.593402;0.625134;-0.0830362;0.591803;0.587581;-0.0984289;0.613717;0.786489;-0.0621719;0.620639;0.73502;-0.101676;0.608615;0.758005;-0.142382;0.594612;0.78973;-0.165591;0.639252;0.822944;-0.0775045;0.639941;0.805741;-0.129755;0.623377;0.830047;-0.169921;0.604717;0.859393;-0.19313
0.429576;0.432955;0.331886;0.92609;2.79709e-05;0.376713;0.904143;-0.0108139;0.408261;0.846654;-0.035704;0.408987;0.792567;-0.0696386;0.395075;0.748476;-0.0992128;0.392736;0.731657;-0.00233814;0.409482;0.653592;-0.0233814;0.420857;0.602956;-0.0309013;0.429605;0.560584;-0.0311067;0.359558;0.724839;-0.0217857;0.364094;0.636929;-0.044077;0.368146;0.580503;-0.0566208;0.368908;0.536259;-0.0605704;0.328302;0.743524;-0.0443614;0.354133;0.721654;-0.0816452;0.37091;0.770242;-0.0897971;0.377068;0.806511;-0.0879013;0.303505;0.772592;-0.0677428;0.334375;0.773899;-0.0986441;0.351071;0.815127;-0.108502;0.359326;0.845399;-0.111219;0.599922;0.942278;1.13728e-05;0.551779;0.916887;-0.0371469;0.516585;0.864823;-0.0599509;0.508436;0.823686;-0.0812137;0.521291;0.801082;-0.0988278;0.546319;0.745167;-0.0252574;0.53409;0.672904;-0.0320671;0.529517;0.628934;-0.0403552;0.5261;0.59232;-0.0465201;0.580421;0.742492;-0.0282298;0.585165;0.651118;-0.0346306;0.588304;0.603971;-0.0509866;0.587712;0.56815;-0.0636625;0.610014;0.765479;-0.0373042;0.612627;0.713161;-0.0655497;0.599917;0.738193;-0.105307;0.588394;0.766888;-0.128835;0.634765;0.798862;-0.0477783;0.626805;0.784589;-0.0875673;0.609134;0.814837;-0.12311;0.593767;0.843743;-0.143933
0.431738;0.428234;0.334844;0.920319;2.88529e-05;0.37722;0.8988;-0.00886849;0.409454;0.839204;-0.0314347;0.410839;0.785426;-0.0636837;0.406057;0.740441;-0.0929685;0.39996;0.725189;0.00747185;0.417112;0.647716;-0.009634;0.428554;0.59945;-0.0174438;0.436611;0.562832;-0.0191377;0.368433;0.715068;-0.0122481;0.368891;0.624242;-0.0291056;0.371378;0.567986;-0.0371679;0.370649;0.527362;-0.0392526;0.338193;0.732869;-0.0366141;0.359552;0.700668;-0.0735539;0.376318;0.744464;-0.0876262;0.384196;0.781273;-0.0901019;0.313028;0.760477;-0.0612732;0.339992;0.755037;-0.0945321;0.355444;0.794666;-0.11121;0.364077;0.826247;-0.120657;0.601365;0.938384;1.36053e-05;0.551093;0.909975;-0.0334888;0.51422;0.853914;-0.0516272;0.504173;0.810485;-0.0682896;0.515469;0.786004;-0.08036;0.540327;0.736401;-0.0193028;0.528094;0.665511;-0.0232224;0.523497;0.622416;-0.0274044;0.519935;0.586042;-0.0304056;0.573374;0.729724;-0.023124;0.577147;0.637715;-0.028864;0.581073;0.58893;-0.0423448;0.580011;0.551111;-0.0520208;0.602824;0.749037;-0.0331444;0.607294;0.693416;-0.0616968;0.595464;0.717861;-0.0994496;0.582285;0.74758;-0.120704;0.62825;0.780391;-0.0444112;0.619449;0.763568;-0.0861328;0.601;0.795631;-0.121622;0.583985;0.829198;-0.140515
0.43994;0.431645;0.333832;0.912534;2.91521e-05;0.378567;0.889892;-0.000589948;0.414243;0.832871;-0.0245819;0.416956;0.779756;-0.0619383;0.409915;0.733578;-0.0984609;0.406171;0.718222;0.0109401;0.421873;0.640543;-0.00565766;0.432722;0.597664;-0.0133082;0.439289;0.566972;-0.0126328;0.374635;0.705437;-0.0145173;0.373567;0.61149;-0.030719;0.375548;0.553669;-0.0360556;0.37386;0.512155;-0.0361557;0.344497;0.721726;-0.0441606;0.362734;0.689603;-0.0789822;0.379935;0.732892;-0.0896554;0.387805;0.767797;-0.0917901;0.319638;0.748901;-0.0740458;0.344427;0.746541;-0.101129;0.359098;0.785361;-0.116005;0.367047;0.814669;-0.126478;0.594561;0.930701;1.43638e-05;0.547076;0.902585;-0.034989;0.512965;0.847321;-0.0567004;0.506704;0.803513;-0.0770232;0.518777;0.774225;-0.0938233;0.532601;0.719263;-0.0213727;0.523318;0.644238;-0.0212034;0.518895;0.600135;-0.0242857;0.515921;0.562298;-0.0288414;0.565857;0.714369;-0.0254542;0.572887;0.624247;-0.0324486;0.575224;0.580234;-0.0471488;0.573939;0.546471;-0.0567343;0.595109;0.734857;-0.0351583;0.597782;0.683905;-0.0586311;0.585322;0.711259;-0.0934169;0.573887;0.741149;-0.114485;0.619708;0.766129;-0.0470133;0.609791;0.741624;-0.0843394;0.592769;0.772657;-0.118346;0.578346;0.806399;-0.137788
0.442387;0.425348;0.336727;0.905281;2.84655e-05;0.382737;0.878449;0.00181649;0.419854;0.821216;-0.0209416;0.42394;0.769524;-0.0565677;0.419277;0.727374;-0.0922447;0.41266;0.707891;0.0116493;0.430528;0.635403;-0.00148584;0.443575;0.596208;-0.00489626;0.453055;0.56775;-0.00260286;0.380955;0.694363;-0.0163972;0.377907;0.60319;-0.0354396;0.38391;0.546586;-0.0429006;0.387799;0.508482;-0.0445284;0.350243;0.711162;-0.0487337;0.367333;0.684185;-0.0826811;0.385258;0.721245;-0.0962465;0.395511;0.753821;-0.100927;0.325206;0.741583;-0.0811889;0.347274;0.743699;-0.109066;0.362986;0.778872;-0.126837;0.373886;0.807214;-0.139859;0.59411;0.924242;1.52555e-05;0.543797;0.891199;-0.027066;0.509305;0.836962;-0.045225;0.502705;0.792694;-0.06259;0.512668;0.761957;-0.0746385;0.523916;0.712422;-0.0176585;0.511138;0.636426;-0.0177275;0.504603;0.59262;-0.0194191;0.501052;0.554772;-0.0224399;0.557405;0.704603;-0.0228024;0.560605;0.615701;-0.0341086;0.562888;0.571295;-0.0485392;0.562037;0.536601;-0.0570319;0.587405;0.722302;-0.0325033;0.590784;0.668127;-0.0543736;0.57969;0.693258;-0.0832002;0.568143;0.721563;-0.099426;0.613644;0.751656;-0.043637;0.60383;0.725295;-0.076848;0.585697;0.754844;-0.106262;0.569346;0.789012;-0.121797
0.439343;0.421259;0.340952;0.900584;2.8232e-05;0.385949;0.874751;0.00385405;0.424395;0.816823;-0.0179345;0.430674;0.764129;-0.0536334;0.424606;0.71992;-0.0884815;0.416906;0.704024;0.0179856;0.43668;0.631347;0.0044496;0.44967;0.592814;0.00319682;0.459274;0.565595;0.0073848;0.386496;0.689759;-0.00986058;0.384976;0.597118;-0.0278887;0.390902;0.544997;-0.0309345;0.395255;0.509454;-0.029301;0.35623;0.705078;-0.0428454;0.374205;0.675562;-0.0776595;0.392426;0.716875;-0.0887537;0.403338;0.750412;-0.0910678;0.331757;0.733016;-0.0758899;0.35676;0.73759;-0.101413;0.372594;0.775738;-0.115502;0.382741;0.803909;-0.126256;0.591708;0.914731;1.54527e-05;0.540601;0.879782;-0.0274588;0.505565;0.826059;-0.044386;0.497023;0.782789;-0.0600271;0.505022;0.750747;-0.0690641;0.520948;0.706421;-0.0237919;0.507133;0.630621;-0.0286232;0.500385;0.587119;-0.0330201;0.49662;0.548833;-0.0377124;0.554531;0.699834;-0.0295269;0.556167;0.6076;-0.0432042;0.555596;0.562712;-0.0598533;0.553572;0.526496;-0.0700374;0.584913;0.718686;-0.0393461;0.586296;0.667965;-0.0608613;0.57314;0.689614;-0.0902318;0.562008;0.71364;-0.108445;0.610418;0.750202;-0.0508162;0.596761;0.73126;-0.0842534;0.577944;0.762429;-0.112824;0.562688;0.795589;-0.127909
0.439611;0.422814;0.344196;0.897754;2.83272e-05;0.389542;0.870623;0.00219006;0.428274;0.809469;-0.0184606;0.432271;0.755761;-0.0536724;0.424115;0.712221;-0.088474;0.418854;0.700855;0.0228022;0.437234;0.623946;0.0133497;0.447946;0.585364;0.0153838;0.456891;0.557739;0.0217083;0.389498;0.687878;-0.00452113;0.388555;0.597802;-0.0209391;0.395449;0.544998;-0.0255029;0.402712;0.509507;-0.0250927;0.359921;0.70305;-0.0376732;0.381518;0.6743;-0.0709706;0.400007;0.709133;-0.0853288;0.411152;0.739331;-0.0898414;0.336571;0.729372;-0.0705604;0.3632;0.735561;-0.0962684;0.379025;0.770493;-0.110627;0.39019;0.799067;-0.12013;0.588415;0.910225;1.52554e-05;0.537938;0.875466;-0.0276274;0.504603;0.824308;-0.046086;0.494314;0.782879;-0.0658421;0.496753;0.746032;-0.0796472;0.515996;0.703484;-0.0173515;0.501286;0.627735;-0.024254;0.495653;0.583614;-0.0292882;0.492236;0.544127;-0.0335784;0.548935;0.697206;-0.0271257;0.548649;0.603944;-0.0445983;0.549;0.556888;-0.0650463;0.547379;0.519097;-0.0766024;0.579849;0.716236;-0.0418649;0.580597;0.661307;-0.0707552;0.566668;0.685306;-0.105251;0.554636;0.712185;-0.125318;0.606185;0.746549;-0.0578843;0.592431;0.727542;-0.0983307;0.573293;0.760617;-0.131961;0.55787;0.795252;-0.150437
