face_x;face_y;landmark_x_1;landmark_y_1;landmark_z_1;landmark_x_2;landmark_y_2;landmark_z_2;landmark_x_3;landmark_y_3;landmark_z_3;landmark_x_4;landmark_y_4;landmark_z_4;landmark_x_5;landmark_y_5;landmark_z_5;landmark_x_6;landmark_y_6;landmark_z_6;landmark_x_7;landmark_y_7;landmark_z_7;landmark_x_8;landmark_y_8;landmark_z_8;landmark_x_9;landmark_y_9;landmark_z_9;landmark_x_10;landmark_y_10;landmark_z_10;landmark_x_11;landmark_y_11;landmark_z_11;landmark_x_12;landmark_y_12;landmark_z_12;landmark_x_13;landmark_y_13;landmark_z_13;landmark_x_14;landmark_y_14;landmark_z_14;landmark_x_15;landmark_y_15;landmark_z_15;landmark_x_16;landmark_y_16;landmark_z_16;landmark_x_17;landmark_y_17;landmark_z_17;landmark_x_18;landmark_y_18;landmark_z_18;landmark_x_19;landmark_y_19;landmark_z_19;landmark_x_20;landmark_y_20;landmark_z_20;landmark_x_21;landmark_y_21;landmark_z_21;landmark_x_22;landmark_y_22;landmark_z_22;landmark_x_23;landmark_y_23;landmark_z_23;landmark_x_24;landmark_y_24;landmark_z_24;landmark_x_25;landmark_y_25;landmark_z_25;landmark_x_26;landmark_y_26;landmark_z_26;landmark_x_27;landmark_y_27;landmark_z_27;landmark_x_28;landmark_y_28;landmark_z_28;landmark_x_29;landmark_y_29;landmark_z_29;landmark_x_30;landmark_y_30;landmark_z_30;landmark_x_31;landmark_y_31;landmark_z_31;landmark_x_32;landmark_y_32;landmark_z_32;landmark_x_33;landmark_y_33;landmark_z_33;landmark_x_34;landmark_y_34;landmark_z_34;landmark_x_35;landmark_y_35;landmark_z_35;landmark_x_36;landmark_y_36;landmark_z_36;landmark_x_37;landmark_y_37;landmark_z_37;landmark_x_38;landmark_y_38;landmark_z_38;landmark_x_39;landmark_y_39;landmark_z_39;landmark_x_40;landmark_y_40;landmark_z_40;landmark_x_41;landmark_y_41;landmark_z_41;landmark_x_42;landmark_y_42;landmark_z_42
0.422883;0.290883;0.484461;0.933138;1.59936e-05;0.456308;0.932835;-0.0417814;0.426438;0.929366;-0.0723942;0.402155;0.926413;-0.0945482;0.385197;0.923881;-0.117105;0.411039;0.919626;-0.0773377;0.39468;0.904006;-0.110514;0.397273;0.913672;-0.137392;0.401151;0.929924;-0.154382;0.413411;0.914719;-0.0670479;0.396824;0.89876;-0.0989424;0.40083;0.912365;-0.122891;0.405924;0.92814;-0.14596;0.421235;0.91011;-0.05793;0.405102;0.893521;-0.0831966;0.408387;0.90969;-0.0993818;0.416115;0.930484;-0.116006;0.430721;0.906271;-0.0507528;0.417611;0.889872;-0.0671944;0.416665;0.90077;-0.0774841;0.419237;0.917626;-0.0920582
0.422209;0.286957;0.488464;0.924;8.92711e-06;0.467644;0.942292;-0.00389101;0.448918;0.935674;-0.00569267;0.436006;0.929084;-0.0076166;0.42674;0.92702;-0.00828548;0.433514;0.904406;-0.00935713;0.416942;0.876271;-0.0103353;0.409372;0.859264;0.000995228;0.403751;0.845898;0.0114501;0.438626;0.891113;-0.005761;0.423557;0.860746;-0.00664564;0.416248;0.842932;0.00309986;0.40827;0.829321;0.00822075;0.446263;0.881362;-0.0039917;0.433253;0.856417;0.000291961;0.425376;0.838954;0.00876736;0.415744;0.824157;0.0122484;0.455134;0.874689;-0.00218645;0.443846;0.858079;0.0049195;0.435975;0.844372;0.00782517;0.42773;0.832567;0.0078971;0.222015;0.849225;1.83961e-05;0.220773;0.811995;-0.0681411;0.221485;0.776564;-0.11916;0.239359;0.770376;-0.157771;0.257787;0.779401;-0.200472;0.155754;0.798132;-0.13552;0.155784;0.791319;-0.189797;0.151193;0.796354;-0.217663;0.150276;0.807813;-0.236796;0.151099;0.836557;-0.122973;0.161752;0.831797;-0.178706;0.172801;0.82568;-0.191738;0.181008;0.823891;-0.196452;0.160905;0.869606;-0.114377;0.188436;0.857168;-0.169278;0.207522;0.835429;-0.171497;0.219068;0.823135;-0.164426;0.181047;0.895251;-0.109733;0.200751;0.887464;-0.150562;0.215415;0.875413;-0.156939;0.223815;0.868208;-0.156385
0.41988;0.286492;0.227003;0.868977;1.86249e-05;0.217311;0.832227;-0.0248189;0.202073;0.793026;-0.0620023;0.196858;0.763688;-0.097295;0.19895;0.735871;-0.136969;0.156189;0.796822;-0.106538;0.180514;0.750954;-0.163859;0.203824;0.733258;-0.187627;0.223174;0.724067;-0.202873;0.160517;0.821698;-0.113381;0.201164;0.765103;-0.173102;0.234516;0.739259;-0.180185;0.259512;0.72917;-0.186067;0.175927;0.847392;-0.122564;0.219971;0.796234;-0.170581;0.24608;0.774973;-0.153895;0.261365;0.768954;-0.145612;0.195783;0.873298;-0.131567;0.228471;0.829885;-0.170581;0.248262;0.810289;-0.16674;0.258322;0.802405;-0.164939
0.421999;0.28161;0.208654;0.839258;1.67932e-05;0.199446;0.789531;0.0229531;0.201666;0.73638;0.00885894;0.214558;0.695479;-0.0079274;0.228196;0.672993;-0.0247044;0.177026;0.71797;-0.0600656;0.218396;0.670387;-0.0765352;0.250785;0.655414;-0.0687103;0.274924;0.647901;-0.0601402;0.187294;0.743236;-0.0809321;0.241533;0.684781;-0.0989667;0.27933;0.667923;-0.0851799;0.305034;0.660677;-0.0766098;0.207975;0.768906;-0.0970291;0.26024;0.7142;-0.109922;0.29329;0.69296;-0.0958367;0.313966;0.682948;-0.0864468;0.234196;0.792998;-0.111039;0.271111;0.747222;-0.115436;0.294518;0.724159;-0.103513;0.309879;0.707821;-0.0936756;0.5461;0.857036;2.12344e-05;0.547132;0.796404;0.0171652;0.539355;0.737804;-0.0100302;0.516146;0.698949;-0.0414348;0.495551;0.678459;-0.0690716;0.587532;0.732239;-0.0841836;0.544485;0.684738;-0.117118;0.51383;0.667838;-0.116543;0.493779;0.660294;-0.119089;0.579279;0.766404;-0.111287;0.529333;0.705485;-0.153748;0.494119;0.675522;-0.153009;0.46879;0.657925;-0.15728;0.561432;0.798256;-0.132312;0.504554;0.74264;-0.159169;0.47012;0.717923;-0.140854;0.449679;0.702372;-0.133626;0.538512;0.825465;-0.153255;0.494846;0.77766;-0.179866;0.471002;0.751706;-0.187257;0.455237;0.731071;-0.196127
0.42244;0.276937;0.220494;0.838466;1.53676e-05;0.208418;0.778422;0.0300118;0.21679;0.727554;0.029403;0.234209;0.690004;0.0284696;0.252181;0.667293;0.0300321;0.202504;0.687784;-0.0246953;0.243822;0.637586;-0.0367081;0.28099;0.617641;-0.0360182;0.308585;0.608451;-0.0322439;0.215604;0.706045;-0.0461439;0.264105;0.644537;-0.0601859;0.303599;0.61864;-0.0640008;0.329782;0.607032;-0.0685462;0.234369;0.727885;-0.0613629;0.277538;0.667247;-0.0720364;0.312612;0.640022;-0.0675722;0.336483;0.626892;-0.0664359;0.255522;0.750952;-0.0728075;0.288599;0.697043;-0.0778399;0.31151;0.671452;-0.0712653;0.32805;0.657202;-0.0658677;0.544772;0.855853;2.21797e-05;0.553954;0.795492;0.0281364;0.553176;0.732353;0.0142753;0.535131;0.688302;-0.00627324;0.512767;0.665876;-0.0273704;0.59128;0.712011;-0.0486539;0.555061;0.659816;-0.0662107;0.523083;0.629928;-0.0678256;0.497653;0.610021;-0.0670802;0.576856;0.735807;-0.0772251;0.535883;0.669282;-0.105838;0.504224;0.63479;-0.10766;0.480854;0.612923;-0.106252;0.553016;0.759089;-0.101034;0.512321;0.691956;-0.121324;0.486607;0.655024;-0.114533;0.468877;0.630923;-0.107246;0.524506;0.778988;-0.121241;0.498036;0.722229;-0.133581;0.480938;0.687754;-0.131676;0.466343;0.661466;-0.12886
0.42313;0.276003;0.234544;0.824588;1.66894e-05;0.218506;0.761654;0.0475525;0.221909;0.706154;0.0574492;0.238746;0.667645;0.0610217;0.260141;0.640774;0.067008;0.216135;0.663142;0.0064389;0.257847;0.612439;0.00688546;0.290125;0.593765;0.0197331;0.311984;0.590317;0.0372696;0.233618;0.675409;-0.0168365;0.282829;0.616006;-0.0116588;0.312692;0.599558;0.00639062;0.329466;0.59671;0.0219176;0.256159;0.694858;-0.0345419;0.299302;0.636874;-0.0292798;0.323407;0.618945;-0.00922084;0.335232;0.616019;0.00727167;0.28101;0.716879;-0.0480111;0.309784;0.665031;-0.0368109;0.324693;0.644235;-0.0165348;0.332802;0.635198;0.0028272;0.551088;0.846065;2.23371e-05;0.553201;0.771429;0.0477487;0.555481;0.707027;0.047678;0.545514;0.66486;0.0360647;0.532039;0.641683;0.0213538;0.602119;0.681501;-0.0136509;0.563684;0.631841;-0.0237919;0.534892;0.60288;-0.0233325;0.510534;0.579414;-0.0210947;0.588496;0.696782;-0.0479842;0.545973;0.637334;-0.066476;0.515472;0.606298;-0.0624243;0.490438;0.584122;-0.0554516;0.564035;0.715446;-0.076935;0.522773;0.654753;-0.0899381;0.497081;0.62144;-0.081552;0.477647;0.598129;-0.0723179;0.534855;0.734574;-0.100915;0.50973;0.683412;-0.112317;0.494567;0.651978;-0.110149;0.481693;0.62589;-0.105155
0.423247;0.271602;0.241861;0.812289;1.82356e-05;0.227247;0.746316;0.0558284;0.230224;0.69314;0.0684727;0.251108;0.657441;0.0720926;0.27979;0.636566;0.0780069;0.223163;0.642208;0.0190938;0.270586;0.594652;0.0257601;0.30406;0.582933;0.0441274;0.325106;0.58302;0.0628644;0.241735;0.654031;-0.00607039;0.296684;0.597587;0.00432097;0.32754;0.588794;0.0265631;0.344511;0.587232;0.0419606;0.265184;0.673487;-0.0266906;0.312786;0.619298;-0.0156269;0.336301;0.61004;0.00916453;0.346902;0.612041;0.0250846;0.289928;0.697626;-0.0417311;0.321359;0.651528;-0.0261043;0.336081;0.634838;-0.00427954;0.343765;0.628126;0.0111147;0.554394;0.838514;2.12923e-05;0.540743;0.75001;0.0570953;0.544001;0.681073;0.0578676;0.535849;0.638801;0.0432462;0.523995;0.60868;0.025819;0.607332;0.662985;0.0125427;0.57122;0.611509;0.00670574;0.542824;0.588665;0.009222;0.51865;0.572119;0.0130704;0.600565;0.679385;-0.0273378;0.556907;0.61442;-0.0391018;0.525086;0.592568;-0.0331554;0.500195;0.580383;-0.0229746;0.57973;0.697647;-0.062707;0.535547;0.634189;-0.0687821;0.505206;0.604899;-0.0585369;0.482581;0.584682;-0.0483946;0.553608;0.716012;-0.0932368;0.524851;0.663336;-0.0983852;0.505359;0.631192;-0.092722;0.48924;0.604361;-0.0852054
0.423031;0.27175;0.247243;0.810389;1.92436e-05;0.231254;0.739221;0.0655889;0.236417;0.683046;0.0821169;0.259519;0.646621;0.0875565;0.284844;0.627409;0.0921592;0.223921;0.638925;0.0218499;0.270878;0.590077;0.0339974;0.302776;0.576414;0.056488;0.32322;0.572985;0.0763635;0.243093;0.649988;-0.00690409;0.294463;0.592267;0.0071983;0.325534;0.577254;0.0313038;0.344328;0.570347;0.0481717;0.268406;0.668379;-0.0302316;0.31408;0.611481;-0.0143443;0.337784;0.5966;0.0121606;0.350018;0.594408;0.028584;0.294948;0.690469;-0.0475964;0.325412;0.642531;-0.0309377;0.33878;0.621719;-0.0111603;0.34588;0.611764;0.00148657;0.557367;0.841627;2.3082e-05;0.550239;0.759836;0.0591923;0.556334;0.691288;0.0606653;0.549211;0.645353;0.0459081;0.537346;0.615327;0.0219584;0.619769;0.667453;0.00913798;0.578229;0.604328;0.00373362;0.548622;0.578557;0.00748087;0.52517;0.559559;0.01012;0.60976;0.684677;-0.0298689;0.563152;0.609362;-0.0377794;0.529974;0.58584;-0.0253136;0.507128;0.57183;-0.0145117;0.585402;0.701471;-0.0643205;0.541799;0.626357;-0.0648115;0.511364;0.595738;-0.0442442;0.491953;0.574469;-0.031151;0.554645;0.716197;-0.0948713;0.528067;0.651568;-0.0934529;0.509019;0.618603;-0.080196;0.495589;0.593021;-0.0710853
0.429415;0.270699;0.254727;0.811645;2.01523e-05;0.244585;0.746414;0.0581884;0.24778;0.683278;0.0692013;0.268788;0.641763;0.0678247;0.293165;0.619582;0.0653362;0.21861;0.640861;0.0151692;0.265048;0.589676;0.0218273;0.299543;0.574768;0.0388629;0.324205;0.569864;0.0529202;0.235238;0.65235;-0.0152354;0.287917;0.589118;-0.0106621;0.321672;0.570391;0.00632382;0.344226;0.56103;0.0176445;0.261102;0.66899;-0.0413513;0.309562;0.606786;-0.0329593;0.336007;0.586691;-0.0149839;0.351668;0.580696;-0.00510274;0.289885;0.687918;-0.06253;0.323416;0.635077;-0.0472814;0.33728;0.612527;-0.0306032;0.344545;0.600903;-0.0211125;0.554745;0.850788;2.69274e-05;0.554044;0.766908;0.0628463;0.56731;0.701016;0.0651845;0.56712;0.653633;0.0510127;0.560965;0.620997;0.0298263;0.622737;0.680935;0.00491521;0.588932;0.609187;-0.00305819;0.560951;0.578453;0.000351309;0.537274;0.558656;0.00366769;0.611479;0.7;-0.0372401;0.571928;0.615596;-0.0484178;0.540646;0.584356;-0.0400631;0.517415;0.566781;-0.0331055;0.587493;0.717433;-0.0745372;0.550183;0.634399;-0.0767614;0.521904;0.597311;-0.0569152;0.502229;0.573536;-0.0443403;0.558065;0.733309;-0.107215;0.535438;0.664049;-0.108755;0.518614;0.626968;-0.0987747;0.506153;0.597301;-0.0918741
0.430173;0.267979;0.259312;0.817804;2.04463e-05;0.253596;0.752507;0.052971;0.251534;0.687426;0.0580783;0.26392;0.637536;0.0505912;0.281343;0.604541;0.0415532;0.205215;0.651073;0.00512396;0.254217;0.592031;0.00726647;0.291383;0.571243;0.0233436;0.318778;0.562374;0.0369273;0.217107;0.664223;-0.0280765;0.274391;0.593088;-0.0267663;0.310003;0.569143;-0.00574231;0.334681;0.555957;0.00873046;0.241625;0.68058;-0.0578643;0.294566;0.610054;-0.0529977;0.32318;0.583773;-0.0333977;0.341782;0.570378;-0.0216456;0.272399;0.697226;-0.0838552;0.309043;0.636652;-0.0727315;0.32581;0.609548;-0.0560461;0.336614;0.592819;-0.0461257;0.546924;0.860824;2.63806e-05;0.54442;0.771302;0.0537662;0.562879;0.702652;0.0512985;0.568941;0.650441;0.0334152;0.570605;0.613544;0.00781671;0.62506;0.695915;-0.00706552;0.591727;0.624105;-0.0158512;0.564923;0.594487;-0.0149512;0.542627;0.575928;-0.0133327;0.617639;0.719187;-0.0435471;0.578286;0.635367;-0.0558565;0.546608;0.600078;-0.049905;0.521064;0.576185;-0.0462471;0.595557;0.738022;-0.0751914;0.556491;0.653972;-0.0782106;0.526302;0.613319;-0.0603273;0.503544;0.584605;-0.0510663;0.567037;0.752119;-0.103003;0.540166;0.6815;-0.10312;0.522003;0.64431;-0.0926102;0.508458;0.612357;-0.0857008
