face_x;face_y;landmark_x_1;landmark_y_1;landmark_z_1;landmark_x_2;landmark_y_2;landmark_z_2;landmark_x_3;landmark_y_3;landmark_z_3;landmark_x_4;landmark_y_4;landmark_z_4;landmark_x_5;landmark_y_5;landmark_z_5;landmark_x_6;landmark_y_6;landmark_z_6;landmark_x_7;landmark_y_7;landmark_z_7;landmark_x_8;landmark_y_8;landmark_z_8;landmark_x_9;landmark_y_9;landmark_z_9;landmark_x_10;landmark_y_10;landmark_z_10;landmark_x_11;landmark_y_11;landmark_z_11;landmark_x_12;landmark_y_12;landmark_z_12;landmark_x_13;landmark_y_13;landmark_z_13;landmark_x_14;landmark_y_14;landmark_z_14;landmark_x_15;landmark_y_15;landmark_z_15;landmark_x_16;landmark_y_16;landmark_z_16;landmark_x_17;landmark_y_17;landmark_z_17;landmark_x_18;landmark_y_18;landmark_z_18;landmark_x_19;landmark_y_19;landmark_z_19;landmark_x_20;landmark_y_20;landmark_z_20;landmark_x_21;landmark_y_21;landmark_z_21;landmark_x_22;landmark_y_22;landmark_z_22;landmark_x_23;landmark_y_23;landmark_z_23;landmark_x_24;landmark_y_24;landmark_z_24;landmark_x_25;landmark_y_25;landmark_z_25;landmark_x_26;landmark_y_26;landmark_z_26;landmark_x_27;landmark_y_27;landmark_z_27;landmark_x_28;landmark_y_28;landmark_z_28;landmark_x_29;landmark_y_29;landmark_z_29;landmark_x_30;landmark_y_30;landmark_z_30;landmark_x_31;landmark_y_31;landmark_z_31;landmark_x_32;landmark_y_32;landmark_z_32;landmark_x_33;landmark_y_33;landmark_z_33;landmark_x_34;landmark_y_34;landmark_z_34;landmark_x_35;landmark_y_35;landmark_z_35;landmark_x_36;landmark_y_36;landmark_z_36;landmark_x_37;landmark_y_37;landmark_z_37;landmark_x_38;landmark_y_38;landmark_z_38;landmark_x_39;landmark_y_39;landmark_z_39;landmark_x_40;landmark_y_40;landmark_z_40;landmark_x_41;landmark_y_41;landmark_z_41;landmark_x_42;landmark_y_42;landmark_z_42
0.47319;0.11601;0.78039;0.876127;1.14812e-05;0.780729;0.878499;-0.031134;0.779188;0.89672;-0.0510434;0.781402;0.909718;-0.0659753;0.782;0.926779;-0.0825207;0.781419;0.946021;-0.0473361;0.779375;0.976737;-0.0751748;0.78407;1.00281;-0.100851;0.79179;1.02225;-0.118907;0.783932;0.951167;-0.0428737;0.779209;0.979745;-0.0731839;0.783786;1.00234;-0.109433;0.791146;1.02249;-0.13607;0.786732;0.951214;-0.0383769;0.782961;0.971377;-0.0652545;0.783701;0.984315;-0.0918574;0.786757;0.995905;-0.107922;0.790747;0.945346;-0.0354248;0.790288;0.95483;-0.0560893;0.791526;0.958745;-0.0740764;0.795075;0.963737;-0.0863652
0.468927;0.12854;0.801914;0.922576;1.51383e-05;0.784613;0.914181;-0.0126503;0.76914;0.909672;-0.0216773;0.76038;0.906922;-0.0286624;0.756007;0.907303;-0.0381501;0.777764;0.939;-0.0271932;0.772189;0.929531;-0.038175;0.769349;0.912316;-0.0465172;0.767445;0.897895;-0.0495304;0.791166;0.942784;-0.0246033;0.781683;0.93424;-0.039445;0.777517;0.917674;-0.0517467;0.777008;0.907283;-0.0583706;0.802301;0.941069;-0.0192743;0.796812;0.9309;-0.0337424;0.793799;0.914232;-0.052693;0.792989;0.902591;-0.0653433;0.813116;0.936879;-0.0135966;0.811089;0.926462;-0.0259231;0.810724;0.911693;-0.0390217;0.809083;0.901828;-0.0479865
0.467551;0.13864;0.732491;0.66165;1.11427e-05;0.723513;0.707316;0.00470282;0.727656;0.744181;-0.00264928;0.735876;0.769959;-0.00810903;0.743659;0.790783;-0.0139473;0.733863;0.744533;-0.0473225;0.733885;0.780323;-0.0664422;0.733971;0.806885;-0.0772075;0.735403;0.832126;-0.083263;0.743627;0.734559;-0.0570506;0.742089;0.770921;-0.0842162;0.741296;0.797155;-0.0988503;0.742254;0.821171;-0.112699;0.752563;0.722314;-0.0621248;0.753035;0.752957;-0.0815248;0.754132;0.773017;-0.088141;0.756132;0.789879;-0.0968878;0.760331;0.707959;-0.0656572;0.762209;0.730853;-0.0796185;0.762926;0.744047;-0.0858983;0.763466;0.754171;-0.0932433
0.456112;0.141706;0.743386;0.657604;7.20664e-06;0.76571;0.670724;-0.0286628;0.777396;0.694149;-0.0549014;0.773934;0.71345;-0.0781454;0.757472;0.717251;-0.100448;0.755523;0.728078;-0.0652542;0.75204;0.751853;-0.100448;0.752195;0.737474;-0.111571;0.751438;0.724458;-0.11351;0.735515;0.72228;-0.0624022;0.732637;0.742665;-0.0986799;0.734263;0.722616;-0.112484;0.735913;0.708891;-0.120013;0.720128;0.7104;-0.0610332;0.716841;0.716372;-0.0865873;0.723316;0.695144;-0.0896105;0.728833;0.681746;-0.0898386;0.709356;0.69579;-0.0614896;0.705423;0.700571;-0.0827086;0.712014;0.687504;-0.0963412;0.719022;0.679043;-0.103585;0.259927;0.807517;1.26044e-05;0.267513;0.863503;-0.0501311;0.253484;0.909014;-0.0960222;0.229113;0.921215;-0.136676;0.208869;0.893118;-0.175683;0.195192;0.899948;-0.114129;0.165936;0.916486;-0.175683;0.181719;0.902713;-0.195137;0.195129;0.888511;-0.198529;0.181913;0.855606;-0.109141;0.156934;0.869995;-0.172591;0.180321;0.853514;-0.196733;0.196857;0.84327;-0.209902;0.179768;0.81424;-0.106747;0.170058;0.813733;-0.151441;0.199473;0.80547;-0.156728;0.219438;0.803019;-0.157127;0.185107;0.779123;-0.107545;0.176061;0.776201;-0.144657;0.196716;0.77615;-0.1685;0.212773;0.781412;-0.18117
0.458061;0.149339;0.746344;0.679005;7.55044e-06;0.737155;0.666932;-0.0393674;0.732602;0.664183;-0.0708014;0.729706;0.657076;-0.0952013;0.726833;0.653253;-0.120847;0.748654;0.703194;-0.0808104;0.749781;0.729396;-0.105349;0.748916;0.750848;-0.126197;0.746923;0.77169;-0.141326;0.748812;0.718181;-0.0676188;0.748493;0.750967;-0.0922493;0.745732;0.776235;-0.109408;0.741842;0.799501;-0.123706;0.747405;0.728251;-0.0526744;0.747261;0.75625;-0.0716777;0.74472;0.77664;-0.0840392;0.740667;0.794421;-0.0936792;0.745469;0.734196;-0.0395058;0.745532;0.754631;-0.0519364;0.74453;0.767908;-0.0609768;0.742589;0.778449;-0.0684029;0.248913;0.795466;1.99832e-05;0.228613;0.778209;-0.0447524;0.207136;0.781557;-0.0813552;0.190112;0.786049;-0.108355;0.179955;0.787935;-0.131954;0.197495;0.839772;-0.121182;0.198957;0.84723;-0.172632;0.21233;0.829975;-0.188931;0.223669;0.813366;-0.198569;0.206747;0.85613;-0.11445;0.210824;0.866262;-0.16271;0.23033;0.843008;-0.175892;0.242919;0.822225;-0.189782;0.222257;0.863381;-0.107859;0.228575;0.872396;-0.139395;0.244124;0.849355;-0.133301;0.251378;0.82985;-0.132875;0.239366;0.867409;-0.104954;0.239305;0.891073;-0.127135;0.247635;0.879696;-0.131387;0.252433;0.866241;-0.136915
0.45486;0.165842;0.789129;0.616834;1.92854e-05;0.811773;0.575877;-0.0390831;0.81275;0.523384;-0.069306;0.804476;0.481297;-0.0948233;0.794273;0.453517;-0.116403;0.802805;0.502094;-0.0878927;0.783797;0.454437;-0.12357;0.767596;0.430727;-0.140108;0.754667;0.413103;-0.149638;0.786471;0.517826;-0.0860025;0.765618;0.467884;-0.136486;0.748062;0.43945;-0.160979;0.736427;0.420026;-0.176258;0.770834;0.536653;-0.0846636;0.750609;0.4933;-0.128216;0.736158;0.466883;-0.145936;0.727955;0.448792;-0.153103;0.755682;0.557835;-0.0852149;0.737086;0.527756;-0.117269;0.726681;0.504803;-0.138612;0.719853;0.48502;-0.153261;0.223395;0.58959;1.6926e-05;0.250904;0.60731;-0.0365383;0.269523;0.599252;-0.0761995;0.273032;0.57285;-0.109858;0.26609;0.550358;-0.140254;0.269741;0.531491;-0.105277;0.266636;0.491696;-0.152954;0.25567;0.505782;-0.17072;0.245406;0.528011;-0.180852;0.248634;0.520049;-0.105971;0.241;0.492083;-0.168916;0.225207;0.52099;-0.192928;0.215382;0.549802;-0.20653;0.22622;0.524726;-0.104375;0.209838;0.524384;-0.157951;0.194039;0.555019;-0.168361;0.187545;0.577227;-0.171275;0.206416;0.536593;-0.103265;0.188371;0.545993;-0.142961;0.175191;0.569734;-0.161143;0.171208;0.585523;-0.171414
0.455094;0.177863;0.766443;0.61807;2.19915e-05;0.786765;0.56434;0.0325106;0.791832;0.517626;0.0277686;0.781852;0.478754;0.0185677;0.767666;0.448984;0.0090692;0.811673;0.506654;-0.0390283;0.793037;0.446677;-0.0515954;0.773726;0.409432;-0.0498781;0.757299;0.382471;-0.0460143;0.793884;0.5197;-0.0613134;0.773886;0.450371;-0.0779785;0.752666;0.406797;-0.0760271;0.736125;0.375321;-0.0715779;0.771141;0.532052;-0.0766515;0.752592;0.465657;-0.0892186;0.735563;0.424769;-0.0825838;0.723432;0.39474;-0.0752855;0.746591;0.542153;-0.0874233;0.733296;0.490767;-0.0950729;0.72323;0.458396;-0.0922628;0.716233;0.431261;-0.0878917;0.221856;0.568309;1.18642e-05;0.214023;0.587072;-0.0544862;0.211429;0.589305;-0.092746;0.206735;0.589854;-0.11992;0.203154;0.590224;-0.147482;0.225602;0.556753;-0.121476;0.230943;0.544413;-0.162708;0.23395;0.53362;-0.191938;0.236892;0.519592;-0.211276;0.229223;0.546839;-0.107027;0.234347;0.529169;-0.150483;0.23706;0.51286;-0.179491;0.24461;0.49497;-0.202052;0.231593;0.540998;-0.0904677;0.235328;0.522655;-0.122254;0.238343;0.510139;-0.138591;0.246304;0.498773;-0.148038;0.232429;0.536047;-0.0767419;0.237432;0.518827;-0.0993588;0.240943;0.50658;-0.112862;0.248185;0.495925;-0.12092
0.459471;0.182047;0.773682;0.61097;2.29281e-05;0.789909;0.545734;0.050046;0.791337;0.495132;0.0610438;0.778609;0.456484;0.063474;0.762603;0.429899;0.061085;0.812871;0.473053;-0.00562246;0.785939;0.421817;-0.00664191;0.76679;0.387593;-0.00418338;0.75209;0.35715;-0.00247012;0.795652;0.480483;-0.0345585;0.772775;0.421095;-0.0448149;0.754502;0.378055;-0.0470804;0.738937;0.339162;-0.0485632;0.77191;0.492195;-0.0560598;0.750606;0.432152;-0.0640919;0.735752;0.389796;-0.0611262;0.725294;0.354972;-0.0582841;0.745362;0.503419;-0.0724535;0.730808;0.455331;-0.0836984;0.721448;0.418742;-0.0893003;0.714936;0.384851;-0.0934193
0.466256;0.187431;0.772365;0.540403;2.02387e-05;0.796265;0.50542;0.0255734;0.797812;0.470157;0.0178255;0.788662;0.440151;0.00748911;0.779902;0.422785;-0.00687221;0.812459;0.443074;-0.0411383;0.789591;0.392227;-0.0486965;0.771334;0.360271;-0.0464187;0.755903;0.337058;-0.0453488;0.797095;0.447462;-0.0604651;0.773647;0.384513;-0.0818625;0.755629;0.342089;-0.0893862;0.739042;0.308653;-0.0968407;0.774926;0.456633;-0.071785;0.753428;0.392364;-0.0878676;0.73722;0.350612;-0.0873845;0.723401;0.317374;-0.0875915;0.749788;0.469391;-0.0790325;0.734504;0.417817;-0.0924232;0.723974;0.387753;-0.0977381;0.713937;0.364332;-0.102708;0.220965;0.571102;1.14857e-05;0.192561;0.518969;-0.00963308;0.190312;0.477202;-0.0156146;0.198674;0.440764;-0.0216015;0.208793;0.420103;-0.0276202;0.213808;0.439016;-0.0156677;0.237493;0.399126;-0.0138844;0.256005;0.376512;-0.00751009;0.273476;0.358999;-0.00355336;0.231414;0.446767;-0.0119312;0.255343;0.401449;-0.0101798;0.272653;0.380413;-0.00588069;0.28583;0.367686;-0.00468386;0.245493;0.45808;-0.00823722;0.267662;0.416453;-0.00443175;0.282507;0.397475;3.96195e-05;0.292188;0.385948;-0.000338518;0.255157;0.472025;-0.0050368;0.274625;0.439704;-0.00708549;0.28502;0.421898;-0.00805676;0.29093;0.407717;-0.0103496
0.455012;0.189083;0.768278;0.536575;2.03054e-05;0.790885;0.482272;0.0272179;0.794241;0.439185;0.0231155;0.784078;0.4006;0.0145643;0.770621;0.377149;0.00530121;0.80482;0.416177;-0.0293908;0.776337;0.366215;-0.0335868;0.756294;0.331734;-0.0312266;0.739951;0.304297;-0.0282107;0.78857;0.421989;-0.0472051;0.762198;0.364372;-0.0576577;0.743715;0.323171;-0.0573579;0.726866;0.289819;-0.0576951;0.767159;0.433;-0.0584819;0.744918;0.376552;-0.0647759;0.72846;0.339878;-0.0571332;0.714506;0.310853;-0.0518882;0.74311;0.446963;-0.0670612;0.727305;0.401646;-0.0765022;0.715655;0.371248;-0.078825;0.704737;0.345558;-0.079949;0.225313;0.571435;1.29157e-05;0.201813;0.522104;-0.0143312;0.199239;0.477252;-0.0269266;0.212094;0.440908;-0.0393257;0.232486;0.424837;-0.0527373;0.19695;0.445026;-0.043562;0.225518;0.398082;-0.0603834;0.251189;0.372235;-0.0646817;0.276017;0.350393;-0.0648057;0.215391;0.451555;-0.0426114;0.248155;0.397656;-0.0607967;0.272875;0.370347;-0.0693107;0.292939;0.348204;-0.0764195;0.234962;0.46152;-0.0420948;0.264573;0.410554;-0.0575316;0.286232;0.384996;-0.0679881;0.303928;0.364255;-0.0775354;0.253292;0.475481;-0.0419708;0.27561;0.436274;-0.0551344;0.290621;0.414143;-0.0667482;0.302457;0.393525;-0.0781553
