face_x;face_y;landmark_x_1;landmark_y_1;landmark_z_1;landmark_x_2;landmark_y_2;landmark_z_2;landmark_x_3;landmark_y_3;landmark_z_3;landmark_x_4;landmark_y_4;landmark_z_4;landmark_x_5;landmark_y_5;landmark_z_5;landmark_x_6;landmark_y_6;landmark_z_6;landmark_x_7;landmark_y_7;landmark_z_7;landmark_x_8;landmark_y_8;landmark_z_8;landmark_x_9;landmark_y_9;landmark_z_9;landmark_x_10;landmark_y_10;landmark_z_10;landmark_x_11;landmark_y_11;landmark_z_11;landmark_x_12;landmark_y_12;landmark_z_12;landmark_x_13;landmark_y_13;landmark_z_13;landmark_x_14;landmark_y_14;landmark_z_14;landmark_x_15;landmark_y_15;landmark_z_15;landmark_x_16;landmark_y_16;landmark_z_16;landmark_x_17;landmark_y_17;landmark_z_17;landmark_x_18;landmark_y_18;landmark_z_18;landmark_x_19;landmark_y_19;landmark_z_19;landmark_x_20;landmark_y_20;landmark_z_20;landmark_x_21;landmark_y_21;landmark_z_21;landmark_x_22;landmark_y_22;landmark_z_22;landmark_x_23;landmark_y_23;landmark_z_23;landmark_x_24;landmark_y_24;landmark_z_24;landmark_x_25;landmark_y_25;landmark_z_25;landmark_x_26;landmark_y_26;landmark_z_26;landmark_x_27;landmark_y_27;landmark_z_27;landmark_x_28;landmark_y_28;landmark_z_28;landmark_x_29;landmark_y_29;landmark_z_29;landmark_x_30;landmark_y_30;landmark_z_30;landmark_x_31;landmark_y_31;landmark_z_31;landmark_x_32;landmark_y_32;landmark_z_32;landmark_x_33;landmark_y_33;landmark_z_33;landmark_x_34;landmark_y_34;landmark_z_34;landmark_x_35;landmark_y_35;landmark_z_35;landmark_x_36;landmark_y_36;landmark_z_36;landmark_x_37;landmark_y_37;landmark_z_37;landmark_x_38;landmark_y_38;landmark_z_38;landmark_x_39;landmark_y_39;landmark_z_39;landmark_x_40;landmark_y_40;landmark_z_40;landmark_x_41;landmark_y_41;landmark_z_41;landmark_x_42;landmark_y_42;landmark_z_42
0.39303;0.403205;0.493503;0.941573;1.33532e-05;0.459216;0.966165;0.0190369;0.430971;0.959449;0.0194234;0.41583;0.946999;0.016679;0.412242;0.93449;0.0105524;0.404174;0.92975;0.00381462;0.386906;0.917037;0.0149106;0.403768;0.919856;0.0252988;0.413962;0.924858;0.0352521;0.413166;0.906871;-0.00603962;0.396547;0.897557;0.0120599;0.414991;0.903604;0.0231342;0.425056;0.906422;0.0216847;0.429125;0.889098;-0.0133935;0.414253;0.879396;0.00440892;0.431251;0.889361;0.00899662;0.441727;0.894552;0.00266951;0.448997;0.876002;-0.0191432;0.438835;0.871781;-0.00326381;0.451164;0.881068;-0.000418244;0.460295;0.885939;-0.00414801
0.398686;0.407529;0.490173;0.941372;1.37513e-05;0.454673;0.934381;-0.0373681;0.41787;0.919648;-0.0814993;0.397889;0.901742;-0.113266;0.395043;0.893495;-0.140182;0.455932;0.912812;-0.177345;0.434215;0.885373;-0.219426;0.422032;0.862447;-0.211639;0.414276;0.845228;-0.204261;0.477657;0.914556;-0.17024;0.450555;0.882532;-0.223662;0.432288;0.859619;-0.208769;0.419774;0.843589;-0.200845;0.493115;0.915164;-0.159036;0.468714;0.887195;-0.191827;0.449432;0.866604;-0.165595;0.438003;0.850118;-0.151795;0.504137;0.914651;-0.149336;0.48489;0.890556;-0.18076;0.468052;0.868863;-0.187182;0.456243;0.852521;-0.195653
0.403213;0.40212;0.492539;0.966102;1.21105e-05;0.453276;0.936457;-0.00381737;0.432206;0.902287;-0.0267939;0.420897;0.882692;-0.046983;0.414856;0.866094;-0.0665593;0.447639;0.88582;-0.0768751;0.443447;0.841535;-0.108129;0.437901;0.808929;-0.122224;0.430555;0.779487;-0.130872;0.461211;0.890512;-0.0879059;0.457056;0.842218;-0.129237;0.449144;0.802253;-0.148439;0.440812;0.765814;-0.164373;0.474212;0.897676;-0.0939661;0.469903;0.855973;-0.126854;0.461149;0.820763;-0.139723;0.453495;0.78869;-0.153069;0.48546;0.909375;-0.0980515;0.482241;0.881245;-0.120862;0.47551;0.861662;-0.131212;0.469435;0.843594;-0.142856
0.398097;0.401029;0.488425;0.944046;9.1359e-06;0.458546;0.919942;0.00300675;0.44583;0.889911;-0.00641764;0.440772;0.869754;-0.0151479;0.439237;0.848576;-0.0271375;0.454276;0.867141;-0.0486169;0.450748;0.833107;-0.0590947;0.446096;0.80895;-0.0636451;0.440073;0.788324;-0.0682553;0.461794;0.871191;-0.0581667;0.455166;0.842325;-0.0734642;0.453063;0.82267;-0.0820261;0.451335;0.803907;-0.0930427;0.469445;0.882095;-0.0630463;0.461479;0.859717;-0.0739432;0.459642;0.84828;-0.076877;0.457771;0.838331;-0.0852592;0.475143;0.895408;-0.0670578;0.468797;0.879505;-0.0765776;0.466528;0.874099;-0.0813076;0.464693;0.869467;-0.0892707;0.487846;0.889514;2.05136e-05;0.504905;0.851086;0.00622686;0.507874;0.800357;-0.0135852;0.494195;0.762951;-0.0334596;0.479776;0.742243;-0.059085;0.534348;0.804727;-0.0743478;0.513551;0.75641;-0.0958843;0.494326;0.729479;-0.0922637;0.479798;0.709559;-0.0879564;0.517183;0.826345;-0.0877691;0.494401;0.766257;-0.114861;0.475801;0.730242;-0.107683;0.462147;0.702625;-0.103375;0.494066;0.841624;-0.0977571;0.471273;0.78033;-0.117733;0.457042;0.741579;-0.10812;0.44712;0.713369;-0.103188;0.469434;0.84894;-0.10556;0.452852;0.794556;-0.119606;0.4441;0.762418;-0.119543;0.437307;0.738368;-0.121478
0.403636;0.40836;0.486716;0.881493;1.76967e-05;0.506013;0.838821;0.0145627;0.511182;0.793056;0.00744529;0.503938;0.755028;-0.00209924;0.494804;0.725782;-0.0121396;0.533378;0.790833;-0.0421287;0.51725;0.743417;-0.0600741;0.501738;0.713502;-0.0624093;0.488944;0.692628;-0.0610018;0.519696;0.797678;-0.0579949;0.501915;0.74176;-0.0804187;0.486711;0.708384;-0.0871363;0.475424;0.682841;-0.0928942;0.499387;0.804019;-0.0697986;0.481462;0.746653;-0.0846412;0.469277;0.715311;-0.0816982;0.461015;0.692474;-0.0798429;0.476521;0.809034;-0.0797789;0.463314;0.761412;-0.090719;0.455802;0.73498;-0.0912947;0.449985;0.715034;-0.0909109
0.409651;0.405552;0.498366;0.821523;1.64421e-05;0.521457;0.793554;0.0115901;0.529058;0.749825;-0.00106634;0.519161;0.716018;-0.0148676;0.509202;0.696163;-0.0300259;0.541837;0.749291;-0.05725;0.525186;0.702217;-0.0736374;0.510516;0.67568;-0.0749061;0.499712;0.656172;-0.0746418;0.524907;0.760124;-0.0717872;0.506677;0.704609;-0.0938309;0.492346;0.673618;-0.0950996;0.482286;0.649908;-0.0966854;0.503639;0.770693;-0.082254;0.487414;0.715178;-0.0963683;0.475607;0.684104;-0.0918221;0.46751;0.661486;-0.0897076;0.480633;0.777821;-0.0899191;0.470539;0.73301;-0.100333;0.465184;0.709045;-0.102077;0.461495;0.690838;-0.103716;0.278981;0.83412;1.29205e-05;0.272611;0.77966;-0.00228529;0.283417;0.731702;-0.0259641;0.303772;0.701954;-0.0490095;0.321295;0.685571;-0.073001;0.270347;0.746759;-0.0885249;0.303869;0.710954;-0.115852;0.327902;0.690574;-0.116686;0.344227;0.678872;-0.111811;0.278135;0.772267;-0.0950039;0.31589;0.729143;-0.125731;0.341702;0.706475;-0.121369;0.356642;0.692023;-0.11643;0.292619;0.793249;-0.0975057;0.326443;0.746013;-0.118162;0.349257;0.720018;-0.106871;0.362095;0.706309;-0.0969925;0.310698;0.808149;-0.0987887;0.336865;0.765135;-0.106294;0.352126;0.741588;-0.0947473;0.360796;0.72697;-0.0849968
0.408146;0.396842;0.49402;0.817821;1.68842e-05;0.518257;0.788152;0.00738313;0.526621;0.746446;9.13931e-05;0.51795;0.711833;-0.00573089;0.506337;0.692172;-0.0122861;0.541836;0.743115;-0.0517823;0.532121;0.69837;-0.0649716;0.521988;0.668933;-0.0656024;0.512742;0.645198;-0.0644555;0.524428;0.743644;-0.0608427;0.514555;0.690676;-0.0782182;0.506954;0.656012;-0.0870493;0.500083;0.627999;-0.0969699;0.502118;0.743987;-0.0645128;0.492606;0.691286;-0.0744908;0.487529;0.660017;-0.0766125;0.483535;0.637965;-0.0815442;0.478514;0.743657;-0.0669213;0.473798;0.700635;-0.0774154;0.473008;0.675528;-0.0845261;0.472099;0.656971;-0.0920956;0.292322;0.825985;1.12132e-05;0.282395;0.776958;0.0170408;0.286832;0.733281;0.00851248;0.302293;0.701722;-0.000587119;0.314367;0.684113;-0.00967977;0.268129;0.721526;-0.0472316;0.29702;0.685232;-0.0602862;0.322157;0.663828;-0.0541241;0.340864;0.64817;-0.0453576;0.280438;0.740248;-0.0595556;0.314941;0.694563;-0.070895;0.34009;0.668382;-0.0579992;0.358365;0.64702;-0.0505349;0.299216;0.757833;-0.0681634;0.332442;0.708866;-0.0780734;0.352842;0.680472;-0.0654953;0.36703;0.660608;-0.0583486;0.321948;0.772461;-0.0741984;0.344148;0.730826;-0.0797251;0.358131;0.703435;-0.0739442;0.369807;0.681343;-0.0714667
0.412303;0.395464;0.494089;0.807137;1.94557e-05;0.522362;0.775379;0.0111683;0.531178;0.737233;0.0104961;0.526329;0.704918;0.00903701;0.519537;0.681477;0.00756649;0.540483;0.727324;-0.0370036;0.536373;0.684707;-0.0511206;0.529961;0.655385;-0.0529234;0.523444;0.631105;-0.0499595;0.52448;0.72394;-0.0476066;0.520644;0.675994;-0.0634348;0.513901;0.643865;-0.0688127;0.507859;0.618795;-0.0746184;0.503775;0.722127;-0.0536873;0.498982;0.672262;-0.0664293;0.494129;0.643257;-0.0685071;0.490691;0.623079;-0.0704016;0.481111;0.721227;-0.0579041;0.479545;0.679579;-0.0692405;0.47871;0.654044;-0.0732128;0.478646;0.634201;-0.0757184;0.291662;0.817061;1.26685e-05;0.287192;0.769052;0.030833;0.292254;0.725596;0.0377505;0.30215;0.694633;0.0415053;0.310041;0.675349;0.0468837;0.277968;0.69728;-0.00343552;0.304513;0.66209;-0.00771247;0.328535;0.64479;-0.00104123;0.345402;0.636425;0.00738689;0.287358;0.706614;-0.021649;0.322306;0.665147;-0.0247949;0.34698;0.643215;-0.0145201;0.362277;0.630872;-0.00811416;0.303566;0.720273;-0.0360592;0.335967;0.67584;-0.0403213;0.358586;0.652297;-0.0300888;0.37284;0.639481;-0.0242537;0.324185;0.735993;-0.0479661;0.346713;0.694239;-0.0509429;0.362165;0.672181;-0.0461395;0.371879;0.658063;-0.0433996
0.419021;0.39597;0.496351;0.794019;2.01638e-05;0.525353;0.757953;0.0170011;0.5316;0.720757;0.0175522;0.526402;0.68968;0.0152751;0.518508;0.666082;0.0141163;0.540586;0.706983;-0.0264336;0.536011;0.66277;-0.0367575;0.529795;0.631818;-0.0360768;0.522428;0.606564;-0.0319116;0.525829;0.702999;-0.0388968;0.521521;0.654293;-0.0522513;0.513552;0.620025;-0.0558493;0.505685;0.593751;-0.0592528;0.505717;0.701847;-0.0462548;0.501417;0.652305;-0.0542286;0.494133;0.621944;-0.0530293;0.488432;0.600333;-0.0515382;0.483137;0.701516;-0.051441;0.482402;0.659253;-0.0574052;0.47995;0.633795;-0.0582155;0.478539;0.613997;-0.0575672;0.296453;0.803599;1.43301e-05;0.29267;0.744775;0.0442454;0.297905;0.701628;0.0588077;0.309633;0.67331;0.0667778;0.320592;0.655279;0.0743383;0.283398;0.673226;0.0133146;0.30892;0.640827;0.0166479;0.331188;0.629513;0.0314522;0.345609;0.624213;0.0465918;0.296675;0.679978;-0.0088407;0.327214;0.642916;-0.00706698;0.348943;0.629041;0.00961816;0.363065;0.62117;0.0216572;0.314942;0.693515;-0.0263685;0.343425;0.652724;-0.0243946;0.361947;0.634334;-0.00638728;0.373462;0.62717;0.00496737;0.335364;0.709902;-0.0405955;0.354667;0.669181;-0.0387334;0.366799;0.647841;-0.031955;0.375088;0.635369;-0.0277093
0.421798;0.39917;0.496092;0.778276;1.96562e-05;0.525202;0.739012;0.0238913;0.530688;0.696025;0.0294427;0.520006;0.660998;0.033172;0.509762;0.635733;0.0388596;0.543753;0.688943;-0.016603;0.536141;0.641218;-0.0191233;0.529017;0.611624;-0.0119882;0.521715;0.587713;-0.0030226;0.526794;0.684663;-0.029051;0.520817;0.632258;-0.034364;0.512945;0.599574;-0.0299025;0.506523;0.575679;-0.0269565;0.505637;0.683251;-0.036748;0.500939;0.630531;-0.0380422;0.495299;0.601287;-0.0320481;0.49189;0.581263;-0.0271779;0.483311;0.681426;-0.0415161;0.48372;0.637122;-0.0440363;0.483598;0.611287;-0.0433552;0.484561;0.591247;-0.0420951;0.301215;0.787847;1.52042e-05;0.295806;0.727637;0.047607;0.301302;0.681934;0.0620807;0.313856;0.653074;0.0689264;0.32643;0.638237;0.0751463;0.284019;0.651266;0.0218867;0.314303;0.621201;0.0310013;0.337857;0.614611;0.0472549;0.350763;0.613678;0.0636455;0.298962;0.65793;-0.0011546;0.33249;0.623594;0.00865981;0.353376;0.614985;0.031412;0.364057;0.611709;0.0481155;0.318514;0.671786;-0.020185;0.349264;0.634136;-0.00819039;0.363433;0.62192;0.0183856;0.369097;0.619412;0.0345415;0.339227;0.687921;-0.0361257;0.358954;0.650785;-0.0235492;0.367689;0.63236;-0.00894831;0.372062;0.622772;0.000431218
