face_x;face_y;landmark_x_1;landmark_y_1;landmark_z_1;landmark_x_2;landmark_y_2;landmark_z_2;landmark_x_3;landmark_y_3;landmark_z_3;landmark_x_4;landmark_y_4;landmark_z_4;landmark_x_5;landmark_y_5;landmark_z_5;landmark_x_6;landmark_y_6;landmark_z_6;landmark_x_7;landmark_y_7;landmark_z_7;landmark_x_8;landmark_y_8;landmark_z_8;landmark_x_9;landmark_y_9;landmark_z_9;landmark_x_10;landmark_y_10;landmark_z_10;landmark_x_11;landmark_y_11;landmark_z_11;landmark_x_12;landmark_y_12;landmark_z_12;landmark_x_13;landmark_y_13;landmark_z_13;landmark_x_14;landmark_y_14;landmark_z_14;landmark_x_15;landmark_y_15;landmark_z_15;landmark_x_16;landmark_y_16;landmark_z_16;landmark_x_17;landmark_y_17;landmark_z_17;landmark_x_18;landmark_y_18;landmark_z_18;landmark_x_19;landmark_y_19;landmark_z_19;landmark_x_20;landmark_y_20;landmark_z_20;landmark_x_21;landmark_y_21;landmark_z_21;landmark_x_22;landmark_y_22;landmark_z_22;landmark_x_23;landmark_y_23;landmark_z_23;landmark_x_24;landmark_y_24;landmark_z_24;landmark_x_25;landmark_y_25;landmark_z_25;landmark_x_26;landmark_y_26;landmark_z_26;landmark_x_27;landmark_y_27;landmark_z_27;landmark_x_28;landmark_y_28;landmark_z_28;landmark_x_29;landmark_y_29;landmark_z_29;landmark_x_30;landmark_y_30;landmark_z_30;landmark_x_31;landmark_y_31;landmark_z_31;landmark_x_32;landmark_y_32;landmark_z_32;landmark_x_33;landmark_y_33;landmark_z_33;landmark_x_34;landmark_y_34;landmark_z_34;landmark_x_35;landmark_y_35;landmark_z_35;landmark_x_36;landmark_y_36;landmark_z_36;landmark_x_37;landmark_y_37;landmark_z_37;landmark_x_38;landmark_y_38;landmark_z_38;landmark_x_39;landmark_y_39;landmark_z_39;landmark_x_40;landmark_y_40;landmark_z_40;landmark_x_41;landmark_y_41;landmark_z_41;landmark_x_42;landmark_y_42;landmark_z_42
0.43037;0.210753;0.151907;0.966657;2.60377e-05;0.186796;0.948927;-0.0654966;0.221151;0.936742;-0.12488;0.251865;0.932703;-0.170728;0.27513;0.94048;-0.215593;0.17181;0.891744;-0.203149;0.215442;0.899623;-0.279015;0.243065;0.930742;-0.307834;0.256006;0.960932;-0.325955;0.146223;0.91502;-0.193433;0.198749;0.940097;-0.270501;0.230713;0.971836;-0.280544;0.243518;0.99826;-0.298883;0.133401;0.949958;-0.184155;0.188769;0.981179;-0.241901;0.221587;1.00449;-0.229675;0.233462;1.02282;-0.227055;0.126975;0.986162;-0.17957;0.171484;1.01372;-0.2264;0.196156;1.02147;-0.238408;0.204563;1.02396;-0.256747
0.432237;0.21714;0.203312;0.99846;2.64579e-05;0.233574;0.965244;-0.0709938;0.248906;0.931246;-0.127581;0.255619;0.909413;-0.16744;0.261007;0.901821;-0.206338;0.22288;0.906743;-0.183447;0.209468;0.885458;-0.267808;0.213676;0.899965;-0.312949;0.21864;0.916713;-0.341603;0.193471;0.926533;-0.172562;0.171482;0.913215;-0.261885;0.172213;0.926241;-0.310068;0.174691;0.93329;-0.345445;0.167758;0.952062;-0.160236;0.142029;0.9384;-0.228589;0.142611;0.94853;-0.254681;0.143979;0.956449;-0.27197;0.1479;0.97663;-0.151592;0.123549;0.964811;-0.207299;0.113066;0.962513;-0.240915;0.105577;0.959771;-0.267968;0.197542;0.959641;3.45606e-05;0.251178;0.922854;-0.0795441;0.278808;0.874475;-0.1433;0.289121;0.853764;-0.198425;0.287448;0.868405;-0.24365;0.200034;0.841081;-0.185179;0.184922;0.796609;-0.248868;0.201595;0.833407;-0.269339;0.214882;0.864775;-0.276966;0.155585;0.860658;-0.179961;0.122953;0.810402;-0.269206;0.147085;0.848113;-0.307472;0.16845;0.877817;-0.335303;0.122789;0.890904;-0.172468;0.0920922;0.854035;-0.245255;0.117965;0.887609;-0.266128;0.139724;0.910798;-0.279107;0.100003;0.927562;-0.170863;0.0729649;0.920268;-0.226925;0.0934267;0.939538;-0.263318;0.116824;0.949114;-0.290614
0.435684;0.222146;0.179262;0.956442;2.46109e-05;0.216792;0.936649;-0.0617872;0.238455;0.922255;-0.110117;0.246904;0.90653;-0.14338;0.253183;0.892116;-0.180622;0.216908;0.924537;-0.180622;0.212247;0.919176;-0.240547;0.205608;0.909041;-0.264923;0.198716;0.900154;-0.28456;0.187226;0.92929;-0.170804;0.174442;0.926488;-0.247487;0.166125;0.909589;-0.288961;0.158846;0.887879;-0.322986;0.16007;0.933382;-0.15633;0.137572;0.925441;-0.218879;0.128411;0.910014;-0.246303;0.122654;0.893821;-0.26797;0.134615;0.935719;-0.142026;0.105778;0.916751;-0.195349;0.0896756;0.897209;-0.227174;0.0787115;0.882461;-0.254428;0.194881;0.934947;3.82506e-05;0.246344;0.893157;-0.0714109;0.277516;0.848857;-0.131878;0.285885;0.817295;-0.183272;0.270012;0.812945;-0.231202;0.21918;0.823039;-0.166926;0.225758;0.780843;-0.237852;0.235628;0.793382;-0.27941;0.2395;0.818473;-0.300605;0.179119;0.839816;-0.164432;0.162135;0.797299;-0.240484;0.167884;0.803401;-0.288414;0.17337;0.821284;-0.321384;0.14537;0.86968;-0.162631;0.113181;0.83409;-0.228155;0.114256;0.835499;-0.27096;0.118719;0.845887;-0.300328;0.119363;0.908074;-0.165263;0.0779926;0.897072;-0.218181;0.0667181;0.890081;-0.264865;0.0621387;0.88935;-0.304484
0.438784;0.220286;0.140031;1.00599;1.83822e-05;0.170367;0.967927;-0.0336673;0.18927;0.930795;-0.0554415;0.205046;0.905095;-0.0642596;0.210924;0.886414;-0.07353;0.185714;0.897211;-0.0818508;0.195287;0.848583;-0.109978;0.198932;0.821538;-0.12056;0.20309;0.794361;-0.122912;0.171624;0.898849;-0.0670634;0.176412;0.855704;-0.0955981;0.179299;0.832316;-0.112963;0.18656;0.810484;-0.129062;0.159867;0.906291;-0.0507837;0.162455;0.878864;-0.0656615;0.161205;0.874608;-0.0731683;0.164081;0.87245;-0.0844736;0.150655;0.91861;-0.0353858;0.152493;0.899551;-0.0400888;0.148182;0.895047;-0.0461258;0.145897;0.894083;-0.054537;0.182912;0.917053;3.79268e-05;0.238235;0.875749;-0.0764084;0.276002;0.829979;-0.148953;0.290913;0.796868;-0.210906;0.284695;0.774924;-0.273924;0.233501;0.794345;-0.205177;0.232568;0.751653;-0.289379;0.231205;0.745643;-0.338942;0.229335;0.753266;-0.364789;0.188117;0.803466;-0.20611;0.173732;0.768094;-0.300837;0.16857;0.758629;-0.361857;0.166663;0.757556;-0.404492;0.150611;0.826965;-0.205177;0.124834;0.796752;-0.272459;0.117481;0.787888;-0.316559;0.114355;0.780331;-0.351732;0.12348;0.86198;-0.208508;0.085787;0.851143;-0.268196;0.0716629;0.842833;-0.320289;0.0646961;0.831541;-0.366121
0.43958;0.222682;0.150324;0.975789;1.59403e-05;0.171112;0.91266;-0.0341589;0.190774;0.873396;-0.0719493;0.197031;0.853702;-0.104633;0.194909;0.847154;-0.141478;0.177908;0.881326;-0.123017;0.179471;0.863533;-0.173707;0.175315;0.857016;-0.189444;0.168637;0.848698;-0.193227;0.166977;0.906503;-0.119386;0.167392;0.90664;-0.172951;0.173912;0.915047;-0.18899;0.180186;0.91461;-0.197161;0.157823;0.934209;-0.11182;0.1671;0.935921;-0.148514;0.175471;0.942541;-0.137468;0.181209;0.946867;-0.127859;0.151506;0.960751;-0.107054;0.163578;0.954569;-0.129146;0.172579;0.958047;-0.130734;0.178574;0.965821;-0.129978;0.173703;0.921335;2.94627e-05;0.216901;0.901572;-0.0916268;0.252761;0.863223;-0.154464;0.265361;0.835126;-0.200343;0.272194;0.817762;-0.24057;0.252689;0.786646;-0.159591;0.27563;0.732724;-0.232813;0.270546;0.726504;-0.289472;0.260415;0.742642;-0.319971;0.212183;0.773222;-0.139346;0.215409;0.710821;-0.206522;0.200213;0.701035;-0.261734;0.184638;0.708378;-0.301041;0.177627;0.781882;-0.122388;0.156464;0.730869;-0.171948;0.133523;0.716808;-0.217301;0.117389;0.708462;-0.25319;0.151352;0.806001;-0.110491;0.109302;0.785501;-0.144868;0.0834965;0.778145;-0.182859;0.0666397;0.771968;-0.217827
0.439781;0.229389;0.196443;0.899974;2.78717e-05;0.226473;0.885078;-0.101798;0.252415;0.851637;-0.163942;0.251498;0.829574;-0.209884;0.253406;0.807827;-0.261369;0.260826;0.789797;-0.153283;0.265162;0.747046;-0.217453;0.257503;0.730849;-0.252416;0.246092;0.726741;-0.271389;0.229133;0.772305;-0.126528;0.223861;0.734599;-0.199651;0.214041;0.711498;-0.250284;0.206297;0.689432;-0.287165;0.19879;0.77078;-0.105102;0.179135;0.731126;-0.170977;0.159768;0.7148;-0.21191;0.14543;0.696124;-0.238132;0.171758;0.777581;-0.0875673;0.139834;0.746621;-0.125995;0.117844;0.732022;-0.154029;0.102878;0.715097;-0.178013
0.438842;0.225374;0.185125;0.881638;1.22053e-05;0.172825;0.819561;-0.0356686;0.169376;0.777767;-0.0626129;0.159055;0.752927;-0.0803457;0.141124;0.736971;-0.104531;0.210094;0.779363;-0.0833486;0.230142;0.764162;-0.116298;0.236377;0.755268;-0.129933;0.237963;0.750875;-0.142106;0.229852;0.803445;-0.0781545;0.248072;0.784252;-0.118895;0.264557;0.764327;-0.144054;0.27315;0.743504;-0.167833;0.243899;0.83033;-0.0731633;0.24282;0.805467;-0.109238;0.230862;0.799147;-0.113864;0.219507;0.793664;-0.118895;0.251388;0.859064;-0.0697547;0.242224;0.832475;-0.0876499;0.223905;0.829844;-0.0839167;0.208114;0.831168;-0.0836732;0.670343;0.820872;2.07344e-05;0.683381;0.873962;-0.034067;0.702118;0.90737;-0.0788761;0.710673;0.921641;-0.118919;0.712488;0.936175;-0.157147;0.751216;0.892737;-0.117205;0.792675;0.923333;-0.168242;0.820902;0.939064;-0.201225;0.849877;0.951952;-0.229366;0.7476;0.84771;-0.128501;0.759306;0.865281;-0.194971;0.750416;0.885064;-0.238242;0.742108;0.901015;-0.260836;0.729503;0.809926;-0.133646;0.69241;0.821516;-0.188213;0.659981;0.825141;-0.199107;0.640039;0.828116;-0.196081;0.70533;0.782866;-0.14111;0.666752;0.7949;-0.183775;0.644872;0.801985;-0.188818;0.629191;0.805017;-0.180346
0.444161;0.224553;0.188466;0.867372;1.50812e-05;0.202025;0.833606;-0.0262309;0.216803;0.800311;-0.05373;0.221781;0.775055;-0.0755375;0.220717;0.756635;-0.105295;0.235765;0.794871;-0.0814766;0.234181;0.78622;-0.106656;0.234422;0.78358;-0.113337;0.232913;0.777884;-0.118101;0.227433;0.80404;-0.0780122;0.213127;0.790652;-0.104243;0.19843;0.783377;-0.111296;0.184514;0.771281;-0.11575;0.214536;0.816739;-0.0732485;0.195361;0.803781;-0.0962006;0.183014;0.806328;-0.0914988;0.175667;0.805449;-0.0889623;0.200845;0.828649;-0.0702171;0.18957;0.807739;-0.094159;0.179535;0.808468;-0.0992938;0.171542;0.810733;-0.101335;0.674303;0.824548;2.19285e-05;0.677036;0.87475;-0.0485008;0.688123;0.899688;-0.0966788;0.698732;0.894848;-0.136625;0.706888;0.891385;-0.171891;0.736967;0.89161;-0.131864;0.768461;0.903505;-0.199168;0.777267;0.905675;-0.232901;0.780263;0.908275;-0.252592;0.7313;0.84744;-0.132106;0.751659;0.833391;-0.209498;0.735165;0.835314;-0.249364;0.716935;0.834409;-0.267279;0.714456;0.808247;-0.12912;0.701763;0.781429;-0.189484;0.666084;0.788351;-0.20982;0.642796;0.792741;-0.216922;0.695276;0.78034;-0.126699;0.671135;0.764043;-0.166565;0.645545;0.767269;-0.183512;0.629612;0.768782;-0.189645
0.446249;0.226033;0.670071;0.815399;8.88637e-06;0.687614;0.795018;-0.0422639;0.707541;0.791303;-0.086874;0.71531;0.788279;-0.118379;0.714799;0.792574;-0.147739;0.723042;0.828283;-0.13755;0.754473;0.849516;-0.18206;0.776937;0.861178;-0.209141;0.797317;0.870555;-0.227642;0.709775;0.841975;-0.131652;0.747272;0.873749;-0.176697;0.770548;0.8912;-0.202036;0.792663;0.906174;-0.226167;0.694441;0.84947;-0.120122;0.720108;0.867533;-0.156051;0.735857;0.878918;-0.173078;0.749061;0.894145;-0.187959;0.682706;0.849822;-0.108995;0.698138;0.850965;-0.134333;0.703874;0.841156;-0.142377;0.703469;0.836453;-0.149616
0.450207;0.229039;0.342995;0.788695;1.55162e-05;0.338497;0.801959;-0.0865856;0.3417;0.781599;-0.144212;0.365298;0.745076;-0.186582;0.394941;0.717269;-0.22176;0.276851;0.74337;-0.130607;0.239992;0.728705;-0.180265;0.218907;0.712104;-0.226425;0.211428;0.699458;-0.260437;0.282659;0.704164;-0.109617;0.244151;0.661286;-0.152084;0.23805;0.625557;-0.195522;0.247912;0.6077;-0.225842;0.301447;0.683865;-0.0911044;0.278284;0.631596;-0.125748;0.282162;0.602595;-0.159858;0.294347;0.59014;-0.182792;0.327891;0.673922;-0.0778396;0.339002;0.647967;-0.120112;0.36497;0.657736;-0.139548;0.389736;0.678021;-0.147225;0.635866;0.787642;1.74876e-05;0.637809;0.751358;-0.0461341;0.637603;0.738653;-0.0949238;0.631391;0.73557;-0.138554;0.632133;0.737666;-0.186206;0.660824;0.743315;-0.137567;0.671834;0.719469;-0.206086;0.664563;0.703286;-0.244935;0.658334;0.697614;-0.268913;0.666562;0.766396;-0.141817;0.682357;0.74994;-0.225662;0.676836;0.741183;-0.271341;0.67087;0.738664;-0.304121;0.666622;0.793591;-0.145155;0.680435;0.789381;-0.216709;0.677089;0.779222;-0.258442;0.673162;0.772955;-0.285303;0.664081;0.813047;-0.14857;0.672137;0.819589;-0.204568;0.67296;0.815532;-0.244784;0.673898;0.810503;-0.275287
