face_x;face_y;landmark_x_1;landmark_y_1;landmark_z_1;landmark_x_2;landmark_y_2;landmark_z_2;landmark_x_3;landmark_y_3;landmark_z_3;landmark_x_4;landmark_y_4;landmark_z_4;landmark_x_5;landmark_y_5;landmark_z_5;landmark_x_6;landmark_y_6;landmark_z_6;landmark_x_7;landmark_y_7;landmark_z_7;landmark_x_8;landmark_y_8;landmark_z_8;landmark_x_9;landmark_y_9;landmark_z_9;landmark_x_10;landmark_y_10;landmark_z_10;landmark_x_11;landmark_y_11;landmark_z_11;landmark_x_12;landmark_y_12;landmark_z_12;landmark_x_13;landmark_y_13;landmark_z_13;landmark_x_14;landmark_y_14;landmark_z_14;landmark_x_15;landmark_y_15;landmark_z_15;landmark_x_16;landmark_y_16;landmark_z_16;landmark_x_17;landmark_y_17;landmark_z_17;landmark_x_18;landmark_y_18;landmark_z_18;landmark_x_19;landmark_y_19;landmark_z_19;landmark_x_20;landmark_y_20;landmark_z_20;landmark_x_21;landmark_y_21;landmark_z_21;landmark_x_22;landmark_y_22;landmark_z_22;landmark_x_23;landmark_y_23;landmark_z_23;landmark_x_24;landmark_y_24;landmark_z_24;landmark_x_25;landmark_y_25;landmark_z_25;landmark_x_26;landmark_y_26;landmark_z_26;landmark_x_27;landmark_y_27;landmark_z_27;landmark_x_28;landmark_y_28;landmark_z_28;landmark_x_29;landmark_y_29;landmark_z_29;landmark_x_30;landmark_y_30;landmark_z_30;landmark_x_31;landmark_y_31;landmark_z_31;landmark_x_32;landmark_y_32;landmark_z_32;landmark_x_33;landmark_y_33;landmark_z_33;landmark_x_34;landmark_y_34;landmark_z_34;landmark_x_35;landmark_y_35;landmark_z_35;landmark_x_36;landmark_y_36;landmark_z_36;landmark_x_37;landmark_y_37;landmark_z_37;landmark_x_38;landmark_y_38;landmark_z_38;landmark_x_39;landmark_y_39;landmark_z_39;landmark_x_40;landmark_y_40;landmark_z_40;landmark_x_41;landmark_y_41;landmark_z_41;landmark_x_42;landmark_y_42;landmark_z_42
0.465588;0.223338;0.664393;0.871596;2.42879e-05;0.625183;0.893802;-0.0413234;0.612305;0.935634;-0.0688369;0.613942;0.979532;-0.085119;0.620771;1.00771;-0.0958175;0.632809;0.970413;-0.103831;0.63706;1.03033;-0.135372;0.637089;1.02273;-0.142021;0.639085;1.00592;-0.140487;0.659314;0.980902;-0.0941126;0.66118;1.0406;-0.128723;0.662618;1.02389;-0.133497;0.665394;1.00318;-0.138356;0.682102;0.981971;-0.0841813;0.684806;1.04007;-0.112611;0.684695;1.02447;-0.114487;0.684747;1.00349;-0.114401;0.701983;0.976688;-0.0765091;0.705344;1.02197;-0.0987159;0.702815;1.02182;-0.108008;0.700257;1.01104;-0.114572;0.348178;0.885483;1.18698e-05;0.380058;0.916109;-0.0309454;0.394127;0.957291;-0.0531907;0.392901;0.997829;-0.0666333;0.389195;1.0265;-0.0796325;0.360859;0.970909;-0.0814749;0.365735;1.01851;-0.096214;0.370528;1.01521;-0.0958046;0.372367;1.00438;-0.0970329;0.337484;0.97081;-0.0715123;0.342674;1.01866;-0.0895268;0.351619;1.01645;-0.0906868;0.356067;1.00596;-0.094781;0.317556;0.968881;-0.0609355;0.32227;1.01551;-0.0755382;0.331482;1.0153;-0.0711711;0.334209;1.00427;-0.0701475;0.301549;0.965461;-0.0515871;0.30335;1.00201;-0.0654392;0.311336;1.00401;-0.0674181;0.314066;0.9948;-0.0704205
0.454473;0.230455;0.6701;0.887629;2.37391e-05;0.632368;0.893419;-0.0388089;0.617931;0.904489;-0.0753433;0.609964;0.923331;-0.100891;0.604781;0.936716;-0.123149;0.637078;0.916307;-0.134196;0.620523;0.951148;-0.177087;0.617752;0.944789;-0.183423;0.622165;0.935845;-0.183748;0.656047;0.928976;-0.127535;0.640919;0.97091;-0.173026;0.636125;0.951837;-0.174488;0.635596;0.938055;-0.179037;0.67384;0.938225;-0.117625;0.66317;0.97852;-0.146056;0.657618;0.959023;-0.129891;0.657377;0.944749;-0.120387;0.69077;0.94426;-0.112101;0.689425;0.977492;-0.140289;0.682688;0.972127;-0.149468;0.678145;0.96368;-0.155723;0.347187;0.876289;1.39557e-05;0.389463;0.898261;-0.0114661;0.404804;0.928642;-0.0264689;0.406599;0.961898;-0.0345664;0.402871;0.983791;-0.0371588;0.368104;0.940842;-0.0561703;0.381777;0.991883;-0.0390472;0.387788;0.97578;-0.0124743;0.385306;0.955163;-0.000468086;0.342897;0.942836;-0.0507293;0.356968;0.993129;-0.0369028;0.364295;0.976399;-0.0184994;0.362751;0.956183;-0.016115;0.322402;0.942622;-0.0419917;0.334715;0.989306;-0.0283892;0.341683;0.974781;-0.0160269;0.340196;0.957203;-0.016563;0.306627;0.941031;-0.0341823;0.314864;0.97817;-0.0289973;0.323379;0.969077;-0.0278931;0.325676;0.95283;-0.0333501
0.451133;0.256152;0.382413;0.614914;2.0566e-05;0.418257;0.606598;-0.0295369;0.441047;0.584991;-0.0607541;0.447976;0.567999;-0.0932504;0.432503;0.563226;-0.122501;0.408391;0.522615;-0.0591502;0.412442;0.500118;-0.0956943;0.417111;0.532237;-0.101193;0.416734;0.556199;-0.0981382;0.384438;0.522598;-0.0605249;0.383137;0.502385;-0.105394;0.392925;0.538803;-0.116009;0.397179;0.562299;-0.117766;0.361972;0.533188;-0.0652982;0.357596;0.517733;-0.105012;0.367453;0.547837;-0.114787;0.373234;0.567194;-0.118377;0.344073;0.548888;-0.0699951;0.333892;0.537827;-0.0922576;0.343086;0.555246;-0.107303;0.352627;0.569179;-0.119522
0.435789;0.275066;0.391588;0.601459;8.80454e-06;0.36257;0.571732;-0.0289653;0.343978;0.538211;-0.0552579;0.332625;0.514096;-0.0808043;0.330369;0.496859;-0.104893;0.375776;0.506839;-0.0539042;0.37484;0.473032;-0.103088;0.36146;0.479696;-0.139603;0.350739;0.498067;-0.15786;0.397424;0.513557;-0.059909;0.402441;0.472901;-0.113848;0.38716;0.478952;-0.150918;0.374289;0.495773;-0.168689;0.416797;0.53027;-0.0691418;0.427273;0.494697;-0.115028;0.413921;0.501067;-0.149252;0.400821;0.515537;-0.168689;0.43322;0.554628;-0.0786522;0.444373;0.533418;-0.111835;0.433217;0.537839;-0.135784;0.418489;0.54816;-0.151334;0.58485;0.593279;8.39391e-06;0.553082;0.574054;-0.0276144;0.530378;0.548296;-0.0526807;0.515923;0.529183;-0.0770356;0.51103;0.51383;-0.100001;0.554809;0.509992;-0.0513902;0.548451;0.478873;-0.09828;0.53711;0.488922;-0.133092;0.530138;0.509073;-0.150497;0.575998;0.509981;-0.0571149;0.574057;0.470786;-0.108538;0.560851;0.480814;-0.143879;0.551631;0.500147;-0.160822;0.596699;0.519908;-0.0659171;0.60065;0.483855;-0.109663;0.589287;0.493623;-0.142291;0.579474;0.510839;-0.160822;0.615901;0.537783;-0.074984;0.622813;0.514872;-0.106619;0.613172;0.522196;-0.129452;0.601174;0.536029;-0.144276
0.433723;0.277407;0.392236;0.601492;7.53135e-06;0.363731;0.572459;-0.0294161;0.345495;0.543786;-0.059799;0.332068;0.521006;-0.0887317;0.32633;0.503131;-0.121532;0.383379;0.505554;-0.0664951;0.388196;0.473123;-0.113296;0.373914;0.47447;-0.152684;0.359248;0.489494;-0.176174;0.403911;0.512864;-0.071723;0.416691;0.473412;-0.11745;0.403649;0.46677;-0.155119;0.388228;0.477266;-0.179755;0.421001;0.530297;-0.0784907;0.43745;0.496613;-0.116948;0.426764;0.490919;-0.151252;0.41229;0.496307;-0.175315;0.433324;0.554183;-0.0865832;0.446868;0.534053;-0.118667;0.439814;0.53098;-0.145451;0.42697;0.534171;-0.166864;0.583329;0.590907;7.20399e-06;0.552047;0.572116;-0.0281375;0.530388;0.550686;-0.0571998;0.51417;0.533353;-0.0848749;0.505913;0.518363;-0.116249;0.559452;0.504101;-0.0636048;0.558657;0.472495;-0.108371;0.545572;0.477885;-0.146048;0.534357;0.496128;-0.168517;0.579769;0.504965;-0.0686055;0.585249;0.464513;-0.112344;0.572018;0.462102;-0.148377;0.559362;0.476345;-0.171942;0.598529;0.516257;-0.075079;0.608366;0.480115;-0.111865;0.597484;0.477905;-0.144678;0.584878;0.487115;-0.167695;0.6139;0.534939;-0.0828198;0.623237;0.512265;-0.113509;0.616166;0.511445;-0.139129;0.604721;0.518137;-0.159611
0.438034;0.271112;0.372001;0.581819;2.256e-05;0.397661;0.583252;-0.0376134;0.421397;0.567228;-0.0656992;0.44095;0.554089;-0.0895363;0.459648;0.546806;-0.115213;0.399738;0.523959;-0.0777649;0.411279;0.495743;-0.119186;0.420745;0.491651;-0.154353;0.427592;0.497954;-0.174364;0.379132;0.518403;-0.0761463;0.382704;0.482838;-0.111019;0.388593;0.473013;-0.139712;0.394562;0.473471;-0.159797;0.35967;0.523685;-0.0776178;0.355287;0.490163;-0.104692;0.358207;0.47689;-0.131472;0.36241;0.471463;-0.152293;0.341103;0.537522;-0.0809285;0.326534;0.515967;-0.105133;0.319227;0.501684;-0.126543;0.315528;0.490037;-0.147437;0.589775;0.58454;7.37628e-06;0.56026;0.572982;-0.0248661;0.535716;0.556373;-0.0494176;0.515884;0.545792;-0.0723441;0.501041;0.535837;-0.0994643;0.557682;0.504394;-0.0501516;0.547765;0.483117;-0.0922649;0.534547;0.487966;-0.127633;0.522862;0.501501;-0.146785;0.577212;0.499163;-0.0540309;0.577766;0.463556;-0.0868129;0.568667;0.45364;-0.112116;0.557645;0.453971;-0.127633;0.595648;0.507471;-0.0615449;0.602113;0.471292;-0.0903078;0.595925;0.456573;-0.118197;0.586685;0.450777;-0.138118;0.611733;0.525316;-0.0705267;0.62043;0.500751;-0.0933134;0.620543;0.488938;-0.113444;0.616758;0.482384;-0.131128
0.439612;0.266644;0.371152;0.589397;2.17328e-05;0.3967;0.586545;-0.0350497;0.420919;0.570251;-0.0602737;0.439534;0.557018;-0.0817581;0.45685;0.548576;-0.105809;0.395986;0.523311;-0.0711626;0.40499;0.494362;-0.107202;0.413716;0.490076;-0.139245;0.421444;0.494924;-0.158237;0.376197;0.519885;-0.0699527;0.377538;0.485071;-0.100896;0.383046;0.475014;-0.1281;0.389678;0.474236;-0.147531;0.358;0.527265;-0.0718958;0.35231;0.49552;-0.0974498;0.354596;0.481673;-0.123554;0.359672;0.476119;-0.144452;0.340745;0.543963;-0.0757454;0.324838;0.524817;-0.0996496;0.317532;0.512136;-0.121134;0.31473;0.503207;-0.142105;0.583543;0.578954;7.59396e-06;0.557145;0.580315;-0.0289106;0.532669;0.561428;-0.0520257;0.51409;0.549953;-0.0726953;0.495258;0.541761;-0.0996964;0.557171;0.514382;-0.0548397;0.547276;0.493846;-0.0923264;0.534691;0.493553;-0.12127;0.523783;0.499071;-0.137753;0.576141;0.508591;-0.0541697;0.575565;0.475533;-0.0831473;0.569658;0.462283;-0.106128;0.563457;0.454153;-0.123884;0.593271;0.514482;-0.0560792;0.599099;0.481759;-0.0855593;0.597034;0.464374;-0.11189;0.59316;0.450121;-0.132058;0.606883;0.529384;-0.0586922;0.619646;0.509478;-0.0811373;0.627518;0.497504;-0.0992274;0.634124;0.486539;-0.11591
0.442322;0.266561;0.368315;0.600758;2.2073e-05;0.396709;0.591305;-0.0330037;0.421843;0.571759;-0.0605681;0.440325;0.558347;-0.0854862;0.459802;0.548707;-0.111507;0.397311;0.520019;-0.0795323;0.39669;0.482625;-0.12121;0.40754;0.481594;-0.159506;0.418903;0.491678;-0.186261;0.377312;0.524457;-0.082252;0.371777;0.48785;-0.127458;0.380849;0.488296;-0.16715;0.391248;0.500055;-0.194788;0.359315;0.536992;-0.0867358;0.348667;0.506506;-0.125473;0.355723;0.504847;-0.160241;0.366134;0.512822;-0.183762;0.3419;0.555449;-0.0924692;0.327924;0.537493;-0.127458;0.330946;0.53525;-0.155683;0.338811;0.538912;-0.179058;0.584726;0.579633;5.87954e-06;0.55662;0.580491;-0.0298157;0.530574;0.564712;-0.0545579;0.510125;0.553031;-0.0772537;0.492314;0.546353;-0.103839;0.554478;0.510905;-0.0612212;0.549799;0.48157;-0.0966009;0.537597;0.47979;-0.125148;0.52674;0.487663;-0.143143;0.573336;0.508239;-0.062405;0.573845;0.471256;-0.0976833;0.563075;0.466259;-0.129207;0.5543;0.474138;-0.153425;0.590783;0.516015;-0.0655168;0.596683;0.480179;-0.0970744;0.589317;0.472431;-0.130087;0.582037;0.474816;-0.15559;0.606453;0.532046;-0.0693389;0.619572;0.512093;-0.0951803;0.622789;0.504928;-0.119466;0.624303;0.50476;-0.141654
0.44285;0.263968;0.369256;0.607235;1.93276e-05;0.399181;0.591277;-0.0252661;0.423307;0.569012;-0.0487673;0.441465;0.553186;-0.0722145;0.457843;0.540306;-0.0951575;0.395025;0.518623;-0.0472906;0.393932;0.4787;-0.0802463;0.403786;0.468391;-0.105963;0.414959;0.466955;-0.124764;0.375525;0.522998;-0.0530173;0.379687;0.501418;-0.104018;0.389337;0.526528;-0.126853;0.395166;0.549521;-0.132615;0.357683;0.53726;-0.062742;0.359418;0.523235;-0.105458;0.370503;0.547189;-0.121882;0.378;0.569938;-0.121306;0.339836;0.557055;-0.0742675;0.333927;0.542461;-0.109348;0.343899;0.554081;-0.127285;0.35269;0.568083;-0.134056;0.57607;0.58554;5.79227e-06;0.547328;0.58168;-0.0386125;0.522168;0.563074;-0.0662831;0.506886;0.54991;-0.0919547;0.488683;0.539015;-0.120151;0.547473;0.51511;-0.0630566;0.540475;0.488614;-0.101774;0.531754;0.484048;-0.128989;0.521527;0.483469;-0.143017;0.568124;0.516746;-0.0593392;0.56576;0.500199;-0.104931;0.557006;0.512294;-0.132566;0.548318;0.524445;-0.147436;0.587417;0.52593;-0.0594093;0.587185;0.51311;-0.0982673;0.577224;0.52488;-0.118608;0.568054;0.536564;-0.128498;0.604532;0.538537;-0.0621448;0.606106;0.530233;-0.0912533;0.596444;0.540378;-0.109981;0.58707;0.549515;-0.122045
0.441223;0.265869;0.363713;0.609078;1.97869e-05;0.396472;0.591655;-0.0254651;0.418956;0.571702;-0.0480011;0.437347;0.558402;-0.0694;0.453633;0.546423;-0.0899375;0.392333;0.522874;-0.0471052;0.395571;0.483265;-0.0793242;0.404995;0.471102;-0.105375;0.413986;0.465605;-0.121915;0.37219;0.529116;-0.0513781;0.382155;0.512373;-0.0983454;0.395368;0.540027;-0.116746;0.403187;0.563791;-0.121157;0.354416;0.543689;-0.0604752;0.360764;0.534555;-0.101378;0.374865;0.557457;-0.118469;0.38383;0.578725;-0.121226;0.337313;0.562944;-0.0714676;0.330704;0.545419;-0.100206;0.333464;0.542863;-0.120123;0.335706;0.543928;-0.133356;0.58131;0.595897;6.88109e-06;0.549996;0.584505;-0.025403;0.526187;0.561699;-0.0465139;0.506767;0.548101;-0.0655582;0.488313;0.537933;-0.0855881;0.548357;0.510484;-0.0513783;0.539878;0.486984;-0.0842528;0.530906;0.478235;-0.106445;0.519261;0.474543;-0.122532;0.568926;0.505887;-0.0538264;0.55202;0.524664;-0.101548;0.53988;0.55236;-0.116237;0.529805;0.572176;-0.117509;0.588501;0.515739;-0.0600261;0.569927;0.545607;-0.102121;0.561201;0.570901;-0.103392;0.553772;0.587523;-0.094999;0.604915;0.532542;-0.0680381;0.589332;0.557421;-0.100785;0.577954;0.576287;-0.106063;0.568056;0.587953;-0.104283
