face_x;face_y;landmark_x_1;landmark_y_1;landmark_z_1;landmark_x_2;landmark_y_2;landmark_z_2;landmark_x_3;landmark_y_3;landmark_z_3;landmark_x_4;landmark_y_4;landmark_z_4;landmark_x_5;landmark_y_5;landmark_z_5;landmark_x_6;landmark_y_6;landmark_z_6;landmark_x_7;landmark_y_7;landmark_z_7;landmark_x_8;landmark_y_8;landmark_z_8;landmark_x_9;landmark_y_9;landmark_z_9;landmark_x_10;landmark_y_10;landmark_z_10;landmark_x_11;landmark_y_11;landmark_z_11;landmark_x_12;landmark_y_12;landmark_z_12;landmark_x_13;landmark_y_13;landmark_z_13;landmark_x_14;landmark_y_14;landmark_z_14;landmark_x_15;landmark_y_15;landmark_z_15;landmark_x_16;landmark_y_16;landmark_z_16;landmark_x_17;landmark_y_17;landmark_z_17;landmark_x_18;landmark_y_18;landmark_z_18;landmark_x_19;landmark_y_19;landmark_z_19;landmark_x_20;landmark_y_20;landmark_z_20;landmark_x_21;landmark_y_21;landmark_z_21;landmark_x_22;landmark_y_22;landmark_z_22;landmark_x_23;landmark_y_23;landmark_z_23;landmark_x_24;landmark_y_24;landmark_z_24;landmark_x_25;landmark_y_25;landmark_z_25;landmark_x_26;landmark_y_26;landmark_z_26;landmark_x_27;landmark_y_27;landmark_z_27;landmark_x_28;landmark_y_28;landmark_z_28;landmark_x_29;landmark_y_29;landmark_z_29;landmark_x_30;landmark_y_30;landmark_z_30;landmark_x_31;landmark_y_31;landmark_z_31;landmark_x_32;landmark_y_32;landmark_z_32;landmark_x_33;landmark_y_33;landmark_z_33;landmark_x_34;landmark_y_34;landmark_z_34;landmark_x_35;landmark_y_35;landmark_z_35;landmark_x_36;landmark_y_36;landmark_z_36;landmark_x_37;landmark_y_37;landmark_z_37;landmark_x_38;landmark_y_38;landmark_z_38;landmark_x_39;landmark_y_39;landmark_z_39;landmark_x_40;landmark_y_40;landmark_z_40;landmark_x_41;landmark_y_41;landmark_z_41;landmark_x_42;landmark_y_42;landmark_z_42
0.456114;0.254012;0.293368;0.822018;1.45302e-05;0.340037;0.857097;-0.0210545;0.357708;0.905768;-0.0565418;0.361774;0.945625;-0.0848524;0.366016;0.970326;-0.109198;0.344289;0.891445;-0.150355;0.355714;0.949692;-0.204597;0.354062;0.978706;-0.219823;0.352006;0.988273;-0.233304;0.309161;0.887696;-0.15321;0.314116;0.96196;-0.199522;0.313535;0.974764;-0.175256;0.310702;0.973108;-0.159396;0.273944;0.885474;-0.154717;0.278031;0.960621;-0.197936;0.281875;0.967397;-0.168436;0.281909;0.963503;-0.144725;0.242174;0.88412;-0.156382;0.246459;0.946311;-0.199522;0.253437;0.962009;-0.206976;0.255867;0.968083;-0.212369
0.455752;0.253142;0.29895;0.869349;1.26966e-05;0.343071;0.870872;-0.041658;0.363309;0.886907;-0.0810165;0.371238;0.898557;-0.112749;0.377405;0.897569;-0.144174;0.341303;0.930309;-0.112212;0.35015;0.903217;-0.174756;0.352361;0.865041;-0.202503;0.351753;0.837157;-0.217526;0.309988;0.929872;-0.108226;0.316773;0.888211;-0.181808;0.321954;0.842254;-0.205875;0.325265;0.808416;-0.216299;0.279853;0.918466;-0.105007;0.284051;0.879448;-0.167092;0.293295;0.834341;-0.178895;0.30142;0.805839;-0.181655;0.254997;0.902761;-0.101941;0.255445;0.870139;-0.146167;0.266401;0.837861;-0.16096;0.277262;0.818666;-0.167552;0.656228;0.660792;3.70323e-05;0.582202;0.700922;0.00713919;0.535842;0.757981;-0.0209226;0.502206;0.814116;-0.0392053;0.488233;0.854958;-0.0637131;0.55023;0.766331;-0.147546;0.508834;0.881635;-0.195492;0.504649;0.960467;-0.207906;0.510244;1.0191;-0.209333;0.60098;0.780241;-0.148973;0.566689;0.90773;-0.208334;0.559671;0.994685;-0.20177;0.561045;1.05081;-0.190783;0.650528;0.793086;-0.137772;0.628342;0.906969;-0.171947;0.617981;0.983019;-0.15782;0.61535;1.02567;-0.144978;0.69109;0.803002;-0.119578;0.679326;0.893526;-0.131279;0.669878;0.948775;-0.116724;0.664815;0.980692;-0.102526
0.455242;0.253915;0.306091;0.918026;9.71205e-06;0.332904;0.896438;-0.0423879;0.349232;0.877932;-0.0833604;0.359085;0.859384;-0.115021;0.369124;0.842413;-0.146905;0.343592;0.89189;-0.122992;0.349528;0.860909;-0.178044;0.349303;0.829612;-0.196966;0.348962;0.801806;-0.207693;0.313188;0.892964;-0.116362;0.316585;0.848413;-0.186536;0.313317;0.809142;-0.214547;0.313755;0.774;-0.231085;0.284475;0.888849;-0.108167;0.282973;0.849784;-0.168062;0.281063;0.806755;-0.195327;0.284016;0.771557;-0.207395;0.263469;0.886646;-0.0995259;0.258337;0.859853;-0.142659;0.257044;0.828764;-0.17119;0.261023;0.802572;-0.189963;0.618686;0.769266;3.21243e-05;0.560672;0.808609;-0.0538975;0.519406;0.840394;-0.111305;0.489747;0.881035;-0.153491;0.4721;0.914984;-0.187627;0.572889;0.739832;-0.234837;0.551682;0.799032;-0.319572;0.543594;0.874117;-0.338456;0.543365;0.928427;-0.342814;0.6175;0.728758;-0.229995;0.604085;0.799126;-0.318119;0.591463;0.881249;-0.308193;0.588899;0.930051;-0.291004;0.660417;0.733306;-0.221885;0.651865;0.802535;-0.296088;0.6394;0.875514;-0.290762;0.637048;0.917499;-0.282531;0.695061;0.749242;-0.213048;0.70104;0.794634;-0.273089;0.696839;0.84132;-0.292941;0.69552;0.870327;-0.305772
0.455646;0.255153;0.684188;0.904236;2.28606e-05;0.6171;0.923373;-0.0633727;0.54527;0.903814;-0.123563;0.497918;0.888129;-0.181045;0.46396;0.872265;-0.236835;0.574688;0.7807;-0.12248;0.545601;0.750998;-0.207992;0.53877;0.795518;-0.260938;0.538611;0.841251;-0.281386;0.618443;0.761507;-0.125459;0.5964;0.724165;-0.227356;0.589795;0.786174;-0.288427;0.588598;0.84284;-0.320384;0.664856;0.760771;-0.131485;0.651279;0.723491;-0.23846;0.644764;0.782599;-0.304406;0.642352;0.841241;-0.339342;0.709346;0.770603;-0.137104;0.70805;0.755946;-0.215034;0.699367;0.800321;-0.263376;0.687326;0.847273;-0.293843
0.456268;0.258089;0.695107;0.824653;1.42097e-05;0.612073;0.818858;-0.0514152;0.558841;0.798319;-0.105241;0.5117;0.800461;-0.151613;0.47606;0.8208;-0.202996;0.593696;0.705936;-0.17039;0.562109;0.687646;-0.263134;0.545762;0.732307;-0.313883;0.539982;0.77351;-0.337735;0.637581;0.709686;-0.181682;0.617994;0.680741;-0.281911;0.606155;0.732999;-0.340273;0.600817;0.778376;-0.378334;0.680136;0.728121;-0.193227;0.67391;0.699497;-0.276329;0.662343;0.739416;-0.317435;0.657478;0.778293;-0.342556;0.717983;0.753305;-0.204392;0.723311;0.737056;-0.272776;0.72112;0.758867;-0.312868;0.718786;0.784733;-0.341541;0.266864;0.86119;2.74705e-05;0.312409;0.815489;0.0233484;0.336966;0.780354;0.0252923;0.355766;0.753998;0.0231697;0.368112;0.733695;0.0221978;0.34622;0.762676;-0.0199635;0.377143;0.754797;-0.053221;0.391788;0.737396;-0.0713188;0.400803;0.72395;-0.0793623;0.327987;0.763599;-0.046384;0.351498;0.746022;-0.0904891;0.361863;0.71908;-0.120831;0.367734;0.702483;-0.142816;0.302386;0.76918;-0.0692633;0.311318;0.729709;-0.109481;0.313447;0.70119;-0.131109;0.313134;0.684297;-0.143353;0.272463;0.777823;-0.0871377;0.269094;0.74224;-0.124048;0.264846;0.713053;-0.150413;0.264035;0.693394;-0.168824
0.45782;0.258615;0.698064;0.783235;1.72333e-05;0.622577;0.77591;-0.0202914;0.565309;0.758433;-0.0473634;0.520608;0.764369;-0.0767579;0.48787;0.785825;-0.116968;0.593188;0.679513;-0.09927;0.563365;0.641952;-0.175892;0.545334;0.677097;-0.223222;0.5368;0.728987;-0.245734;0.635768;0.672545;-0.117578;0.620376;0.638368;-0.192166;0.609181;0.691485;-0.245191;0.605073;0.745796;-0.275976;0.677519;0.684297;-0.135615;0.674578;0.658326;-0.206406;0.666726;0.700608;-0.241259;0.663629;0.742897;-0.25699;0.714006;0.707251;-0.153109;0.724501;0.700015;-0.208575;0.721493;0.726732;-0.241937;0.718431;0.753851;-0.262686
0.458373;0.260257;0.720305;0.779617;1.53446e-05;0.639912;0.759635;-0.0258887;0.57746;0.737158;-0.0621329;0.528207;0.73932;-0.0985895;0.491592;0.761566;-0.145565;0.609689;0.624482;-0.0925134;0.585118;0.591376;-0.169869;0.55926;0.590821;-0.223835;0.529534;0.60558;-0.256241;0.647816;0.616076;-0.108063;0.621257;0.633277;-0.199662;0.602568;0.686375;-0.235073;0.589624;0.729373;-0.243697;0.687891;0.634882;-0.127925;0.665916;0.670681;-0.202667;0.651059;0.716748;-0.212075;0.645464;0.749206;-0.205672;0.726283;0.66662;-0.14844;0.713724;0.695386;-0.20136;0.70018;0.730149;-0.206326;0.693996;0.752587;-0.203059;0.322658;0.701251;2.34895e-05;0.35288;0.703897;-0.0620442;0.385996;0.700548;-0.116164;0.40558;0.712896;-0.168093;0.406775;0.72591;-0.218343;0.362258;0.609302;-0.115884;0.378226;0.600921;-0.195782;0.372853;0.626873;-0.243329;0.362216;0.653897;-0.265518;0.32817;0.60184;-0.110197;0.320908;0.574219;-0.190747;0.310472;0.601951;-0.225802;0.300017;0.632371;-0.2396;0.299489;0.610836;-0.110197;0.279938;0.580173;-0.178814;0.270678;0.604096;-0.210512;0.262751;0.630489;-0.220767;0.277428;0.631387;-0.112062;0.246519;0.618346;-0.156253;0.229944;0.630273;-0.186832;0.217405;0.646429;-0.205478
0.458859;0.260925;0.715358;0.751835;1.36208e-05;0.643991;0.747874;-0.0491579;0.582202;0.728471;-0.0919688;0.529645;0.732014;-0.130876;0.493939;0.750853;-0.174925;0.604062;0.619476;-0.134811;0.583476;0.586589;-0.214023;0.558753;0.595506;-0.259087;0.53217;0.615151;-0.283586;0.645866;0.604708;-0.140143;0.614787;0.662005;-0.234206;0.59881;0.727293;-0.264291;0.587966;0.77394;-0.262768;0.692405;0.625134;-0.14941;0.66484;0.689564;-0.233191;0.655472;0.740721;-0.255278;0.649934;0.776366;-0.255152;0.734958;0.658659;-0.159565;0.717753;0.709866;-0.232937;0.705332;0.747637;-0.255786;0.698248;0.776288;-0.260483;0.321218;0.695858;2.90183e-05;0.355119;0.706316;-0.0671766;0.392031;0.703396;-0.125485;0.409701;0.724228;-0.17839;0.414037;0.752747;-0.234456;0.368852;0.624838;-0.147605;0.388376;0.60855;-0.222427;0.388197;0.624694;-0.271357;0.379242;0.653477;-0.301123;0.329361;0.620328;-0.143528;0.326797;0.595641;-0.23099;0.317332;0.619006;-0.287055;0.308429;0.651619;-0.319471;0.294371;0.628409;-0.140164;0.281309;0.607293;-0.210602;0.272672;0.628252;-0.263814;0.266564;0.653905;-0.29623;0.266023;0.646626;-0.138635;0.241042;0.631193;-0.195312;0.227693;0.641936;-0.242611;0.22091;0.658764;-0.277677
0.459074;0.260745;0.722509;0.755415;1.32108e-05;0.651623;0.742027;-0.0415788;0.592869;0.717989;-0.0900654;0.541551;0.723046;-0.136184;0.508886;0.745841;-0.190657;0.608936;0.607092;-0.134868;0.584519;0.589038;-0.211315;0.564187;0.591763;-0.256315;0.540776;0.597696;-0.284209;0.648934;0.593151;-0.144605;0.604786;0.682656;-0.232762;0.593546;0.757388;-0.243288;0.586937;0.807553;-0.230262;0.694956;0.617948;-0.157499;0.656657;0.718787;-0.233815;0.649979;0.771366;-0.235525;0.648377;0.804363;-0.223552;0.737996;0.657126;-0.171578;0.716208;0.713559;-0.241315;0.707467;0.736693;-0.253815;0.705583;0.753806;-0.253683;0.315687;0.692406;3.08485e-05;0.354291;0.69441;-0.0584219;0.389991;0.688268;-0.103765;0.411858;0.70658;-0.145487;0.424103;0.738374;-0.187426;0.36274;0.625688;-0.134895;0.386019;0.623385;-0.203315;0.398923;0.62948;-0.236282;0.400147;0.64321;-0.25336;0.3264;0.617649;-0.13457;0.32965;0.624471;-0.22396;0.328624;0.663303;-0.263952;0.326683;0.7045;-0.278868;0.292118;0.62505;-0.137597;0.291128;0.623187;-0.210773;0.291621;0.648797;-0.254873;0.292338;0.675394;-0.279085;0.263547;0.643342;-0.14138;0.239822;0.628584;-0.211097;0.230624;0.633274;-0.26806;0.231;0.645757;-0.309133
0.460081;0.260157;0.712021;0.733458;1.67513e-05;0.640674;0.729572;-0.0407587;0.585953;0.714264;-0.0929739;0.536931;0.723371;-0.141758;0.494295;0.754252;-0.197404;0.605341;0.602604;-0.146291;0.571904;0.623539;-0.237187;0.55007;0.664251;-0.284272;0.531098;0.713668;-0.306934;0.646737;0.596251;-0.160643;0.61043;0.646893;-0.252295;0.590561;0.712933;-0.283517;0.575348;0.775222;-0.288301;0.691304;0.615007;-0.176757;0.666371;0.667049;-0.257834;0.655347;0.730899;-0.283013;0.644085;0.785427;-0.290064;0.732785;0.645877;-0.19262;0.721456;0.68237;-0.263374;0.715335;0.726867;-0.285783;0.706967;0.769125;-0.294092;0.314568;0.699132;3.32426e-05;0.353614;0.705317;-0.0547128;0.392754;0.704077;-0.104354;0.40878;0.724695;-0.148951;0.40703;0.757377;-0.197131;0.368825;0.640006;-0.150274;0.395472;0.641379;-0.219623;0.397096;0.665274;-0.252699;0.388251;0.696078;-0.270119;0.335561;0.626915;-0.151156;0.340611;0.609827;-0.223702;0.339082;0.63656;-0.252037;0.336524;0.66637;-0.267914;0.300143;0.634252;-0.152259;0.291288;0.6082;-0.216646;0.29072;0.627151;-0.254683;0.292013;0.651434;-0.278718;0.269847;0.656492;-0.153692;0.240617;0.632156;-0.201762;0.233362;0.629873;-0.241232;0.236521;0.640378;-0.274529
