face_x;face_y;landmark_x_1;landmark_y_1;landmark_z_1;landmark_x_2;landmark_y_2;landmark_z_2;landmark_x_3;landmark_y_3;landmark_z_3;landmark_x_4;landmark_y_4;landmark_z_4;landmark_x_5;landmark_y_5;landmark_z_5;landmark_x_6;landmark_y_6;landmark_z_6;landmark_x_7;landmark_y_7;landmark_z_7;landmark_x_8;landmark_y_8;landmark_z_8;landmark_x_9;landmark_y_9;landmark_z_9;landmark_x_10;landmark_y_10;landmark_z_10;landmark_x_11;landmark_y_11;landmark_z_11;landmark_x_12;landmark_y_12;landmark_z_12;landmark_x_13;landmark_y_13;landmark_z_13;landmark_x_14;landmark_y_14;landmark_z_14;landmark_x_15;landmark_y_15;landmark_z_15;landmark_x_16;landmark_y_16;landmark_z_16;landmark_x_17;landmark_y_17;landmark_z_17;landmark_x_18;landmark_y_18;landmark_z_18;landmark_x_19;landmark_y_19;landmark_z_19;landmark_x_20;landmark_y_20;landmark_z_20;landmark_x_21;landmark_y_21;landmark_z_21;landmark_x_22;landmark_y_22;landmark_z_22;landmark_x_23;landmark_y_23;landmark_z_23;landmark_x_24;landmark_y_24;landmark_z_24;landmark_x_25;landmark_y_25;landmark_z_25;landmark_x_26;landmark_y_26;landmark_z_26;landmark_x_27;landmark_y_27;landmark_z_27;landmark_x_28;landmark_y_28;landmark_z_28;landmark_x_29;landmark_y_29;landmark_z_29;landmark_x_30;landmark_y_30;landmark_z_30;landmark_x_31;landmark_y_31;landmark_z_31;landmark_x_32;landmark_y_32;landmark_z_32;landmark_x_33;landmark_y_33;landmark_z_33;landmark_x_34;landmark_y_34;landmark_z_34;landmark_x_35;landmark_y_35;landmark_z_35;landmark_x_36;landmark_y_36;landmark_z_36;landmark_x_37;landmark_y_37;landmark_z_37;landmark_x_38;landmark_y_38;landmark_z_38;landmark_x_39;landmark_y_39;landmark_z_39;landmark_x_40;landmark_y_40;landmark_z_40;landmark_x_41;landmark_y_41;landmark_z_41;landmark_x_42;landmark_y_42;landmark_z_42
0.489802;0.329133;0.35261;0.941626;2.84836e-05;0.401635;0.958105;-0.0658386;0.441108;0.954989;-0.125981;0.456131;0.952494;-0.174949;0.452784;0.952662;-0.220849;0.404466;0.850355;-0.169581;0.415721;0.843844;-0.255467;0.412532;0.904318;-0.277815;0.413034;0.950834;-0.282635;0.363492;0.840031;-0.158188;0.361658;0.852726;-0.241883;0.361921;0.919318;-0.25722;0.366572;0.962271;-0.251523;0.325394;0.852124;-0.150848;0.32315;0.878531;-0.215482;0.325298;0.93002;-0.223369;0.331894;0.956704;-0.21592;0.29543;0.872932;-0.144385;0.28745;0.907867;-0.183274;0.290304;0.945366;-0.198502;0.299122;0.966276;-0.201898
0.489779;0.329077;0.316235;0.936688;3.28816e-05;0.376489;0.914278;-0.0327744;0.43161;0.889865;-0.0838998;0.471703;0.871679;-0.138334;0.488439;0.856637;-0.183054;0.419552;0.902492;-0.172493;0.443262;0.80783;-0.242377;0.419048;0.806876;-0.249157;0.403046;0.831328;-0.256719;0.380364;0.90497;-0.184488;0.393243;0.79046;-0.250461;0.367316;0.798182;-0.230513;0.353501;0.831901;-0.21943;0.34042;0.901387;-0.199352;0.350125;0.793745;-0.240813;0.328497;0.803553;-0.208218;0.319714;0.833706;-0.184488;0.30792;0.896231;-0.2193;0.310213;0.813308;-0.259327;0.299488;0.819807;-0.265715;0.29888;0.842737;-0.272234;0.708439;0.918896;1.03846e-05;0.671786;0.925136;-0.0505368;0.648309;0.925257;-0.106659;0.637391;0.927015;-0.15161;0.637291;0.941769;-0.193458;0.670237;0.879939;-0.156575;0.663724;0.859544;-0.222539;0.666922;0.886387;-0.250556;0.668845;0.913614;-0.265806;0.705796;0.88789;-0.152674;0.708442;0.870853;-0.21722;0.713673;0.913951;-0.245414;0.710496;0.943663;-0.267934;0.736492;0.907025;-0.148507;0.743447;0.908313;-0.19736;0.740736;0.951831;-0.213673;0.73244;0.977597;-0.22449;0.760942;0.924301;-0.146911;0.769783;0.940144;-0.18743;0.767885;0.970795;-0.21651;0.759429;0.989942;-0.236193
0.4902;0.327705;0.298783;0.926268;2.49469e-05;0.357909;0.903468;-0.0236956;0.406709;0.852749;-0.0699584;0.431333;0.798252;-0.11504;0.436268;0.74762;-0.160595;0.405191;0.879614;-0.146215;0.419503;0.792624;-0.209823;0.40882;0.748067;-0.225462;0.396058;0.725379;-0.224203;0.375121;0.880342;-0.154927;0.378485;0.784262;-0.223993;0.366829;0.735765;-0.235119;0.357243;0.711607;-0.235539;0.33691;0.87665;-0.159335;0.332358;0.791414;-0.215176;0.325256;0.752325;-0.209298;0.320025;0.739363;-0.200166;0.29918;0.870905;-0.163534;0.295928;0.806143;-0.198906;0.294002;0.774278;-0.198277;0.2904;0.760108;-0.193238;0.720218;0.985122;1.14447e-05;0.675314;0.979665;-0.0735615;0.648443;0.96228;-0.142626;0.646689;0.965099;-0.194806;0.665602;0.967676;-0.240963;0.663334;0.851209;-0.15179;0.661744;0.837061;-0.228915;0.665163;0.823718;-0.25895;0.668944;0.805458;-0.278465;0.706765;0.832278;-0.139657;0.700931;0.910696;-0.223824;0.690342;0.954852;-0.207024;0.687172;0.95084;-0.18717;0.742301;0.851972;-0.133039;0.731994;0.949141;-0.194976;0.710949;0.972841;-0.144662;0.702573;0.948935;-0.103088;0.768212;0.88201;-0.131936;0.754756;0.968261;-0.168419;0.733611;0.985177;-0.141947;0.723451;0.961337;-0.121924
0.490204;0.327891;0.320938;0.887001;1.93214e-05;0.369996;0.838736;-0.0351012;0.399004;0.801931;-0.0846508;0.412925;0.76484;-0.129124;0.423872;0.72123;-0.174248;0.396812;0.843689;-0.152814;0.401018;0.796148;-0.224926;0.396152;0.74687;-0.251306;0.390079;0.706501;-0.263107;0.368205;0.858312;-0.158281;0.364053;0.798951;-0.231;0.353039;0.746648;-0.250438;0.34393;0.708329;-0.260678;0.33588;0.866375;-0.161578;0.331086;0.81449;-0.219893;0.324174;0.767019;-0.219372;0.317345;0.737478;-0.213645;0.305089;0.867524;-0.166525;0.303932;0.833624;-0.209653;0.306663;0.803308;-0.216421;0.30364;0.782731;-0.219198;0.725194;0.965896;1.44789e-05;0.681061;0.938933;-0.0485582;0.656528;0.902844;-0.0932224;0.654484;0.873358;-0.127645;0.667408;0.854853;-0.162769;0.668318;0.873814;-0.14914;0.659618;0.838637;-0.226942;0.654369;0.80452;-0.282237;0.650733;0.769024;-0.319931;0.703004;0.86801;-0.146181;0.697411;0.841218;-0.234107;0.693734;0.807681;-0.282549;0.69321;0.769511;-0.323358;0.736507;0.874601;-0.139561;0.72146;0.862293;-0.20498;0.709112;0.871539;-0.185199;0.704441;0.869077;-0.168844;0.763023;0.894028;-0.137692;0.750036;0.88099;-0.183018;0.735594;0.880147;-0.171803;0.728208;0.875855;-0.163081
0.489915;0.330346;0.333702;0.754383;2.6395e-05;0.382898;0.742889;-0.0437566;0.414639;0.69078;-0.0848775;0.409989;0.640237;-0.12339;0.391181;0.598561;-0.157169;0.395698;0.605292;-0.0605115;0.412488;0.542352;-0.113062;0.421514;0.517348;-0.142753;0.432574;0.505794;-0.157276;0.354994;0.601339;-0.0645994;0.342239;0.546289;-0.127047;0.341609;0.558747;-0.159105;0.346862;0.577034;-0.169863;0.321029;0.624297;-0.0742813;0.32431;0.624744;-0.145766;0.342539;0.679026;-0.157922;0.356096;0.709788;-0.149746;0.296969;0.659932;-0.0845548;0.304981;0.676311;-0.136406;0.323185;0.712395;-0.143076;0.33426;0.73255;-0.134685;0.704682;0.83544;1.04948e-05;0.6627;0.836133;-0.0768136;0.641316;0.797378;-0.120373;0.650888;0.754346;-0.14845;0.66685;0.712051;-0.177025;0.642365;0.706066;-0.0955316;0.625378;0.631994;-0.129234;0.612107;0.587081;-0.155818;0.600937;0.546709;-0.176029;0.678247;0.696605;-0.0789044;0.710569;0.640456;-0.133117;0.742696;0.620954;-0.176129;0.770107;0.605081;-0.200821;0.70946;0.710572;-0.0670066;0.721848;0.710195;-0.117485;0.715995;0.750034;-0.130528;0.712608;0.778561;-0.128238;0.736088;0.731154;-0.060734;0.7403;0.7468;-0.10494;0.7284;0.779582;-0.120871;0.71831;0.803566;-0.124355
0.493021;0.330655;0.34127;0.743041;2.53912e-05;0.389259;0.726007;-0.0416315;0.416492;0.661862;-0.0759761;0.409113;0.603825;-0.108435;0.395911;0.562711;-0.133812;0.394671;0.587576;-0.0546763;0.415137;0.526207;-0.106601;0.433535;0.482253;-0.1332;0.451077;0.441627;-0.148385;0.354074;0.575576;-0.0601796;0.361283;0.523833;-0.116079;0.363232;0.479063;-0.150831;0.363403;0.431298;-0.174475;0.31811;0.587638;-0.0701671;0.343298;0.610774;-0.127391;0.357157;0.658847;-0.108537;0.362067;0.675322;-0.0845368;0.290815;0.616114;-0.0837215;0.319428;0.652978;-0.120257;0.332443;0.691042;-0.0968174;0.334881;0.704162;-0.0705748;0.696365;0.814531;1.1199e-05;0.65297;0.801658;-0.0729519;0.633949;0.748081;-0.106754;0.64834;0.694989;-0.127163;0.668239;0.654307;-0.144628;0.64384;0.671347;-0.0846772;0.645531;0.614361;-0.132952;0.650463;0.577302;-0.154833;0.658464;0.545219;-0.162977;0.680882;0.660284;-0.0682912;0.709679;0.603613;-0.11686;0.738963;0.557134;-0.15081;0.762876;0.509894;-0.175438;0.711504;0.667337;-0.0569584;0.722843;0.657614;-0.110286;0.713636;0.705861;-0.108815;0.703959;0.736147;-0.100671;0.738151;0.685847;-0.0508259;0.742361;0.692004;-0.0998857;0.73035;0.729883;-0.102535;0.720386;0.750935;-0.0974818
0.491648;0.3334;0.341456;0.724437;2.17747e-05;0.396913;0.692463;-0.0226793;0.423645;0.620775;-0.0527339;0.414261;0.55858;-0.0851856;0.399868;0.511115;-0.108102;0.391465;0.555302;-0.0324253;0.405481;0.493311;-0.0803916;0.421383;0.442867;-0.10668;0.435282;0.397924;-0.121588;0.352332;0.546683;-0.0431986;0.350627;0.520288;-0.0928244;0.349766;0.506693;-0.105731;0.344633;0.482655;-0.103097;0.320932;0.562446;-0.0581601;0.346669;0.586653;-0.101464;0.360156;0.628888;-0.0770727;0.36035;0.638421;-0.049494;0.298796;0.589814;-0.0763878;0.332691;0.630548;-0.0994622;0.346226;0.666342;-0.0780209;0.344474;0.66992;-0.0556314;0.700926;0.793653;1.62116e-05;0.653351;0.775742;-0.0815587;0.631284;0.723997;-0.113239;0.649619;0.666133;-0.131488;0.676629;0.6239;-0.147505;0.641787;0.646393;-0.0791257;0.650718;0.598859;-0.13017;0.664325;0.564979;-0.160279;0.680125;0.538092;-0.176398;0.67784;0.626608;-0.0596104;0.69546;0.583327;-0.110705;0.711287;0.543746;-0.149736;0.724831;0.508593;-0.178121;0.708399;0.621938;-0.0485348;0.725183;0.622361;-0.10442;0.718206;0.680546;-0.102341;0.71114;0.720701;-0.0910883;0.735315;0.636384;-0.0445304;0.740821;0.651565;-0.103507;0.729208;0.699315;-0.107664;0.720716;0.72554;-0.100111
0.501982;0.323297;0.350229;0.70351;2.16704e-05;0.408384;0.661448;-0.0179274;0.433248;0.584366;-0.0388542;0.424001;0.521574;-0.0629332;0.408303;0.471025;-0.0779861;0.402645;0.522909;-0.00169761;0.413799;0.459607;-0.0401317;0.423055;0.409779;-0.0628777;0.430782;0.363677;-0.0750422;0.363361;0.514363;-0.010762;0.363929;0.49598;-0.0557401;0.360481;0.499096;-0.0660438;0.354241;0.483382;-0.058434;0.331292;0.528805;-0.0260787;0.357617;0.549445;-0.0670436;0.369235;0.590045;-0.0472416;0.36945;0.599124;-0.0209407;0.308043;0.55311;-0.0439366;0.341872;0.58451;-0.0650995;0.355025;0.617692;-0.0490468;0.354072;0.622091;-0.0306334;0.699661;0.772721;1.79925e-05;0.646106;0.735082;-0.0585837;0.620882;0.677911;-0.0887096;0.632772;0.617453;-0.107564;0.652559;0.574466;-0.126468;0.630436;0.646446;-0.0992738;0.644608;0.599016;-0.155785;0.662887;0.55698;-0.190662;0.680975;0.521373;-0.210275;0.668665;0.62087;-0.0842109;0.678285;0.572783;-0.146282;0.685986;0.528396;-0.180553;0.690267;0.490913;-0.209466;0.700008;0.607683;-0.0716753;0.702043;0.58273;-0.120706;0.691171;0.624662;-0.100436;0.680681;0.658686;-0.0853229;0.726511;0.610632;-0.0650031;0.721137;0.598977;-0.0985156;0.706411;0.636108;-0.0845142;0.694827;0.665585;-0.0725346
0.496999;0.326793;0.359756;0.678213;2.2668e-05;0.417356;0.631207;-0.0109466;0.438476;0.554896;-0.0332354;0.425171;0.495864;-0.062309;0.410389;0.450329;-0.0824729;0.414659;0.490569;0.0106022;0.431234;0.423725;-0.0285021;0.446718;0.377226;-0.051846;0.462031;0.33284;-0.0629538;0.374546;0.485013;-0.00557953;0.372767;0.447775;-0.054601;0.368951;0.428607;-0.0747356;0.362914;0.398488;-0.073915;0.342004;0.501182;-0.0272712;0.371938;0.513565;-0.0720979;0.384693;0.555034;-0.0597006;0.383761;0.566471;-0.0377488;0.317509;0.528578;-0.0510254;0.351475;0.548212;-0.0753218;0.364564;0.579792;-0.0626021;0.362663;0.58807;-0.0462775;0.685688;0.75277;2.02947e-05;0.634541;0.691796;-0.039089;0.61774;0.621238;-0.0836076;0.634232;0.568;-0.120126;0.658641;0.532177;-0.157413;0.604574;0.662279;-0.137328;0.615686;0.610077;-0.205463;0.633878;0.558738;-0.238137;0.652862;0.517559;-0.257165;0.639576;0.658955;-0.134253;0.642386;0.610533;-0.217188;0.650755;0.558976;-0.245633;0.660327;0.517257;-0.268121;0.67921;0.657024;-0.128775;0.686663;0.599843;-0.189126;0.682428;0.585689;-0.168945;0.680469;0.582609;-0.150782;0.717755;0.656694;-0.126084;0.719091;0.605216;-0.169041;0.704715;0.586482;-0.162987;0.695076;0.576898;-0.155779
0.495701;0.331375;0.367379;0.652687;2.45625e-05;0.424553;0.603645;-0.00748063;0.446313;0.525097;-0.0293109;0.4351;0.462756;-0.061374;0.414606;0.413928;-0.0868471;0.416661;0.457347;0.0227056;0.428426;0.391476;-0.0106418;0.437984;0.343781;-0.0290968;0.446269;0.297117;-0.0364819;0.379183;0.455501;0.00321472;0.376116;0.42125;-0.0509768;0.374624;0.421409;-0.077245;0.369587;0.403795;-0.0774897;0.349552;0.475127;-0.0213601;0.374759;0.481999;-0.0689273;0.390255;0.523863;-0.0586218;0.391267;0.532431;-0.0355645;0.328673;0.504939;-0.0470014;0.361117;0.522414;-0.0763276;0.375683;0.552568;-0.066542;0.375782;0.558102;-0.0499065;0.67339;0.737938;2.23542e-05;0.631732;0.679928;-0.0173956;0.616045;0.622218;-0.058348;0.631643;0.577259;-0.0950264;0.651406;0.543593;-0.132859;0.606952;0.658239;-0.149733;0.60654;0.594559;-0.21563;0.623822;0.544502;-0.236056;0.643174;0.504717;-0.245115;0.637121;0.667442;-0.155062;0.639257;0.594493;-0.231438;0.650283;0.539151;-0.254706;0.661345;0.488448;-0.275133;0.669186;0.67041;-0.154707;0.669147;0.605398;-0.214031;0.674525;0.559723;-0.221669;0.683182;0.525426;-0.228063;0.700289;0.670149;-0.15222;0.701693;0.615157;-0.198756;0.703616;0.577389;-0.21936;0.706544;0.546976;-0.237122
