face_x;face_y;landmark_x_1;landmark_y_1;landmark_z_1;landmark_x_2;landmark_y_2;landmark_z_2;landmark_x_3;landmark_y_3;landmark_z_3;landmark_x_4;landmark_y_4;landmark_z_4;landmark_x_5;landmark_y_5;landmark_z_5;landmark_x_6;landmark_y_6;landmark_z_6;landmark_x_7;landmark_y_7;landmark_z_7;landmark_x_8;landmark_y_8;landmark_z_8;landmark_x_9;landmark_y_9;landmark_z_9;landmark_x_10;landmark_y_10;landmark_z_10;landmark_x_11;landmark_y_11;landmark_z_11;landmark_x_12;landmark_y_12;landmark_z_12;landmark_x_13;landmark_y_13;landmark_z_13;landmark_x_14;landmark_y_14;landmark_z_14;landmark_x_15;landmark_y_15;landmark_z_15;landmark_x_16;landmark_y_16;landmark_z_16;landmark_x_17;landmark_y_17;landmark_z_17;landmark_x_18;landmark_y_18;landmark_z_18;landmark_x_19;landmark_y_19;landmark_z_19;landmark_x_20;landmark_y_20;landmark_z_20;landmark_x_21;landmark_y_21;landmark_z_21;landmark_x_22;landmark_y_22;landmark_z_22;landmark_x_23;landmark_y_23;landmark_z_23;landmark_x_24;landmark_y_24;landmark_z_24;landmark_x_25;landmark_y_25;landmark_z_25;landmark_x_26;landmark_y_26;landmark_z_26;landmark_x_27;landmark_y_27;landmark_z_27;landmark_x_28;landmark_y_28;landmark_z_28;landmark_x_29;landmark_y_29;landmark_z_29;landmark_x_30;landmark_y_30;landmark_z_30;landmark_x_31;landmark_y_31;landmark_z_31;landmark_x_32;landmark_y_32;landmark_z_32;landmark_x_33;landmark_y_33;landmark_z_33;landmark_x_34;landmark_y_34;landmark_z_34;landmark_x_35;landmark_y_35;landmark_z_35;landmark_x_36;landmark_y_36;landmark_z_36;landmark_x_37;landmark_y_37;landmark_z_37;landmark_x_38;landmark_y_38;landmark_z_38;landmark_x_39;landmark_y_39;landmark_z_39;landmark_x_40;landmark_y_40;landmark_z_40;landmark_x_41;landmark_y_41;landmark_z_41;landmark_x_42;landmark_y_42;landmark_z_42
0.444811;0.31061;0.620401;1.01254;8.46507e-06;0.571236;1.00108;-0.0317835;0.541071;0.978935;-0.0608198;0.527111;0.969245;-0.0879139;0.526085;0.96685;-0.116903;0.549454;0.887109;-0.0634723;0.528587;0.827493;-0.0846456;0.51239;0.802002;-0.10165;0.501125;0.781315;-0.113398;0.579202;0.884499;-0.0602513;0.571038;0.836429;-0.0853087;0.557002;0.822194;-0.103261;0.550456;0.811676;-0.116524;0.607872;0.898902;-0.0565093;0.580288;0.926413;-0.0822772;0.566746;0.959567;-0.0860666;0.566385;0.97858;-0.0862087;0.628339;0.925781;-0.0547567;0.599114;0.954958;-0.0739405;0.585671;0.980428;-0.0816614;0.582692;0.997094;-0.0847403;0.359532;0.962769;1.44427e-05;0.405296;0.956898;-0.0334542;0.430576;0.944006;-0.0706835;0.437461;0.937567;-0.10225;0.435353;0.93372;-0.123375;0.415118;0.864891;-0.0826515;0.431436;0.805186;-0.114138;0.43963;0.772404;-0.135825;0.447608;0.740608;-0.155825;0.386713;0.862304;-0.0879528;0.392258;0.826625;-0.130765;0.400865;0.807025;-0.155825;0.409423;0.78919;-0.17446;0.362005;0.879341;-0.0917279;0.384489;0.913181;-0.137913;0.39842;0.947284;-0.140644;0.406133;0.967211;-0.135182;0.343632;0.909708;-0.0978324;0.363591;0.950244;-0.128997;0.376595;0.975069;-0.130202;0.383681;0.991721;-0.123937
0.442459;0.314363;0.612513;0.979198;1.08954e-05;0.562121;0.963698;-0.0137306;0.531691;0.937764;-0.0382235;0.517496;0.928657;-0.0669744;0.502113;0.927635;-0.0967705;0.536835;0.860302;-0.0447386;0.520626;0.815405;-0.0769361;0.508757;0.779975;-0.10104;0.499044;0.746094;-0.121408;0.564743;0.85428;-0.0605705;0.562269;0.810139;-0.0916118;0.552535;0.771776;-0.115093;0.541382;0.734296;-0.136528;0.592477;0.868209;-0.0764469;0.571646;0.872094;-0.115449;0.550673;0.908587;-0.120963;0.537821;0.93536;-0.121408;0.615677;0.896058;-0.0934796;0.595017;0.908362;-0.121853;0.572844;0.933828;-0.1271;0.556337;0.955505;-0.128879;0.364313;0.955911;1.9139e-05;0.398753;0.95743;-0.0269833;0.428934;0.931382;-0.0588141;0.439057;0.904045;-0.0911182;0.438433;0.883151;-0.117174;0.41549;0.854493;-0.0504066;0.428325;0.79846;-0.081196;0.438545;0.761498;-0.0963445;0.448026;0.732805;-0.106797;0.389773;0.846774;-0.0644947;0.395678;0.793279;-0.105055;0.406449;0.751788;-0.131035;0.416777;0.71933;-0.150425;0.364799;0.856887;-0.0799083;0.390652;0.871446;-0.130807;0.401856;0.908372;-0.123233;0.405383;0.937986;-0.108388;0.344893;0.878761;-0.0973291;0.367709;0.902319;-0.131337;0.377898;0.932293;-0.121415;0.381732;0.955993;-0.106267
0.441614;0.315127;0.595919;0.950145;1.07723e-05;0.554761;0.935733;-0.0179175;0.52288;0.910426;-0.0388619;0.509017;0.893749;-0.0602126;0.500508;0.883485;-0.0828024;0.534062;0.839678;-0.0424982;0.527042;0.794739;-0.0734983;0.517637;0.763024;-0.095885;0.508083;0.738691;-0.111487;0.558064;0.837096;-0.0513554;0.558101;0.793978;-0.0797959;0.548284;0.768984;-0.0974289;0.538954;0.752971;-0.109862;0.582867;0.850928;-0.0621628;0.570874;0.844115;-0.098079;0.553334;0.87029;-0.108643;0.54366;0.895699;-0.111893;0.606697;0.873401;-0.0745547;0.597655;0.868816;-0.103848;0.580611;0.887374;-0.117012;0.568821;0.906921;-0.125463;0.363502;0.939533;2.02642e-05;0.401483;0.934118;-0.0165195;0.432811;0.905443;-0.0423294;0.442015;0.874923;-0.0723506;0.438753;0.846498;-0.0987818;0.418729;0.823611;-0.0230583;0.427951;0.775127;-0.0478524;0.435517;0.742078;-0.0605157;0.442002;0.715066;-0.0674983;0.393211;0.817456;-0.0394496;0.397;0.765674;-0.0743625;0.40226;0.724959;-0.0992552;0.408277;0.690373;-0.116929;0.36946;0.826588;-0.0579909;0.387563;0.826416;-0.104384;0.403362;0.864108;-0.110538;0.411652;0.896404;-0.107303;0.349025;0.845223;-0.0770056;0.366559;0.856047;-0.114325;0.380599;0.888722;-0.120242;0.389912;0.917923;-0.119059
0.442785;0.314972;0.588609;0.924306;1.00883e-05;0.54447;0.907172;-0.0173863;0.513258;0.878656;-0.0364427;0.497186;0.859703;-0.0532566;0.490311;0.851673;-0.0722098;0.538253;0.814193;-0.0467637;0.540049;0.771566;-0.0776893;0.537085;0.740416;-0.101559;0.532532;0.716148;-0.118748;0.560003;0.814758;-0.0534067;0.554046;0.79867;-0.0936776;0.539867;0.825367;-0.10809;0.53161;0.850452;-0.115746;0.581436;0.829711;-0.0620014;0.572723;0.824397;-0.101334;0.557295;0.849393;-0.113344;0.551049;0.87245;-0.119349;0.602406;0.850591;-0.071872;0.596326;0.846392;-0.103961;0.580633;0.864498;-0.117472;0.571072;0.88007;-0.12723;0.371085;0.918253;2.04935e-05;0.407137;0.907291;-0.00838787;0.435008;0.877182;-0.0305013;0.44333;0.845649;-0.0590807;0.438321;0.812122;-0.084401;0.422144;0.794151;-0.00530379;0.430904;0.744835;-0.0279735;0.436713;0.710422;-0.0398189;0.441319;0.680724;-0.0455849;0.397117;0.788456;-0.0234192;0.400755;0.735971;-0.0522283;0.402975;0.6932;-0.0724511;0.40633;0.655114;-0.0869079;0.373781;0.797179;-0.0441643;0.392066;0.792757;-0.0851948;0.406944;0.82718;-0.0929246;0.415234;0.855039;-0.0920054;0.354909;0.814703;-0.0646378;0.374131;0.822945;-0.0966851;0.387608;0.854002;-0.103705;0.396984;0.880094;-0.105125
0.442123;0.315358;0.575976;0.900353;9.09172e-06;0.535346;0.878282;-0.0171974;0.506681;0.848286;-0.0350556;0.491846;0.829701;-0.0530422;0.482939;0.82125;-0.0752502;0.529826;0.789858;-0.0411123;0.532254;0.749933;-0.0775995;0.530385;0.71674;-0.106011;0.525631;0.690877;-0.123998;0.553238;0.790078;-0.0484538;0.550638;0.762023;-0.0906673;0.536991;0.772505;-0.108727;0.525947;0.787062;-0.116362;0.576535;0.80509;-0.0586951;0.571544;0.789426;-0.098229;0.55594;0.811589;-0.110416;0.548171;0.835477;-0.114821;0.598796;0.826428;-0.0699643;0.596459;0.814566;-0.104469;0.581451;0.828783;-0.118198;0.572421;0.844785;-0.12598;0.375777;0.897493;2.04062e-05;0.410742;0.887623;-0.00743623;0.437967;0.855656;-0.0296135;0.444703;0.823524;-0.0591832;0.440123;0.788436;-0.0853798;0.425104;0.766343;-0.00210821;0.434745;0.715498;-0.0261309;0.440995;0.680128;-0.0361189;0.445804;0.648164;-0.0382216;0.39913;0.760059;-0.0216406;0.40249;0.704108;-0.0514732;0.404033;0.659949;-0.0696093;0.405696;0.620771;-0.0813496;0.375497;0.769688;-0.0436318;0.397001;0.761885;-0.085336;0.412755;0.796091;-0.0924327;0.420725;0.822642;-0.0909433;0.356936;0.788097;-0.0654476;0.380262;0.79417;-0.0950611;0.394362;0.824461;-0.102859;0.403374;0.849168;-0.106188
0.442365;0.31511;0.564545;0.880786;9.96415e-06;0.527159;0.862588;-0.0197739;0.500745;0.832686;-0.0381019;0.486385;0.813041;-0.0566829;0.478432;0.800024;-0.0790235;0.526787;0.771317;-0.0374874;0.52964;0.730901;-0.0726611;0.528033;0.695789;-0.0994843;0.521126;0.668522;-0.116619;0.54993;0.771829;-0.0452957;0.548572;0.732252;-0.0902299;0.53443;0.73249;-0.115173;0.520457;0.741405;-0.128115;0.571738;0.784957;-0.0558515;0.566829;0.758034;-0.0988336;0.549098;0.780886;-0.11286;0.538411;0.80884;-0.116836;0.592224;0.804842;-0.0678171;0.588948;0.782751;-0.104545;0.572985;0.798677;-0.11915;0.56347;0.81945;-0.126235;0.37852;0.88207;2.18875e-05;0.414259;0.871651;-0.00871416;0.442318;0.837986;-0.034113;0.449221;0.80206;-0.0667389;0.444936;0.765421;-0.0962044;0.425043;0.746742;-0.00619287;0.433374;0.690067;-0.0339969;0.436892;0.652552;-0.0461037;0.439133;0.617892;-0.0499147;0.399833;0.740232;-0.0267932;0.405802;0.676688;-0.0566537;0.411094;0.627581;-0.0726878;0.414704;0.588273;-0.0819829;0.378002;0.751111;-0.0502865;0.404633;0.738195;-0.0929046;0.421988;0.774006;-0.0954608;0.429433;0.804109;-0.0916498;0.361832;0.770931;-0.0745932;0.38957;0.77315;-0.104012;0.403859;0.804313;-0.110147;0.410412;0.830869;-0.113772
0.442823;0.317101;0.557275;0.86662;9.84952e-06;0.524114;0.853993;-0.0189831;0.498015;0.821606;-0.0362732;0.482329;0.796926;-0.0560128;0.472545;0.776863;-0.0807593;0.523189;0.7582;-0.0260252;0.521502;0.716788;-0.0588585;0.517092;0.684741;-0.0846496;0.507987;0.661809;-0.100787;0.545057;0.756069;-0.0350305;0.546409;0.710845;-0.0757163;0.537583;0.699847;-0.107559;0.526655;0.698877;-0.127587;0.566668;0.767063;-0.0466833;0.560843;0.732477;-0.0886119;0.543237;0.750662;-0.111305;0.531479;0.777856;-0.121247;0.587005;0.785648;-0.0589665;0.581586;0.760578;-0.0952398;0.565566;0.771718;-0.114331;0.554649;0.791585;-0.125642;0.380904;0.871513;2.06304e-05;0.416164;0.863737;-0.00852055;0.443835;0.828368;-0.0350694;0.451386;0.791543;-0.0690528;0.449553;0.7558;-0.0996552;0.437195;0.735242;-0.0101;0.450433;0.672152;-0.0352421;0.46;0.632835;-0.0443982;0.466868;0.598238;-0.0458542;0.409924;0.726029;-0.0307258;0.413451;0.655525;-0.0568119;0.420106;0.60972;-0.0707804;0.423369;0.575436;-0.079122;0.384613;0.736225;-0.0538503;0.410702;0.725713;-0.0884014;0.424811;0.764974;-0.0879572;0.428373;0.793997;-0.0837617;0.366447;0.756222;-0.0787765;0.395246;0.764473;-0.101975;0.407389;0.797894;-0.105035;0.41189;0.823093;-0.10622
0.442797;0.315329;0.552108;0.852154;7.54952e-06;0.520475;0.842596;-0.0195233;0.494691;0.810035;-0.0394959;0.480259;0.784534;-0.0648406;0.469315;0.761717;-0.0929182;0.517322;0.739907;-0.0225557;0.509058;0.691014;-0.0476197;0.504492;0.657487;-0.0629688;0.497788;0.628575;-0.0712049;0.541397;0.73743;-0.0359206;0.540956;0.689127;-0.0634554;0.535982;0.653096;-0.0868535;0.526902;0.622477;-0.10385;0.564447;0.750351;-0.0521495;0.556079;0.716426;-0.0941162;0.53698;0.736956;-0.116204;0.522214;0.765168;-0.125413;0.585504;0.772322;-0.0692956;0.577425;0.751506;-0.105572;0.559534;0.765651;-0.124141;0.544615;0.785653;-0.134922;0.377527;0.864608;2.14549e-05;0.414014;0.854301;-0.0067934;0.442826;0.819744;-0.029198;0.451695;0.784876;-0.0593303;0.457326;0.750641;-0.0861665;0.441274;0.730969;-0.00728652;0.455048;0.66286;-0.0294316;0.464048;0.626546;-0.0368024;0.471713;0.595771;-0.0371658;0.414199;0.719029;-0.0268621;0.417051;0.647075;-0.0468465;0.422758;0.603438;-0.0539319;0.426378;0.570982;-0.0586036;0.388131;0.727357;-0.0505839;0.413907;0.71754;-0.0841421;0.425996;0.755281;-0.0863741;0.430293;0.784942;-0.0840383;0.368865;0.744778;-0.0754735;0.396331;0.757324;-0.0985205;0.406608;0.790135;-0.103971;0.410406;0.814779;-0.107449
0.443686;0.314622;0.552784;0.838882;7.57098e-06;0.519342;0.834477;-0.0210199;0.492865;0.805242;-0.0441555;0.477047;0.783406;-0.0711111;0.467008;0.761819;-0.097244;0.512328;0.725859;-0.0344585;0.502555;0.671808;-0.0601017;0.496821;0.633023;-0.0747549;0.489408;0.602185;-0.0837662;0.536287;0.723247;-0.0475641;0.537386;0.662774;-0.0758911;0.534744;0.619441;-0.102337;0.529227;0.582853;-0.123259;0.560462;0.738807;-0.0620215;0.552203;0.706453;-0.108136;0.530711;0.730803;-0.133054;0.515756;0.759232;-0.143633;0.5822;0.764239;-0.0760478;0.570928;0.752564;-0.117382;0.551606;0.769451;-0.137364;0.537045;0.789716;-0.148256;0.379953;0.861778;2.217e-05;0.416455;0.850704;-0.00890046;0.443899;0.815073;-0.0293807;0.451826;0.778833;-0.0575066;0.455123;0.742676;-0.0826004;0.442689;0.726586;-0.00465934;0.456739;0.656926;-0.022702;0.465015;0.618013;-0.0306615;0.471739;0.586352;-0.0337721;0.414913;0.71491;-0.0225975;0.417536;0.64523;-0.0431561;0.42402;0.603352;-0.0527493;0.428366;0.572648;-0.0586045;0.388025;0.722793;-0.0452995;0.413046;0.71392;-0.0797251;0.425274;0.750358;-0.0826004;0.428923;0.778297;-0.0794114;0.367904;0.740337;-0.0690602;0.395257;0.754297;-0.0924288;0.40582;0.78594;-0.0965588;0.408894;0.808647;-0.0981272
0.445097;0.313964;0.552634;0.836339;9.14972e-06;0.520707;0.830016;-0.0226218;0.493708;0.801964;-0.0458784;0.478015;0.778484;-0.0727537;0.469124;0.754319;-0.0973435;0.509666;0.714385;-0.0261346;0.499955;0.659973;-0.0443971;0.494322;0.622848;-0.0582368;0.488324;0.593044;-0.0692832;0.533655;0.711846;-0.0397416;0.530591;0.64731;-0.064289;0.528868;0.603956;-0.088371;0.5258;0.56924;-0.107078;0.55826;0.727919;-0.0561207;0.544226;0.698389;-0.0981053;0.525952;0.726021;-0.126208;0.51591;0.754708;-0.137551;0.58079;0.752361;-0.0726267;0.563998;0.741502;-0.112072;0.546189;0.762018;-0.133826;0.534407;0.784076;-0.143984;0.378008;0.857297;2.22857e-05;0.414798;0.846142;-0.0112151;0.442484;0.81227;-0.0338535;0.451474;0.778112;-0.0632834;0.459936;0.743255;-0.0902933;0.441068;0.722432;-0.0128935;0.455205;0.654762;-0.0314075;0.464991;0.616687;-0.0403588;0.473091;0.585412;-0.0447303;0.413424;0.71154;-0.030861;0.416238;0.643208;-0.0540719;0.422918;0.599264;-0.0676029;0.427777;0.56656;-0.0778031;0.386819;0.719463;-0.053031;0.411132;0.710881;-0.0884198;0.423919;0.745629;-0.0933638;0.428609;0.773418;-0.0923229;0.366606;0.737686;-0.0765021;0.39286;0.751356;-0.10143;0.40398;0.782212;-0.107415;0.407817;0.804949;-0.110746
