face_x;face_y;landmark_x_1;landmark_y_1;landmark_z_1;landmark_x_2;landmark_y_2;landmark_z_2;landmark_x_3;landmark_y_3;landmark_z_3;landmark_x_4;landmark_y_4;landmark_z_4;landmark_x_5;landmark_y_5;landmark_z_5;landmark_x_6;landmark_y_6;landmark_z_6;landmark_x_7;landmark_y_7;landmark_z_7;landmark_x_8;landmark_y_8;landmark_z_8;landmark_x_9;landmark_y_9;landmark_z_9;landmark_x_10;landmark_y_10;landmark_z_10;landmark_x_11;landmark_y_11;landmark_z_11;landmark_x_12;landmark_y_12;landmark_z_12;landmark_x_13;landmark_y_13;landmark_z_13;landmark_x_14;landmark_y_14;landmark_z_14;landmark_x_15;landmark_y_15;landmark_z_15;landmark_x_16;landmark_y_16;landmark_z_16;landmark_x_17;landmark_y_17;landmark_z_17;landmark_x_18;landmark_y_18;landmark_z_18;landmark_x_19;landmark_y_19;landmark_z_19;landmark_x_20;landmark_y_20;landmark_z_20;landmark_x_21;landmark_y_21;landmark_z_21;landmark_x_22;landmark_y_22;landmark_z_22;landmark_x_23;landmark_y_23;landmark_z_23;landmark_x_24;landmark_y_24;landmark_z_24;landmark_x_25;landmark_y_25;landmark_z_25;landmark_x_26;landmark_y_26;landmark_z_26;landmark_x_27;landmark_y_27;landmark_z_27;landmark_x_28;landmark_y_28;landmark_z_28;landmark_x_29;landmark_y_29;landmark_z_29;landmark_x_30;landmark_y_30;landmark_z_30;landmark_x_31;landmark_y_31;landmark_z_31;landmark_x_32;landmark_y_32;landmark_z_32;landmark_x_33;landmark_y_33;landmark_z_33;landmark_x_34;landmark_y_34;landmark_z_34;landmark_x_35;landmark_y_35;landmark_z_35;landmark_x_36;landmark_y_36;landmark_z_36;landmark_x_37;landmark_y_37;landmark_z_37;landmark_x_38;landmark_y_38;landmark_z_38;landmark_x_39;landmark_y_39;landmark_z_39;landmark_x_40;landmark_y_40;landmark_z_40;landmark_x_41;landmark_y_41;landmark_z_41;landmark_x_42;landmark_y_42;landmark_z_42
0.438268;0.18813;0.782187;0.846338;2.1882e-05;0.767385;0.886197;-0.0775652;0.767932;0.91964;-0.137789;0.783271;0.939341;-0.18331;0.800439;0.954933;-0.225062;0.829843;0.882495;-0.156733;0.866322;0.916338;-0.196787;0.873869;0.935515;-0.21394;0.871961;0.943065;-0.220726;0.857006;0.860326;-0.132794;0.896191;0.902734;-0.175393;0.893266;0.919433;-0.186232;0.883785;0.922435;-0.192546;0.873856;0.843842;-0.107913;0.908843;0.882878;-0.134962;0.904747;0.899142;-0.133077;0.896691;0.903036;-0.128647;0.881737;0.827819;-0.0883093;0.911786;0.859171;-0.109515;0.909176;0.874407;-0.115735;0.901559;0.880523;-0.11762
0.440837;0.195639;0.782934;0.837707;1.35785e-05;0.80897;0.830665;-0.0591343;0.83258;0.825105;-0.111513;0.858096;0.828648;-0.152324;0.873933;0.829127;-0.187675;0.839615;0.8427;-0.167038;0.855219;0.87012;-0.239128;0.848792;0.859952;-0.275405;0.843288;0.839585;-0.300206;0.826995;0.8629;-0.15908;0.842886;0.89668;-0.236907;0.83282;0.884336;-0.269852;0.821118;0.858148;-0.2978;0.812357;0.881171;-0.149178;0.828464;0.914397;-0.207664;0.816457;0.893242;-0.224137;0.802514;0.859478;-0.237833;0.798567;0.893624;-0.143533;0.803059;0.921174;-0.194708;0.796058;0.903286;-0.228579;0.78763;0.872298;-0.258007
0.435351;0.229435;0.701615;0.668424;1.3234e-05;0.680522;0.649991;-0.0314509;0.674544;0.614709;-0.0540686;0.675587;0.584923;-0.0701132;0.682045;0.563101;-0.083639;0.701234;0.576317;-0.0752889;0.70437;0.53379;-0.106757;0.702388;0.502264;-0.121525;0.700776;0.473959;-0.130427;0.711104;0.577536;-0.0708723;0.702328;0.545272;-0.101857;0.695945;0.550455;-0.116418;0.69475;0.551899;-0.1316;0.714855;0.588405;-0.0658692;0.699203;0.564274;-0.0932312;0.691684;0.581296;-0.0921271;0.691087;0.594604;-0.0921271;0.714146;0.602583;-0.0629708;0.700099;0.583376;-0.0830869;0.691952;0.591814;-0.0879176;0.689274;0.603449;-0.0907469;0.30091;0.627238;1.33264e-05;0.295168;0.574324;-0.0238621;0.2911;0.515779;-0.045092;0.295819;0.471723;-0.065502;0.302867;0.435174;-0.0812519;0.275732;0.510997;-0.0822875;0.268024;0.46327;-0.115384;0.267859;0.434069;-0.138253;0.268997;0.408659;-0.156463;0.287852;0.527956;-0.089062;0.290972;0.483627;-0.12876;0.294067;0.450727;-0.155772;0.297506;0.417806;-0.178814;0.301432;0.555331;-0.0931182;0.308793;0.523923;-0.134801;0.312807;0.495666;-0.162331;0.31592;0.4694;-0.182094;0.314197;0.589205;-0.0965702;0.3191;0.574902;-0.129968;0.319395;0.559218;-0.151457;0.320837;0.544756;-0.167941
0.440565;0.224852;0.683847;0.667846;1.36976e-05;0.685496;0.62459;-0.016631;0.682207;0.58986;-0.0270982;0.678528;0.564104;-0.0335209;0.672237;0.544189;-0.0377272;0.699718;0.581259;-0.0439396;0.694515;0.546361;-0.0596323;0.682986;0.524982;-0.0706657;0.669753;0.507467;-0.0772664;0.694928;0.58814;-0.0399921;0.691782;0.55239;-0.0585969;0.678855;0.529744;-0.0763604;0.667495;0.514023;-0.0922149;0.687781;0.596869;-0.0345887;0.683526;0.564765;-0.0506373;0.672209;0.546826;-0.0615737;0.663049;0.539104;-0.0711834;0.67796;0.60809;-0.0294117;0.676514;0.585334;-0.0396362;0.670306;0.572036;-0.04834;0.66502;0.566463;-0.0553613;0.319238;0.619907;1.32186e-05;0.327136;0.589388;-0.034086;0.333125;0.54822;-0.0654529;0.331113;0.519246;-0.0909484;0.328224;0.501145;-0.11404;0.318102;0.495229;-0.0791267;0.308489;0.445413;-0.119951;0.305351;0.406887;-0.152421;0.304658;0.368452;-0.177168;0.308403;0.504235;-0.0840918;0.301615;0.460331;-0.127123;0.300964;0.424169;-0.159593;0.299765;0.395539;-0.181266;0.302189;0.527106;-0.0882688;0.301936;0.502757;-0.127596;0.309113;0.513542;-0.140521;0.312669;0.528927;-0.147062;0.298709;0.55813;-0.0962288;0.29764;0.539263;-0.129724;0.303444;0.542517;-0.147929;0.305975;0.553021;-0.158963
0.436226;0.22583;0.674987;0.658973;1.4484e-05;0.688081;0.615251;-0.0188315;0.688512;0.586196;-0.0426262;0.691276;0.569263;-0.0636474;0.689;0.562087;-0.0849021;0.674344;0.58071;-0.0889896;0.672109;0.556024;-0.125543;0.668595;0.534198;-0.145046;0.666276;0.513381;-0.15614;0.670005;0.595564;-0.0920843;0.668964;0.570463;-0.131616;0.668102;0.550463;-0.154856;0.669567;0.528292;-0.176111;0.66795;0.616459;-0.091734;0.670568;0.594179;-0.125543;0.671283;0.579104;-0.139557;0.672093;0.562598;-0.150768;0.666967;0.637858;-0.0905662;0.668764;0.627149;-0.118653;0.668242;0.616401;-0.136988;0.668649;0.606883;-0.151352;0.338879;0.607052;1.69851e-05;0.366814;0.568589;-0.0153904;0.379037;0.526661;-0.0412227;0.371908;0.493553;-0.0681034;0.360965;0.466183;-0.0885679;0.345741;0.468225;-0.0370501;0.346743;0.415591;-0.0663421;0.348446;0.376945;-0.0868905;0.351507;0.339887;-0.103497;0.324436;0.474832;-0.0496936;0.32695;0.427049;-0.0855905;0.327822;0.386642;-0.111381;0.328127;0.353555;-0.129665;0.308494;0.496176;-0.0620646;0.328574;0.471206;-0.0967034;0.346804;0.49085;-0.103161;0.357133;0.512822;-0.10702;0.298083;0.525026;-0.0767002;0.319052;0.505501;-0.107439;0.336954;0.513845;-0.119936;0.348393;0.530057;-0.129245
0.439332;0.232538;0.675196;0.636676;1.18089e-05;0.672554;0.614107;-0.0134593;0.667174;0.601109;-0.0252981;0.665074;0.593953;-0.0338709;0.663125;0.589481;-0.0403532;0.657086;0.608538;-0.0506703;0.657447;0.604674;-0.0753622;0.655966;0.599507;-0.0892669;0.654608;0.59162;-0.0974315;0.662811;0.613538;-0.0500023;0.662317;0.606602;-0.0691769;0.660276;0.599173;-0.0842196;0.659288;0.585301;-0.0985202;0.670885;0.620256;-0.0479488;0.672162;0.611399;-0.0616555;0.66848;0.603807;-0.073185;0.66771;0.592452;-0.0839722;0.678495;0.628836;-0.0461921;0.682253;0.622422;-0.0590329;0.680703;0.617422;-0.0704634;0.68189;0.611758;-0.08036;0.35071;0.596985;1.73784e-05;0.383754;0.55672;0.00346823;0.401448;0.513096;-0.019636;0.400562;0.476702;-0.0524548;0.38469;0.45511;-0.0845719;0.372828;0.449532;0.00231071;0.378731;0.396653;-0.0130792;0.383176;0.360085;-0.0198086;0.387354;0.331095;-0.0238577;0.350433;0.451411;-0.0189343;0.349619;0.396777;-0.0394561;0.351944;0.355442;-0.0490498;0.35346;0.326588;-0.0526849;0.333428;0.468263;-0.0411816;0.358768;0.444254;-0.0686053;0.371856;0.470611;-0.0736208;0.375399;0.496617;-0.0763355;0.324607;0.491061;-0.0633139;0.352811;0.479115;-0.0854921;0.367288;0.498681;-0.0961671;0.372778;0.520471;-0.105922
0.444189;0.225634;0.680437;0.631348;4.43944e-06;0.675259;0.618918;0.00406084;0.670506;0.609771;0.00607843;0.666283;0.603333;0.00720273;0.662938;0.59651;0.00831677;0.667704;0.605377;0.00365527;0.66157;0.598493;0.00423026;0.65741;0.596526;0.00333698;0.654993;0.596413;0.00356543;0.668303;0.609222;0.00209459;0.661166;0.60241;0.00221524;0.656188;0.600559;0.000969006;0.65298;0.599924;0.000433165;0.669102;0.613839;0.00102355;0.662622;0.608366;0.000335944;0.657764;0.607363;-0.00103125;0.654852;0.607682;-0.00140153;0.66982;0.619144;0.000135725;0.664239;0.615133;-0.000281076;0.660792;0.613307;-0.000945904;0.659023;0.612863;-0.000778414;0.367119;0.587566;2.08166e-05;0.403942;0.546768;0.0116932;0.424919;0.502883;-0.00396895;0.430889;0.467218;-0.0330756;0.417184;0.445772;-0.0625885;0.398467;0.43525;0.0241568;0.401139;0.387421;0.0110673;0.403077;0.355143;0.0011961;0.405909;0.327037;-0.00414348;0.376273;0.436287;-1.40109e-05;0.378813;0.385478;-0.0145518;0.383879;0.347182;-0.0258539;0.388556;0.319409;-0.0294647;0.358583;0.452895;-0.0258057;0.380226;0.422885;-0.049156;0.395964;0.440249;-0.060422;0.405168;0.466051;-0.0657179;0.348618;0.477002;-0.0505041;0.375316;0.461029;-0.0705324;0.392163;0.474402;-0.0819428;0.402784;0.496012;-0.0895497
0.436467;0.244126;0.383861;0.579957;1.99082e-05;0.42025;0.541598;0.0115954;0.44367;0.501215;-0.00215212;0.450158;0.468617;-0.0286788;0.441053;0.451463;-0.056192;0.423854;0.431745;0.0224015;0.430043;0.383294;0.0132102;0.435995;0.353907;0.00883312;0.442749;0.328678;0.00927022;0.401474;0.428137;1.81533e-05;0.401365;0.375991;-0.00771001;0.406085;0.341874;-0.013793;0.410789;0.316963;-0.0145458;0.382724;0.441837;-0.0245142;0.40392;0.415434;-0.0429089;0.416599;0.432822;-0.0535208;0.421821;0.454177;-0.0581347;0.369904;0.465637;-0.0480813;0.395766;0.456253;-0.0668767;0.408481;0.473126;-0.0803784;0.413783;0.493346;-0.0879062
0.449732;0.273214;0.420311;0.546019;1.64812e-05;0.44706;0.538405;0.00130374;0.471292;0.501592;-0.00991118;0.477332;0.469427;-0.0285479;0.473993;0.44758;-0.0463139;0.452808;0.44277;0.0155985;0.460369;0.395961;0.00850787;0.4674;0.366099;0.00223349;0.473161;0.341212;-0.0028321;0.433839;0.437191;-0.000400036;0.437529;0.381424;-0.00659047;0.445873;0.346116;-0.0138108;0.451757;0.319816;-0.0227309;0.416447;0.447694;-0.0193592;0.434869;0.41316;-0.0381627;0.451198;0.427081;-0.0506489;0.459202;0.443368;-0.0588742;0.402809;0.463715;-0.0371993;0.42606;0.451737;-0.0552062;0.438418;0.469418;-0.0634686;0.442718;0.487117;-0.0713975;0.562181;0.529305;9.56686e-06;0.530732;0.523796;0.0041659;0.512614;0.489001;-0.000323397;0.503929;0.457774;-0.0112531;0.505015;0.433782;-0.0228424;0.540289;0.439484;0.00609478;0.537836;0.395037;-0.000533243;0.533325;0.357709;-0.00562656;0.528509;0.328157;-0.0115252;0.55448;0.435112;-0.00792761;0.544693;0.387218;-0.0253075;0.528186;0.369003;-0.0367527;0.518836;0.358718;-0.0445643;0.567042;0.441817;-0.0210976;0.537954;0.423321;-0.0386416;0.529172;0.450059;-0.0382894;0.534477;0.471271;-0.0376171;0.575059;0.45419;-0.0348959;0.545565;0.446964;-0.0471255;0.540164;0.470602;-0.0488222;0.546885;0.488421;-0.05276
0.443424;0.270038;0.420338;0.550329;1.67458e-05;0.448383;0.540497;0.000826978;0.471309;0.50049;-0.009276;0.47585;0.464368;-0.0254348;0.472013;0.438095;-0.0396159;0.455946;0.440985;0.00862332;0.462546;0.391295;-0.000705219;0.467287;0.360448;-0.00717456;0.470894;0.334261;-0.0119362;0.436828;0.43587;-0.00631915;0.439539;0.37772;-0.0159215;0.448302;0.341267;-0.0230614;0.454327;0.313337;-0.0315661;0.418631;0.44657;-0.0242086;0.436189;0.416008;-0.0458064;0.453048;0.43473;-0.054944;0.460288;0.452809;-0.0602841;0.404816;0.462505;-0.0408619;0.428002;0.453925;-0.0574361;0.440612;0.473187;-0.0611544;0.443626;0.490181;-0.0660989;0.564093;0.535877;9.729e-06;0.531088;0.525383;0.00827647;0.511471;0.490918;0.00327174;0.50252;0.459466;-0.00941614;0.505886;0.435389;-0.0242446;0.536903;0.439594;0.00962956;0.533527;0.392225;0.00385438;0.529019;0.353801;-0.00564712;0.524428;0.323129;-0.0172273;0.551358;0.436948;-0.00628312;0.537556;0.394231;-0.0225543;0.520922;0.390912;-0.0311424;0.512528;0.393042;-0.0367767;0.563535;0.443978;-0.0219909;0.535728;0.423861;-0.0350352;0.527441;0.449522;-0.0340108;0.532361;0.468405;-0.0346084;0.571162;0.455539;-0.0382792;0.540376;0.445869;-0.0498552;0.53472;0.468327;-0.0536114;0.541797;0.484229;-0.0601677
