face_x;face_y;landmark_x_1;landmark_y_1;landmark_z_1;landmark_x_2;landmark_y_2;landmark_z_2;landmark_x_3;landmark_y_3;landmark_z_3;landmark_x_4;landmark_y_4;landmark_z_4;landmark_x_5;landmark_y_5;landmark_z_5;landmark_x_6;landmark_y_6;landmark_z_6;landmark_x_7;landmark_y_7;landmark_z_7;landmark_x_8;landmark_y_8;landmark_z_8;landmark_x_9;landmark_y_9;landmark_z_9;landmark_x_10;landmark_y_10;landmark_z_10;landmark_x_11;landmark_y_11;landmark_z_11;landmark_x_12;landmark_y_12;landmark_z_12;landmark_x_13;landmark_y_13;landmark_z_13;landmark_x_14;landmark_y_14;landmark_z_14;landmark_x_15;landmark_y_15;landmark_z_15;landmark_x_16;landmark_y_16;landmark_z_16;landmark_x_17;landmark_y_17;landmark_z_17;landmark_x_18;landmark_y_18;landmark_z_18;landmark_x_19;landmark_y_19;landmark_z_19;landmark_x_20;landmark_y_20;landmark_z_20;landmark_x_21;landmark_y_21;landmark_z_21;landmark_x_22;landmark_y_22;landmark_z_22;landmark_x_23;landmark_y_23;landmark_z_23;landmark_x_24;landmark_y_24;landmark_z_24;landmark_x_25;landmark_y_25;landmark_z_25;landmark_x_26;landmark_y_26;landmark_z_26;landmark_x_27;landmark_y_27;landmark_z_27;landmark_x_28;landmark_y_28;landmark_z_28;landmark_x_29;landmark_y_29;landmark_z_29;landmark_x_30;landmark_y_30;landmark_z_30;landmark_x_31;landmark_y_31;landmark_z_31;landmark_x_32;landmark_y_32;landmark_z_32;landmark_x_33;landmark_y_33;landmark_z_33;landmark_x_34;landmark_y_34;landmark_z_34;landmark_x_35;landmark_y_35;landmark_z_35;landmark_x_36;landmark_y_36;landmark_z_36;landmark_x_37;landmark_y_37;landmark_z_37;landmark_x_38;landmark_y_38;landmark_z_38;landmark_x_39;landmark_y_39;landmark_z_39;landmark_x_40;landmark_y_40;landmark_z_40;landmark_x_41;landmark_y_41;landmark_z_41;landmark_x_42;landmark_y_42;landmark_z_42
0.460938;0.311039;0.107421;0.887304;4.12373e-05;0.156133;0.856202;-0.0355356;0.171836;0.804924;-0.046217;0.168463;0.739277;-0.0509551;0.1598;0.668261;-0.0458845;0.145697;0.66919;-0.0130401;0.160716;0.596448;-0.0328756;0.166815;0.600053;-0.0408347;0.170714;0.617114;-0.036824;0.115463;0.652233;-0.00653563;0.134511;0.572436;-0.0190042;0.145551;0.597013;-0.0231293;0.148055;0.62612;-0.0220902;0.0941742;0.653803;-0.00513811;0.111604;0.57807;-0.0212798;0.127416;0.605707;-0.0191497;0.134161;0.637692;-0.00993333;0.0749431;0.668517;-0.00949693;0.0949285;0.612314;-0.0112737;0.11136;0.623643;-0.0201368;0.115495;0.646204;-0.0210408;0.423676;0.975847;2.40024e-05;0.364707;0.931492;0.0102054;0.319405;0.907104;0.035906;0.286029;0.902898;0.0595685;0.266109;0.900373;0.0854294;0.302644;0.885527;0.0835974;0.254994;0.876698;0.113824;0.23554;0.889795;0.122984;0.233697;0.907574;0.130922;0.312869;0.906503;0.086956;0.265631;0.904878;0.118649;0.24802;0.922429;0.126159;0.249266;0.935381;0.1308;0.32358;0.929408;0.0856126;0.286561;0.925825;0.104237;0.268552;0.940793;0.101489;0.267876;0.953864;0.10039;0.336955;0.954677;0.0833532;0.305347;0.954466;0.0978865;0.289533;0.961207;0.0998406;0.286256;0.967753;0.102955
0.463;0.313469;0.149369;0.919675;3.8907e-05;0.194723;0.843707;-0.0057368;0.203675;0.768087;-0.000708824;0.194907;0.698177;0.00891971;0.188185;0.647673;0.0253119;0.132469;0.700341;0.0114925;0.138071;0.612811;0.0215851;0.162045;0.597409;0.0314791;0.181297;0.600876;0.0409001;0.103989;0.697112;0.0206771;0.115162;0.601615;0.0288685;0.1485;0.585661;0.0379111;0.169743;0.587993;0.0502833;0.0882231;0.705242;0.0280172;0.0971819;0.615876;0.0377409;0.129029;0.595276;0.0506617;0.153365;0.596235;0.0613313;0.0806499;0.722753;0.0338817;0.0877218;0.653938;0.0423757;0.110783;0.629083;0.0466133;0.128804;0.619354;0.0550884;0.426568;0.996068;2.36079e-05;0.414999;0.940772;0.0220664;0.390317;0.906584;0.0279986;0.364977;0.885729;0.0300795;0.349992;0.875643;0.0263365;0.3539;0.862296;0.0061686;0.293947;0.844083;0.00842525;0.261179;0.838457;0.0177423;0.233162;0.836296;0.0328632;0.347642;0.885633;-0.000526156;0.280308;0.907873;0.00367887;0.270017;0.949823;0.0106278;0.271016;0.978057;0.0124386;0.341227;0.920324;-0.00562809;0.293011;0.948477;-0.00528014;0.298059;0.979866;-0.00296775;0.311852;0.996082;-0.00156664;0.337389;0.958018;-0.00736449;0.292541;0.972998;-0.016283;0.294235;0.99352;-0.0243366;0.304993;1.00696;-0.026877
0.466934;0.323128;0.192685;0.914578;3.54944e-05;0.219857;0.818105;0.0237722;0.223221;0.744911;0.0350659;0.216692;0.681997;0.0400917;0.211207;0.627142;0.0467036;0.151307;0.693886;0.0432639;0.139606;0.614558;0.0480031;0.154075;0.571575;0.0497994;0.174738;0.541122;0.0509459;0.128178;0.695723;0.0260271;0.117019;0.611329;0.0232372;0.141306;0.568192;0.0192146;0.168935;0.543776;0.0204663;0.114461;0.706467;0.00835085;0.105795;0.622568;0.00624881;0.129018;0.580467;0.0102045;0.156903;0.560005;0.0148003;0.106881;0.723532;-0.0093111;0.0985159;0.654343;-0.0178387;0.112371;0.613421;-0.0192337;0.132467;0.589221;-0.0150774;0.414566;0.980208;2.42801e-05;0.400695;0.925283;0.0613017;0.374922;0.886448;0.0734402;0.349129;0.863026;0.0774239;0.330983;0.844876;0.0763928;0.362063;0.850628;-0.00492101;0.310405;0.825701;-0.01522;0.275846;0.810919;-0.0234802;0.245171;0.802716;-0.0289402;0.360596;0.861495;-0.0339315;0.291024;0.87463;-0.0225898;0.274064;0.912705;0.00105011;0.269041;0.943459;0.0108438;0.354211;0.89025;-0.0567556;0.28823;0.898699;-0.0394384;0.276318;0.935362;-0.00880509;0.277702;0.964052;0.00212658;0.347489;0.927837;-0.0747525;0.294442;0.923747;-0.0737214;0.279507;0.940994;-0.0592864;0.274651;0.957822;-0.0528188
0.472081;0.321793;0.200487;0.889724;2.95535e-05;0.225635;0.80332;0.026874;0.227158;0.741618;0.0416136;0.226745;0.694054;0.0464601;0.233342;0.650904;0.0532742;0.156708;0.686664;0.0666839;0.150938;0.607374;0.0655178;0.168744;0.565;0.0576469;0.193124;0.538581;0.054003;0.136299;0.685588;0.0472253;0.135074;0.600818;0.0491566;0.163317;0.566103;0.0456948;0.194798;0.551377;0.0479176;0.126491;0.689259;0.0249973;0.126746;0.605731;0.024141;0.155623;0.572358;0.0297527;0.18419;0.558786;0.0366397;0.122344;0.697867;0.003152;0.121707;0.629942;-0.0011114;0.139338;0.599142;0.00343896;0.159818;0.584368;0.0130361;0.396513;0.959649;2.24353e-05;0.383092;0.903169;0.0493076;0.359811;0.86615;0.050765;0.334082;0.844794;0.0449355;0.313048;0.835227;0.035078;0.358261;0.832963;-0.00581429;0.310913;0.816617;-0.00780299;0.279959;0.80422;-0.00950831;0.254807;0.798729;-0.0127317;0.358473;0.84552;-0.0326491;0.289798;0.86126;-0.0243704;0.273314;0.894118;-0.00279835;0.26793;0.918775;0.00467825;0.352529;0.871172;-0.0544084;0.287486;0.886772;-0.0400776;0.275466;0.915795;-0.0181766;0.277211;0.938541;-0.0149077;0.343636;0.901721;-0.0731113;0.293534;0.902638;-0.0676866;0.284159;0.919115;-0.0600759;0.285446;0.933419;-0.0627883
0.470486;0.325842;0.205767;0.872323;2.90372e-05;0.236742;0.794275;0.00424835;0.245594;0.727833;0.00621413;0.247762;0.676497;0.00599282;0.249116;0.628796;0.00900875;0.181233;0.668903;0.00405741;0.171289;0.594219;-0.0168545;0.186764;0.550409;-0.0332404;0.210351;0.515966;-0.038604;0.158053;0.671492;-0.00292047;0.146025;0.589145;-0.0178439;0.1713;0.546043;-0.0290051;0.203711;0.516989;-0.0345075;0.146176;0.68093;-0.0116906;0.139949;0.59993;-0.0295779;0.164877;0.558053;-0.0340389;0.194429;0.532218;-0.0360697;0.142355;0.694014;-0.0201178;0.138779;0.632034;-0.0356531;0.153259;0.594033;-0.0411035;0.17501;0.56697;-0.0421103;0.380194;0.944131;2.04021e-05;0.38177;0.894099;0.0516006;0.367536;0.861861;0.0583782;0.344683;0.842936;0.0587975;0.32553;0.830908;0.0575398;0.358306;0.827686;-0.00045608;0.313545;0.810863;0.00530155;0.290292;0.801395;0.0112407;0.273179;0.799587;0.0158523;0.34962;0.835263;-0.0247697;0.290855;0.849615;-0.000489105;0.280586;0.876687;0.0244553;0.278261;0.890462;0.0316346;0.337444;0.854218;-0.0434605;0.291278;0.870395;-0.0170838;0.29191;0.897482;0.00252413;0.298999;0.912133;0.00234072;0.324017;0.878341;-0.0588324;0.289518;0.888352;-0.0375214;0.292174;0.910356;-0.0262021;0.300545;0.922707;-0.0274248
0.473231;0.325289;0.204972;0.863842;2.69661e-05;0.246512;0.782309;0.0101402;0.265966;0.710234;0.014266;0.269669;0.660086;0.0134494;0.271331;0.618032;0.0149636;0.198066;0.650124;0.00882163;0.191162;0.572088;-0.00639717;0.206659;0.529872;-0.0113056;0.22971;0.494937;-0.0102423;0.171109;0.658654;-0.00478512;0.167145;0.57853;-0.0150231;0.189441;0.534195;-0.0248571;0.216362;0.500287;-0.0308289;0.156368;0.673961;-0.0199231;0.164997;0.605314;-0.0273581;0.189742;0.567806;-0.0307779;0.215909;0.540642;-0.0352525;0.151858;0.690777;-0.0350143;0.168621;0.643581;-0.0382129;0.189481;0.621122;-0.0418879;0.211335;0.605087;-0.0458691;0.379163;0.925009;1.93918e-05;0.380132;0.873653;0.0373764;0.364152;0.845415;0.0443905;0.3428;0.825079;0.0490025;0.328387;0.814384;0.0523013;0.353425;0.817053;-0.0127871;0.312238;0.804898;-0.0036972;0.292421;0.803298;0.00495629;0.280012;0.806424;0.0109375;0.344128;0.826583;-0.0273197;0.293656;0.839604;-0.00209982;0.290628;0.863023;0.0227397;0.2971;0.875554;0.031147;0.333072;0.845786;-0.0370881;0.291517;0.861378;-0.0145086;0.288985;0.884609;-0.00175252;0.295974;0.899072;-0.00354707;0.322021;0.869467;-0.0441663;0.288405;0.877641;-0.0280563;0.287615;0.897455;-0.0210903;0.29445;0.912513;-0.0226917
0.476232;0.325777;0.226321;0.850956;2.77657e-05;0.269152;0.76496;0.0324462;0.280318;0.692064;0.0418593;0.278132;0.636802;0.0428409;0.28627;0.586238;0.0469427;0.212922;0.638484;0.045926;0.206963;0.559821;0.0508692;0.212254;0.510099;0.0544452;0.221915;0.471104;0.0561981;0.191278;0.642936;0.0191242;0.183774;0.560111;0.0185107;0.196166;0.506647;0.0131029;0.21115;0.466524;0.00878204;0.181045;0.656982;-0.00676182;0.183303;0.585722;-0.0107278;0.201902;0.543024;-0.0148821;0.220871;0.512587;-0.0214731;0.180717;0.67523;-0.0319379;0.188352;0.626632;-0.0316574;0.204273;0.604035;-0.0322534;0.220164;0.592586;-0.0343218;0.37195;0.906777;1.86859e-05;0.375095;0.861373;0.0358585;0.363272;0.833631;0.0484678;0.34362;0.816483;0.0584611;0.33;0.814525;0.069013;0.352688;0.801299;0.0129326;0.314961;0.805321;0.0356822;0.307906;0.826522;0.0478505;0.3103;0.841515;0.0517303;0.339745;0.812807;0.0010719;0.302469;0.828835;0.0326548;0.296883;0.850748;0.0468512;0.300129;0.863365;0.0480563;0.326911;0.83284;-0.00561392;0.295302;0.846894;0.0235579;0.29066;0.869235;0.0313615;0.295495;0.884023;0.0279667;0.314858;0.857115;-0.0103167;0.289316;0.864037;0.00591151;0.287165;0.87978;0.0112425;0.292176;0.892775;0.0105959
0.476927;0.32561;0.247356;0.810024;2.84755e-05;0.27824;0.735556;-0.00765269;0.281988;0.68206;-0.0163811;0.283852;0.639914;-0.0276896;0.29311;0.596777;-0.0372227;0.216711;0.636185;-0.00883777;0.207726;0.579523;-0.0188912;0.215183;0.532924;-0.0270599;0.227934;0.490187;-0.0335144;0.206146;0.64248;-0.0185064;0.194979;0.574075;-0.0227394;0.21119;0.526411;-0.033287;0.231871;0.486118;-0.0403013;0.205792;0.652642;-0.0306458;0.203492;0.59412;-0.0405112;0.223754;0.548226;-0.0519858;0.244302;0.512926;-0.0589476;0.212661;0.669486;-0.0448841;0.211444;0.62957;-0.0548545;0.225002;0.600027;-0.0609067;0.239919;0.576968;-0.0618513;0.367434;0.89307;1.53673e-05;0.369674;0.851806;0.0383163;0.358324;0.826063;0.057502;0.340086;0.812246;0.0716301;0.326358;0.812966;0.084109;0.352472;0.794952;0.0360899;0.321058;0.795621;0.0589863;0.314397;0.812908;0.0675071;0.315267;0.825505;0.071905;0.340863;0.805873;0.0243394;0.309671;0.815075;0.0562376;0.305097;0.833329;0.0639888;0.307635;0.844174;0.0638239;0.329191;0.823822;0.0165607;0.302829;0.830599;0.0465073;0.299825;0.85098;0.045188;0.304221;0.864358;0.037904;0.318087;0.844913;0.0110427;0.297077;0.846738;0.0314722;0.29719;0.860776;0.0340009;0.304022;0.872378;0.0325716
0.478933;0.325446;0.24416;0.790249;2.56251e-05;0.279252;0.749939;-0.00658129;0.293329;0.706649;-0.0166712;0.298214;0.663859;-0.0308474;0.305959;0.625208;-0.0417063;0.247094;0.643289;-0.0179187;0.241739;0.593201;-0.0374818;0.24785;0.549145;-0.045704;0.261428;0.513532;-0.0454205;0.227958;0.627125;-0.0272324;0.216496;0.569552;-0.0390412;0.224846;0.523686;-0.0536426;0.238773;0.488753;-0.061638;0.214992;0.62323;-0.0365462;0.202279;0.561488;-0.0464411;0.211907;0.513766;-0.0587461;0.227141;0.478736;-0.0668548;0.209144;0.629948;-0.0480005;0.19996;0.580553;-0.0434642;0.205539;0.543618;-0.0464128;0.216965;0.515098;-0.0504388;0.364341;0.877365;1.16923e-05;0.357174;0.856169;0.0330596;0.347468;0.836267;0.0569228;0.336197;0.822624;0.0764001;0.327084;0.817753;0.0964434;0.34427;0.80525;0.055791;0.327932;0.796588;0.0822009;0.327383;0.802174;0.0929063;0.33065;0.80821;0.098377;0.340613;0.808199;0.0481038;0.324159;0.802052;0.0776735;0.3225;0.808797;0.0861624;0.32476;0.812122;0.0897466;0.337635;0.816218;0.0431283;0.320523;0.811633;0.0689488;0.318336;0.820359;0.0727216;0.321691;0.826019;0.0728631;0.334621;0.827798;0.039945;0.321137;0.820171;0.0562154;0.319996;0.826085;0.0648458;0.323333;0.833661;0.0714011
0.479193;0.325451;0.245934;0.788506;2.55155e-05;0.287827;0.738913;0.00682747;0.303401;0.690296;0.00428478;0.308222;0.650047;-0.00247053;0.317058;0.614934;-0.00133319;0.25814;0.625709;-0.00677593;0.25264;0.569535;-0.0223482;0.255231;0.526223;-0.0332886;0.263191;0.487353;-0.0411504;0.235565;0.621114;-0.0239288;0.22583;0.550624;-0.0349379;0.230664;0.503756;-0.0460983;0.241221;0.462278;-0.0569013;0.219499;0.628574;-0.0418101;0.213916;0.565679;-0.0554719;0.222923;0.524689;-0.0610246;0.237895;0.489818;-0.064873;0.211592;0.647703;-0.0603649;0.213521;0.607807;-0.0676218;0.223096;0.58947;-0.0722949;0.236543;0.576646;-0.0760883;0.369409;0.861266;6.91964e-06;0.343961;0.866832;0.0137832;0.32979;0.861793;0.0220725;0.320182;0.852844;0.0276052;0.314349;0.842935;0.0329826;0.331515;0.834217;0.00971617;0.320783;0.820349;0.0181802;0.319045;0.81672;0.0290611;0.318575;0.817832;0.037894;0.342571;0.819229;0.0063189;0.329753;0.802997;0.0116478;0.325874;0.797541;0.0236643;0.323997;0.796372;0.0332155;0.353889;0.80983;0.00441159;0.342769;0.790405;0.00640626;0.339165;0.785738;0.0154139;0.337147;0.785842;0.0240914;0.364668;0.805782;0.0036011;0.35638;0.784656;0.00288525;0.35202;0.777809;0.00683335;0.348439;0.77696;0.0122787
