nose_x;nose_y;nose_z;right_eye_inner_x;right_eye_inner_y;right_eye_inner_z;right_eye_x;right_eye_y;right_eye_z;right_eye_outer_x;right_eye_outer_y;right_eye_outer_z;left_eye_inner_x;left_eye_inner_y;left_eye_inner_z;left_eye_x;left_eye_y;left_eye_z;left_eye_outer_x;left_eye_outer_y;left_eye_outer_z;right_ear_x;right_ear_y;right_ear_z;left_ear_x;left_ear_y;left_ear_z;mouth_right_x;mouth_right_y;mouth_right_z;mouth_left_x;mouth_left_y;mouth_left_z;right_shoulder_x;right_shoulder_y;right_shoulder_z;left_shoulder_x;left_shoulder_y;left_shoulder_z;right_elbow_x;right_elbow_y;right_elbow_z;left_elbow_x;left_elbow_y;left_elbow_z;right_wrist_x;right_wrist_y;right_wrist_z;left_wrist_x;left_wrist_y;left_wrist_z;right_pinky_1_x;right_pinky_1_y;right_pinky_1_z;left_pinky_1_x;left_pinky_1_y;left_pinky_1_z;right_index_1_x;right_index_1_y;right_index_1_z;left_index_1_x;left_index_1_y;left_index_1_z;right_thumb_2_x;right_thumb_2_y;right_thumb_2_z;left_thumb_2_x;left_thumb_2_y;left_thumb_2_z;right_hip_x;right_hip_y;right_hip_z;left_hip_x;left_hip_y;left_hip_z
0.45383;0.350201;0.00109263;0.472876;0.315371;-0.00101401;0.486432;0.316408;-0.0117159;0.499978;0.318088;0.00226651;0.438522;0.31373;0.000444072;0.425401;0.313993;0.00515486;0.412731;0.314268;0.0107832;0.518525;0.349506;-0.0031021;0.399656;0.342838;0.00850782;0.477932;0.404297;0.000939817;0.429562;0.402249;0.000914202;0.594457;0.542778;-0.130133;0.333512;0.539061;0.136803;0.73488;0.781026;-0.26411;0.210608;0.813408;-0.629522;0.858804;0.971188;-0.1411;0.267683;0.524283;-0.368578;0.910349;1.03573;-0.0113555;0.278405;0.439032;-0.00980095;0.887741;1.03507;-0.00605228;0.289654;0.411696;0.00367094;0.859892;1.0214;-0.00290601;0.302212;0.45066;0.00185667;0.536062;0.955383;0.40227;0.348698;0.930643;0.719518
0.44981;0.350928;0.00215767;0.468297;0.314114;0.00163122;0.480693;0.314597;-0.00890038;0.493945;0.315788;0.00464382;0.436382;0.31377;-0.000294345;0.424372;0.314583;0.00674962;0.41239;0.314768;0.0120608;0.514775;0.346042;-0.00178941;0.40183;0.342833;0.00818807;0.475159;0.399248;-0.000333029;0.428639;0.398223;0.00225621;0.587708;0.541182;-0.109598;0.329847;0.535676;0.11751;0.731;0.769764;-0.281935;0.231876;0.804394;6.87238e-05;0.858947;0.984353;-0.0305393;0.260406;0.960855;-0.298533;0.911981;1.04841;-0.0103803;0.255848;1.02352;-0.00812583;0.887133;1.0487;-0.00459196;0.298984;1.0009;0.00286306;0.861132;1.03501;0.00113848;0.307218;0.985244;-0.00128889;0.52645;0.941867;0.406527;0.349768;0.915902;0.690453
0.459523;0.346008;0.000729256;0.474788;0.30979;0.000107206;0.486938;0.31038;-0.0119664;0.499954;0.311056;0.0021526;0.442112;0.310871;-6.94404e-05;0.429871;0.312128;0.00636288;0.41763;0.313385;0.0114172;0.517486;0.34373;-0.00229667;0.40304;0.344721;0.00781037;0.48264;0.397797;0.000584337;0.43562;0.398688;0.00100003;0.596284;0.545814;-0.10403;0.333943;0.546944;0.113142;0.755769;0.805411;-0.277485;0.198077;0.815525;-0.558008;0.863959;1.02898;-0.0828225;0.263512;0.599328;-0.362748;0.905283;1.10856;-0.0106511;0.276313;0.542451;-0.0092477;0.888333;1.09945;-0.00533234;0.298361;0.518661;0.00447469;0.867537;1.08006;-0.00207124;0.307911;0.545593;0.00123054;0.549393;0.933357;0.396159;0.367041;0.917698;0.679936
0.453885;0.348831;0.000911723;0.471485;0.31459;-0.000572119;0.484242;0.316517;-0.011254;0.497017;0.317838;0.0026735;0.439098;0.312173;0.000123445;0.42716;0.311505;0.00566368;0.414779;0.311421;0.010614;0.514137;0.347339;-0.00284184;0.401267;0.336781;0.00815384;0.475962;0.399864;0.000661291;0.429948;0.396079;0.00108507;0.589084;0.540403;-0.114354;0.32921;0.533778;0.121181;0.730157;0.782104;-0.208653;0.216979;0.809304;-0.559821;0.849194;0.986742;-0.122674;0.274718;0.55867;-0.353729;0.896743;1.05863;-0.0107873;0.285581;0.490042;-0.00935391;0.8728;1.05972;-0.00555701;0.297863;0.462792;0.00353022;0.845948;1.04243;-0.00217513;0.308471;0.49618;0.00122341;0.536094;0.94374;0.356929;0.352172;0.923746;0.65028
0.450071;0.342233;0.00226171;0.468935;0.307855;0.00156504;0.4815;0.308188;-0.00868706;0.494021;0.30971;0.00456267;0.437074;0.307883;-0.000405979;0.425324;0.308206;0.00647278;0.41397;0.309155;0.0116373;0.515554;0.339921;-0.0015397;0.404543;0.337673;0.00843848;0.475926;0.391843;0.000361825;0.430267;0.390851;0.00136471;0.596373;0.537286;-0.112094;0.336549;0.534764;0.119421;0.735592;0.788458;-0.235074;0.241806;0.798441;0.0205794;0.853399;0.983192;0.0157911;0.247014;0.931188;-0.26417;0.896726;1.03648;-0.00998881;0.242592;0.983329;-0.00789554;0.881013;1.03055;-0.00441222;0.272989;0.954573;0.00358799;0.856232;1.02037;0.00131892;0.283544;0.941045;-0.0010867;0.541886;0.926764;0.363391;0.362456;0.903953;0.650587
0.453682;0.339355;0.00138428;0.468937;0.304133;0.00120753;0.480461;0.304375;-0.00875396;0.492785;0.305261;0.00498757;0.437221;0.304198;-0.00074677;0.425244;0.305095;0.00674864;0.413268;0.305992;0.0113184;0.509106;0.332793;-0.000387846;0.399126;0.333093;0.00802767;0.476692;0.387284;6.96456e-05;0.431377;0.387544;0.0024263;0.588531;0.531803;-0.0931699;0.326086;0.545753;0.100368;0.72977;0.776258;-0.224595;0.227915;0.839787;-0.0565087;0.834533;1.00403;-0.0181506;0.244024;0.942869;-0.268403;0.880769;1.07062;-0.00995586;0.235177;0.983237;-0.00792484;0.849995;1.07895;-0.00450874;0.268337;0.965703;0.00384994;0.822474;1.06526;0.0012726;0.279965;0.963024;-0.00125573;0.554286;0.939383;0.352318;0.370769;0.9344;0.588225
0.449403;0.339808;0.000950186;0.467572;0.306681;-0.000532295;0.479782;0.308315;-0.0111989;0.492805;0.309942;0.00243267;0.435428;0.304634;0.000298522;0.42363;0.304154;0.00538969;0.411833;0.304252;0.0102963;0.51164;0.339869;-0.00266465;0.399336;0.331547;0.00771589;0.471989;0.391687;0.00114245;0.426418;0.388596;0.000369627;0.588933;0.538817;-0.123353;0.333843;0.528791;0.130268;0.738793;0.777079;-0.194842;0.228752;0.790581;-0.574764;0.857602;0.982045;-0.0750997;0.276525;0.537946;-0.31972;0.901813;1.04994;-0.010684;0.286808;0.466702;-0.0092667;0.883097;1.04894;-0.00535473;0.295655;0.441752;0.00349249;0.859438;1.03294;-0.0025868;0.306364;0.47406;0.00118694;0.540889;0.923357;0.317483;0.360598;0.901717;0.643915
0.446262;0.337771;0.000811298;0.46508;0.30388;-0.000154319;0.477477;0.305029;-0.00993899;0.489461;0.306729;0.00387733;0.433052;0.302384;-0.000417775;0.421442;0.301841;0.00542952;0.409805;0.302438;0.010859;0.508834;0.335564;-0.00125489;0.397991;0.328106;0.00743546;0.469953;0.387897;0.000510484;0.424326;0.385196;0.00135112;0.585982;0.535247;-0.120069;0.329228;0.528953;0.127079;0.716262;0.794411;-0.210697;0.22019;0.807719;-0.365114;0.80727;1.01868;-0.0322704;0.258884;0.711486;-0.254358;0.845701;1.09002;-0.0106713;0.26149;0.685388;-0.00831796;0.817624;1.09098;-0.00470662;0.279126;0.667972;0.00366453;0.792343;1.07498;-0.000753404;0.29109;0.687911;0.000276365;0.535352;0.92276;0.322454;0.354284;0.901762;0.626081
0.442701;0.334045;0.00229187;0.461121;0.302589;0.000824703;0.473347;0.303943;-0.00887096;0.485177;0.305271;0.004349;0.430296;0.301158;-9.29046e-05;0.419202;0.301567;0.00643701;0.407712;0.301949;0.0113667;0.505607;0.334736;-0.00137914;0.397371;0.328298;0.00827792;0.466846;0.383451;0.000502312;0.422198;0.381126;0.00199226;0.582584;0.52659;-0.113865;0.325863;0.534751;0.118016;0.717906;0.775128;-0.288615;0.220764;0.826277;-0.115841;0.813375;0.883746;-0.0190639;0.235376;0.851989;-0.285255;0.845474;0.919595;-0.00985937;0.230529;0.867436;-0.00769723;0.834846;0.905398;-0.0043212;0.257494;0.841037;0.00383008;0.814308;0.90407;0.00160771;0.268948;0.841777;-0.000629724;0.540675;0.946036;0.268649;0.35537;0.936302;0.547973
0.434924;0.339318;0.00170754;0.454669;0.304075;-8.85227e-05;0.467121;0.304551;-0.00998677;0.48034;0.305609;0.00364012;0.42313;0.303978;-3.72765e-05;0.411825;0.304654;0.00581751;0.400531;0.304776;0.0107774;0.503985;0.331987;-0.00195235;0.394613;0.329471;0.0082473;0.461662;0.387413;0.000404838;0.416504;0.386796;0.00127572;0.586501;0.540047;-0.116581;0.327553;0.540125;0.12242;0.711214;0.781838;-0.199103;0.217323;0.830538;-0.386334;0.815663;0.942;-0.0792616;0.254248;0.66913;-0.324053;0.855106;0.997779;-0.0105707;0.256967;0.628253;-0.00872778;0.838027;0.994912;-0.00430915;0.276556;0.60131;0.00326303;0.814069;0.985136;-0.000331663;0.28861;0.622815;0.000658385;0.537987;0.964622;0.247954;0.35179;0.947542;0.543786
