nose_x;nose_y;nose_z;right_eye_inner_x;right_eye_inner_y;right_eye_inner_z;right_eye_x;right_eye_y;right_eye_z;right_eye_outer_x;right_eye_outer_y;right_eye_outer_z;left_eye_inner_x;left_eye_inner_y;left_eye_inner_z;left_eye_x;left_eye_y;left_eye_z;left_eye_outer_x;left_eye_outer_y;left_eye_outer_z;right_ear_x;right_ear_y;right_ear_z;left_ear_x;left_ear_y;left_ear_z;mouth_right_x;mouth_right_y;mouth_right_z;mouth_left_x;mouth_left_y;mouth_left_z;right_shoulder_x;right_shoulder_y;right_shoulder_z;left_shoulder_x;left_shoulder_y;left_shoulder_z;right_elbow_x;right_elbow_y;right_elbow_z;left_elbow_x;left_elbow_y;left_elbow_z;right_wrist_x;right_wrist_y;right_wrist_z;left_wrist_x;left_wrist_y;left_wrist_z;right_pinky_1_x;right_pinky_1_y;right_pinky_1_z;left_pinky_1_x;left_pinky_1_y;left_pinky_1_z;right_index_1_x;right_index_1_y;right_index_1_z;left_index_1_x;left_index_1_y;left_index_1_z;right_thumb_2_x;right_thumb_2_y;right_thumb_2_z;left_thumb_2_x;left_thumb_2_y;left_thumb_2_z;right_hip_x;right_hip_y;right_hip_z;left_hip_x;left_hip_y;left_hip_z
0.414697;0.462835;0.00160759;0.434475;0.425564;0.000708319;0.447021;0.426231;-0.00390156;0.459561;0.427838;0.00491824;0.404101;0.423677;-0.00364094;0.392218;0.422551;0.00217528;0.380663;0.421899;0.0105693;0.480497;0.454005;0.00255588;0.370909;0.444295;0.00403316;0.439109;0.509257;-0.00112957;0.393227;0.505247;0.00384737;0.550732;0.682011;-0.0904171;0.290232;0.667109;0.0985093;0.569455;0.992828;-0.273976;0.24195;0.971704;0.119152;0.535183;1.06745;0.0457866;0.27627;1.18834;-0.111721;0.521019;1.10481;-0.00831404;0.275003;1.2663;-0.00343193;0.514089;1.06148;-0.00457763;0.301893;1.24887;0.00457246;0.50821;1.05294;0.0036203;0.311991;1.22461;-0.000702513;0.486671;1.10427;0.234507;0.30417;1.08355;0.46538
0.414797;0.464886;0.00116954;0.435123;0.427653;0.00090216;0.447159;0.428606;-0.00376554;0.459195;0.429559;0.00486382;0.404687;0.425468;-0.004197;0.393318;0.424594;0.00206189;0.381616;0.42368;0.0109933;0.479232;0.454393;0.00264764;0.372356;0.444076;0.00378646;0.438333;0.510199;-0.00179517;0.394248;0.505913;0.00403488;0.548432;0.682839;-0.0768169;0.285618;0.668314;0.0865236;0.560581;0.979023;-0.220577;0.239813;0.956175;0.147693;0.507025;1.09017;0.0368813;0.25584;1.17496;-0.106858;0.491395;1.13895;-0.00763044;0.248544;1.25339;-0.00329746;0.480783;1.10234;-0.00444019;0.273841;1.24015;0.0048952;0.476727;1.09135;0.00413686;0.286298;1.21679;-0.000780564;0.479502;1.11269;0.233798;0.296382;1.09666;0.437472
0.412302;0.462905;0.00128197;0.432825;0.42346;0.000782547;0.445734;0.423664;-0.00378904;0.458613;0.424348;0.0051279;0.401579;0.422839;-0.00415947;0.390049;0.422328;0.00229935;0.378183;0.421774;0.0110919;0.480796;0.449924;0.00266317;0.370314;0.443979;0.00423091;0.438297;0.508798;-0.00157303;0.392884;0.506361;0.00380227;0.554357;0.684247;-0.0729866;0.28697;0.675112;0.0839092;0.57561;0.981992;-0.20084;0.240362;0.965123;0.161129;0.526977;1.09473;0.00760453;0.248785;1.18094;-0.0977952;0.513695;1.14333;-0.00767862;0.237112;1.25779;-0.00352973;0.500428;1.10584;-0.00422033;0.263937;1.24769;0.00504587;0.494965;1.09546;0.004178;0.278215;1.22631;-0.00080173;0.487986;1.11972;0.245885;0.302744;1.10757;0.446387
0.416935;0.464734;0.00120753;0.436869;0.426706;0.00110221;0.44854;0.427471;-0.00376481;0.460869;0.428797;0.00476572;0.406625;0.425414;-0.00466106;0.395323;0.424198;0.00184886;0.383995;0.42347;0.0110985;0.480913;0.453488;0.00313153;0.374952;0.444543;0.00356355;0.440738;0.509424;-0.00218831;0.396504;0.505647;0.00456178;0.551459;0.681525;-0.0773248;0.287359;0.673211;0.0871997;0.555231;0.973417;-0.227724;0.242315;0.963282;0.159201;0.489433;1.09665;0.0370953;0.261435;1.18677;-0.13095;0.473517;1.14981;-0.00744375;0.253763;1.26629;-0.00320666;0.460157;1.11604;-0.00468253;0.280964;1.25354;0.00504747;0.456668;1.10391;0.00424245;0.292876;1.23032;-0.000602088;0.486561;1.12476;0.238028;0.300461;1.11356;0.438618
0.413121;0.469253;0.00124921;0.434802;0.430042;0.00112775;0.447297;0.430942;-0.00386774;0.459821;0.431349;0.00499684;0.404187;0.429101;-0.00454629;0.393076;0.428356;0.0019013;0.381619;0.427572;0.0113236;0.482841;0.456223;0.00307248;0.375601;0.448212;0.00396002;0.43921;0.514295;-0.00211572;0.394796;0.510822;0.00435901;0.556688;0.684033;-0.0869847;0.292611;0.676349;0.0965821;0.563976;0.981231;-0.233465;0.245467;0.968459;0.175967;0.500687;1.10501;0.0530681;0.254356;1.19248;-0.117601;0.484534;1.15772;-0.00758891;0.244409;1.27166;-0.00336561;0.472584;1.1217;-0.0042423;0.270508;1.25971;0.00515698;0.469026;1.11039;0.00441058;0.284282;1.23746;-0.000547251;0.490798;1.13265;0.229122;0.305411;1.11988;0.454422
0.414615;0.467134;0.00161447;0.435113;0.428383;5.31097e-05;0.447714;0.429816;-0.00382973;0.459615;0.43117;0.00515477;0.404982;0.425456;-0.00266517;0.393781;0.424182;0.00309451;0.38223;0.422868;0.0105565;0.480169;0.454049;0.00127841;0.373787;0.441447;0.00554433;0.438138;0.512395;-0.000376869;0.393712;0.506841;0.00332221;0.54707;0.680099;-0.0788771;0.29093;0.661985;0.088402;0.586501;0.981182;-0.324638;0.238485;0.955622;0.185407;0.599242;0.967601;-0.00573911;0.240224;1.17526;-0.0656212;0.593362;0.971942;-0.00829044;0.228786;1.24711;-0.00406566;0.595461;0.92208;-0.00393672;0.250586;1.24157;0.00451557;0.583868;0.927775;0.0035746;0.264951;1.22417;-0.00147867;0.48547;1.124;0.21824;0.304223;1.10839;0.43367
0.412708;0.460489;0.00125063;0.433871;0.422379;0.00127965;0.445918;0.422652;-0.00422865;0.458645;0.423503;0.00516282;0.4034;0.421657;-0.00466257;0.392084;0.420957;0.00234925;0.381122;0.420294;0.0112598;0.481446;0.448635;0.00297387;0.374668;0.441807;0.00405453;0.438712;0.50564;-0.00208392;0.394535;0.50245;0.00425076;0.556557;0.679642;-0.0839318;0.293268;0.66725;0.0940142;0.569612;0.984265;-0.218453;0.242302;0.961524;0.16804;0.5135;1.13369;0.0710192;0.253295;1.19075;-0.1056;0.500505;1.19184;-0.00786584;0.244784;1.27158;-0.00356533;0.485862;1.16001;-0.00436408;0.271029;1.25823;0.00496106;0.480904;1.14637;0.00402136;0.283533;1.23635;-0.000539291;0.490921;1.13129;0.231365;0.305552;1.11458;0.452825
0.41414;0.462493;0.00095854;0.434129;0.424577;0.000808877;0.445881;0.425393;-0.00438548;0.457961;0.426754;0.00589186;0.4042;0.422729;-0.00342207;0.393541;0.421527;0.00263964;0.382143;0.420751;0.0114384;0.478181;0.448864;0.00276633;0.374323;0.439192;0.00521245;0.437795;0.506347;-0.00107131;0.394748;0.502512;0.00337473;0.54836;0.677963;-0.0852259;0.291874;0.661257;0.0932005;0.574418;0.993106;-0.228813;0.235953;0.959025;0.169293;0.563453;1.11289;0.0915075;0.21408;1.19758;-0.0287131;0.556768;1.15586;-0.00798575;0.192932;1.27553;-0.0038453;0.55152;1.12171;-0.00387593;0.216082;1.27713;0.00516234;0.541143;1.11546;0.00396503;0.235086;1.2569;-0.00104555;0.490613;1.124;0.209924;0.311152;1.11089;0.436242
0.411226;0.460116;0.00127179;0.432483;0.422008;0.000538254;0.445384;0.422535;-0.00440122;0.458265;0.423571;0.00609788;0.401631;0.421568;-0.00251278;0.39054;0.420676;0.00301534;0.379428;0.420292;0.0116694;0.482379;0.448994;0.002293;0.374602;0.442366;0.00576191;0.439182;0.506268;-4.6721e-05;0.393344;0.503601;0.00289215;0.559043;0.687437;-0.0946991;0.296183;0.663228;0.100971;0.584368;1.02538;-0.289742;0.231201;0.970424;0.172824;0.606606;1.06188;0.0508884;0.205143;1.21949;-0.056264;0.606634;1.07924;-0.00870725;0.180194;1.30529;-0.00397286;0.609211;1.03248;-0.00366489;0.209851;1.3087;0.00500037;0.597762;1.03156;0.00382727;0.230265;1.28277;-0.00143068;0.495394;1.13257;0.217889;0.311095;1.10958;0.458354
0.409233;0.460994;0.00105369;0.430356;0.423254;0.00136909;0.442963;0.423584;-0.0051982;0.455183;0.424385;0.00612544;0.400122;0.422054;-0.00358254;0.388978;0.421369;0.00293347;0.377833;0.420683;0.0122172;0.47992;0.447565;0.00297;0.373189;0.440189;0.00497622;0.436059;0.505943;-0.00173367;0.391865;0.502729;0.00341395;0.559135;0.680768;-0.0883862;0.288127;0.662906;0.0962088;0.58629;0.997629;-0.15834;0.2217;0.962521;0.169849;0.559824;1.1969;0.118598;0.208356;1.21347;-0.0928819;0.557679;1.26438;-0.00840141;0.186673;1.30245;-0.00439458;0.541495;1.24314;-0.00344767;0.221623;1.30313;0.00471771;0.532267;1.22676;0.00409955;0.241737;1.27759;-0.000479779;0.497862;1.12765;0.219931;0.310437;1.11159;0.456048
