nose_x;nose_y;nose_z;right_eye_inner_x;right_eye_inner_y;right_eye_inner_z;right_eye_x;right_eye_y;right_eye_z;right_eye_outer_x;right_eye_outer_y;right_eye_outer_z;left_eye_inner_x;left_eye_inner_y;left_eye_inner_z;left_eye_x;left_eye_y;left_eye_z;left_eye_outer_x;left_eye_outer_y;left_eye_outer_z;right_ear_x;right_ear_y;right_ear_z;left_ear_x;left_ear_y;left_ear_z;mouth_right_x;mouth_right_y;mouth_right_z;mouth_left_x;mouth_left_y;mouth_left_z;right_shoulder_x;right_shoulder_y;right_shoulder_z;left_shoulder_x;left_shoulder_y;left_shoulder_z;right_elbow_x;right_elbow_y;right_elbow_z;left_elbow_x;left_elbow_y;left_elbow_z;right_wrist_x;right_wrist_y;right_wrist_z;left_wrist_x;left_wrist_y;left_wrist_z;right_pinky_1_x;right_pinky_1_y;right_pinky_1_z;left_pinky_1_x;left_pinky_1_y;left_pinky_1_z;right_index_1_x;right_index_1_y;right_index_1_z;left_index_1_x;left_index_1_y;left_index_1_z;right_thumb_2_x;right_thumb_2_y;right_thumb_2_z;left_thumb_2_x;left_thumb_2_y;left_thumb_2_z;right_hip_x;right_hip_y;right_hip_z;left_hip_x;left_hip_y;left_hip_z
0.506786;0.440634;-0.0002722;0.53832;0.38385;-3.99285e-05;0.557313;0.3861;-0.00748946;0.577216;0.389138;0.00629085;0.488464;0.377944;-0.00527091;0.46951;0.375019;0.00429192;0.450517;0.372769;0.0149491;0.605706;0.425152;0.00342646;0.425946;0.400458;0.00444826;0.539432;0.51182;-0.00210874;0.467852;0.5013;0.00904542;0.71694;0.664765;-0.125787;0.299335;0.652015;0.134483;0.847527;1.08007;-0.631795;0.0879697;0.98737;-0.164262;0.607191;1.15088;-0.0792126;0.179772;1.1016;-0.407379;0.544358;1.21143;-0.0101249;0.186184;1.17172;-0.00463438;0.506924;1.14852;-0.00535653;0.237701;1.13294;0.00854662;0.526709;1.15358;0.00241397;0.24419;1.13643;0.000758438;0.647;1.27119;0.468843;0.340661;1.26074;0.759964
0.493254;0.434738;0.000206859;0.525912;0.378558;-0.000234854;0.544102;0.381249;-0.00824623;0.56324;0.384657;0.00537879;0.47802;0.372768;-0.00447545;0.460322;0.369411;0.00469285;0.442131;0.366719;0.0146483;0.59431;0.419202;0.00428429;0.422001;0.392627;0.00585482;0.526605;0.503492;-0.00109356;0.458173;0.492197;0.00767274;0.700281;0.671407;-0.171282;0.311574;0.641951;0.177879;0.813701;1.10134;-0.622755;0.14336;0.984789;-0.107531;0.639239;1.14295;0.0412911;0.115348;0.967416;-0.506168;0.593342;1.18774;-0.00971556;0.0861165;0.992319;-0.00594478;0.55595;1.13044;-0.00496648;0.132326;0.957096;0.00817876;0.564583;1.13075;0.00256383;0.159906;0.971723;0.00192662;0.633086;1.27515;0.400377;0.346937;1.2541;0.774366
0.499575;0.438507;-0.00023735;0.531763;0.3813;-7.28008e-05;0.549963;0.384261;-0.0088154;0.570084;0.387318;0.0061047;0.48334;0.375461;-0.00485823;0.465621;0.372524;0.00556407;0.447421;0.369563;0.0146047;0.600045;0.420274;0.00350852;0.425648;0.394463;0.00595077;0.532484;0.507856;-0.00147549;0.463511;0.496887;0.00775665;0.707483;0.665005;-0.153902;0.309044;0.637575;0.162912;0.836217;1.09887;-0.553133;0.114102;0.99577;-0.156064;0.668169;1.20537;0.0109629;0.14066;1.01078;-0.459662;0.621269;1.27415;-0.0106025;0.13241;1.05276;-0.00610846;0.585293;1.21217;-0.00499339;0.180556;1.0114;0.00799694;0.596988;1.20592;0.00174863;0.198503;1.02461;0.00158437;0.639722;1.26687;0.422178;0.347372;1.24679;0.782844
0.498796;0.442405;-3.07185e-05;0.528938;0.384159;-0.000259374;0.548146;0.386368;-0.00902924;0.568301;0.389303;0.00571751;0.481415;0.377974;-0.00355794;0.462717;0.374418;0.00510479;0.444486;0.371567;0.0143972;0.596506;0.42066;0.00343201;0.421831;0.395224;0.00685651;0.531042;0.50954;-0.000508411;0.461951;0.498989;0.00707829;0.696264;0.660536;-0.150242;0.309802;0.634057;0.158061;0.820457;1.06169;-0.518689;0.134085;0.968695;-0.139656;0.707891;1.14714;-0.0231407;0.106546;0.951059;-0.492466;0.676832;1.20329;-0.0102622;0.0799843;0.977284;-0.00676253;0.643299;1.15116;-0.00462739;0.12494;0.946386;0.00786393;0.646273;1.14718;0.00205996;0.151635;0.958508;0.0015835;0.63426;1.25757;0.402489;0.352493;1.24251;0.751088
0.501838;0.441227;0.0015095;0.532575;0.383312;-5.93614e-05;0.550836;0.385251;-0.00811333;0.570049;0.387904;0.00538006;0.485488;0.377735;-0.00311675;0.467238;0.375111;0.00535751;0.449468;0.372503;0.0142265;0.600356;0.420341;0.00361867;0.429351;0.397205;0.00591769;0.534502;0.507967;0.000400638;0.466781;0.498323;0.0088803;0.69004;0.660008;-0.148942;0.316474;0.631235;0.154356;0.803542;1.10306;-0.979796;0.106936;0.984105;-0.186118;0.619706;0.850867;0.105932;0.106856;0.958088;-0.421081;0.564783;0.791647;-0.00918859;0.0958917;0.982391;-0.00444015;0.555064;0.735207;-0.00570715;0.135623;0.93434;0.00818853;0.560056;0.786023;0.00219188;0.153128;0.954055;0.00102827;0.620255;1.25205;0.466558;0.345768;1.22843;0.770458
0.502562;0.437844;0.00055213;0.535155;0.378561;-8.18836e-05;0.554257;0.381162;-0.0077635;0.573381;0.383082;0.00505339;0.48542;0.373977;-0.00464912;0.466318;0.371376;0.00488494;0.447695;0.368807;0.0142244;0.603948;0.417121;0.00402774;0.425285;0.394642;0.00495607;0.536825;0.50623;-0.00117257;0.466117;0.49756;0.00934316;0.702821;0.654768;-0.144579;0.311031;0.637593;0.152246;0.816437;1.09119;-0.849029;0.110314;0.989547;-0.229506;0.6004;0.977613;0.0508184;0.143428;0.958948;-0.441524;0.540222;0.969625;-0.00958272;0.137814;0.984506;-0.00456677;0.516205;0.91077;-0.00549509;0.184853;0.938436;0.00879664;0.527648;0.94289;0.00252108;0.202432;0.958674;0.00130172;0.63942;1.25709;0.487282;0.34958;1.24651;0.790096
0.497563;0.443357;5.89457e-05;0.530356;0.379778;0.000246197;0.549496;0.381841;-0.00778844;0.569595;0.38394;0.00609595;0.480084;0.375893;-0.00373695;0.461423;0.373847;0.00514486;0.442294;0.371102;0.0146333;0.602592;0.41515;0.0039092;0.421715;0.395579;0.00559045;0.533752;0.510141;-0.000444652;0.461502;0.502043;0.00761994;0.712201;0.663954;-0.162958;0.316355;0.627655;0.169189;0.824317;1.14537;-0.744335;0.136982;0.975672;-0.120361;0.645445;1.06791;0.0926824;0.105641;0.985436;-0.427765;0.590775;1.06864;-0.00921881;0.0786485;1.01991;-0.00532834;0.571835;1.00249;-0.00499134;0.121956;0.984669;0.00867961;0.580949;1.02873;0.00246384;0.148541;0.999279;0.0014931;0.644944;1.25473;0.46491;0.357737;1.22922;0.823897
0.495438;0.43757;-0.000377908;0.527399;0.378214;-4.24679e-05;0.546542;0.380398;-0.00806954;0.566644;0.382624;0.00676583;0.479526;0.373434;-0.00493014;0.461341;0.371291;0.0053235;0.442691;0.368445;0.0146705;0.598588;0.414696;0.0035234;0.422984;0.392846;0.0057281;0.53048;0.504572;-0.00210542;0.46111;0.49546;0.00784476;0.710517;0.656931;-0.160642;0.310582;0.626156;0.170712;0.822865;1.10592;-0.56776;0.120214;0.9844;-0.094287;0.645042;1.21157;0.00703556;0.149054;1.04977;-0.44644;0.59561;1.28041;-0.0105271;0.140623;1.10809;-0.00567191;0.559609;1.21337;-0.00464916;0.190887;1.06794;0.00774736;0.572216;1.20708;0.00200053;0.208534;1.07279;0.00179354;0.638366;1.25495;0.429416;0.346755;1.22881;0.804646
0.495138;0.435249;0.00168047;0.527905;0.375563;-0.000371876;0.546082;0.377896;-0.00744127;0.565198;0.380962;0.00509199;0.479608;0.368895;-0.00263592;0.461947;0.365224;0.00562029;0.443789;0.36221;0.014373;0.595153;0.40986;0.00334033;0.424984;0.383733;0.00661696;0.527461;0.501815;0.000418478;0.460082;0.490719;0.00810072;0.693064;0.664896;-0.157188;0.312673;0.639178;0.165342;0.806018;1.07773;-0.962074;0.140141;0.994484;-0.0890255;0.653338;0.788374;0.0785342;0.089432;0.915335;-0.505017;0.606356;0.713519;-0.0084754;0.0610479;0.917919;-0.00515568;0.595079;0.667869;-0.00538049;0.0925694;0.869087;0.0082431;0.593644;0.722398;0.00308554;0.117768;0.896367;0.00078731;0.637936;1.26399;0.440751;0.357089;1.24903;0.76448
0.496972;0.430447;0.000783472;0.528178;0.377644;-0.000346906;0.54642;0.380686;-0.00872006;0.565624;0.383745;0.00530639;0.4816;0.37139;-0.00325406;0.464319;0.368364;0.00523504;0.447032;0.366021;0.0143532;0.595146;0.417743;0.00363524;0.428064;0.392366;0.00722541;0.529093;0.498674;0.000397369;0.463322;0.487994;0.0065269;0.696889;0.669008;-0.167401;0.316905;0.636624;0.172328;0.82032;1.08678;-0.622016;0.149237;0.970179;-0.109177;0.711612;1.09452;-0.00494212;0.0865551;0.934938;-0.516264;0.68156;1.12409;-0.00945612;0.0465237;0.950672;-0.00648935;0.650281;1.07024;-0.00505854;0.0881451;0.917188;0.00814924;0.649286;1.07432;0.00207111;0.118313;0.931371;0.00142048;0.63326;1.26686;0.368691;0.351227;1.24843;0.742189
