nose_x;nose_y;nose_z;right_eye_inner_x;right_eye_inner_y;right_eye_inner_z;right_eye_x;right_eye_y;right_eye_z;right_eye_outer_x;right_eye_outer_y;right_eye_outer_z;left_eye_inner_x;left_eye_inner_y;left_eye_inner_z;left_eye_x;left_eye_y;left_eye_z;left_eye_outer_x;left_eye_outer_y;left_eye_outer_z;right_ear_x;right_ear_y;right_ear_z;left_ear_x;left_ear_y;left_ear_z;mouth_right_x;mouth_right_y;mouth_right_z;mouth_left_x;mouth_left_y;mouth_left_z;right_shoulder_x;right_shoulder_y;right_shoulder_z;left_shoulder_x;left_shoulder_y;left_shoulder_z;right_elbow_x;right_elbow_y;right_elbow_z;left_elbow_x;left_elbow_y;left_elbow_z;right_wrist_x;right_wrist_y;right_wrist_z;left_wrist_x;left_wrist_y;left_wrist_z;right_pinky_1_x;right_pinky_1_y;right_pinky_1_z;left_pinky_1_x;left_pinky_1_y;left_pinky_1_z;right_index_1_x;right_index_1_y;right_index_1_z;left_index_1_x;left_index_1_y;left_index_1_z;right_thumb_2_x;right_thumb_2_y;right_thumb_2_z;left_thumb_2_x;left_thumb_2_y;left_thumb_2_z;right_hip_x;right_hip_y;right_hip_z;left_hip_x;left_hip_y;left_hip_z
0.521475;0.39732;0.00216862;0.546183;0.351457;0.0023612;0.561827;0.351872;-0.00718742;0.578318;0.352108;0.00712714;0.506352;0.351806;-0.00374443;0.491133;0.351302;0.00337099;0.475614;0.352094;0.0145222;0.606137;0.386329;0.00637356;0.465472;0.383806;0.00617261;0.556038;0.454778;-0.000267937;0.495773;0.454485;0.00486641;0.710162;0.662173;-0.138363;0.383085;0.683985;0.144472;0.771842;1.02271;-0.181983;0.341484;1.07236;0.20449;0.740507;1.3054;0.248217;0.321503;1.36006;-0.137077;0.73752;1.39354;-0.00952518;0.301051;1.44694;-0.00448125;0.711016;1.37198;-0.0049066;0.324426;1.43834;0.00591472;0.701477;1.34687;0.00501378;0.349739;1.41083;-0.000213408;0.65724;1.20454;0.273725;0.433394;1.20222;0.606182
0.521937;0.39505;0.00171225;0.545875;0.346543;0.00206698;0.562464;0.345871;-0.00655225;0.579055;0.345819;0.00661705;0.504839;0.349155;-0.00442046;0.489123;0.349824;0.00399752;0.473408;0.351115;0.013582;0.608796;0.380499;0.00403845;0.461236;0.385304;0.00644992;0.557391;0.453928;-0.00129783;0.496272;0.455981;0.00394636;0.715763;0.665793;-0.117442;0.377417;0.673675;0.128357;0.762639;1.05497;-0.23423;0.335233;1.06499;0.174199;0.735089;1.30964;0.159355;0.330393;1.32455;-0.176273;0.736096;1.39656;-0.0104986;0.315246;1.41153;-0.00548465;0.711614;1.37553;-0.00533798;0.340974;1.39158;0.00593488;0.697613;1.3557;0.00453302;0.361461;1.37041;0.000233004;0.643274;1.22423;0.308887;0.407486;1.2051;0.600747
0.520941;0.388257;0.00134991;0.54553;0.33987;0.00198835;0.561832;0.339764;-0.00708039;0.578594;0.339065;0.00621425;0.504469;0.342618;-0.00459538;0.488585;0.34338;0.00454382;0.473119;0.344797;0.0130472;0.608222;0.373726;0.00346114;0.463135;0.378551;0.00676074;0.557235;0.446567;-0.00196601;0.49594;0.448518;0.00318789;0.715125;0.668798;-0.108667;0.378743;0.664545;0.122525;0.744598;1.06241;-0.144193;0.335604;1.05618;0.145732;0.734779;1.36995;0.104817;0.32574;1.23842;-0.253849;0.747998;1.47111;-0.0107718;0.313285;1.3052;-0.00649609;0.713854;1.46495;-0.00559557;0.334585;1.27538;0.00536529;0.693763;1.43472;0.00365018;0.352596;1.26411;0.00123133;0.635027;1.22385;0.311702;0.40341;1.19627;0.586889
0.521118;0.387333;0.00121637;0.545975;0.3393;0.00206843;0.562381;0.338974;-0.00642974;0.580081;0.339402;0.00650571;0.505106;0.341704;-0.00495525;0.489582;0.342114;0.00451325;0.473588;0.343109;0.0132462;0.609444;0.374333;0.00346004;0.464023;0.376849;0.0061155;0.557355;0.445601;-0.00244309;0.49617;0.446698;0.00364651;0.712773;0.663291;-0.106799;0.380477;0.66437;0.120998;0.745777;1.05328;-0.181;0.33901;1.046;0.192271;0.722648;1.35601;0.093649;0.338096;1.28154;-0.247742;0.734557;1.46047;-0.0105113;0.322608;1.36575;-0.0061086;0.696867;1.45184;-0.00552156;0.351897;1.34586;0.00551811;0.67694;1.42348;0.00425426;0.368602;1.32981;0.000674656;0.638535;1.22324;0.323324;0.408209;1.2038;0.60289
0.523135;0.391132;0.00122546;0.548096;0.343046;0.00224263;0.565005;0.343076;-0.0072139;0.581914;0.343105;0.00589471;0.507083;0.344966;-0.00486018;0.491481;0.345669;0.0046623;0.475436;0.346339;0.0131017;0.60998;0.377534;0.0038812;0.464827;0.379702;0.00672441;0.558303;0.449521;-0.00202739;0.497299;0.450543;0.00348718;0.714732;0.666566;-0.114756;0.382692;0.668337;0.12742;0.748647;1.06346;-0.152637;0.338537;1.05861;0.166302;0.729834;1.37213;0.130086;0.311214;1.21601;-0.281724;0.740112;1.47672;-0.0104286;0.296543;1.27438;-0.00668969;0.704758;1.47021;-0.00557532;0.314695;1.24159;0.00580792;0.686334;1.43969;0.00385343;0.334601;1.23299;0.00137734;0.641626;1.23373;0.300387;0.410593;1.21223;0.584333
0.522119;0.390552;0.00116257;0.545896;0.340897;0.00222928;0.562429;0.340892;-0.00650133;0.579408;0.340922;0.0066338;0.504267;0.342791;-0.00499888;0.488179;0.342829;0.00475835;0.472512;0.343535;0.0131282;0.606724;0.374792;0.00345285;0.45921;0.376199;0.00605861;0.556566;0.448482;-0.00237569;0.494863;0.449473;0.00401583;0.712174;0.658053;-0.100675;0.373495;0.668961;0.115455;0.750011;1.05116;-0.174912;0.33619;1.06394;0.177366;0.732997;1.35872;0.105471;0.342566;1.30847;-0.229349;0.746883;1.46401;-0.0107577;0.331727;1.39407;-0.00602027;0.708709;1.45727;-0.00578322;0.358975;1.37074;0.00556012;0.688378;1.42775;0.00417619;0.375337;1.35165;0.000339446;0.644663;1.21341;0.347147;0.410554;1.20055;0.610407
0.522892;0.389639;0.00147166;0.546463;0.342357;0.00225036;0.56306;0.341905;-0.00687358;0.580088;0.342112;0.00637661;0.505197;0.343498;-0.0049417;0.489481;0.344631;0.00472121;0.473332;0.345105;0.0132292;0.607018;0.377236;0.00377977;0.460401;0.378889;0.00639761;0.556855;0.448698;-0.00181639;0.495874;0.449499;0.00384277;0.710111;0.669863;-0.104098;0.373035;0.669721;0.117705;0.744401;1.06299;-0.178853;0.333901;1.05921;0.165078;0.737157;1.35843;0.146375;0.333434;1.29761;-0.206068;0.750932;1.45474;-0.0106954;0.319348;1.37851;-0.00610013;0.720613;1.44814;-0.00561366;0.345814;1.35943;0.00567316;0.698822;1.42283;0.00412275;0.364128;1.34376;0.000242142;0.634341;1.23731;0.318285;0.400891;1.21553;0.590428
0.518007;0.384265;0.00124869;0.544136;0.337651;0.0022796;0.560796;0.337682;-0.00732002;0.577006;0.337677;0.00566212;0.503112;0.338905;-0.00498421;0.487774;0.339619;0.00436602;0.472437;0.340332;0.0130032;0.606215;0.373918;0.00413419;0.463488;0.37357;0.00672992;0.553105;0.442743;-0.00232175;0.492777;0.442477;0.00324729;0.709232;0.665727;-0.131507;0.383276;0.664404;0.143647;0.728842;1.06432;-0.175231;0.341435;1.05688;0.170735;0.713076;1.37688;0.156685;0.307888;1.20153;-0.296959;0.724364;1.48023;-0.0105936;0.292733;1.25542;-0.00695823;0.691244;1.47507;-0.00570779;0.30849;1.22079;0.00584126;0.672634;1.44414;0.00370918;0.327692;1.21334;0.00173604;0.637589;1.23389;0.279875;0.409292;1.2108;0.597066
0.521068;0.384503;0.00120406;0.545009;0.337604;0.00219159;0.561732;0.336995;-0.0065871;0.57798;0.33699;0.00615406;0.503839;0.34014;-0.00548162;0.488466;0.340856;0.0045557;0.473068;0.342211;0.013484;0.605506;0.371893;0.00416843;0.461349;0.376593;0.00598507;0.555798;0.443082;-0.00270736;0.495255;0.444735;0.00413674;0.712486;0.661463;-0.108041;0.376252;0.672867;0.121673;0.737765;1.05565;-0.207069;0.332564;1.06483;0.171581;0.703911;1.34569;0.128996;0.324346;1.27601;-0.24988;0.710875;1.44509;-0.0105056;0.310109;1.35192;-0.00587945;0.677877;1.43479;-0.0056999;0.335002;1.32692;0.00606252;0.659926;1.40898;0.00446416;0.352698;1.31291;0.000792142;0.648502;1.23862;0.314322;0.412528;1.22518;0.582228
0.515024;0.385188;0.00134628;0.539977;0.338009;0.00161819;0.557173;0.33745;-0.00805828;0.574354;0.337534;0.00555817;0.498783;0.340126;-0.00436814;0.482943;0.340742;0.00449527;0.46709;0.342001;0.013228;0.603434;0.374136;0.00363717;0.457753;0.377621;0.00734497;0.551301;0.445247;-0.00160406;0.488872;0.446466;0.00298566;0.708557;0.666703;-0.135148;0.377505;0.668779;0.146786;0.749965;1.06526;-0.173228;0.337226;1.08125;0.0758792;0.739954;1.37097;0.102491;0.306112;1.16354;-0.299901;0.75322;1.47186;-0.0109186;0.291381;1.19764;-0.00709779;0.716306;1.46386;-0.00603135;0.303057;1.15826;0.00580536;0.698906;1.43097;0.00315869;0.32392;1.15529;0.00210815;0.631902;1.21848;0.317981;0.401356;1.19329;0.64003
