nose_x;nose_y;nose_z;right_eye_inner_x;right_eye_inner_y;right_eye_inner_z;right_eye_x;right_eye_y;right_eye_z;right_eye_outer_x;right_eye_outer_y;right_eye_outer_z;left_eye_inner_x;left_eye_inner_y;left_eye_inner_z;left_eye_x;left_eye_y;left_eye_z;left_eye_outer_x;left_eye_outer_y;left_eye_outer_z;right_ear_x;right_ear_y;right_ear_z;left_ear_x;left_ear_y;left_ear_z;mouth_right_x;mouth_right_y;mouth_right_z;mouth_left_x;mouth_left_y;mouth_left_z;right_shoulder_x;right_shoulder_y;right_shoulder_z;left_shoulder_x;left_shoulder_y;left_shoulder_z;right_elbow_x;right_elbow_y;right_elbow_z;left_elbow_x;left_elbow_y;left_elbow_z;right_wrist_x;right_wrist_y;right_wrist_z;left_wrist_x;left_wrist_y;left_wrist_z;right_pinky_1_x;right_pinky_1_y;right_pinky_1_z;left_pinky_1_x;left_pinky_1_y;left_pinky_1_z;right_index_1_x;right_index_1_y;right_index_1_z;left_index_1_x;left_index_1_y;left_index_1_z;right_thumb_2_x;right_thumb_2_y;right_thumb_2_z;left_thumb_2_x;left_thumb_2_y;left_thumb_2_z;right_hip_x;right_hip_y;right_hip_z;left_hip_x;left_hip_y;left_hip_z
0.478498;0.502969;4.85836e-05;0.499772;0.445881;-0.000269699;0.516832;0.444798;-0.00763364;0.534847;0.445199;0.00557377;0.453656;0.447306;-0.00771572;0.436097;0.448358;0.00547214;0.419059;0.448729;0.0127345;0.559992;0.474529;0.000781246;0.397089;0.479422;0.00514772;0.512184;0.564165;-0.00394581;0.447032;0.565838;0.00665256;0.672464;0.759957;-0.0579109;0.294869;0.760133;0.0788614;0.733827;1.21031;-0.313444;0.223384;1.23148;-0.266165;0.673243;1.39032;-0.0538146;0.359122;1.21423;-0.194871;0.661771;1.47081;-0.0128595;0.400371;1.24099;-0.00567149;0.635169;1.42358;-0.00817695;0.417363;1.17652;0.00659784;0.623694;1.40578;0.000519365;0.418602;1.18514;0.00103873;0.621999;1.3957;0.473794;0.34724;1.39013;0.666413
0.476459;0.492238;0.000413447;0.501111;0.438961;-0.000580089;0.519029;0.440932;-0.00751297;0.536945;0.442195;0.00459795;0.454338;0.437235;-0.00759459;0.437421;0.436671;0.00526647;0.420006;0.436111;0.0123908;0.561967;0.477361;0.00128455;0.397258;0.468852;0.00513432;0.507588;0.5599;-0.0027751;0.442897;0.556203;0.00713208;0.662627;0.753873;-0.085445;0.289497;0.753498;0.103417;0.741093;1.19543;-0.425608;0.208397;1.22684;-0.350984;0.665873;1.29089;-0.0453344;0.347344;1.14217;-0.197133;0.646234;1.35332;-0.0125929;0.389162;1.14889;-0.00520039;0.624084;1.29124;-0.00865955;0.404803;1.08224;0.00720981;0.619073;1.28279;0.000209274;0.407362;1.0992;0.000640332;0.615538;1.38896;0.466652;0.336927;1.38707;0.716395
0.476767;0.484026;-0.00129121;0.501434;0.431932;-0.0025998;0.518247;0.432598;-0.00764103;0.536049;0.433966;0.00330866;0.454954;0.43133;-0.00714656;0.438142;0.431367;0.00280841;0.420836;0.431405;0.0125161;0.561801;0.470478;0.000850827;0.399118;0.466615;0.00441542;0.509475;0.551465;-0.00235837;0.445688;0.550198;0.00608423;0.664948;0.745922;-0.0943192;0.297552;0.73899;0.10872;0.732662;1.17827;-0.462325;0.214441;1.1583;-0.746147;0.636771;1.21083;-0.144755;0.364395;0.821827;-0.169849;0.611108;1.25589;-0.0122303;0.407826;0.746485;-0.00482103;0.593239;1.19264;-0.00891582;0.406789;0.702183;0.00768352;0.592254;1.19686;-0.00146408;0.412284;0.753507;0.00169296;0.621133;1.38104;0.499409;0.344723;1.37743;0.748125
0.475726;0.478778;0.000269596;0.500688;0.428883;-0.00118035;0.517438;0.430177;-0.00792674;0.534191;0.432172;0.00369017;0.455859;0.426367;-0.00714176;0.439113;0.426473;0.00445975;0.422857;0.425876;0.0126597;0.559913;0.467033;0.00132177;0.402765;0.458227;0.00564492;0.506965;0.545126;-0.00230106;0.4444;0.541322;0.00642605;0.658299;0.741003;-0.0971526;0.300223;0.741183;0.112421;0.727627;1.17207;-0.447222;0.219433;1.20613;-0.463476;0.649962;1.2216;-0.0273203;0.318754;0.995347;-0.211421;0.624496;1.268;-0.0119055;0.354586;0.955891;-0.00551409;0.611487;1.20363;-0.00883485;0.354871;0.890042;0.00759967;0.608519;1.19945;0.000175201;0.364326;0.920803;0.00129772;0.61498;1.37453;0.4322;0.344075;1.37206;0.689057
0.475102;0.478994;-0.000923613;0.499576;0.426078;-0.00211303;0.518179;0.426773;-0.00832208;0.535802;0.428164;0.00337893;0.45405;0.426082;-0.0066546;0.436916;0.426084;0.00329862;0.419782;0.426085;0.0128809;0.563217;0.464366;0.00112918;0.401181;0.461594;0.00520512;0.509372;0.545828;-0.00222011;0.444264;0.545138;0.00557227;0.667989;0.747025;-0.0972337;0.303286;0.748447;0.111675;0.735562;1.1745;-0.380368;0.225468;1.17176;-0.715209;0.658219;1.26641;-0.118345;0.34441;0.820851;-0.2023;0.640599;1.32629;-0.0120471;0.378674;0.737301;-0.00546901;0.619057;1.27198;-0.00862039;0.375735;0.694832;0.00756483;0.61612;1.27198;-0.000988629;0.386018;0.749833;0.00205375;0.623956;1.37642;0.468729;0.353734;1.37922;0.733811
0.475105;0.46764;0.000497006;0.500755;0.417306;-0.00120408;0.518366;0.419207;-0.00710036;0.535976;0.421108;0.00442674;0.455764;0.414998;-0.00765418;0.43865;0.414483;0.00448786;0.422025;0.413962;0.01265;0.563552;0.459061;0.00120981;0.402654;0.449628;0.00460626;0.50724;0.536139;-0.00299063;0.443661;0.531941;0.0064014;0.663801;0.745874;-0.0979002;0.295134;0.739319;0.115684;0.730606;1.18253;-0.451734;0.218853;1.20738;-0.395267;0.639058;1.25303;-0.0583918;0.367879;1.09595;-0.174534;0.611956;1.30616;-0.0126347;0.412366;1.09549;-0.00457952;0.594024;1.24238;-0.00895279;0.424752;1.03278;0.00715765;0.592032;1.23544;7.9373e-05;0.426305;1.04945;0.0010217;0.611289;1.36596;0.45809;0.33746;1.35772;0.733824
0.484537;0.462825;-0.00148431;0.511191;0.41501;-0.00326815;0.527677;0.416702;-0.00748792;0.545126;0.419102;0.00251746;0.465597;0.412079;-0.00690405;0.449105;0.411078;0.00212885;0.432606;0.410766;0.0131787;0.569992;0.458916;0.00144451;0.412363;0.447658;0.0039885;0.516883;0.533152;-0.00178194;0.453348;0.528501;0.00528894;0.669145;0.755527;-0.102033;0.3072;0.743173;0.114651;0.728248;1.18322;-0.44186;0.229758;1.13654;-0.870131;0.624353;1.18678;-0.125934;0.359444;0.709647;-0.132728;0.592962;1.22208;-0.0117759;0.39591;0.598513;-0.00458754;0.577988;1.16244;-0.00931156;0.386488;0.567964;0.00781777;0.579852;1.17076;-0.00101703;0.396086;0.631649;0.00144545;0.622563;1.37864;0.464911;0.351754;1.37767;0.726969
0.482119;0.466578;0.000326596;0.508421;0.418934;-0.000773292;0.524946;0.421045;-0.00768261;0.542442;0.423849;0.00426474;0.464676;0.41538;-0.00731044;0.448636;0.414652;0.00426854;0.433082;0.413235;0.0129499;0.56865;0.461931;0.00178963;0.414572;0.447761;0.00463311;0.512182;0.534396;-0.00291658;0.45094;0.528728;0.0064066;0.666529;0.744907;-0.112714;0.305851;0.739263;0.128208;0.724379;1.18127;-0.449882;0.222212;1.20642;-0.422661;0.632889;1.27509;0.0222693;0.361366;1.0892;-0.173293;0.609491;1.33449;-0.012479;0.402205;1.08238;-0.00492932;0.593026;1.27777;-0.00870417;0.415391;1.0271;0.00725347;0.591091;1.26946;0.000322324;0.419258;1.04647;0.00107853;0.61335;1.36077;0.418772;0.346494;1.3505;0.720395
0.485307;0.458433;-0.00124056;0.512339;0.410299;-0.00311788;0.528713;0.412703;-0.00732089;0.546052;0.415127;0.00271472;0.46752;0.406608;-0.00671427;0.451138;0.404889;0.00225693;0.434743;0.404543;0.0129613;0.571683;0.45477;0.00103521;0.415088;0.439113;0.00424258;0.515928;0.528365;-0.00214766;0.453771;0.522249;0.00532771;0.664134;0.746897;-0.102063;0.308363;0.728403;0.115205;0.717566;1.17265;-0.486141;0.229894;1.12942;-0.81361;0.615491;1.1554;-0.114783;0.378668;0.739492;-0.127805;0.586313;1.17811;-0.0117255;0.42264;0.639581;-0.00433677;0.575327;1.12163;-0.00920104;0.413361;0.6044;0.00742263;0.575184;1.13534;-0.00109738;0.418971;0.667629;0.00175487;0.609455;1.36382;0.476736;0.344257;1.35547;0.742715
0.486684;0.463982;-0.00126195;0.513968;0.415456;-0.0030607;0.530326;0.41803;-0.00693507;0.547637;0.42132;0.00279701;0.469179;0.411299;-0.00702548;0.4528;0.410096;0.00235815;0.43642;0.408894;0.0129435;0.57308;0.459849;0.00115459;0.417085;0.44258;0.00394783;0.516949;0.533531;-0.00234685;0.454838;0.526769;0.0058238;0.666006;0.74813;-0.105778;0.309454;0.725903;0.119038;0.716193;1.17911;-0.527502;0.225971;1.13071;-0.780645;0.594285;1.14096;-0.101137;0.377457;0.756858;-0.136215;0.560284;1.15635;-0.011399;0.418997;0.660081;-0.00404954;0.549635;1.09703;-0.00911617;0.412826;0.622846;0.00771107;0.552292;1.1122;-0.000950229;0.418152;0.683376;0.00166125;0.609095;1.36642;0.478079;0.343042;1.35528;0.748822
