nose_x;nose_y;nose_z;right_eye_inner_x;right_eye_inner_y;right_eye_inner_z;right_eye_x;right_eye_y;right_eye_z;right_eye_outer_x;right_eye_outer_y;right_eye_outer_z;left_eye_inner_x;left_eye_inner_y;left_eye_inner_z;left_eye_x;left_eye_y;left_eye_z;left_eye_outer_x;left_eye_outer_y;left_eye_outer_z;right_ear_x;right_ear_y;right_ear_z;left_ear_x;left_ear_y;left_ear_z;mouth_right_x;mouth_right_y;mouth_right_z;mouth_left_x;mouth_left_y;mouth_left_z;right_shoulder_x;right_shoulder_y;right_shoulder_z;left_shoulder_x;left_shoulder_y;left_shoulder_z;right_elbow_x;right_elbow_y;right_elbow_z;left_elbow_x;left_elbow_y;left_elbow_z;right_wrist_x;right_wrist_y;right_wrist_z;left_wrist_x;left_wrist_y;left_wrist_z;right_pinky_1_x;right_pinky_1_y;right_pinky_1_z;left_pinky_1_x;left_pinky_1_y;left_pinky_1_z;right_index_1_x;right_index_1_y;right_index_1_z;left_index_1_x;left_index_1_y;left_index_1_z;right_thumb_2_x;right_thumb_2_y;right_thumb_2_z;left_thumb_2_x;left_thumb_2_y;left_thumb_2_z;right_hip_x;right_hip_y;right_hip_z;left_hip_x;left_hip_y;left_hip_z
0.456473;0.455576;0.00156105;0.470476;0.418728;5.99214e-05;0.482369;0.417636;-0.00612198;0.49503;0.417004;0.00375641;0.440047;0.422583;-0.00430052;0.42855;0.424169;0.0027773;0.417052;0.425755;0.010859;0.514813;0.441728;0.00109913;0.406334;0.452748;0.00394554;0.482371;0.499909;-0.00209497;0.437795;0.504532;0.00483008;0.595554;0.674765;-0.0731379;0.325963;0.671914;0.0814247;0.630714;0.988953;-0.343017;0.25105;0.986652;-0.108194;0.62405;1.07237;-0.0610336;0.371496;1.09131;-0.213781;0.625034;1.1105;-0.00971835;0.400812;1.15337;-0.00451874;0.613739;1.07544;-0.00590957;0.431791;1.11231;0.00398045;0.604339;1.06569;0.00150285;0.426335;1.09901;-0.000333341;0.552188;1.15009;0.264246;0.353957;1.14069;0.46257
0.456292;0.458237;0.00140921;0.470262;0.421623;0.000727499;0.482191;0.420411;-0.00472983;0.49336;0.420233;0.00474727;0.440062;0.424906;-0.00434319;0.428877;0.426142;0.00354665;0.417684;0.427907;0.0107504;0.513846;0.443112;0.00139613;0.407244;0.452986;0.00430249;0.481674;0.501385;-0.00203496;0.438438;0.505316;0.00493623;0.599015;0.662299;-0.0551184;0.331264;0.671331;0.0654443;0.64353;0.958549;-0.301221;0.258454;0.972883;0.0292337;0.64317;1.02947;-0.0524206;0.332544;1.16261;-0.13954;0.644032;1.06973;-0.00922709;0.34203;1.24654;-0.00422109;0.629745;1.03116;-0.00503507;0.379288;1.22019;0.00434319;0.618683;1.02446;0.00278644;0.382222;1.19911;-0.00164977;0.565598;1.13501;0.261963;0.370562;1.13522;0.414527
0.456116;0.463311;0.00131544;0.470968;0.424583;0.00128361;0.482812;0.42332;-0.00537176;0.495403;0.42257;0.00538913;0.440985;0.427748;-0.00459899;0.429511;0.429005;0.00332551;0.418041;0.430788;0.0110387;0.516345;0.444858;0.00231107;0.408983;0.454133;0.00408092;0.482785;0.504994;-0.00227924;0.438365;0.509468;0.00536018;0.601271;0.666246;-0.0658504;0.328949;0.665265;0.0758067;0.632114;0.973425;-0.236913;0.261695;0.982083;0.0272293;0.614298;1.1392;0.0275766;0.332874;1.19897;-0.131979;0.61636;1.20555;-0.00926166;0.338861;1.29055;-0.00401146;0.596867;1.17955;-0.00486526;0.382027;1.26976;0.0040896;0.585606;1.16289;0.00264536;0.387354;1.24332;-0.000955108;0.553463;1.13079;0.264698;0.358873;1.12158;0.444189
0.459277;0.461035;0.00165923;0.473312;0.422201;0.000695552;0.485885;0.421113;-0.00460722;0.49771;0.420522;0.00507717;0.442613;0.42521;-0.00366732;0.431157;0.425815;0.00434774;0.419312;0.427456;0.0107194;0.517188;0.44438;0.00124551;0.408499;0.452238;0.00479174;0.485012;0.505088;-0.000978097;0.439905;0.508588;0.00458704;0.598454;0.672781;-0.0434774;0.328217;0.672794;0.0536951;0.643363;0.987454;-0.305011;0.255077;0.982886;0.0769446;0.668528;0.984231;-0.0310223;0.314977;1.20888;-0.105637;0.671956;0.998015;-0.00962961;0.31835;1.30247;-0.00396717;0.670668;0.94966;-0.00477156;0.360439;1.2831;0.00419782;0.657328;0.952293;0.00307917;0.365738;1.25706;-0.00222577;0.55791;1.13115;0.284713;0.365202;1.13102;0.411478
0.456552;0.457441;0.0016563;0.472454;0.418333;0.000684264;0.484948;0.417877;-0.00464166;0.49744;0.417943;0.00500048;0.441952;0.420261;-0.0034389;0.430559;0.421245;0.00408765;0.418799;0.422228;0.0105464;0.517956;0.441045;0.00145464;0.409551;0.445694;0.00474787;0.482523;0.501475;-0.000845373;0.437325;0.503325;0.00445507;0.601141;0.665147;-0.064943;0.329982;0.663182;0.0736695;0.642916;0.987272;-0.334177;0.253471;0.974749;0.0717864;0.662017;0.989464;-0.0234006;0.31245;1.182;-0.14394;0.665652;1.00411;-0.00949;0.314794;1.26876;-0.0042972;0.663574;0.956028;-0.00471629;0.356001;1.24808;0.00429432;0.650339;0.959093;0.00275285;0.361203;1.22616;-0.00173668;0.561714;1.12689;0.260323;0.365519;1.12166;0.432096
0.453849;0.455592;0.00170281;0.468303;0.416559;0.000444695;0.48005;0.41508;-0.00453796;0.491796;0.414123;0.00531197;0.438931;0.421038;-0.00290395;0.428284;0.422525;0.00440323;0.417271;0.424009;0.0107558;0.513733;0.435683;0.00115312;0.410211;0.447963;0.00540657;0.480482;0.497539;-0.000479095;0.437532;0.50244;0.00384996;0.600211;0.669078;-0.0628836;0.336403;0.662949;0.0709104;0.640111;0.996065;-0.348406;0.253507;0.954583;0.103017;0.676953;0.955631;-0.0202388;0.293851;1.1605;-0.137234;0.683573;0.951506;-0.00923073;0.290239;1.24502;-0.00422836;0.688156;0.902484;-0.00445483;0.329562;1.22861;0.00404489;0.673441;0.912812;0.00273769;0.335509;1.20778;-0.00169565;0.557414;1.13323;0.247315;0.366641;1.12346;0.407299
0.455088;0.454405;0.00155293;0.472068;0.41781;0.000518599;0.483808;0.417595;-0.0047648;0.496275;0.417921;0.00521464;0.442713;0.418607;-0.003103;0.432072;0.41885;0.00441812;0.421058;0.419605;0.0106757;0.517253;0.440903;0.00144334;0.413435;0.441838;0.00529773;0.480562;0.498371;-0.00064789;0.437274;0.498803;0.00366171;0.600162;0.666873;-0.0728903;0.334671;0.660969;0.0812338;0.644442;0.986778;-0.313383;0.253815;0.956732;0.0999377;0.675189;0.991756;-0.00849241;0.286928;1.14749;-0.143855;0.683094;1.00448;-0.00920871;0.284082;1.22567;-0.00441239;0.682221;0.958552;-0.0043952;0.318453;1.2057;0.00421182;0.66822;0.963403;0.00281361;0.325283;1.18814;-0.00139176;0.560483;1.12543;0.233432;0.368695;1.12146;0.425423
0.453019;0.453319;0.00142648;0.470404;0.417018;0.000100422;0.482127;0.416608;-0.00470436;0.49385;0.416198;0.0051851;0.441459;0.418828;-0.0018786;0.430835;0.419248;0.00437529;0.420577;0.419672;0.0102901;0.517182;0.439862;0.0012555;0.414976;0.44254;0.0060035;0.479556;0.496287;0.000229638;0.436332;0.49692;0.0029159;0.599639;0.665168;-0.09308;0.345151;0.648169;0.0977958;0.639084;1.00207;-0.393747;0.261046;0.930763;0.118948;0.692901;0.929646;0.00133491;0.257716;1.09431;-0.167205;0.705423;0.915179;-0.00913974;0.245693;1.15879;-0.00454412;0.715917;0.864226;-0.00406338;0.270682;1.14131;0.00408341;0.698278;0.876562;0.002325;0.28063;1.1289;-0.00098723;0.556479;1.1211;0.206763;0.369023;1.1037;0.424515
0.456293;0.451759;0.00183195;0.471628;0.414538;0.000385038;0.482941;0.413964;-0.00431869;0.495346;0.413434;0.00545743;0.441686;0.416943;-0.00280558;0.430728;0.41805;0.00475426;0.419769;0.419157;0.0110344;0.514555;0.437033;0.00148464;0.411263;0.443177;0.00595563;0.482014;0.495844;-5.26224e-05;0.438221;0.498201;0.00349025;0.598633;0.677931;-0.0537487;0.333699;0.673316;0.0624032;0.642321;1.00532;-0.319577;0.256637;0.968802;0.138107;0.684269;0.950001;-0.00355003;0.271045;1.17574;-0.101303;0.689557;0.940884;-0.00891637;0.262209;1.25211;-0.00386034;0.696369;0.892427;-0.00443256;0.293099;1.23886;0.00441263;0.681569;0.903228;0.00341623;0.302947;1.2206;-0.00196433;0.555092;1.13655;0.251981;0.36487;1.13292;0.39027
0.453531;0.4559;0.00147215;0.471846;0.420969;0.000294858;0.483548;0.420721;-0.00555447;0.495243;0.420993;0.00513753;0.442223;0.42184;-0.00259161;0.431618;0.422114;0.00393525;0.421007;0.422907;0.0107777;0.517629;0.445431;0.00185054;0.414159;0.446146;0.00584004;0.478979;0.500167;-0.000466204;0.436205;0.500212;0.00349546;0.596984;0.666172;-0.0955882;0.339674;0.660712;0.101985;0.646055;0.9772;-0.351648;0.24857;0.953404;0.0615475;0.670526;1.01105;-0.00431792;0.259594;1.10756;-0.175733;0.678328;1.03202;-0.00905278;0.251202;1.16976;-0.00486623;0.67152;0.988191;-0.00426937;0.279596;1.14859;0.00439788;0.660543;0.988976;0.00255734;0.289619;1.1353;-0.000628269;0.554425;1.12482;0.207077;0.365161;1.11522;0.438646
