nose_x;nose_y;nose_z;right_eye_inner_x;right_eye_inner_y;right_eye_inner_z;right_eye_x;right_eye_y;right_eye_z;right_eye_outer_x;right_eye_outer_y;right_eye_outer_z;left_eye_inner_x;left_eye_inner_y;left_eye_inner_z;left_eye_x;left_eye_y;left_eye_z;left_eye_outer_x;left_eye_outer_y;left_eye_outer_z;right_ear_x;right_ear_y;right_ear_z;left_ear_x;left_ear_y;left_ear_z;mouth_right_x;mouth_right_y;mouth_right_z;mouth_left_x;mouth_left_y;mouth_left_z;right_shoulder_x;right_shoulder_y;right_shoulder_z;left_shoulder_x;left_shoulder_y;left_shoulder_z;right_elbow_x;right_elbow_y;right_elbow_z;left_elbow_x;left_elbow_y;left_elbow_z;right_wrist_x;right_wrist_y;right_wrist_z;left_wrist_x;left_wrist_y;left_wrist_z;right_pinky_1_x;right_pinky_1_y;right_pinky_1_z;left_pinky_1_x;left_pinky_1_y;left_pinky_1_z;right_index_1_x;right_index_1_y;right_index_1_z;left_index_1_x;left_index_1_y;left_index_1_z;right_thumb_2_x;right_thumb_2_y;right_thumb_2_z;left_thumb_2_x;left_thumb_2_y;left_thumb_2_z;right_hip_x;right_hip_y;right_hip_z;left_hip_x;left_hip_y;left_hip_z
0.483523;0.491671;-0.000222803;0.505197;0.437577;0.000203017;0.522043;0.437652;-0.00834733;0.538889;0.437726;0.00586711;0.461824;0.43826;-0.00646656;0.445413;0.438926;0.0049567;0.428567;0.438852;0.0133752;0.565852;0.468521;0.000793802;0.410331;0.46873;0.00497918;0.516389;0.551287;-0.00401256;0.453739;0.552273;0.00552992;0.672651;0.762752;-0.066419;0.306878;0.745299;0.0866204;0.710436;1.19069;-0.205611;0.227569;1.17487;-0.300204;0.669664;1.45806;0.00498292;0.354663;1.18271;-0.190745;0.671982;1.55969;-0.0129106;0.386966;1.21281;-0.00617807;0.639733;1.53644;-0.00720088;0.41036;1.17742;0.00566105;0.624064;1.50981;0.000947411;0.412886;1.18322;0.000946474;0.603529;1.36069;0.420813;0.346644;1.34193;0.635896
0.480767;0.496038;0.00047507;0.505311;0.442028;0.000442186;0.522484;0.443434;-0.00758992;0.540612;0.444881;0.00562714;0.461388;0.44017;-0.00736976;0.444692;0.438784;0.00551519;0.427982;0.438077;0.0125379;0.56668;0.477925;0.00138906;0.409665;0.468564;0.00476143;0.513372;0.559261;-0.00369048;0.449411;0.555876;0.00652644;0.670708;0.758924;-0.0837653;0.301068;0.748724;0.102095;0.720064;1.18644;-0.323837;0.2248;1.19675;-0.234997;0.665055;1.39479;-0.0215384;0.365606;1.22718;-0.244072;0.6613;1.48298;-0.0125081;0.401965;1.27085;-0.00527638;0.629545;1.44766;-0.00776904;0.429893;1.21495;0.00617941;0.617586;1.42541;0.00073651;0.428882;1.21762;0.000689399;0.609429;1.35846;0.440857;0.346397;1.34597;0.700213
0.485734;0.489188;0.000594618;0.512019;0.435151;-0.000363352;0.529093;0.436244;-0.00641428;0.547108;0.438035;0.00509805;0.465533;0.432664;-0.00797891;0.448459;0.431571;0.00490896;0.431377;0.431153;0.0120425;0.574197;0.474476;0.00136072;0.411047;0.463733;0.00429349;0.519099;0.55616;-0.00309405;0.453166;0.552522;0.0071039;0.675235;0.754399;-0.0813909;0.300403;0.742526;0.100967;0.730617;1.19859;-0.424751;0.214577;1.20622;-0.300411;0.636567;1.2827;-0.0765264;0.371444;1.1871;-0.192918;0.610225;1.34146;-0.0123466;0.417112;1.21793;-0.00436764;0.590147;1.27481;-0.0086463;0.439314;1.14826;0.00697784;0.58743;1.26395;0.00045952;0.436893;1.15225;0.000285491;0.614823;1.35372;0.482413;0.342028;1.343;0.725162
0.483647;0.482236;-0.00101859;0.508572;0.431309;-0.0017364;0.525563;0.432539;-0.00825205;0.543487;0.434471;0.00369607;0.463718;0.429163;-0.00642523;0.4472;0.427949;0.00305023;0.430198;0.42739;0.0124962;0.570289;0.471641;0.00101398;0.411685;0.461727;0.0047571;0.516109;0.54916;-0.00248004;0.452375;0.545722;0.00486413;0.672429;0.757917;-0.0979026;0.308369;0.742599;0.113669;0.725183;1.17563;-0.294062;0.233092;1.1299;-0.67221;0.664048;1.33222;-0.115381;0.360701;0.837057;-0.213992;0.657116;1.40995;-0.0122747;0.398134;0.772428;-0.00545831;0.626579;1.36997;-0.00808228;0.400151;0.735533;0.00667249;0.617308;1.35891;-0.00108133;0.406482;0.782111;0.00189509;0.616473;1.35216;0.448533;0.354345;1.3449;0.72559
0.485067;0.481043;0.000212625;0.50949;0.429128;-0.00123525;0.526445;0.430725;-0.00682609;0.544342;0.432336;0.00438504;0.465203;0.42712;-0.00739309;0.448243;0.426193;0.00447709;0.43175;0.425945;0.0120911;0.56953;0.467571;0.000870749;0.411241;0.458479;0.00466854;0.516155;0.54653;-0.00285525;0.453494;0.543574;0.00625541;0.667339;0.749899;-0.082885;0.303587;0.737707;0.1015;0.729171;1.17982;-0.41307;0.22572;1.19367;-0.39257;0.646654;1.24828;-0.0852414;0.373168;1.07658;-0.17979;0.622702;1.30021;-0.012069;0.417024;1.07322;-0.00466486;0.605245;1.23962;-0.00874799;0.428332;1.01039;0.00699545;0.601535;1.23152;-0.000189614;0.430087;1.02784;0.000828869;0.611955;1.35099;0.460198;0.342452;1.34022;0.705024
0.484013;0.483338;-0.0013616;0.508247;0.429941;-0.00259483;0.526074;0.43112;-0.00817875;0.5439;0.432299;0.00353557;0.463199;0.427981;-0.00646231;0.446302;0.427496;0.00267368;0.428935;0.426998;0.0124038;0.570611;0.469127;0.000755984;0.4092;0.461158;0.00469086;0.516869;0.550393;-0.00202268;0.452117;0.5472;0.00479722;0.672653;0.756538;-0.0891961;0.305203;0.74199;0.105334;0.732418;1.17763;-0.315472;0.231242;1.12319;-0.789151;0.64822;1.28741;-0.151751;0.367025;0.753113;-0.185317;0.630377;1.35368;-0.0118684;0.40635;0.662084;-0.00489992;0.603854;1.3035;-0.0085015;0.400271;0.627184;0.0069391;0.600156;1.29939;-0.00147529;0.407465;0.682818;0.0020997;0.614418;1.35322;0.488231;0.349663;1.34829;0.740797
0.484623;0.480127;-4.21389e-05;0.508202;0.427916;-0.00139703;0.525097;0.428295;-0.00726748;0.541983;0.429342;0.00430842;0.463613;0.427584;-0.00715381;0.447181;0.427883;0.00409208;0.430748;0.428181;0.0123789;0.568832;0.463324;0.000885518;0.411607;0.461132;0.00474476;0.517239;0.54428;-0.00297739;0.454816;0.543547;0.00594746;0.6717;0.753364;-0.0837191;0.306179;0.740491;0.102551;0.723284;1.18111;-0.385096;0.225635;1.18864;-0.444233;0.641531;1.27274;-0.102023;0.370968;1.03569;-0.202874;0.621184;1.3297;-0.0119756;0.412443;1.02059;-0.0049391;0.601128;1.27584;-0.00855818;0.423858;0.964772;0.00694848;0.596553;1.26506;-0.000408383;0.426422;0.987527;0.00125769;0.610593;1.35349;0.456905;0.342266;1.33813;0.696974
0.488096;0.479318;0.000403455;0.51116;0.428285;-0.00121128;0.52708;0.428941;-0.00618447;0.543922;0.430302;0.00432547;0.466198;0.427097;-0.00767021;0.450265;0.427107;0.00461823;0.433851;0.427763;0.0121347;0.568527;0.46464;0.000981648;0.413039;0.460228;0.00473533;0.519099;0.544577;-0.00279033;0.45775;0.542714;0.00639672;0.668506;0.755341;-0.0608347;0.307887;0.745137;0.0812691;0.731136;1.17713;-0.390185;0.225642;1.19361;-0.370746;0.641579;1.20276;-0.0882367;0.363976;1.07402;-0.13338;0.611708;1.24285;-0.0117468;0.409088;1.06788;-0.00446453;0.59811;1.17431;-0.00878268;0.417468;1.00158;0.00704445;0.597227;1.17161;0.000361828;0.420393;1.01903;0.000236492;0.614965;1.35895;0.465834;0.347147;1.34791;0.65109
0.486143;0.481012;4.32583e-05;0.509673;0.428996;-0.00129381;0.526505;0.430056;-0.00700995;0.544272;0.431139;0.00436751;0.465229;0.428617;-0.00736081;0.44839;0.428221;0.00423959;0.432019;0.427837;0.0122729;0.569136;0.46566;0.00107178;0.411519;0.460627;0.00464528;0.517669;0.546299;-0.00276305;0.45499;0.544827;0.00622416;0.669702;0.750165;-0.079295;0.30671;0.742969;0.0975399;0.730227;1.17879;-0.403726;0.230717;1.20299;-0.427585;0.635873;1.24578;-0.0816341;0.368564;1.05717;-0.173209;0.609996;1.29841;-0.011827;0.409912;1.04218;-0.00462335;0.591046;1.23807;-0.0087131;0.417623;0.982468;0.00726579;0.589268;1.23005;-0.00011764;0.422054;1.00387;0.000975838;0.613151;1.34906;0.467349;0.345658;1.33745;0.696112
0.484655;0.481027;-0.000387011;0.507813;0.42929;-0.00196262;0.524594;0.430453;-0.00665139;0.542308;0.431644;0.00397626;0.463505;0.427971;-0.00730742;0.446704;0.428135;0.00375029;0.43038;0.427649;0.0124354;0.566986;0.466887;0.000955796;0.409827;0.460882;0.00458126;0.516347;0.547006;-0.00265691;0.453858;0.544482;0.00602452;0.667294;0.753239;-0.0725421;0.305761;0.747125;0.0902694;0.729231;1.17383;-0.414959;0.234799;1.19362;-0.545815;0.628057;1.20002;-0.107997;0.369663;0.970678;-0.126657;0.598535;1.24028;-0.0116773;0.411818;0.928133;-0.00419129;0.581749;1.17608;-0.00895113;0.410286;0.87367;0.00727097;0.581749;1.17608;-0.000128928;0.415395;0.907003;0.000782677;0.614599;1.35358;0.480037;0.346882;1.34561;0.686234
