nose_x;nose_y;nose_z;right_eye_inner_x;right_eye_inner_y;right_eye_inner_z;right_eye_x;right_eye_y;right_eye_z;right_eye_outer_x;right_eye_outer_y;right_eye_outer_z;left_eye_inner_x;left_eye_inner_y;left_eye_inner_z;left_eye_x;left_eye_y;left_eye_z;left_eye_outer_x;left_eye_outer_y;left_eye_outer_z;right_ear_x;right_ear_y;right_ear_z;left_ear_x;left_ear_y;left_ear_z;mouth_right_x;mouth_right_y;mouth_right_z;mouth_left_x;mouth_left_y;mouth_left_z;right_shoulder_x;right_shoulder_y;right_shoulder_z;left_shoulder_x;left_shoulder_y;left_shoulder_z;right_elbow_x;right_elbow_y;right_elbow_z;left_elbow_x;left_elbow_y;left_elbow_z;right_wrist_x;right_wrist_y;right_wrist_z;left_wrist_x;left_wrist_y;left_wrist_z;right_pinky_1_x;right_pinky_1_y;right_pinky_1_z;left_pinky_1_x;left_pinky_1_y;left_pinky_1_z;right_index_1_x;right_index_1_y;right_index_1_z;left_index_1_x;left_index_1_y;left_index_1_z;right_thumb_2_x;right_thumb_2_y;right_thumb_2_z;left_thumb_2_x;left_thumb_2_y;left_thumb_2_z;right_hip_x;right_hip_y;right_hip_z;left_hip_x;left_hip_y;left_hip_z
0.542317;0.235383;0.000140137;0.555903;0.181091;0.00305169;0.571048;0.178974;-0.00605721;0.587072;0.178006;0.00624846;0.516265;0.183485;-0.00567472;0.499802;0.183879;0.00276647;0.483356;0.184873;0.0117253;0.601318;0.202379;0.00525596;0.459248;0.212164;0.00317699;0.570845;0.285328;-0.00217954;0.510985;0.289546;0.00676614;0.69429;0.458111;-0.0378535;0.367371;0.488077;0.0522299;0.711569;0.838577;-0.0634672;0.3411;0.881389;0.148565;0.701613;1.12756;0.0714336;0.387272;1.18261;-0.190454;0.71643;1.2276;-0.00946996;0.382099;1.29226;-0.00482071;0.683252;1.22;-0.0063177;0.423065;1.27777;0.00630122;0.663731;1.18873;0.00324623;0.436363;1.24212;-0.00182673;0.673863;0.962218;0.42839;0.454598;0.989885;0.539392
0.534418;0.238314;0.000467218;0.549569;0.183128;0.00303154;0.564748;0.181149;-0.00608624;0.580808;0.179661;0.00647325;0.508939;0.186005;-0.00537838;0.49238;0.18635;0.0023303;0.47582;0.186694;0.0120799;0.597687;0.204066;0.00526592;0.453833;0.214957;0.00299681;0.564037;0.288875;-0.00179279;0.504356;0.293026;0.00684702;0.692191;0.456598;-0.0469699;0.363166;0.490415;0.0610741;0.716535;0.834372;-0.0473404;0.338838;0.884813;0.150833;0.706181;1.12234;0.0855249;0.392204;1.19834;-0.178883;0.719419;1.2222;-0.00968506;0.388929;1.31244;-0.00455476;0.685605;1.2121;-0.00639386;0.432848;1.29463;0.00622847;0.666421;1.17832;0.00318866;0.445898;1.25302;-0.00197141;0.668132;0.927755;0.477161;0.452759;0.957038;0.605872
0.538833;0.242579;0.000368459;0.552776;0.18564;0.00312281;0.567932;0.183537;-0.00628198;0.58397;0.181916;0.00643069;0.511356;0.18897;-0.00543271;0.494814;0.189452;0.00226528;0.477892;0.190592;0.0119427;0.60005;0.205676;0.00530383;0.454276;0.218046;0.00278905;0.567789;0.29296;-0.00167128;0.507341;0.297721;0.00722378;0.692689;0.453332;-0.0442547;0.3624;0.489493;0.057896;0.719572;0.832813;-0.0513397;0.332943;0.884045;0.134615;0.709654;1.1219;0.0788866;0.392262;1.19737;-0.198908;0.723291;1.22155;-0.00974186;0.390045;1.31373;-0.00467596;0.688708;1.21305;-0.0063712;0.437893;1.29259;0.00635138;0.66848;1.17839;0.00296585;0.450256;1.24977;-0.0021744;0.668582;0.919674;0.495315;0.452698;0.95084;0.616288
0.536494;0.238821;0.00045311;0.551219;0.182373;0.0030752;0.56724;0.180703;-0.00619993;0.58326;0.179034;0.00648715;0.510643;0.185112;-0.00532507;0.494118;0.185645;0.00242649;0.477131;0.18564;0.0119179;0.599445;0.203916;0.00543402;0.45358;0.213141;0.00299762;0.566383;0.289541;-0.00157639;0.505497;0.29335;0.00703187;0.694225;0.453194;-0.0476979;0.362002;0.48766;0.0615371;0.721752;0.833417;-0.0477507;0.336253;0.883296;0.149168;0.710525;1.1213;0.081398;0.387253;1.19254;-0.186566;0.72262;1.22105;-0.0095475;0.382864;1.3055;-0.00469121;0.688647;1.20896;-0.00628576;0.426596;1.28722;0.00629567;0.669394;1.17666;0.00299597;0.440393;1.24781;-0.00198741;0.67086;0.931236;0.466943;0.451704;0.961131;0.599208
0.536532;0.235648;0.00043739;0.550569;0.180498;0.00310757;0.566605;0.17886;-0.00615567;0.58264;0.177222;0.00648609;0.509996;0.183753;-0.00513799;0.493836;0.183595;0.00233935;0.477338;0.184693;0.0119743;0.59793;0.201678;0.00561048;0.454119;0.211511;0.00316044;0.565511;0.285993;-0.0014877;0.505452;0.290159;0.00695198;0.692452;0.45017;-0.0482145;0.363822;0.48524;0.0614312;0.718438;0.826104;-0.0498269;0.336008;0.875948;0.153525;0.707416;1.1093;0.0921996;0.377894;1.1868;-0.177209;0.719253;1.20677;-0.00939706;0.37019;1.29667;-0.00470844;0.687113;1.19675;-0.00615567;0.413889;1.28331;0.00634071;0.667959;1.16558;0.0031274;0.429505;1.24486;-0.00194781;0.671431;0.933008;0.452962;0.453237;0.961098;0.581534
0.536326;0.232626;0.00064811;0.550323;0.176871;0.00316083;0.566361;0.175233;-0.00640427;0.582399;0.173595;0.00662567;0.509746;0.180126;-0.00485112;0.493625;0.180567;0.0023826;0.477084;0.181066;0.012141;0.597649;0.197455;0.00539307;0.453862;0.207888;0.0034665;0.565267;0.282379;-0.00128135;0.505664;0.287086;0.00699248;0.691423;0.447293;-0.0459204;0.36158;0.477694;0.0588479;0.718931;0.820642;-0.0441227;0.32711;0.87059;0.150583;0.711275;1.1034;0.0964407;0.368995;1.18753;-0.17353;0.723196;1.20208;-0.00949735;0.36238;1.30088;-0.00482798;0.690969;1.19087;-0.00612338;0.407263;1.28615;0.00607381;0.672655;1.15958;0.00310465;0.423137;1.24524;-0.00193979;0.660297;0.931601;0.453864;0.441662;0.953708;0.576529
0.531943;0.222837;0.000487383;0.547867;0.170433;0.00307229;0.563096;0.169419;-0.00614458;0.578324;0.168404;0.00649514;0.508124;0.173449;-0.00473576;0.49241;0.173307;0.00246048;0.476338;0.174411;0.0121238;0.595784;0.193716;0.00552616;0.455712;0.201959;0.00374363;0.560953;0.274089;-0.00133689;0.502541;0.277277;0.00608836;0.691618;0.450376;-0.058152;0.366336;0.472261;0.0711687;0.714738;0.825845;-0.0469078;0.334737;0.856564;0.170276;0.711239;1.11479;0.114082;0.355717;1.16706;-0.157365;0.725635;1.21107;-0.00943184;0.343053;1.27345;-0.00496395;0.693767;1.20238;-0.00588332;0.382544;1.26563;0.00616112;0.674334;1.17184;0.00321615;0.401399;1.22861;-0.00169489;0.661001;0.934187;0.42479;0.443224;0.950083;0.573159
0.531105;0.214831;0.000558559;0.54741;0.164315;0.00298616;0.563514;0.163376;-0.00616112;0.578772;0.162519;0.00649568;0.508434;0.16684;-0.00468047;0.492725;0.167136;0.0026102;0.476593;0.167473;0.0123024;0.597089;0.190379;0.00565763;0.456752;0.197175;0.00399479;0.560801;0.267589;-0.00140116;0.50228;0.270174;0.005916;0.693531;0.450086;-0.0667786;0.367706;0.470423;0.0793924;0.717292;0.82615;-0.0704885;0.332242;0.85216;0.174366;0.70903;1.11825;0.115008;0.34737;1.16257;-0.164615;0.722164;1.21611;-0.00944706;0.333235;1.26788;-0.00495871;0.689443;1.20716;-0.00587294;0.37156;1.26058;0.00612137;0.670983;1.17629;0.00330415;0.391115;1.22486;-0.00144588;0.65891;0.939322;0.409576;0.440226;0.951812;0.576204
0.530454;0.205013;0.000444609;0.545557;0.154853;0.00303097;0.560824;0.153677;-0.00632738;0.576068;0.151898;0.00635724;0.507436;0.158998;-0.00469162;0.491745;0.160207;0.00250175;0.476478;0.161383;0.0127875;0.594981;0.179477;0.00554434;0.457201;0.191298;0.0043001;0.560464;0.255933;-0.00163825;0.502812;0.260978;0.0056107;0.694533;0.448251;-0.0639175;0.370283;0.466569;0.0752782;0.717482;0.827573;-0.0732609;0.327672;0.844287;0.174977;0.716058;1.1253;0.137178;0.34037;1.15544;-0.160962;0.729109;1.22228;-0.00969513;0.328343;1.26404;-0.00511964;0.7016;1.21472;-0.00572019;0.36581;1.25389;0.0061648;0.682549;1.18353;0.00355687;0.385258;1.21731;-0.00139521;0.664446;0.953848;0.370764;0.444165;0.965974;0.529177
0.527281;0.194223;0.000648338;0.544845;0.145398;0.00281293;0.560123;0.143487;-0.0062114;0.575426;0.142181;0.00640104;0.505338;0.149377;-0.00462778;0.490035;0.150683;0.00247192;0.474307;0.152025;0.0128487;0.597233;0.17369;0.00563917;0.45653;0.1857;0.00419195;0.559409;0.247907;-0.00163103;0.500748;0.252914;0.00545619;0.695889;0.449224;-0.078782;0.370938;0.462399;0.0893218;0.714665;0.833509;-0.112531;0.326869;0.843553;0.171298;0.712763;1.13219;0.117428;0.349368;1.16442;-0.173427;0.727047;1.22805;-0.0101139;0.337483;1.27707;-0.00499041;0.698532;1.21956;-0.00573232;0.380264;1.26978;0.00604173;0.679301;1.18844;0.00347666;0.398236;1.23063;-0.00106379;0.658096;0.948765;0.378154;0.436542;0.95554;0.573618
