nose_x;nose_y;nose_z;right_eye_inner_x;right_eye_inner_y;right_eye_inner_z;right_eye_x;right_eye_y;right_eye_z;right_eye_outer_x;right_eye_outer_y;right_eye_outer_z;left_eye_inner_x;left_eye_inner_y;left_eye_inner_z;left_eye_x;left_eye_y;left_eye_z;left_eye_outer_x;left_eye_outer_y;left_eye_outer_z;right_ear_x;right_ear_y;right_ear_z;left_ear_x;left_ear_y;left_ear_z;mouth_right_x;mouth_right_y;mouth_right_z;mouth_left_x;mouth_left_y;mouth_left_z;right_shoulder_x;right_shoulder_y;right_shoulder_z;left_shoulder_x;left_shoulder_y;left_shoulder_z;right_elbow_x;right_elbow_y;right_elbow_z;left_elbow_x;left_elbow_y;left_elbow_z;right_wrist_x;right_wrist_y;right_wrist_z;left_wrist_x;left_wrist_y;left_wrist_z;right_pinky_1_x;right_pinky_1_y;right_pinky_1_z;left_pinky_1_x;left_pinky_1_y;left_pinky_1_z;right_index_1_x;right_index_1_y;right_index_1_z;left_index_1_x;left_index_1_y;left_index_1_z;right_thumb_2_x;right_thumb_2_y;right_thumb_2_z;left_thumb_2_x;left_thumb_2_y;left_thumb_2_z;right_hip_x;right_hip_y;right_hip_z;left_hip_x;left_hip_y;left_hip_z
0.520621;0.347665;0.00179122;0.552039;0.298877;0.000255889;0.568816;0.300897;-0.00817611;0.586642;0.303043;0.00603857;0.507385;0.295004;-0.00268837;0.491133;0.293047;0.00487525;0.474835;0.291836;0.0153821;0.618333;0.3384;0.00414972;0.462574;0.3204;0.00791303;0.554686;0.414099;0.000420315;0.491292;0.405716;0.00611667;0.72256;0.610042;-0.184289;0.358517;0.578233;0.189156;0.811205;1.05479;-0.805032;0.20912;0.91472;0.086883;0.711156;0.943615;0.0864884;0.0843056;0.935743;-0.4575;0.685047;0.920946;-0.00856662;0.0246893;0.952598;-0.00634687;0.668142;0.867843;-0.00575082;0.0508481;0.921201;0.00901058;0.662527;0.891199;0.00350845;0.0836121;0.929651;0.00157541;0.6483;1.25447;0.324907;0.3775;1.22638;0.69559
0.51858;0.367816;0.00134983;0.553351;0.309289;0.000345076;0.571519;0.310841;-0.00922234;0.591182;0.314002;0.00646782;0.506176;0.303778;-0.0033497;0.489108;0.300838;0.00558622;0.472041;0.297899;0.015422;0.625358;0.343595;0.00290483;0.459135;0.319765;0.00842605;0.554893;0.433155;-0.000638352;0.488117;0.423006;0.00639063;0.730879;0.608227;-0.174989;0.349109;0.56895;0.182399;0.820996;1.06493;-0.627671;0.185195;0.946899;0.0126431;0.726646;1.0539;0.0811241;0.110758;0.933131;-0.495585;0.697617;1.07513;-0.0101893;0.0778261;0.948101;-0.00683347;0.677271;1.01412;-0.00530589;0.10343;0.896941;0.00793852;0.671894;1.01811;0.00311;0.131606;0.908239;0.00183634;0.644767;1.24103;0.373119;0.36911;1.20563;0.752998
0.521497;0.36851;0.000544865;0.553969;0.308837;0.000998835;0.572982;0.310089;-0.0101239;0.591444;0.312018;0.00694614;0.508287;0.304798;-0.00289054;0.490888;0.302247;0.00547175;0.473451;0.300426;0.0154832;0.625037;0.34046;0.00296487;0.462064;0.321236;0.00964184;0.557497;0.430203;-0.00111986;0.491377;0.422563;0.00480485;0.72947;0.614632;-0.176253;0.35125;0.569989;0.184995;0.793781;1.04668;-0.342221;0.190982;0.917708;0.0871623;0.770578;1.23638;0.0228672;0.0963628;0.932757;-0.561027;0.768561;1.31537;-0.010598;0.0579308;0.958075;-0.00860535;0.744952;1.27331;-0.00435892;0.0859841;0.914073;0.0072354;0.731497;1.2543;0.00239238;0.114402;0.922908;0.00232409;0.636408;1.2385;0.312653;0.368277;1.19876;0.716839
0.521115;0.359825;0.000843252;0.553006;0.305523;0.000495006;0.570307;0.306896;-0.00901857;0.58858;0.309115;0.00683358;0.508251;0.301545;-0.00323968;0.492008;0.299573;0.00550427;0.475722;0.298323;0.0158322;0.62145;0.340737;0.00348644;0.464562;0.322419;0.0086365;0.556182;0.422982;-0.000903449;0.49269;0.416002;0.00518588;0.726182;0.623228;-0.164674;0.353699;0.576557;0.172825;0.792482;1.06903;-0.471736;0.193131;0.917738;0.0596038;0.728923;1.13985;0.059763;0.0926039;0.922987;-0.471736;0.711009;1.18276;-0.00962352;0.0459555;0.942047;-0.00728729;0.694667;1.13132;-0.00485156;0.0745163;0.909156;0.00774897;0.686718;1.12745;0.00299093;0.105133;0.91869;0.00181884;0.637471;1.24945;0.31916;0.3671;1.21372;0.686717
0.524479;0.355949;0.000829205;0.554001;0.303855;0.00054687;0.571702;0.305262;-0.00914549;0.588856;0.307327;0.00660595;0.510988;0.300847;-0.00365305;0.495348;0.298965;0.00502369;0.479708;0.297083;0.0162182;0.620489;0.339318;0.00371437;0.468081;0.3217;0.00875783;0.557808;0.419219;-0.00103342;0.496761;0.411873;0.00557353;0.72578;0.619379;-0.158733;0.354657;0.579779;0.166454;0.791962;1.04433;-0.402781;0.18843;0.92256;0.0594298;0.721718;1.16596;0.0289713;0.0943173;0.932915;-0.49316;0.702569;1.23159;-0.00976257;0.0501445;0.957952;-0.00725864;0.678228;1.17951;-0.00503556;0.0846537;0.924526;0.00761069;0.672942;1.16587;0.00338011;0.115678;0.932595;0.00195509;0.633427;1.24928;0.305567;0.365021;1.21698;0.660247
0.522191;0.354604;0.000799968;0.552438;0.298674;0.000461482;0.570593;0.299497;-0.00859596;0.588705;0.301034;0.00717117;0.506504;0.297268;-0.00382174;0.489898;0.295919;0.00552598;0.472747;0.295221;0.0160977;0.62103;0.334549;0.00416416;0.458944;0.322272;0.00800951;0.558191;0.418786;-0.000859006;0.492728;0.414228;0.00589201;0.729012;0.617716;-0.146856;0.346252;0.583708;0.156554;0.801527;1.06621;-0.501022;0.176825;0.945244;0.0261185;0.696545;1.11211;0.0648003;0.0962218;0.981236;-0.40908;0.665803;1.15144;-0.00950909;0.0526949;1.01465;-0.0063958;0.650072;1.09481;-0.00509696;0.089258;0.987562;0.00820237;0.647977;1.09599;0.00358165;0.121202;0.994417;0.00186954;0.643026;1.2421;0.376333;0.366971;1.21635;0.700776
0.520168;0.355724;0.0004565;0.552589;0.300899;0.0004538;0.57064;0.302693;-0.00880407;0.589694;0.304585;0.00712336;0.507426;0.29713;-0.00324949;0.49088;0.295486;0.00498321;0.474368;0.293129;0.016273;0.62239;0.336498;0.00380907;0.463043;0.318518;0.00892973;0.555766;0.420889;-0.000628301;0.491619;0.4138;0.00455518;0.733047;0.627685;-0.167505;0.348949;0.579495;0.175547;0.807233;1.06645;-0.340036;0.193105;0.910852;0.106183;0.742366;1.21766;0.000276109;0.0766799;0.942283;-0.499625;0.724684;1.29043;-0.00943237;0.0211368;0.975462;-0.00747678;0.700129;1.2364;-0.00469655;0.0562028;0.948848;0.00793623;0.693809;1.22144;0.00300995;0.0907307;0.953711;0.00202038;0.643922;1.25231;0.313648;0.368492;1.21779;0.700178
0.519826;0.359495;0.00153758;0.551643;0.301477;-0.000170652;0.56918;0.302688;-0.00836756;0.588216;0.304064;0.00676927;0.504956;0.299926;-0.00301052;0.487919;0.298769;0.00550786;0.470844;0.298324;0.0156069;0.622706;0.335748;0.00348453;0.457378;0.324025;0.00778779;0.556578;0.423614;2.4851e-05;0.490432;0.41921;0.00631876;0.729825;0.62289;-0.155442;0.346373;0.580772;0.164468;0.811522;1.10036;-0.688459;0.182234;0.94541;-0.00468129;0.694479;0.995952;0.0630545;0.105511;0.941274;-0.427968;0.661101;0.980842;-0.00894734;0.0582815;0.958975;-0.00608372;0.64727;0.920671;-0.00537467;0.0951305;0.92869;0.00831272;0.643112;0.941672;0.00333371;0.12724;0.939369;0.00183236;0.637585;1.2472;0.402897;0.358351;1.21224;0.728072
0.517445;0.358482;0.00123105;0.548212;0.300238;0.000266972;0.565784;0.300321;-0.00870726;0.584807;0.301302;0.00662033;0.501518;0.300038;-0.00473271;0.484488;0.299309;0.0057879;0.467414;0.299289;0.0156637;0.619948;0.333609;0.00315775;0.454135;0.326892;0.00765989;0.555162;0.421829;-0.00149974;0.489534;0.41923;0.00674148;0.729867;0.615381;-0.134814;0.345271;0.581667;0.14732;0.799901;1.08495;-0.564268;0.157242;0.977838;-0.0655936;0.67943;1.08398;0.0775993;0.140888;0.974338;-0.406193;0.639521;1.11178;-0.0107551;0.131052;1.00309;-0.006124;0.625577;1.04573;-0.0057371;0.164177;0.947289;0.00767161;0.627393;1.04882;0.0033512;0.185746;0.955735;0.0020498;0.637424;1.24151;0.42195;0.358716;1.20907;0.715339
0.515636;0.357192;0.000861452;0.547514;0.29976;0.000372776;0.565943;0.301227;-0.00866419;0.584868;0.302753;0.00661502;0.500595;0.297771;-0.00452299;0.483161;0.296421;0.00586703;0.466223;0.29513;0.0152636;0.618954;0.335961;0.00358021;0.452603;0.322697;0.00785777;0.552832;0.422792;-0.00112296;0.486118;0.417039;0.00601896;0.729313;0.622284;-0.146855;0.346088;0.586934;0.157825;0.803587;1.09791;-0.514117;0.187454;0.989474;-0.0252757;0.700312;1.13551;0.0880132;0.12931;0.965519;-0.429594;0.667023;1.17428;-0.0105264;0.101401;0.980722;-0.00650593;0.647634;1.1122;-0.00564497;0.127897;0.92977;0.0081032;0.645894;1.10773;0.00323933;0.155313;0.940128;0.00191964;0.645084;1.24142;0.398927;0.369694;1.21028;0.722556
