nose_x;nose_y;nose_z;right_eye_inner_x;right_eye_inner_y;right_eye_inner_z;right_eye_x;right_eye_y;right_eye_z;right_eye_outer_x;right_eye_outer_y;right_eye_outer_z;left_eye_inner_x;left_eye_inner_y;left_eye_inner_z;left_eye_x;left_eye_y;left_eye_z;left_eye_outer_x;left_eye_outer_y;left_eye_outer_z;right_ear_x;right_ear_y;right_ear_z;left_ear_x;left_ear_y;left_ear_z;mouth_right_x;mouth_right_y;mouth_right_z;mouth_left_x;mouth_left_y;mouth_left_z;right_shoulder_x;right_shoulder_y;right_shoulder_z;left_shoulder_x;left_shoulder_y;left_shoulder_z;right_elbow_x;right_elbow_y;right_elbow_z;left_elbow_x;left_elbow_y;left_elbow_z;right_wrist_x;right_wrist_y;right_wrist_z;left_wrist_x;left_wrist_y;left_wrist_z;right_pinky_1_x;right_pinky_1_y;right_pinky_1_z;left_pinky_1_x;left_pinky_1_y;left_pinky_1_z;right_index_1_x;right_index_1_y;right_index_1_z;left_index_1_x;left_index_1_y;left_index_1_z;right_thumb_2_x;right_thumb_2_y;right_thumb_2_z;left_thumb_2_x;left_thumb_2_y;left_thumb_2_z;right_hip_x;right_hip_y;right_hip_z;left_hip_x;left_hip_y;left_hip_z
0.421472;0.466933;0.00158428;0.442939;0.427894;0.00055787;0.455382;0.428252;-0.00417172;0.467799;0.429099;0.00517488;0.411885;0.426021;-0.00416633;0.400501;0.425285;0.00269126;0.389116;0.42455;0.0110671;0.490002;0.454141;0.00234069;0.381825;0.44444;0.00454116;0.446736;0.512491;-0.00178114;0.40194;0.508643;0.0041097;0.55909;0.690523;-0.0782245;0.29386;0.665849;0.089572;0.567633;0.997668;-0.240239;0.234433;0.955816;0.146266;0.522539;1.09028;0.0335464;0.255342;1.16091;-0.124521;0.509227;1.13217;-0.00796052;0.249945;1.23614;-0.00356228;0.500938;1.09288;-0.00442251;0.278472;1.22051;0.00440363;0.495161;1.08438;0.00384812;0.289257;1.20001;-0.000307081;0.478199;1.12981;0.245935;0.293342;1.10396;0.455972
0.419953;0.468709;0.00188248;0.440823;0.428441;-0.000655459;0.453124;0.428674;-0.00397777;0.46642;0.429589;0.00513727;0.40964;0.426778;-0.00163558;0.39812;0.425685;0.00389592;0.386947;0.424655;0.0103455;0.488985;0.452718;-2.98401e-05;0.379935;0.44391;0.00624767;0.445509;0.513411;0.000167105;0.400123;0.509166;0.00278826;0.557134;0.689421;-0.0671365;0.296311;0.657528;0.0773947;0.59895;0.991935;-0.354977;0.232439;0.937326;0.196259;0.6558;0.892115;-0.0858195;0.227834;1.12175;-0.107471;0.6659;0.865912;-0.00868126;0.216013;1.18669;-0.00456707;0.673615;0.819247;-0.00338302;0.237255;1.17754;0.00371586;0.653316;0.833582;0.00296832;0.25028;1.16188;-0.00151008;0.482337;1.12996;0.232228;0.29795;1.10545;0.419756
0.418489;0.469689;0.00140179;0.440047;0.429166;0.000381774;0.451726;0.42947;-0.00408969;0.463755;0.429829;0.00503432;0.410343;0.428074;-0.00457991;0.399792;0.426936;0.00237533;0.388852;0.426242;0.0111041;0.48772;0.450202;0.00193469;0.384745;0.442751;0.0040952;0.443959;0.511983;-0.00219907;0.40164;0.508927;0.00465702;0.558914;0.67714;-0.0744242;0.29733;0.65711;0.0859249;0.563356;0.978925;-0.27214;0.232777;0.947653;0.132633;0.501373;1.03787;0.0161164;0.257673;1.13107;-0.126376;0.481639;1.07313;-0.00767816;0.253433;1.20001;-0.00346729;0.474424;1.02863;-0.00447801;0.279923;1.18295;0.00460194;0.47208;1.02222;0.00386937;0.289517;1.16427;-0.000523261;0.480378;1.12639;0.242881;0.297272;1.10496;0.441345
0.420511;0.468658;0.00212008;0.441137;0.43046;-0.000292533;0.453584;0.431005;-0.00407122;0.465638;0.431992;0.00533967;0.411706;0.42811;-0.00210901;0.401102;0.426856;0.00395767;0.390456;0.426103;0.01084;0.488018;0.454999;0.000180366;0.385766;0.444105;0.00630901;0.445431;0.512898;6.11463e-05;0.402579;0.508826;0.00309358;0.554182;0.692382;-0.0588029;0.299161;0.664233;0.0692607;0.596937;0.98882;-0.325964;0.232973;0.948665;0.20756;0.647461;0.903813;-0.0495859;0.233905;1.15897;-0.0615946;0.653496;0.882481;-0.00856896;0.224109;1.23044;-0.00416262;0.66316;0.834341;-0.00355332;0.245788;1.22287;0.00374719;0.645647;0.847675;0.00345362;0.257645;1.20454;-0.00199684;0.480303;1.14;0.222272;0.300153;1.11718;0.395623
0.420648;0.466247;0.00189944;0.441375;0.426043;-0.000211087;0.453566;0.42642;-0.00405846;0.466429;0.427413;0.00520845;0.410954;0.424343;-0.00225253;0.399906;0.423124;0.00339694;0.388463;0.422353;0.01083;0.488459;0.449268;0.000624539;0.382754;0.440373;0.00604024;0.446322;0.510656;-5.40366e-05;0.401696;0.50673;0.00326296;0.556397;0.685865;-0.0660518;0.297083;0.660058;0.0758323;0.590172;0.992257;-0.347632;0.233749;0.948677;0.201148;0.627768;0.924534;-0.0359288;0.231798;1.1641;-0.0738673;0.630441;0.908595;-0.00848536;0.220048;1.23689;-0.00428176;0.639247;0.859876;-0.00365931;0.242849;1.23024;0.00425105;0.623236;0.871681;0.00350859;0.256843;1.21199;-0.0016566;0.483898;1.13919;0.223835;0.300103;1.11755;0.410156
0.421793;0.464707;0.00189456;0.442736;0.426029;-0.000488079;0.455006;0.426805;-0.00421734;0.467275;0.427581;0.00504278;0.412817;0.423684;-0.00205233;0.40202;0.422609;0.00416663;0.391222;0.421534;0.0105307;0.490217;0.451068;6.25065e-06;0.386186;0.440901;0.00614148;0.447516;0.509744;0.000219213;0.40325;0.505286;0.00284114;0.558187;0.692583;-0.0737428;0.302149;0.658995;0.0821719;0.599669;1.00908;-0.369255;0.235558;0.94617;0.190217;0.663573;0.908158;-0.0531435;0.242332;1.13691;-0.101149;0.676265;0.883217;-0.00899811;0.234411;1.20586;-0.00452159;0.687005;0.835301;-0.00369334;0.255611;1.19352;0.00373278;0.665582;0.850707;0.00289607;0.265409;1.17846;-0.00174103;0.487376;1.14722;0.213656;0.304015;1.12124;0.42046
0.423551;0.462534;0.00162711;0.445285;0.423598;-0.00017218;0.457607;0.424842;-0.00408266;0.470651;0.42619;0.00521185;0.414499;0.42023;-0.00252081;0.403298;0.418627;0.0031464;0.392097;0.417024;0.0110081;0.491599;0.449951;0.00110152;0.384934;0.435724;0.0057736;0.447994;0.509117;-0.000144251;0.403189;0.502705;0.00323435;0.555998;0.684975;-0.0813468;0.298474;0.656944;0.0901533;0.589286;0.998601;-0.353532;0.235977;0.946998;0.192472;0.616697;0.951652;-0.0123359;0.229594;1.16618;-0.0719501;0.615038;0.944148;-0.0085228;0.214891;1.23987;-0.00415643;0.623155;0.891323;-0.00390959;0.237441;1.23583;0.00466144;0.61007;0.900871;0.00356914;0.252626;1.21723;-0.00161434;0.487395;1.13871;0.221525;0.304487;1.11876;0.442323
0.420844;0.46403;0.00138583;0.442146;0.424126;0.000516926;0.454564;0.424731;-0.00448881;0.466982;0.425336;0.00613899;0.411829;0.42271;-0.00217743;0.400535;0.421733;0.00297259;0.389604;0.420804;0.0119246;0.49036;0.44876;0.00172;0.384685;0.439953;0.00607059;0.447623;0.508226;2.1854e-05;0.40281;0.504366;0.00320915;0.560061;0.682073;-0.0824916;0.300925;0.661247;0.0888757;0.585957;1.00233;-0.29075;0.233335;0.971185;0.195171;0.620691;1.00902;0.0344057;0.201301;1.23061;-0.0469687;0.623714;1.0188;-0.00875532;0.17477;1.31671;-0.00407556;0.629078;0.970529;-0.00359105;0.204056;1.32268;0.00477382;0.616389;0.974057;0.00423231;0.225863;1.29744;-0.00193803;0.49227;1.13476;0.223261;0.310975;1.11697;0.433024
0.420245;0.462577;0.00184541;0.441838;0.422494;4.76262e-05;0.453889;0.423495;-0.00416504;0.467066;0.424116;0.00601616;0.41181;0.42131;-0.0014969;0.401247;0.419975;0.00361941;0.390653;0.419159;0.011621;0.491299;0.447539;0.000939133;0.38727;0.438049;0.00641039;0.44719;0.507227;0.000587762;0.402261;0.503638;0.00319377;0.560135;0.685436;-0.0856546;0.302373;0.657041;0.0891284;0.580541;1.01693;-0.414287;0.21866;0.96285;0.208423;0.649691;0.897235;0.0185913;0.20379;1.21262;-0.0800784;0.658917;0.867075;-0.00933562;0.182628;1.2987;-0.00396793;0.674471;0.817876;-0.00350229;0.214679;1.30275;0.00425359;0.654237;0.836203;0.00356513;0.232258;1.27991;-0.00215108;0.492258;1.13734;0.226523;0.309355;1.11527;0.433667
0.420809;0.462245;0.00190116;0.442939;0.422713;0.000411489;0.455433;0.423322;-0.00445038;0.468623;0.424547;0.00603325;0.413201;0.420866;-0.00219938;0.402203;0.419932;0.00319728;0.391205;0.418997;0.0120321;0.492774;0.44977;0.00175205;0.388414;0.439074;0.00631427;0.447684;0.507752;5.25114e-05;0.402996;0.503397;0.0030539;0.560336;0.68994;-0.0890995;0.30228;0.662003;0.0954309;0.574833;1.00853;-0.322079;0.223859;0.964072;0.204993;0.605316;0.982163;0.0499636;0.199162;1.2114;-0.0646453;0.604789;0.978947;-0.00871151;0.175368;1.29318;-0.00395144;0.616764;0.931253;-0.00371343;0.204901;1.29815;0.00462817;0.604388;0.940097;0.00419804;0.224445;1.27557;-0.00154416;0.482629;1.14415;0.224813;0.303555;1.12039;0.448158
