nose_x;nose_y;nose_z;right_eye_inner_x;right_eye_inner_y;right_eye_inner_z;right_eye_x;right_eye_y;right_eye_z;right_eye_outer_x;right_eye_outer_y;right_eye_outer_z;left_eye_inner_x;left_eye_inner_y;left_eye_inner_z;left_eye_x;left_eye_y;left_eye_z;left_eye_outer_x;left_eye_outer_y;left_eye_outer_z;right_ear_x;right_ear_y;right_ear_z;left_ear_x;left_ear_y;left_ear_z;mouth_right_x;mouth_right_y;mouth_right_z;mouth_left_x;mouth_left_y;mouth_left_z;right_shoulder_x;right_shoulder_y;right_shoulder_z;left_shoulder_x;left_shoulder_y;left_shoulder_z;right_elbow_x;right_elbow_y;right_elbow_z;left_elbow_x;left_elbow_y;left_elbow_z;right_wrist_x;right_wrist_y;right_wrist_z;left_wrist_x;left_wrist_y;left_wrist_z;right_pinky_1_x;right_pinky_1_y;right_pinky_1_z;left_pinky_1_x;left_pinky_1_y;left_pinky_1_z;right_index_1_x;right_index_1_y;right_index_1_z;left_index_1_x;left_index_1_y;left_index_1_z;right_thumb_2_x;right_thumb_2_y;right_thumb_2_z;left_thumb_2_x;left_thumb_2_y;left_thumb_2_z;right_hip_x;right_hip_y;right_hip_z;left_hip_x;left_hip_y;left_hip_z
0.556648;0.409004;0.000602868;0.581516;0.360837;0.000662033;0.598198;0.362909;-0.00784239;0.61488;0.36498;0.00470053;0.537161;0.357794;-0.00847076;0.520988;0.356484;0.0052881;0.50479;0.356658;0.0130407;0.639311;0.402246;0.0012649;0.483808;0.391587;0.00452916;0.58786;0.476972;-0.00358253;0.525244;0.472545;0.00648364;0.741714;0.703051;-0.0919216;0.371529;0.690058;0.10883;0.812083;1.16397;-0.382832;0.304451;1.15358;-0.225756;0.787796;1.35927;0.00599808;0.462564;1.22452;-0.173659;0.785361;1.43944;-0.013563;0.50487;1.28544;-0.00618985;0.76316;1.39408;-0.00891959;0.536809;1.22118;0.00695696;0.749869;1.37726;0.000645712;0.532187;1.21656;-0.000451386;0.702245;1.35181;0.400851;0.428028;1.34813;0.689412
0.559081;0.401279;0.00117444;0.582282;0.355751;0.000391397;0.598868;0.357512;-0.00776628;0.615454;0.359273;0.00484735;0.538265;0.353993;-0.00870826;0.522216;0.35369;0.00531228;0.50566;0.354136;0.013123;0.638759;0.399131;0.00149989;0.484957;0.392972;0.00438647;0.590021;0.470375;-0.00329693;0.528393;0.46762;0.00710325;0.739191;0.711477;-0.0758112;0.371472;0.693419;0.0944405;0.811557;1.17033;-0.383713;0.301136;1.16348;-0.286427;0.770078;1.32014;-0.0111097;0.47714;1.20437;-0.134416;0.759617;1.38962;-0.0134869;0.52652;1.25899;-0.00497268;0.739211;1.33422;-0.0095896;0.555626;1.19048;0.00664641;0.730717;1.31826;0.000469979;0.548323;1.18626;-0.000748429;0.689777;1.35322;0.439343;0.416897;1.34439;0.677902
0.554287;0.404018;0.00116358;0.578495;0.358322;0.000687751;0.594868;0.359889;-0.00737733;0.611238;0.362183;0.00505817;0.536022;0.355852;-0.00843694;0.520158;0.355017;0.00536605;0.504804;0.354913;0.0133312;0.637728;0.399486;0.00154444;0.487795;0.390467;0.00465031;0.585281;0.471924;-0.00345075;0.5249;0.467877;0.00673356;0.741122;0.704455;-0.0896315;0.37777;0.69254;0.107289;0.809213;1.15914;-0.394609;0.301494;1.15717;-0.229677;0.768782;1.31173;0.0379063;0.458908;1.2252;-0.125778;0.758318;1.38008;-0.0133552;0.502222;1.28227;-0.00530208;0.740067;1.32755;-0.00892477;0.533144;1.21842;0.00658961;0.730899;1.31438;0.0011136;0.529069;1.21257;-0.000796211;0.695998;1.34327;0.398448;0.425266;1.33707;0.666894
0.554825;0.40374;0.00133983;0.579603;0.358185;0.000630277;0.595843;0.360288;-0.00758314;0.613099;0.362388;0.00503429;0.536977;0.355458;-0.00813414;0.521246;0.354796;0.00567249;0.505517;0.354855;0.0131446;0.639555;0.401257;0.00136461;0.488331;0.390279;0.00502636;0.585903;0.472178;-0.00323859;0.525515;0.467354;0.0063979;0.740587;0.706847;-0.0867007;0.376759;0.692339;0.104523;0.81549;1.14964;-0.362786;0.297949;1.15015;-0.238982;0.78535;1.31285;0.0347564;0.456346;1.19862;-0.129449;0.779393;1.38359;-0.0134221;0.501093;1.25041;-0.005506;0.760021;1.33459;-0.00871288;0.530908;1.18535;0.00628691;0.748831;1.3202;0.000791314;0.526844;1.18248;-0.00050987;0.692041;1.34062;0.397796;0.422598;1.33153;0.665192
0.55608;0.402488;0.00127614;0.580852;0.356069;0.000697057;0.596955;0.358291;-0.00738939;0.614065;0.360518;0.00518713;0.537567;0.35372;-0.00817985;0.521964;0.352932;0.00556466;0.506359;0.352859;0.0130799;0.640153;0.398583;0.00157501;0.488156;0.388571;0.0049315;0.587636;0.470647;-0.00311463;0.526736;0.466784;0.0064495;0.743141;0.706904;-0.0825536;0.377716;0.695186;0.100927;0.816616;1.15398;-0.35488;0.303153;1.16162;-0.230923;0.780005;1.31417;0.0421891;0.456547;1.22103;-0.107093;0.770783;1.38429;-0.013363;0.499715;1.27421;-0.0053523;0.75177;1.33409;-0.00874615;0.528552;1.21134;0.00642983;0.741736;1.31972;0.0010156;0.526045;1.20704;-0.000731959;0.693372;1.33668;0.405721;0.423078;1.32827;0.660428
0.557228;0.401682;0.00109849;0.582435;0.353555;-6.40177e-05;0.598424;0.355829;-0.00681945;0.615412;0.358112;0.00464394;0.537451;0.351024;-0.00812397;0.520954;0.350878;0.00531182;0.504956;0.350737;0.0127171;0.64224;0.396745;0.00124203;0.485301;0.386826;0.00499546;0.587919;0.471635;-0.00286487;0.525947;0.466821;0.00642887;0.741909;0.699105;-0.0883013;0.376984;0.690903;0.106112;0.818934;1.14916;-0.442694;0.292443;1.16015;-0.281464;0.769581;1.2312;-0.0112798;0.449426;1.16011;-0.123922;0.75036;1.28223;-0.0132171;0.497764;1.19609;-0.00521418;0.738648;1.21671;-0.0089598;0.520571;1.12519;0.00705379;0.732667;1.21239;0.000848037;0.518059;1.12801;-0.000417183;0.699144;1.33297;0.419697;0.424691;1.32912;0.681913
0.557932;0.401536;0.00138265;0.582663;0.353929;0.00072098;0.599596;0.355937;-0.00777472;0.616529;0.357945;0.00499387;0.538849;0.352813;-0.00793418;0.522917;0.352214;0.00551114;0.506986;0.352323;0.0131381;0.643542;0.395993;0.00166657;0.489189;0.389263;0.00532835;0.590026;0.469996;-0.00282947;0.528284;0.466879;0.00637846;0.74516;0.70754;-0.0865603;0.380204;0.695173;0.103922;0.819364;1.15592;-0.374618;0.29617;1.16518;-0.245182;0.783049;1.31053;0.0442136;0.445656;1.20522;-0.145616;0.773327;1.37998;-0.0133403;0.491122;1.25305;-0.00552281;0.756228;1.32912;-0.00870426;0.518271;1.18489;0.00653014;0.74722;1.31502;0.00105108;0.515773;1.18208;-0.000366324;0.69153;1.33523;0.407972;0.422164;1.32433;0.666595
0.557985;0.405099;0.00109303;0.582237;0.357693;0.000503953;0.598069;0.359424;-0.00744032;0.615882;0.361196;0.0050879;0.538171;0.35609;-0.00799361;0.522325;0.355768;0.00559862;0.505984;0.355435;0.0129306;0.641249;0.399751;0.00163277;0.487285;0.392388;0.00505694;0.589004;0.472652;-0.00306241;0.527621;0.469288;0.00647304;0.743245;0.698392;-0.0827683;0.379735;0.694509;0.100102;0.817017;1.14368;-0.386541;0.300229;1.16274;-0.254557;0.771893;1.29633;0.0146021;0.446948;1.20095;-0.148327;0.76029;1.36653;-0.0132401;0.490552;1.24833;-0.00532778;0.739026;1.31397;-0.00869005;0.516983;1.18124;0.00668197;0.73123;1.30113;0.00111818;0.515016;1.1798;-0.000208328;0.696354;1.32156;0.418484;0.428933;1.31752;0.667099
0.55767;0.404846;0.00115769;0.581656;0.357094;0.000318751;0.598398;0.358397;-0.00731155;0.616127;0.360394;0.00493078;0.538325;0.354546;-0.00790001;0.522077;0.35394;0.00543462;0.505829;0.353335;0.0128308;0.640851;0.398059;0.00129616;0.486732;0.389155;0.0050577;0.588883;0.473281;-0.00283077;0.52684;0.469442;0.00639616;0.743127;0.696439;-0.0827078;0.377329;0.69297;0.100123;0.818258;1.14201;-0.386462;0.303865;1.16742;-0.267816;0.779257;1.27528;-0.00444232;0.458517;1.19032;-0.144616;0.767631;1.34116;-0.0131308;0.505411;1.23346;-0.00526155;0.748762;1.28526;-0.00886155;0.529332;1.1633;0.00668078;0.739869;1.27411;0.00101154;0.526378;1.16332;-0.000379808;0.697655;1.31776;0.421662;0.428353;1.31513;0.676432
0.55526;0.405315;0.0011321;0.581524;0.356258;0.000117089;0.598206;0.3582;-0.00707229;0.615869;0.360134;0.00475062;0.536391;0.352478;-0.00786151;0.520205;0.351925;0.00528315;0.50402;0.351373;0.0129646;0.641539;0.398264;0.00120011;0.48554;0.386411;0.00496516;0.58695;0.474078;-0.00279482;0.524157;0.469062;0.00628308;0.743886;0.697251;-0.0913345;0.376078;0.694969;0.107946;0.818458;1.14714;-0.406285;0.306107;1.17265;-0.267506;0.777786;1.26467;-0.0245806;0.462587;1.18241;-0.162441;0.765302;1.32477;-0.0130106;0.509836;1.22104;-0.00531763;0.747389;1.26634;-0.00881163;0.532575;1.15109;0.0069497;0.7395;1.25665;0.0012116;0.530129;1.15251;-0.000349113;0.701535;1.32115;0.415357;0.429363;1.3208;0.695859
