nose_x;nose_y;nose_z;right_eye_inner_x;right_eye_inner_y;right_eye_inner_z;right_eye_x;right_eye_y;right_eye_z;right_eye_outer_x;right_eye_outer_y;right_eye_outer_z;left_eye_inner_x;left_eye_inner_y;left_eye_inner_z;left_eye_x;left_eye_y;left_eye_z;left_eye_outer_x;left_eye_outer_y;left_eye_outer_z;right_ear_x;right_ear_y;right_ear_z;left_ear_x;left_ear_y;left_ear_z;mouth_right_x;mouth_right_y;mouth_right_z;mouth_left_x;mouth_left_y;mouth_left_z;right_shoulder_x;right_shoulder_y;right_shoulder_z;left_shoulder_x;left_shoulder_y;left_shoulder_z;right_elbow_x;right_elbow_y;right_elbow_z;left_elbow_x;left_elbow_y;left_elbow_z;right_wrist_x;right_wrist_y;right_wrist_z;left_wrist_x;left_wrist_y;left_wrist_z;right_pinky_1_x;right_pinky_1_y;right_pinky_1_z;left_pinky_1_x;left_pinky_1_y;left_pinky_1_z;right_index_1_x;right_index_1_y;right_index_1_z;left_index_1_x;left_index_1_y;left_index_1_z;right_thumb_2_x;right_thumb_2_y;right_thumb_2_z;left_thumb_2_x;left_thumb_2_y;left_thumb_2_z;right_hip_x;right_hip_y;right_hip_z;left_hip_x;left_hip_y;left_hip_z
0.492348;0.391993;0.000898573;0.522361;0.33905;0.000634517;0.539401;0.340207;-0.00957437;0.557439;0.341307;0.0067005;0.48027;0.336484;-0.00168586;0.464728;0.335242;0.00497461;0.449187;0.333999;0.0147364;0.590206;0.367884;0.00240726;0.440802;0.355822;0.00937913;0.528559;0.451809;0.00046637;0.466871;0.446099;0.00345372;0.710997;0.605682;-0.20392;0.34439;0.589714;0.210542;0.834876;0.987719;-0.355111;0.20553;0.914255;0.0986488;0.82066;1.192;-0.0134166;0.0833464;0.962524;-0.552283;0.822956;1.27297;-0.00974618;0.0368299;0.997917;-0.00876219;0.785871;1.23525;-0.00486528;0.0596733;0.956768;0.00672002;0.775319;1.21594;0.000984477;0.0882195;0.957976;0.00250097;0.652338;1.18315;0.282889;0.389985;1.15694;0.742709
0.486302;0.398487;0.000496856;0.518662;0.342788;0.000491045;0.535513;0.343873;-0.00926689;0.553354;0.34498;0.00746543;0.476525;0.341134;-0.0028746;0.461666;0.339388;0.00572207;0.445807;0.338326;0.0157832;0.589755;0.371897;0.00286491;0.442589;0.360119;0.00949934;0.524324;0.457887;-0.00117483;0.463873;0.452999;0.00432739;0.70987;0.630644;-0.186702;0.345226;0.597041;0.195628;0.80741;1.04618;-0.360014;0.18639;0.920747;0.0757468;0.749837;1.22827;0.0636595;0.0741295;0.936558;-0.496879;0.734083;1.30691;-0.00991775;0.0341652;0.962462;-0.00717874;0.705875;1.2569;-0.00423054;0.0554923;0.9178;0.00688044;0.701121;1.23846;0.00238646;0.0831957;0.924066;0.0023206;0.635782;1.22711;0.277201;0.379242;1.19453;0.700689
0.493023;0.395968;0.000165101;0.521467;0.339087;0.000309804;0.539654;0.339601;-0.00857756;0.557328;0.34078;0.0070379;0.477729;0.337569;-0.00324058;0.461061;0.335757;0.00541761;0.444369;0.334644;0.0150587;0.587941;0.367313;0.00265121;0.430822;0.357531;0.00823968;0.52744;0.456342;-0.00107891;0.464625;0.451452;0.00484552;0.700671;0.619042;-0.155917;0.336053;0.590519;0.167097;0.81553;1.01506;-0.376461;0.191982;0.916082;0.0792484;0.731456;1.17739;0.0328359;0.104106;0.955003;-0.459026;0.708304;1.25281;-0.0100366;0.0695258;0.989082;-0.00683057;0.676579;1.20032;-0.00462666;0.0931833;0.943078;0.00721452;0.675168;1.18343;0.00251107;0.11911;0.947607;0.00202153;0.630755;1.18746;0.379901;0.37549;1.15504;0.728348
0.48889;0.400251;0.000664211;0.520669;0.340267;0.000126471;0.539175;0.340555;-0.00795722;0.557681;0.340843;0.00692263;0.475872;0.339277;-0.00290218;0.45933;0.3384;0.00566362;0.442788;0.337523;0.0144234;0.593049;0.36697;0.00288126;0.43345;0.359201;0.0076225;0.52728;0.459798;-0.000219066;0.463058;0.456393;0.00551908;0.710352;0.612938;-0.17515;0.34506;0.590105;0.18367;0.823204;1.06585;-0.672849;0.189815;0.936646;0.011061;0.702407;1.02757;0.10851;0.103932;0.941793;-0.429903;0.666186;1.03397;-0.00896899;0.0615105;0.961717;-0.00613908;0.647275;0.974758;-0.00463283;0.0888713;0.921593;0.00824629;0.645976;0.987162;0.00250089;0.118782;0.932879;0.00181053;0.64951;1.18691;0.402151;0.387489;1.1647;0.778012
0.483111;0.396427;0.000754673;0.516896;0.339897;-3.14938e-05;0.53475;0.340505;-0.00794928;0.553076;0.341817;0.00735347;0.473007;0.337027;-0.00281694;0.457589;0.335128;0.0056188;0.441688;0.333213;0.0150463;0.590275;0.369179;0.00255109;0.436975;0.355026;0.00838672;0.521674;0.457483;-0.000719791;0.459012;0.451227;0.00459309;0.70861;0.624541;-0.178716;0.338887;0.58859;0.188731;0.813576;1.04288;-0.503445;0.197117;0.921607;0.0733084;0.721884;1.09743;0.0614222;0.107128;0.961115;-0.431041;0.695156;1.13635;-0.00939735;0.0630972;0.995321;-0.00625233;0.671931;1.082;-0.004084;0.0931342;0.960637;0.00719131;0.670024;1.08056;0.00280374;0.122524;0.964386;0.00194584;0.633175;1.20428;0.337641;0.372049;1.17066;0.745272
0.490317;0.393705;0.000501286;0.523184;0.3339;-0.000150386;0.540936;0.334492;-0.00698614;0.559143;0.335801;0.00605291;0.477619;0.331991;-0.00549447;0.461353;0.330138;0.00462869;0.445087;0.328286;0.0150442;0.594684;0.362949;0.00392033;0.43473;0.349403;0.0061466;0.527043;0.455096;-0.00227687;0.463368;0.449153;0.00783317;0.716071;0.623761;-0.159752;0.333967;0.603127;0.171145;0.795197;1.0735;-0.587675;0.180266;0.967818;-0.014482;0.576669;1.05916;0.0879714;0.132369;0.923385;-0.498445;0.513985;1.09291;-0.00889758;0.110658;0.939587;-0.00503347;0.48143;1.02226;-0.00546448;0.140292;0.876134;0.00776571;0.494894;1.02186;0.00348932;0.165347;0.887499;0.00217005;0.643393;1.23611;0.408494;0.367709;1.2081;0.733035
0.491121;0.379921;0.000699656;0.523323;0.325224;-0.000188234;0.541016;0.326236;-0.00753404;0.560144;0.327331;0.00668529;0.477855;0.323984;-0.00359503;0.461118;0.323026;0.00474102;0.444859;0.322095;0.0153448;0.596578;0.36007;0.00304914;0.434985;0.34946;0.0079042;0.52906;0.444083;-0.00122919;0.464522;0.439708;0.00492797;0.716372;0.629192;-0.165113;0.33605;0.595846;0.175762;0.816038;1.03409;-0.452267;0.186087;0.919013;0.0638916;0.690045;1.11952;-0.0138641;0.106321;0.928072;-0.478828;0.65308;1.17326;-0.00948205;0.0719229;0.958802;-0.00622914;0.624053;1.11574;-0.00458025;0.0981364;0.912617;0.00733587;0.62811;1.1078;0.00286406;0.125718;0.919646;0.00246212;0.635128;1.23218;0.346259;0.362173;1.19613;0.713576
0.495142;0.376799;0.000220175;0.525778;0.32435;0.000139697;0.542997;0.32523;-0.00736331;0.56114;0.326875;0.00642888;0.482238;0.322448;-0.00443668;0.466482;0.321019;0.00468337;0.450218;0.320227;0.0151228;0.595194;0.358599;0.00383117;0.439928;0.346566;0.00696712;0.531168;0.439384;-0.00184924;0.468621;0.433712;0.00569629;0.713831;0.620944;-0.164221;0.342328;0.598851;0.17367;0.79747;1.04375;-0.472448;0.203193;0.943506;0.0563051;0.662506;1.12424;0.0303354;0.125774;0.948759;-0.468381;0.625329;1.1836;-0.00948634;0.0890421;0.976792;-0.0059355;0.592554;1.12335;-0.00484035;0.117372;0.932997;0.00780436;0.59686;1.11283;0.00342936;0.146315;0.939712;0.00213798;0.646725;1.21963;0.343751;0.379287;1.19674;0.698984
0.496279;0.376907;0.000129977;0.528466;0.324117;-2.85453e-06;0.546076;0.325599;-0.00696316;0.564148;0.327779;0.00663921;0.484193;0.320742;-0.00489283;0.468012;0.319326;0.00439387;0.45183;0.31791;0.0152817;0.596777;0.361143;0.00518327;0.439786;0.34449;0.00609556;0.53154;0.441588;-0.00139636;0.467813;0.433935;0.00634132;0.712896;0.625514;-0.177065;0.340274;0.591569;0.184691;0.792498;1.07134;-0.535724;0.190216;0.923155;0.0297889;0.586403;1.11755;0.0975289;0.0998141;0.93531;-0.447072;0.52608;1.17042;-0.0083409;0.0548085;0.964456;-0.00489283;0.495781;1.09714;-0.0052354;0.0842769;0.926463;0.00818451;0.511147;1.09242;0.0032954;0.115028;0.93736;0.00255068;0.636575;1.21886;0.372481;0.368417;1.18357;0.740672
0.496619;0.374934;0.000228379;0.529116;0.321183;0.000197727;0.547187;0.321878;-0.00740101;0.565208;0.323924;0.00598174;0.484425;0.319145;-0.00562135;0.467804;0.317883;0.00438785;0.451658;0.316657;0.0152924;0.601159;0.355778;0.00438413;0.440671;0.342915;0.00575882;0.533753;0.438712;-0.0024057;0.469668;0.433169;0.00688829;0.721771;0.618933;-0.171798;0.342131;0.595526;0.180359;0.792368;1.07268;-0.488883;0.186296;0.953513;-0.00675825;0.598419;1.13924;0.0687194;0.142569;0.92581;-0.496967;0.544596;1.20288;-0.00958564;0.116437;0.949564;-0.00561392;0.508089;1.13509;-0.0051272;0.152182;0.898092;0.00779484;0.520841;1.12522;0.00342371;0.177895;0.910881;0.0025636;0.644816;1.22268;0.377124;0.369735;1.19231;0.735702
