nose_x;nose_y;nose_z;right_eye_inner_x;right_eye_inner_y;right_eye_inner_z;right_eye_x;right_eye_y;right_eye_z;right_eye_outer_x;right_eye_outer_y;right_eye_outer_z;left_eye_inner_x;left_eye_inner_y;left_eye_inner_z;left_eye_x;left_eye_y;left_eye_z;left_eye_outer_x;left_eye_outer_y;left_eye_outer_z;right_ear_x;right_ear_y;right_ear_z;left_ear_x;left_ear_y;left_ear_z;mouth_right_x;mouth_right_y;mouth_right_z;mouth_left_x;mouth_left_y;mouth_left_z;right_shoulder_x;right_shoulder_y;right_shoulder_z;left_shoulder_x;left_shoulder_y;left_shoulder_z;right_elbow_x;right_elbow_y;right_elbow_z;left_elbow_x;left_elbow_y;left_elbow_z;right_wrist_x;right_wrist_y;right_wrist_z;left_wrist_x;left_wrist_y;left_wrist_z;right_pinky_1_x;right_pinky_1_y;right_pinky_1_z;left_pinky_1_x;left_pinky_1_y;left_pinky_1_z;right_index_1_x;right_index_1_y;right_index_1_z;left_index_1_x;left_index_1_y;left_index_1_z;right_thumb_2_x;right_thumb_2_y;right_thumb_2_z;left_thumb_2_x;left_thumb_2_y;left_thumb_2_z;right_hip_x;right_hip_y;right_hip_z;left_hip_x;left_hip_y;left_hip_z
0.476202;0.403335;0.00233859;0.498328;0.363742;0.00174749;0.513359;0.364314;-0.0089758;0.52839;0.364886;0.00467719;0.460818;0.363876;-0.00485271;0.446721;0.364479;0.00554792;0.433063;0.365043;0.0130782;0.552872;0.400413;0.00322998;0.421741;0.399299;0.00666301;0.506987;0.462165;-0.000931824;0.451808;0.461957;0.00451199;0.657753;0.683147;-0.10369;0.324652;0.675801;0.113877;0.726253;1.06384;-0.177644;0.254152;1.06737;-0.0660244;0.715737;1.29073;0.0988439;0.27099;1.10984;-0.305287;0.721164;1.37563;-0.0103525;0.270966;1.13997;-0.00629476;0.694636;1.35409;-0.00650814;0.291888;1.09295;0.00528636;0.681192;1.3289;0.0020667;0.305025;1.09055;0.000781682;0.590964;1.24261;0.29097;0.352184;1.22202;0.552865
0.47752;0.404736;0.00103394;0.496866;0.359543;0.00180875;0.511067;0.358692;-0.00677548;0.52613;0.358532;0.00645415;0.459097;0.363082;-0.00522759;0.444872;0.364562;0.0049339;0.430626;0.366671;0.0134266;0.548959;0.388542;0.00350867;0.417543;0.397835;0.00585296;0.508343;0.458633;-0.00215081;0.454187;0.462234;0.00443982;0.655441;0.677218;-0.0785002;0.326021;0.675825;0.0913809;0.704183;1.06874;-0.204874;0.26294;1.0491;0.112167;0.682196;1.33418;0.102714;0.273934;1.2842;-0.171374;0.687808;1.42402;-0.0101995;0.260294;1.3676;-0.00563529;0.65739;1.40794;-0.00569748;0.292333;1.35104;0.00565257;0.641378;1.38536;0.00360368;0.307102;1.33449;-0.000407488;0.596155;1.23972;0.299185;0.36379;1.224;0.508151
0.480237;0.408983;0.0013023;0.497868;0.364753;0.00193005;0.512978;0.364013;-0.00741499;0.527212;0.362611;0.00632598;0.460935;0.369159;-0.00493523;0.446691;0.371193;0.00495257;0.432446;0.373226;0.0131514;0.55067;0.393105;0.0031942;0.420346;0.405648;0.00606586;0.512193;0.461876;-0.00184681;0.457043;0.466915;0.00452252;0.655104;0.67397;-0.0771325;0.331479;0.668456;0.0896735;0.706287;1.05657;-0.183786;0.265597;1.04132;0.071195;0.694155;1.35045;0.0857336;0.288933;1.26064;-0.199213;0.705785;1.44937;-0.0103144;0.280429;1.34245;-0.00573985;0.670454;1.43805;-0.00609361;0.313215;1.32085;0.00518147;0.653156;1.41092;0.00280923;0.326366;1.30488;-3.1295e-05;0.586232;1.22167;0.329395;0.359732;1.19741;0.531826
0.478682;0.407201;0.0011286;0.498015;0.361827;0.00221388;0.512232;0.361561;-0.00665898;0.527357;0.360727;0.0066763;0.459748;0.364196;-0.00531817;0.445509;0.365093;0.00497864;0.431269;0.365989;0.0136298;0.550293;0.390752;0.00360666;0.417333;0.396586;0.00555723;0.508783;0.461093;-0.00234554;0.454084;0.463573;0.00477769;0.653859;0.682177;-0.0685715;0.322645;0.681691;0.0820973;0.69998;1.06809;-0.144904;0.269725;1.0556;0.147675;0.681833;1.36108;0.111921;0.28456;1.31934;-0.165636;0.691715;1.46029;-0.0102275;0.270655;1.41309;-0.00553298;0.657515;1.44779;-0.00574432;0.306657;1.39919;0.00540132;0.6389;1.42122;0.00404666;0.32206;1.37754;-0.000824144;0.593546;1.24375;0.312424;0.362161;1.23258;0.505556
0.474307;0.407815;0.00154467;0.49459;0.364113;0.00168122;0.509747;0.363326;-0.00871834;0.524893;0.363172;0.00514542;0.457569;0.367375;-0.00470359;0.443293;0.368823;0.00522892;0.429007;0.370905;0.012754;0.550239;0.394382;0.00268578;0.418707;0.402887;0.00706582;0.506419;0.462045;-0.00152206;0.451135;0.465362;0.00363554;0.656287;0.676475;-0.102755;0.332172;0.666844;0.11361;0.709867;1.0665;-0.189813;0.271325;1.05388;0.0120721;0.705545;1.34256;0.0881714;0.268701;1.13615;-0.298358;0.715633;1.43791;-0.0103674;0.260943;1.17645;-0.00697189;0.685518;1.42682;-0.00622391;0.279851;1.13523;0.00520456;0.669057;1.39715;0.00208391;0.294157;1.13189;0.00156902;0.579824;1.23596;0.277206;0.349161;1.20331;0.5317
0.479324;0.404901;0.00128707;0.498187;0.360023;0.00208118;0.5125;0.35902;-0.00741517;0.526779;0.358647;0.00610293;0.460566;0.3636;-0.00482194;0.446254;0.364603;0.00566205;0.431908;0.366236;0.0132196;0.550225;0.387142;0.00290913;0.419162;0.396559;0.00694998;0.509922;0.458244;-0.00190066;0.455363;0.461909;0.00376313;0.655772;0.683;-0.067653;0.329345;0.679106;0.0824278;0.711386;1.06351;-0.0975914;0.273197;1.04955;0.130307;0.714987;1.34908;0.124197;0.258097;1.22538;-0.181075;0.727841;1.44299;-0.0102965;0.24539;1.28867;-0.00661672;0.697977;1.43472;-0.00558915;0.268193;1.26196;0.00512744;0.677089;1.4084;0.00356872;0.284812;1.25106;-0.000254072;0.587479;1.24924;0.284831;0.358572;1.2298;0.470127
0.477366;0.404215;0.00106777;0.497038;0.360387;0.00223483;0.512244;0.359445;-0.00700583;0.526539;0.359081;0.00686996;0.45946;0.363087;-0.00447662;0.44559;0.364114;0.00477274;0.431275;0.365112;0.0136911;0.550574;0.389804;0.00369974;0.418682;0.396691;0.00640314;0.509131;0.458916;-0.00165565;0.453714;0.461122;0.00401677;0.653893;0.68265;-0.0872889;0.328742;0.674765;0.0983812;0.70769;1.07457;-0.153174;0.269338;1.04682;0.170342;0.710369;1.38834;0.139462;0.262436;1.32444;-0.145147;0.725056;1.48957;-0.0103607;0.243019;1.41716;-0.00614185;0.691397;1.4811;-0.00537891;0.276302;1.40911;0.00532317;0.670847;1.45313;0.00372413;0.29528;1.38746;-0.000573513;0.589027;1.24354;0.280261;0.360169;1.22524;0.515484
0.475636;0.406152;0.00145547;0.497911;0.362094;0.002118;0.51317;0.361658;-0.00740074;0.528411;0.361858;0.00642751;0.459316;0.363161;-0.00445305;0.444953;0.363646;0.00499567;0.430124;0.364744;0.0134151;0.554429;0.39454;0.00351483;0.419391;0.396681;0.00673558;0.50773;0.462766;-0.00158062;0.451225;0.462847;0.00370037;0.65679;0.687171;-0.0992553;0.328952;0.671694;0.111242;0.706334;1.07512;-0.148435;0.267383;1.0395;0.159077;0.706187;1.37742;0.125806;0.254641;1.26074;-0.210161;0.720536;1.47642;-0.0104044;0.237339;1.33633;-0.00649052;0.686679;1.46818;-0.00550679;0.264725;1.3187;0.00519172;0.665913;1.44025;0.00332928;0.282156;1.30435;0.000174385;0.581414;1.24938;0.282082;0.352124;1.22146;0.541759
0.483268;0.404613;0.00115563;0.501808;0.361437;0.00219369;0.516689;0.360831;-0.00688994;0.531094;0.360823;0.00672497;0.46434;0.36389;-0.00491035;0.449908;0.364535;0.00515604;0.435896;0.365859;0.0133938;0.553158;0.39158;0.00357483;0.421023;0.397195;0.00612478;0.513269;0.459758;-0.00195852;0.45781;0.461902;0.00454181;0.654882;0.680328;-0.0763754;0.326236;0.671146;0.088618;0.706414;1.06707;-0.175214;0.262275;1.04321;0.146798;0.698033;1.3621;0.115911;0.264031;1.31224;-0.152077;0.70899;1.46166;-0.0104455;0.247803;1.40556;-0.00586855;0.674404;1.44964;-0.00564743;0.281653;1.39318;0.00533856;0.655733;1.42366;0.00358712;0.297845;1.37285;-0.00071602;0.589714;1.24498;0.294495;0.35604;1.22562;0.501382
0.481529;0.407166;0.00133831;0.500799;0.364116;0.00207908;0.515221;0.363688;-0.00706148;0.530523;0.363952;0.00669944;0.463395;0.365107;-0.00498065;0.449404;0.366201;0.00506852;0.435413;0.367295;0.0138629;0.552103;0.395968;0.00351668;0.420974;0.399103;0.00585586;0.511426;0.462729;-0.00179525;0.456453;0.463962;0.00467485;0.652553;0.687536;-0.0791279;0.32238;0.675701;0.0900383;0.709631;1.07645;-0.196723;0.25655;1.04838;0.124288;0.69785;1.35626;0.121813;0.272265;1.32725;-0.140035;0.705911;1.45023;-0.0103831;0.256763;1.42624;-0.00550085;0.675754;1.43436;-0.00572932;0.295347;1.41571;0.00550085;0.658446;1.41028;0.00375745;0.310891;1.3923;-0.000938484;0.586549;1.25105;0.295816;0.353847;1.23217;0.516497
