nose_x;nose_y;nose_z;right_eye_inner_x;right_eye_inner_y;right_eye_inner_z;right_eye_x;right_eye_y;right_eye_z;right_eye_outer_x;right_eye_outer_y;right_eye_outer_z;left_eye_inner_x;left_eye_inner_y;left_eye_inner_z;left_eye_x;left_eye_y;left_eye_z;left_eye_outer_x;left_eye_outer_y;left_eye_outer_z;right_ear_x;right_ear_y;right_ear_z;left_ear_x;left_ear_y;left_ear_z;mouth_right_x;mouth_right_y;mouth_right_z;mouth_left_x;mouth_left_y;mouth_left_z;right_shoulder_x;right_shoulder_y;right_shoulder_z;left_shoulder_x;left_shoulder_y;left_shoulder_z;right_elbow_x;right_elbow_y;right_elbow_z;left_elbow_x;left_elbow_y;left_elbow_z;right_wrist_x;right_wrist_y;right_wrist_z;left_wrist_x;left_wrist_y;left_wrist_z;right_pinky_1_x;right_pinky_1_y;right_pinky_1_z;left_pinky_1_x;left_pinky_1_y;left_pinky_1_z;right_index_1_x;right_index_1_y;right_index_1_z;left_index_1_x;left_index_1_y;left_index_1_z;right_thumb_2_x;right_thumb_2_y;right_thumb_2_z;left_thumb_2_x;left_thumb_2_y;left_thumb_2_z;right_hip_x;right_hip_y;right_hip_z;left_hip_x;left_hip_y;left_hip_z
0.494215;0.458508;0.00134373;0.52364;0.399993;0.00105775;0.541298;0.401364;-0.00793057;0.559995;0.40273;0.00662841;0.477421;0.398052;-0.00783321;0.460282;0.396677;0.00609295;0.443145;0.396041;0.0138166;0.593324;0.435763;0.00129404;0.429213;0.425663;0.00573597;0.531274;0.524012;-0.0035292;0.464799;0.519977;0.00717605;0.710502;0.730457;-0.110079;0.315338;0.723949;0.128382;0.787719;1.20853;-0.38216;0.225933;1.22074;-0.124617;0.736417;1.42004;0.0380018;0.374769;1.33358;-0.222754;0.726306;1.51315;-0.0138166;0.418078;1.40569;-0.00604833;0.698111;1.46015;-0.00800359;0.452139;1.3346;0.00618219;0.687665;1.43953;0.00155468;0.448993;1.32428;0.000429234;0.650124;1.38659;0.419545;0.365029;1.37647;0.746147
0.493041;0.466578;0.00128059;0.519359;0.408163;0.00222992;0.536938;0.408445;-0.00729975;0.555546;0.409478;0.00817233;0.475927;0.407468;-0.00744114;0.459387;0.406467;0.00591817;0.442324;0.406194;0.0148015;0.586319;0.441595;0.00233293;0.428131;0.435385;0.00476281;0.529779;0.528944;-0.00340547;0.464643;0.52643;0.00797438;0.702006;0.721449;-0.0936566;0.31513;0.730698;0.111173;0.77998;1.19265;-0.302752;0.244507;1.22526;0.0413666;0.719695;1.49175;0.101219;0.37029;1.53617;-0.137932;0.714627;1.60934;-0.0130159;0.389971;1.66298;-0.00481937;0.674588;1.57193;-0.00780067;0.441497;1.62115;0.00637062;0.662447;1.5379;0.0032964;0.442305;1.58439;-0.0014341;0.63726;1.32275;0.511653;0.367807;1.32726;0.794756
0.49956;0.465377;0.000945044;0.525153;0.405795;0.0019724;0.543654;0.406052;-0.00744793;0.562149;0.407041;0.00774504;0.479416;0.405158;-0.00759648;0.461943;0.404915;0.00591418;0.443957;0.404665;0.0141169;0.591724;0.441076;0.00238093;0.426263;0.43658;0.00441255;0.535604;0.530202;-0.00329435;0.467774;0.528527;0.00812647;0.704918;0.721876;-0.0893591;0.311707;0.727368;0.108117;0.784946;1.19153;-0.319663;0.238961;1.21609;-0.0185817;0.719161;1.49031;0.0467674;0.379401;1.49581;-0.179361;0.715263;1.60867;-0.0131132;0.402719;1.61747;-0.00487026;0.670311;1.56857;-0.0081064;0.454955;1.56996;0.00663287;0.660264;1.53481;0.00243714;0.453635;1.53778;-0.00126273;0.640239;1.30793;0.558125;0.36782;1.31145;0.833076
0.493216;0.459089;0.00105712;0.518968;0.400463;0.0021262;0.537349;0.400603;-0.00732801;0.555728;0.40147;0.0078825;0.474035;0.40012;-0.00752746;0.457185;0.399992;0.00600761;0.439825;0.399859;0.0143927;0.586238;0.435108;0.00256101;0.423365;0.431687;0.00466727;0.529738;0.523274;-0.00336881;0.463366;0.521316;0.00791441;0.702614;0.717764;-0.0913987;0.311942;0.731487;0.109908;0.784586;1.18679;-0.311981;0.239107;1.22475;-0.00363209;0.720155;1.48259;0.0739742;0.369801;1.50171;-0.169139;0.716648;1.60021;-0.0130843;0.393867;1.61954;-0.00485077;0.672873;1.56357;-0.00800616;0.442044;1.57197;0.00655013;0.661766;1.53008;0.00287216;0.442164;1.54002;-0.00123363;0.645216;1.31499;0.521585;0.373028;1.32309;0.796036
0.490375;0.447144;0.00131987;0.517007;0.391993;0.00149043;0.535288;0.392529;-0.00809968;0.553573;0.393787;0.00707234;0.472826;0.390277;-0.00737777;0.456068;0.389725;0.00656463;0.43931;0.389174;0.013875;0.583198;0.428869;0.00172049;0.425251;0.420368;0.00565629;0.52573;0.511052;-0.0031534;0.460726;0.508103;0.00673915;0.699415;0.72086;-0.10002;0.31303;0.720462;0.117981;0.784;1.18431;-0.31707;0.23523;1.20145;-0.0907545;0.747797;1.45619;0.0464879;0.371609;1.36326;-0.211972;0.749343;1.5616;-0.0131769;0.404538;1.44958;-0.00568009;0.712607;1.52587;-0.00792515;0.44181;1.38999;0.00596568;0.698253;1.49858;0.00179387;0.439206;1.37702;-8.99909e-05;0.639626;1.35042;0.421152;0.365929;1.34454;0.730098
0.486934;0.450344;0.00115056;0.512943;0.393804;0.00152849;0.53012;0.393953;-0.00787039;0.548308;0.39411;0.0072586;0.469495;0.393428;-0.00757436;0.452823;0.393283;0.00648893;0.436151;0.393139;0.0139409;0.579493;0.426715;0.00165578;0.423391;0.423208;0.00545875;0.523553;0.511738;-0.00353457;0.459391;0.511182;0.0067218;0.69849;0.71804;-0.0897398;0.315506;0.722627;0.108686;0.777352;1.17931;-0.300859;0.239715;1.19621;-0.0630263;0.733715;1.45917;0.0481223;0.371835;1.37268;-0.202972;0.733259;1.56551;-0.0128989;0.403282;1.46206;-0.00548638;0.697032;1.53071;-0.00771251;0.440402;1.40633;0.00602713;0.684013;1.50329;0.00203075;0.437438;1.3905;-6.85181e-05;0.641248;1.3434;0.430701;0.371465;1.34106;0.714887
0.485241;0.43298;0.00127191;0.511391;0.379995;0.000985875;0.528501;0.379983;-0.00804034;0.545612;0.380685;0.00660919;0.46811;0.380028;-0.00747024;0.452509;0.38004;0.00627893;0.436405;0.380768;0.0136352;0.576827;0.414302;0.00149896;0.424339;0.412269;0.00578747;0.521499;0.495223;-0.00333015;0.459095;0.49527;0.00623568;0.696712;0.708383;-0.0936689;0.320275;0.710813;0.111535;0.774382;1.16282;-0.319569;0.242445;1.18183;-0.136257;0.732198;1.40334;0.0508291;0.369807;1.28194;-0.186457;0.73022;1.49782;-0.0130061;0.402039;1.3449;-0.00577961;0.699004;1.4592;-0.00773366;0.43322;1.28762;0.00596046;0.685911;1.43774;0.00143212;0.433218;1.28332;0.000495395;0.640583;1.34329;0.398832;0.370834;1.33634;0.684934
0.487724;0.434453;0.00127635;0.511393;0.379075;0.00125778;0.528408;0.378458;-0.00784964;0.546421;0.378558;0.00696226;0.468358;0.38026;-0.00802165;0.452346;0.380172;0.00654398;0.435831;0.380792;0.0137682;0.576358;0.410036;0.00151774;0.422736;0.412032;0.00539859;0.524086;0.495145;-0.00374109;0.461035;0.496219;0.00697008;0.69864;0.706759;-0.0690519;0.315327;0.714601;0.0894422;0.771441;1.16547;-0.290969;0.240449;1.19811;-0.130223;0.719729;1.41141;0.0268014;0.385699;1.32986;-0.17976;0.715453;1.51102;-0.0128925;0.42302;1.4055;-0.00521094;0.682538;1.47098;-0.00802947;0.45821;1.34591;0.00594587;0.671596;1.44673;0.00185491;0.453738;1.3345;-5.46675e-06;0.643875;1.33698;0.437829;0.372669;1.3369;0.670003
0.479076;0.43014;0.00151674;0.507302;0.376774;0.00150603;0.524254;0.378073;-0.00751555;0.542202;0.379365;0.00707162;0.464429;0.374949;-0.00753891;0.448477;0.374352;0.00619935;0.432525;0.373755;0.0140809;0.573223;0.413175;0.00221962;0.421662;0.403605;0.00547116;0.514683;0.492983;-0.00343067;0.452364;0.489166;0.0065654;0.692873;0.707239;-0.0996258;0.31407;0.712023;0.117694;0.765229;1.16185;-0.29408;0.239963;1.18963;-0.0641119;0.709263;1.40894;0.0938937;0.357108;1.33626;-0.1757;0.703626;1.50822;-0.0128115;0.387279;1.41261;-0.00531929;0.670592;1.46876;-0.00764016;0.419486;1.35709;0.00593456;0.660534;1.44331;0.00248247;0.420438;1.34433;9.9968e-05;0.638225;1.33429;0.39302;0.369549;1.3305;0.689343
0.481064;0.426713;0.00143526;0.509283;0.373605;0.00104709;0.526178;0.374246;-0.00740632;0.544068;0.37559;0.00636213;0.465556;0.371655;-0.00781001;0.449656;0.371717;0.00604383;0.433756;0.371072;0.013881;0.576927;0.410089;0.00185449;0.422388;0.402208;0.00544605;0.517458;0.490877;-0.00335963;0.45435;0.487589;0.00657175;0.695745;0.705006;-0.0998688;0.316649;0.71001;0.117756;0.773141;1.16332;-0.337865;0.236586;1.19225;-0.132662;0.711921;1.36707;0.052605;0.364946;1.28079;-0.181602;0.701158;1.45474;-0.0130038;0.401833;1.34284;-0.0054771;0.671252;1.40539;-0.00777508;0.431023;1.27771;0.00622627;0.664255;1.38422;0.00210777;0.431009;1.27064;0.000140834;0.646279;1.33765;0.396494;0.372502;1.33447;0.692126
