nose_x;nose_y;nose_z;right_eye_inner_x;right_eye_inner_y;right_eye_inner_z;right_eye_x;right_eye_y;right_eye_z;right_eye_outer_x;right_eye_outer_y;right_eye_outer_z;left_eye_inner_x;left_eye_inner_y;left_eye_inner_z;left_eye_x;left_eye_y;left_eye_z;left_eye_outer_x;left_eye_outer_y;left_eye_outer_z;right_ear_x;right_ear_y;right_ear_z;left_ear_x;left_ear_y;left_ear_z;mouth_right_x;mouth_right_y;mouth_right_z;mouth_left_x;mouth_left_y;mouth_left_z;right_shoulder_x;right_shoulder_y;right_shoulder_z;left_shoulder_x;left_shoulder_y;left_shoulder_z;right_elbow_x;right_elbow_y;right_elbow_z;left_elbow_x;left_elbow_y;left_elbow_z;right_wrist_x;right_wrist_y;right_wrist_z;left_wrist_x;left_wrist_y;left_wrist_z;right_pinky_1_x;right_pinky_1_y;right_pinky_1_z;left_pinky_1_x;left_pinky_1_y;left_pinky_1_z;right_index_1_x;right_index_1_y;right_index_1_z;left_index_1_x;left_index_1_y;left_index_1_z;right_thumb_2_x;right_thumb_2_y;right_thumb_2_z;left_thumb_2_x;left_thumb_2_y;left_thumb_2_z;right_hip_x;right_hip_y;right_hip_z;left_hip_x;left_hip_y;left_hip_z
0.470908;0.327955;0.00105289;0.494235;0.283644;0.00218576;0.509601;0.283473;-0.00998291;0.524955;0.28403;0.00715922;0.457296;0.287402;-0.00421954;0.443451;0.288357;0.00390558;0.430106;0.290058;0.0158863;0.555022;0.320808;0.00495546;0.423338;0.324773;0.00759917;0.505714;0.386027;-0.00254772;0.44934;0.388353;0.00483147;0.64964;0.641794;-0.151536;0.321927;0.582567;0.157807;0.651414;1.05701;-0.324061;0.16725;0.954964;0.0380439;0.649714;1.38033;0.207465;0.156708;1.17163;-0.298208;0.665339;1.47995;-0.0117747;0.134671;1.25823;-0.00709523;0.643897;1.47626;-0.00587536;0.180809;1.25553;0.00559939;0.627018;1.44651;0.00196979;0.198011;1.23867;0.00153883;0.551911;1.23694;0.283873;0.319454;1.17753;0.62662
0.467357;0.341999;0.000899917;0.491354;0.298533;0.00215384;0.505633;0.2994;-0.00821759;0.519348;0.300904;0.00813804;0.456105;0.297166;-0.00476509;0.443344;0.296546;0.00410084;0.430582;0.295926;0.0166102;0.546717;0.33014;0.00446677;0.42344;0.321;0.00696864;0.497252;0.397154;-0.00369911;0.445758;0.393872;0.00613336;0.6342;0.61842;-0.123463;0.309549;0.577221;0.1311;0.637673;1.00817;-0.312857;0.150062;0.928781;0.165084;0.605204;1.28421;0.195758;0.12259;1.23187;-0.218033;0.607013;1.37634;-0.011336;0.096127;1.34417;-0.00579129;0.585799;1.35976;-0.0051708;0.146898;1.34369;0.00582311;0.573373;1.33588;0.0043912;0.16715;1.31492;-7.1316e-06;0.553563;1.20001;0.311839;0.324006;1.17429;0.599749
0.465699;0.33588;0.000547389;0.491955;0.290002;0.00215418;0.507043;0.29097;-0.00932429;0.523095;0.292764;0.00694998;0.454639;0.289421;-0.0046818;0.440554;0.288565;0.00410788;0.426469;0.287709;0.0158497;0.55254;0.326202;0.00482332;0.419296;0.317056;0.00689888;0.49828;0.394792;-0.00329416;0.442482;0.390711;0.00541296;0.641761;0.62976;-0.148057;0.312906;0.580093;0.153717;0.644536;1.03636;-0.348694;0.143697;0.938758;0.0566062;0.62761;1.32446;0.170825;0.137126;1.14906;-0.331586;0.637535;1.41889;-0.0120445;0.1202;1.23618;-0.0067495;0.614934;1.40775;-0.00501987;0.166714;1.22559;0.00622668;0.59914;1.38301;0.00300131;0.181627;1.21146;0.000860885;0.566835;1.21861;0.281521;0.332471;1.18525;0.628957
0.469678;0.336934;0.000902352;0.494291;0.291647;0.00269391;0.509251;0.292355;-0.00864077;0.525206;0.293157;0.00752269;0.457273;0.292401;-0.00404768;0.443773;0.292542;0.00365031;0.429775;0.292636;0.0159726;0.554561;0.327926;0.00556702;0.422842;0.323253;0.00725778;0.50245;0.394772;-0.00252834;0.447056;0.393072;0.00515407;0.64017;0.633859;-0.141868;0.318885;0.579223;0.147103;0.629485;1.0323;-0.296201;0.168986;0.930346;0.168047;0.624374;1.33318;0.235864;0.120654;1.22571;-0.252195;0.636978;1.42678;-0.0112665;0.0861894;1.3319;-0.00637344;0.620326;1.41951;-0.00475671;0.136309;1.3395;0.00608905;0.603542;1.39376;0.00374966;0.160026;1.31331;0.000373748;0.551401;1.20543;0.290716;0.325082;1.16122;0.616338
0.471025;0.340072;0.000698231;0.494144;0.294586;0.00217829;0.508521;0.295234;-0.00920795;0.523389;0.295953;0.00712437;0.458301;0.295102;-0.00458851;0.445402;0.294666;0.00434884;0.432453;0.29493;0.0156636;0.550055;0.326656;0.0041401;0.424559;0.322089;0.0072674;0.501468;0.394658;-0.00334764;0.449379;0.392842;0.00536551;0.634657;0.620296;-0.117639;0.315247;0.580126;0.124443;0.63683;1.01032;-0.323353;0.149942;0.940467;0.0421509;0.632519;1.29545;0.178129;0.149708;1.16111;-0.281047;0.644869;1.38776;-0.0116046;0.133898;1.25079;-0.00648654;0.627444;1.38101;-0.00530752;0.179298;1.24174;0.00594149;0.609143;1.35858;0.00322587;0.193782;1.22684;0.000607388;0.559909;1.19733;0.296881;0.332953;1.17184;0.576444
0.469251;0.336177;0.00105796;0.494549;0.291158;0.00177604;0.509254;0.291914;-0.0089003;0.524937;0.292768;0.00702373;0.457145;0.292347;-0.00444632;0.443874;0.292431;0.00405952;0.430079;0.293162;0.0156483;0.556659;0.327357;0.00479866;0.425158;0.323426;0.00719224;0.503273;0.394056;-0.00247975;0.447775;0.393455;0.0051127;0.646776;0.634694;-0.143018;0.320186;0.580701;0.149758;0.641434;1.0451;-0.36937;0.152268;0.939372;0.0449764;0.616986;1.26352;0.163729;0.135675;1.12782;-0.295104;0.619247;1.33783;-0.0114126;0.114543;1.2082;-0.00626928;0.606643;1.31421;-0.00509355;0.158747;1.19859;0.00611992;0.594746;1.29626;0.0031423;0.176611;1.18499;0.00105126;0.555047;1.22385;0.27427;0.321052;1.17552;0.600993
0.472116;0.33482;0.00106454;0.492947;0.292044;0.0021633;0.506651;0.292038;-0.00885851;0.520355;0.292031;0.0076723;0.458506;0.29447;-0.00437983;0.446253;0.294698;0.00450149;0.433465;0.29554;0.0160746;0.545593;0.320922;0.00441785;0.42656;0.322333;0.00787761;0.502423;0.387451;-0.00286286;0.452446;0.388214;0.00506798;0.634735;0.619843;-0.0938013;0.314969;0.583112;0.102318;0.64131;1.00158;-0.238944;0.155065;0.933304;0.093193;0.633325;1.2774;0.193929;0.121945;1.17885;-0.197214;0.641434;1.36494;-0.0109344;0.0969097;1.27111;-0.0060907;0.627434;1.35586;-0.005106;0.140597;1.26939;0.0056991;0.611461;1.33394;0.00382665;0.160154;1.25009;0.000247363;0.55343;1.19427;0.286879;0.328385;1.16705;0.504654
0.470568;0.336603;0.0010351;0.491675;0.290123;0.00204;0.506278;0.289073;-0.00886956;0.520841;0.288708;0.00723529;0.45553;0.294859;-0.00409509;0.442372;0.296078;0.00387996;0.428692;0.297925;0.0155349;0.549109;0.31959;0.00514812;0.422617;0.327549;0.00775992;0.503387;0.389388;-0.00229099;0.450351;0.392838;0.00492921;0.641984;0.624826;-0.114074;0.322114;0.581907;0.121622;0.632016;1.01524;-0.29228;0.161898;0.921663;0.109786;0.617277;1.25343;0.175368;0.108146;1.13874;-0.263777;0.623515;1.33;-0.0108926;0.0790839;1.22221;-0.00615962;0.610984;1.31198;-0.00476314;0.119199;1.21587;0.0060162;0.597568;1.29249;0.00349876;0.141493;1.19917;0.000935078;0.553287;1.20321;0.27513;0.326898;1.16157;0.523206
0.476804;0.32927;0.00117457;0.499975;0.288091;0.00215821;0.51342;0.288664;-0.00881253;0.528724;0.29019;0.00690702;0.464309;0.288419;-0.00448862;0.451341;0.287915;0.00441375;0.438324;0.288089;0.0157233;0.554195;0.324695;0.00491914;0.430375;0.318452;0.00761456;0.506447;0.386298;-0.00264301;0.454621;0.383606;0.00481058;0.639303;0.630178;-0.108775;0.316548;0.590399;0.116143;0.638121;1.01088;-0.276251;0.160427;0.948712;0.0609165;0.629916;1.27411;0.18221;0.136737;1.15901;-0.242588;0.640313;1.35781;-0.011156;0.114999;1.24082;-0.00600854;0.625542;1.34883;-0.00518494;0.15544;1.23433;0.00606095;0.609736;1.32736;0.00383349;0.174241;1.2206;0.000481526;0.558757;1.20491;0.269303;0.330491;1.17742;0.52375
0.470452;0.329871;0.0010214;0.493457;0.28694;0.00226625;0.508302;0.286606;-0.00874471;0.523584;0.287001;0.00690117;0.45696;0.289549;-0.00422338;0.443502;0.290723;0.00394034;0.430044;0.291897;0.0155528;0.552152;0.322934;0.00546731;0.423848;0.325195;0.0075939;0.503571;0.386732;-0.00230908;0.449455;0.387996;0.00430532;0.64162;0.633863;-0.122396;0.320792;0.590196;0.12907;0.630911;1.02443;-0.269581;0.168594;0.937295;0.103745;0.621362;1.31038;0.19867;0.124656;1.16351;-0.265768;0.632604;1.39873;-0.0110985;0.0953546;1.24993;-0.00619728;0.616755;1.39147;-0.00484535;0.13763;1.24663;0.00611906;0.600878;1.36788;0.00358839;0.160087;1.23016;0.00110799;0.554253;1.19519;0.279831;0.32924;1.15709;0.556325
