nose_x;nose_y;nose_z;right_eye_inner_x;right_eye_inner_y;right_eye_inner_z;right_eye_x;right_eye_y;right_eye_z;right_eye_outer_x;right_eye_outer_y;right_eye_outer_z;left_eye_inner_x;left_eye_inner_y;left_eye_inner_z;left_eye_x;left_eye_y;left_eye_z;left_eye_outer_x;left_eye_outer_y;left_eye_outer_z;right_ear_x;right_ear_y;right_ear_z;left_ear_x;left_ear_y;left_ear_z;mouth_right_x;mouth_right_y;mouth_right_z;mouth_left_x;mouth_left_y;mouth_left_z;right_shoulder_x;right_shoulder_y;right_shoulder_z;left_shoulder_x;left_shoulder_y;left_shoulder_z;right_elbow_x;right_elbow_y;right_elbow_z;left_elbow_x;left_elbow_y;left_elbow_z;right_wrist_x;right_wrist_y;right_wrist_z;left_wrist_x;left_wrist_y;left_wrist_z;right_pinky_1_x;right_pinky_1_y;right_pinky_1_z;left_pinky_1_x;left_pinky_1_y;left_pinky_1_z;right_index_1_x;right_index_1_y;right_index_1_z;left_index_1_x;left_index_1_y;left_index_1_z;right_thumb_2_x;right_thumb_2_y;right_thumb_2_z;left_thumb_2_x;left_thumb_2_y;left_thumb_2_z;right_hip_x;right_hip_y;right_hip_z;left_hip_x;left_hip_y;left_hip_z
0.499276;0.226249;9.92836e-05;0.513698;0.166155;0.0032317;0.530229;0.163803;-0.00649755;0.546791;0.162071;0.00688679;0.472259;0.169866;-0.00501571;0.45476;0.170449;0.0026615;0.43773;0.171607;0.0120118;0.562861;0.184698;0.00541178;0.413635;0.197186;0.00372849;0.529927;0.276642;-0.00141867;0.467971;0.281875;0.00637463;0.658289;0.453932;-0.0385688;0.323501;0.479594;0.0544388;0.67912;0.856863;-0.00393336;0.307316;0.887019;0.182464;0.688171;1.16754;0.141273;0.341493;1.2175;-0.121606;0.707246;1.26526;-0.00958756;0.329135;1.326;-0.00523423;0.67903;1.26198;-0.00618684;0.368862;1.32309;0.00636439;0.656442;1.23194;0.00296368;0.387117;1.28628;-0.0019001;0.627752;0.948243;0.478558;0.407206;0.971307;0.596996
0.499911;0.230975;0.000360805;0.514383;0.171283;0.00327016;0.530937;0.168284;-0.00659171;0.547556;0.166529;0.00674245;0.472367;0.175095;-0.00523157;0.455247;0.175653;0.00279908;0.437721;0.176879;0.0117856;0.565473;0.189653;0.00489239;0.41406;0.203769;0.00356309;0.531535;0.280795;-0.00177126;0.46809;0.28687;0.00685209;0.660976;0.452245;-0.0440178;0.323616;0.475993;0.0594761;0.680077;0.85174;-0.0476905;0.306468;0.888698;0.158859;0.68624;1.15504;0.103713;0.360659;1.21069;-0.163354;0.703811;1.25575;-0.0100178;0.356381;1.32246;-0.00524185;0.674363;1.2476;-0.00632105;0.397036;1.30941;0.00602299;0.652492;1.21614;0.00291214;0.410459;1.27172;-0.00180553;0.626187;0.965003;0.463091;0.400945;0.980036;0.594652
0.500872;0.233229;0.000427992;0.515967;0.172638;0.00319271;0.532551;0.170019;-0.00640254;0.549185;0.168645;0.00703629;0.473918;0.175487;-0.00506997;0.456357;0.175688;0.00311734;0.439235;0.175853;0.011517;0.565034;0.191074;0.0044876;0.414348;0.201021;0.00398746;0.531024;0.283211;-0.00164603;0.468838;0.287723;0.00671428;0.65561;0.451577;-0.0328589;0.323621;0.474625;0.0491102;0.677551;0.83831;-0.0412723;0.307829;0.88384;0.162787;0.688675;1.13224;0.0952057;0.356455;1.2034;-0.137574;0.7067;1.22945;-0.00955757;0.349446;1.31143;-0.00514533;0.678277;1.2218;-0.00651559;0.386838;1.30209;0.00602915;0.655221;1.19497;0.00280047;0.400399;1.26849;-0.00191151;0.619397;0.963051;0.476193;0.398234;0.978819;0.587568
0.498957;0.233391;0.000384507;0.515052;0.170929;0.00330569;0.531628;0.16779;-0.0065771;0.549128;0.165829;0.00698496;0.471707;0.174863;-0.0049491;0.45416;0.175577;0.00290297;0.436176;0.176325;0.0115365;0.56752;0.187544;0.00461665;0.413366;0.20056;0.00407856;0.531574;0.282762;-0.00158601;0.467662;0.28889;0.0065771;0.661881;0.452767;-0.0391267;0.325113;0.469725;0.0555506;0.674158;0.847972;-0.028543;0.308119;0.88091;0.174932;0.682721;1.14474;0.109511;0.348146;1.19652;-0.150365;0.70133;1.24204;-0.00976797;0.338031;1.30101;-0.00543236;0.67467;1.23408;-0.00611441;0.375564;1.2944;0.0060013;0.650762;1.20591;0.00292182;0.391473;1.26194;-0.00159544;0.61739;0.973522;0.465901;0.392674;0.979427;0.588299
0.498607;0.227929;0.000286918;0.514797;0.168421;0.00345674;0.531447;0.166386;-0.00640226;0.548975;0.16431;0.00664243;0.473128;0.171635;-0.00520141;0.455995;0.171818;0.00325431;0.438877;0.172625;0.0116448;0.567085;0.187204;0.00452893;0.41662;0.198046;0.00367118;0.530539;0.278293;-0.00208605;0.467816;0.283125;0.00631648;0.662823;0.448916;-0.0416113;0.328168;0.475314;0.0576958;0.67724;0.841323;-0.0417759;0.311376;0.886065;0.168641;0.688699;1.1445;0.115611;0.356894;1.19889;-0.178303;0.710369;1.24472;-0.0100391;0.349272;1.30549;-0.00552049;0.68219;1.2423;-0.00618954;0.388542;1.29364;0.00608661;0.656883;1.21225;0.00322515;0.40271;1.26047;-0.0018373;0.631548;0.954715;0.467715;0.408366;0.975234;0.594635
0.502164;0.225741;0.000357987;0.517089;0.16677;0.00351252;0.532813;0.164071;-0.00670588;0.549471;0.162538;0.00684315;0.475883;0.170563;-0.00519585;0.459168;0.170849;0.00282443;0.442044;0.171799;0.0122312;0.56633;0.184777;0.0049968;0.419422;0.197045;0.00348163;0.53345;0.274825;-0.00182747;0.471641;0.280514;0.00687404;0.662807;0.447607;-0.0403314;0.326879;0.475394;0.0550198;0.682715;0.846453;-0.0345384;0.303165;0.892654;0.159239;0.687085;1.15532;0.127611;0.353821;1.22231;-0.170001;0.705878;1.25877;-0.0100554;0.348025;1.33678;-0.00525076;0.675729;1.25404;-0.00637985;0.390969;1.32282;0.00608471;0.652222;1.22114;0.00327744;0.405048;1.28396;-0.00215007;0.630153;0.948956;0.471786;0.408017;0.971905;0.587317
0.504196;0.22285;0.000387993;0.519884;0.163704;0.0035194;0.535669;0.162185;-0.00672978;0.552332;0.160582;0.00683279;0.478197;0.167088;-0.00488253;0.461007;0.166863;0.00265414;0.443846;0.167261;0.0123471;0.569275;0.183385;0.00526022;0.420388;0.192698;0.00388679;0.534811;0.273783;-0.00137428;0.472894;0.277861;0.00672291;0.665493;0.44665;-0.0441968;0.324777;0.470035;0.058398;0.686114;0.843113;-0.0171541;0.295037;0.881994;0.172392;0.691939;1.15079;0.13943;0.330551;1.21187;-0.163163;0.710019;1.25304;-0.00992986;0.320923;1.32431;-0.00533919;0.679786;1.24718;-0.00618384;0.363598;1.31394;0.00624565;0.657136;1.21553;0.00329279;0.381551;1.27462;-0.00204469;0.627599;0.946476;0.471579;0.402094;0.965667;0.59288
0.499375;0.213736;0.00046773;0.515564;0.155974;0.00333086;0.531361;0.154058;-0.00657573;0.548036;0.15207;0.00698844;0.474716;0.159934;-0.00489397;0.45843;0.160636;0.00272728;0.441729;0.161999;0.012615;0.567504;0.175566;0.00525852;0.422056;0.188062;0.00410639;0.531379;0.263802;-0.00151582;0.470754;0.269376;0.00623869;0.666523;0.444044;-0.0498545;0.33272;0.465638;0.0641615;0.688612;0.838579;-0.0348321;0.297801;0.86796;0.18335;0.689491;1.14454;0.145822;0.323032;1.19827;-0.139108;0.705002;1.24487;-0.0097673;0.308521;1.30857;-0.00536514;0.676522;1.23841;-0.00598075;0.350662;1.30388;0.00629372;0.654994;1.20756;0.00334461;0.369906;1.26719;-0.0017901;0.63044;0.948681;0.451222;0.408395;0.964291;0.586809
0.504084;0.207825;0.000423357;0.520501;0.151876;0.0032145;0.536339;0.150022;-0.00676682;0.553081;0.148725;0.00690471;0.480384;0.154354;-0.00469506;0.464058;0.15499;0.00266984;0.447709;0.154999;0.0126581;0.571664;0.172425;0.00528798;0.427913;0.180414;0.00430898;0.53432;0.258903;-0.0013556;0.474793;0.262256;0.00582229;0.666931;0.444718;-0.0540794;0.335522;0.456552;0.0681163;0.686544;0.841649;-0.025454;0.299526;0.855276;0.191277;0.694036;1.15279;0.164472;0.314642;1.18091;-0.132262;0.710995;1.24952;-0.0096728;0.299334;1.28893;-0.00553962;0.685153;1.24398;-0.00591537;0.337665;1.28597;0.00623251;0.662806;1.21428;0.00319037;0.357911;1.2492;-0.00160725;0.627771;0.945498;0.438813;0.407237;0.956289;0.586848
0.502826;0.196074;5.92487e-05;0.520614;0.141417;0.00321811;0.536507;0.139789;-0.00663671;0.55242;0.138788;0.00696164;0.479948;0.143973;-0.00438645;0.463574;0.144372;0.00281715;0.44722;0.1454;0.0126512;0.571805;0.164025;0.00578638;0.42813;0.172425;0.00488766;0.533659;0.247676;-0.00121673;0.473967;0.250798;0.00499482;0.668133;0.442043;-0.0652057;0.342477;0.451803;0.0785344;0.686784;0.84273;-0.0510197;0.304101;0.841587;0.208614;0.701088;1.16055;0.207729;0.291845;1.15981;-0.118797;0.719931;1.25384;-0.00942275;0.269177;1.25698;-0.00565849;0.696868;1.25277;-0.00572762;0.298987;1.2614;0.00665745;0.673908;1.2265;0.00320256;0.322881;1.23219;-0.00129278;0.636023;0.94796;0.413467;0.41751;0.956654;0.583146
