nose_x;nose_y;nose_z;right_eye_inner_x;right_eye_inner_y;right_eye_inner_z;right_eye_x;right_eye_y;right_eye_z;right_eye_outer_x;right_eye_outer_y;right_eye_outer_z;left_eye_inner_x;left_eye_inner_y;left_eye_inner_z;left_eye_x;left_eye_y;left_eye_z;left_eye_outer_x;left_eye_outer_y;left_eye_outer_z;right_ear_x;right_ear_y;right_ear_z;left_ear_x;left_ear_y;left_ear_z;mouth_right_x;mouth_right_y;mouth_right_z;mouth_left_x;mouth_left_y;mouth_left_z;right_shoulder_x;right_shoulder_y;right_shoulder_z;left_shoulder_x;left_shoulder_y;left_shoulder_z;right_elbow_x;right_elbow_y;right_elbow_z;left_elbow_x;left_elbow_y;left_elbow_z;right_wrist_x;right_wrist_y;right_wrist_z;left_wrist_x;left_wrist_y;left_wrist_z;right_pinky_1_x;right_pinky_1_y;right_pinky_1_z;left_pinky_1_x;left_pinky_1_y;left_pinky_1_z;right_index_1_x;right_index_1_y;right_index_1_z;left_index_1_x;left_index_1_y;left_index_1_z;right_thumb_2_x;right_thumb_2_y;right_thumb_2_z;left_thumb_2_x;left_thumb_2_y;left_thumb_2_z;right_hip_x;right_hip_y;right_hip_z;left_hip_x;left_hip_y;left_hip_z
0.527894;0.280298;0.000402534;0.540787;0.227922;0.00276899;0.556034;0.225827;-0.00578013;0.570493;0.224353;0.00622669;0.503003;0.230847;-0.00482726;0.486899;0.231276;0.00260232;0.471215;0.232253;0.0113527;0.584119;0.248146;0.00516375;0.447861;0.25892;0.00366369;0.555163;0.328455;-0.00177524;0.498093;0.333154;0.0063745;0.670632;0.493179;-0.0357249;0.35988;0.529142;0.0500903;0.689536;0.845568;-0.0507696;0.333223;0.906716;0.163932;0.679381;1.11782;0.0672231;0.364791;1.19929;-0.167353;0.691954;1.21216;-0.00889977;0.356593;1.29951;-0.00461341;0.658696;1.20507;-0.00604744;0.392907;1.28808;0.0057707;0.639247;1.17533;0.00333348;0.407972;1.25391;-0.00161642;0.643331;0.967637;0.429101;0.436682;0.9954;0.523294
0.522681;0.279183;0.000918004;0.536919;0.225861;0.00311995;0.552192;0.223682;-0.00607586;0.566689;0.22216;0.00624306;0.4982;0.228775;-0.00453008;0.482436;0.229278;0.00235495;0.466671;0.229781;0.0113946;0.582435;0.244693;0.00511685;0.445711;0.255016;0.00359315;0.55104;0.326304;-0.0012595;0.49417;0.330547;0.00632823;0.669014;0.493008;-0.030537;0.357294;0.525158;0.0440894;0.679809;0.841416;-0.0157102;0.332497;0.905518;0.159499;0.680061;1.09591;0.0905512;0.367284;1.20131;-0.159095;0.695168;1.18416;-0.00905386;0.35957;1.30232;-0.00465942;0.668055;1.17664;-0.00600331;0.397932;1.29253;0.00557112;0.648045;1.14995;0.00341649;0.413927;1.25745;-0.00172402;0.636235;0.969222;0.418332;0.430977;0.993074;0.504745
0.52975;0.286023;0.000275304;0.543567;0.231203;0.00319463;0.55969;0.229204;-0.00600376;0.57503;0.22785;0.00634187;0.503931;0.232973;-0.00468926;0.487733;0.23325;0.00228617;0.471107;0.232988;0.0111417;0.588975;0.250249;0.00562458;0.446652;0.257624;0.00360226;0.557008;0.334912;-0.0012205;0.498373;0.337782;0.00649671;0.671073;0.497171;-0.0321296;0.359576;0.528123;0.0467409;0.684134;0.852199;-0.00428479;0.335492;0.904873;0.18302;0.680368;1.1188;0.0939874;0.353568;1.19837;-0.153494;0.693965;1.20751;-0.00847479;0.339915;1.29409;-0.00485041;0.666164;1.2019;-0.00586473;0.373774;1.28995;0.0061112;0.646342;1.17483;0.00323887;0.392252;1.25835;-0.00189119;0.646198;0.985801;0.411542;0.438649;1.01219;0.504771
0.521049;0.278231;0.00104967;0.535191;0.225143;0.00318624;0.550524;0.222842;-0.00609362;0.565857;0.220542;0.00632811;0.49715;0.228835;-0.0043888;0.481348;0.230031;0.00217222;0.465951;0.231181;0.0116866;0.581787;0.243636;0.00535212;0.446234;0.25712;0.00395784;0.550481;0.324691;-0.00105838;0.49384;0.330472;0.00624255;0.669615;0.491857;-0.0330824;0.361596;0.528176;0.0462139;0.683884;0.836871;-0.0187467;0.33261;0.907559;0.169544;0.6815;1.08712;0.109311;0.354658;1.20946;-0.139935;0.693694;1.17486;-0.00899942;0.344315;1.30899;-0.00463914;0.667922;1.16503;-0.00588448;0.381728;1.30132;0.00574505;0.649407;1.13933;0.00365997;0.40003;1.26454;-0.00171433;0.637469;0.96823;0.419398;0.433804;0.993412;0.503359
0.522309;0.278732;0.00104911;0.53789;0.224689;0.00303307;0.553276;0.222768;-0.00594869;0.568687;0.221424;0.00603439;0.499363;0.228048;-0.00463452;0.483902;0.228238;0.00192047;0.468036;0.228464;0.011872;0.586815;0.245318;0.0052916;0.449614;0.254386;0.00392982;0.552049;0.326508;-0.00132528;0.494411;0.330376;0.00636452;0.670754;0.492738;-0.041317;0.363288;0.527653;0.0532271;0.678174;0.834831;-0.06049;0.326778;0.908314;0.173699;0.674545;1.05283;0.0947219;0.35477;1.19882;-0.158259;0.684416;1.13071;-0.00941505;0.34698;1.3014;-0.00449485;0.666587;1.11374;-0.00567887;0.385921;1.28874;0.00606931;0.64942;1.09324;0.00423455;0.403084;1.25251;-0.00163002;0.645656;0.987037;0.385592;0.44221;1.01751;0.496109
0.519908;0.271808;0.0011201;0.535754;0.21893;0.00307174;0.551952;0.216531;-0.00613076;0.567371;0.214799;0.00634381;0.495957;0.222817;-0.00416243;0.479695;0.224063;0.0022259;0.463401;0.224731;0.0117909;0.586794;0.241072;0.00537713;0.443775;0.253645;0.00404159;0.551258;0.321711;-0.00108274;0.491953;0.327208;0.00611804;0.673466;0.493225;-0.0487662;0.360498;0.526042;0.0609514;0.683695;0.839321;-0.0570338;0.327225;0.904894;0.171458;0.681046;1.08582;0.0884762;0.351185;1.20415;-0.181735;0.694842;1.17254;-0.00931061;0.339653;1.30533;-0.0047666;0.669727;1.16142;-0.00574917;0.379631;1.29735;0.00571102;0.651212;1.13679;0.00372361;0.397655;1.26165;-0.00126558;0.63669;0.978154;0.409667;0.427938;0.998108;0.531977
0.51658;0.263531;0.000545472;0.532794;0.211916;0.00287468;0.54827;0.210857;-0.00600736;0.563745;0.209798;0.00602647;0.494902;0.213928;-0.00448163;0.479407;0.214407;0.00211978;0.463893;0.214308;0.0119892;0.580935;0.235326;0.00562513;0.444393;0.241185;0.00397518;0.546016;0.313184;-0.00149228;0.488536;0.315375;0.00576846;0.669452;0.487024;-0.0608508;0.358674;0.518735;0.0719609;0.682295;0.842588;-0.0865875;0.323721;0.897307;0.187343;0.677068;1.09838;0.110693;0.335262;1.19026;-0.178271;0.68978;1.18459;-0.00932637;0.321449;1.28874;-0.00488615;0.664915;1.17352;-0.00554231;0.357498;1.28046;0.00622395;0.646095;1.1481;0.00399747;0.376395;1.24782;-0.00125658;0.646773;0.975055;0.369793;0.439144;1.00319;0.521462
0.518337;0.25474;0.00118769;0.534285;0.204942;0.00306912;0.548999;0.203768;-0.00633966;0.564529;0.202496;0.00638122;0.496666;0.207686;-0.00418168;0.481918;0.20828;0.00210043;0.467169;0.208875;0.0123468;0.582416;0.227225;0.00552122;0.449035;0.235572;0.00446302;0.547518;0.303817;-0.00104702;0.491855;0.306965;0.00594962;0.674875;0.485421;-0.0595921;0.36108;0.5054;0.070641;0.692446;0.838422;-0.0437094;0.318509;0.876101;0.186296;0.68666;1.10193;0.112228;0.329459;1.17266;-0.171666;0.697783;1.19289;-0.0088493;0.316119;1.27354;-0.00515037;0.670863;1.18209;-0.00561713;0.353905;1.26669;0.00544769;0.653654;1.15494;0.00351351;0.373191;1.23168;-0.00127161;0.634547;0.998362;0.338013;0.42059;1.00524;0.48574
0.518068;0.238565;0.000803894;0.53453;0.191048;0.00265684;0.549354;0.189921;-0.00590623;0.564178;0.188794;0.00594165;0.496651;0.194189;-0.00464061;0.481826;0.195316;0.002462;0.46658;0.195872;0.0123342;0.58287;0.219195;0.00544249;0.447782;0.228225;0.00425094;0.547864;0.290259;-0.00172936;0.491029;0.29409;0.00575165;0.670007;0.478161;-0.0626562;0.359914;0.500609;0.0728585;0.684555;0.827741;-0.150148;0.302613;0.86747;0.157259;0.679905;1.07305;0.0773928;0.324093;1.16695;-0.189514;0.691316;1.15708;-0.00987377;0.313674;1.27524;-0.00463739;0.667162;1.14388;-0.00574521;0.35634;1.26312;0.00617996;0.650214;1.1187;0.00389025;0.373013;1.22733;-0.0011682;0.642523;0.966503;0.36996;0.432226;0.989418;0.524746
0.516465;0.232057;0.00103946;0.533356;0.184665;0.00307326;0.547355;0.183395;-0.00646561;0.562203;0.182636;0.00628511;0.496301;0.188026;-0.00452206;0.481479;0.189371;0.00238995;0.467069;0.190678;0.0127056;0.582482;0.210782;0.00545354;0.451037;0.220354;0.00417718;0.546852;0.282804;-0.00157934;0.491655;0.287223;0.00572429;0.673875;0.478827;-0.0679179;0.365941;0.489121;0.0781288;0.690874;0.839459;-0.0787992;0.305326;0.85209;0.174204;0.689533;1.12297;0.127688;0.328091;1.15693;-0.191944;0.702845;1.21701;-0.00955982;0.319336;1.26591;-0.00520858;0.674532;1.21252;-0.00570817;0.364363;1.25594;0.00535363;0.656593;1.18123;0.00326181;0.380027;1.21807;-0.00117967;0.634174;0.976302;0.340157;0.424852;0.982355;0.509926
