nose_x;nose_y;nose_z;right_eye_inner_x;right_eye_inner_y;right_eye_inner_z;right_eye_x;right_eye_y;right_eye_z;right_eye_outer_x;right_eye_outer_y;right_eye_outer_z;left_eye_inner_x;left_eye_inner_y;left_eye_inner_z;left_eye_x;left_eye_y;left_eye_z;left_eye_outer_x;left_eye_outer_y;left_eye_outer_z;right_ear_x;right_ear_y;right_ear_z;left_ear_x;left_ear_y;left_ear_z;mouth_right_x;mouth_right_y;mouth_right_z;mouth_left_x;mouth_left_y;mouth_left_z;right_shoulder_x;right_shoulder_y;right_shoulder_z;left_shoulder_x;left_shoulder_y;left_shoulder_z;right_elbow_x;right_elbow_y;right_elbow_z;left_elbow_x;left_elbow_y;left_elbow_z;right_wrist_x;right_wrist_y;right_wrist_z;left_wrist_x;left_wrist_y;left_wrist_z;right_pinky_1_x;right_pinky_1_y;right_pinky_1_z;left_pinky_1_x;left_pinky_1_y;left_pinky_1_z;right_index_1_x;right_index_1_y;right_index_1_z;left_index_1_x;left_index_1_y;left_index_1_z;right_thumb_2_x;right_thumb_2_y;right_thumb_2_z;left_thumb_2_x;left_thumb_2_y;left_thumb_2_z;right_hip_x;right_hip_y;right_hip_z;left_hip_x;left_hip_y;left_hip_z
0.526329;0.184945;-0.00013608;0.537804;0.124137;0.00318124;0.552964;0.121702;-0.00684786;0.568135;0.119904;0.00625422;0.497599;0.126169;-0.00625422;0.481055;0.126107;0.00288441;0.464511;0.126046;0.011824;0.575601;0.138085;0.00373996;0.435815;0.147391;0.00251077;0.552193;0.233011;-0.00255092;0.493242;0.236965;0.00713421;0.663461;0.411648;-0.00705738;0.335094;0.426867;0.021902;0.682825;0.810317;0.0091072;0.328672;0.834061;0.114203;0.70332;1.11865;0.0996764;0.415116;1.15536;-0.128507;0.723811;1.21841;-0.0101269;0.419826;1.27348;-0.00533581;0.700532;1.21667;-0.00713421;0.463377;1.25798;0.00610755;0.675857;1.18574;0.00272378;0.470297;1.21831;-0.00284076;0.641325;0.945295;0.446979;0.424016;0.970647;0.51492
0.518514;0.180799;0.000212348;0.531937;0.119822;0.00323686;0.547903;0.116623;-0.00688945;0.563906;0.114057;0.0067532;0.490905;0.124126;-0.00575053;0.473859;0.124264;0.00217479;0.456851;0.125036;0.0121718;0.578519;0.13336;0.0047234;0.432698;0.149008;0.00291719;0.549159;0.22817;-0.00191975;0.488483;0.234201;0.00738555;0.673357;0.399588;-0.0268172;0.340109;0.418021;0.0424267;0.692597;0.798106;-0.0065366;0.319246;0.82137;0.148466;0.694442;1.10043;0.108219;0.381342;1.14069;-0.14254;0.708424;1.19959;-0.00974725;0.378777;1.25589;-0.00531382;0.680934;1.19013;-0.00676019;0.422438;1.24297;0.00620121;0.65929;1.15827;0.00252765;0.433987;1.20328;-0.00233026;0.64622;0.923687;0.461496;0.425646;0.942593;0.558088
0.517402;0.172816;0.000220112;0.531244;0.114659;0.00300599;0.547256;0.112899;-0.00644065;0.563303;0.111771;0.0067369;0.490632;0.116578;-0.00549268;0.473627;0.116538;0.00268361;0.456657;0.117131;0.0118985;0.576173;0.134538;0.005064;0.432097;0.142739;0.00344861;0.546122;0.223749;-0.00173737;0.48546;0.227236;0.00670901;0.666912;0.404559;-0.0335137;0.33931;0.419571;0.0497966;0.688157;0.795491;-0.010358;0.323672;0.815193;0.171193;0.697881;1.08969;0.123014;0.366865;1.13244;-0.101656;0.713713;1.1834;-0.0095146;0.359228;1.23891;-0.00504309;0.687297;1.17485;-0.00669159;0.396521;1.23354;0.00636049;0.665187;1.14674;0.00261739;0.41119;1.19884;-0.00208589;0.641517;0.908798;0.472872;0.426038;0.928666;0.586629
0.519996;0.179064;1.16271e-05;0.533532;0.119643;0.00319051;0.54951;0.117769;-0.00649584;0.565525;0.116527;0.00665589;0.492479;0.120644;-0.00573735;0.475466;0.120097;0.00265122;0.45849;0.120182;0.0118435;0.577531;0.138633;0.00534767;0.431736;0.144292;0.00320269;0.547075;0.229909;-0.00179705;0.486419;0.231938;0.00721605;0.667725;0.39943;-0.0366578;0.338586;0.425954;0.0519389;0.696703;0.791334;-0.0184402;0.318407;0.82553;0.178585;0.70037;1.08579;0.118129;0.364079;1.1354;-0.133382;0.714883;1.18196;-0.00946367;0.359575;1.2427;-0.005125;0.685745;1.17267;-0.0065863;0.396419;1.23075;0.00663849;0.664459;1.14466;0.00275908;0.410494;1.19605;-0.00230851;0.655722;0.916892;0.45203;0.437273;0.948866;0.571829
0.519143;0.173285;0.000368664;0.533391;0.115534;0.00311461;0.549375;0.113608;-0.00678254;0.56536;0.111681;0.00674078;0.492319;0.117659;-0.00546014;0.475349;0.118468;0.00231247;0.457886;0.118719;0.0122009;0.579801;0.135504;0.00566546;0.433125;0.145641;0.00354961;0.548273;0.224078;-0.0012354;0.487183;0.228138;0.00708182;0.671751;0.401908;-0.0457691;0.341855;0.424856;0.0599675;0.703299;0.799768;-0.0263924;0.323036;0.826333;0.168934;0.70817;1.09863;0.13998;0.365171;1.14854;-0.105291;0.720284;1.19486;-0.00939603;0.357722;1.25812;-0.0051191;0.693413;1.18387;-0.0064763;0.397559;1.25173;0.00662942;0.674097;1.1551;0.00267091;0.413797;1.21342;-0.00211237;0.64933;0.921905;0.442101;0.428785;0.944528;0.581301
0.51318;0.174854;0.000323825;0.52842;0.11509;0.00303137;0.545269;0.112423;-0.00641814;0.562157;0.110389;0.00693382;0.4852;0.118387;-0.00543904;0.467348;0.119264;0.00274217;0.449459;0.119509;0.0122091;0.579736;0.135008;0.00534496;0.426116;0.148421;0.00352092;0.545047;0.228943;-0.00164548;0.481791;0.234017;0.00675263;0.670107;0.40485;-0.0401395;0.34146;0.432982;0.0565855;0.699516;0.793438;-0.0218537;0.313691;0.831004;0.186426;0.705276;1.08557;0.107652;0.356223;1.15435;-0.128669;0.72085;1.18172;-0.00979794;0.347219;1.2662;-0.00517423;0.69158;1.17125;-0.00641465;0.391064;1.25837;0.00665507;0.670219;1.14326;0.00288851;0.406732;1.22084;-0.00200523;0.651246;0.899831;0.504866;0.434159;0.929802;0.634204
0.518286;0.173767;0.000427562;0.531074;0.114583;0.00309847;0.546147;0.112403;-0.00685492;0.562153;0.110724;0.00684448;0.490152;0.118591;-0.00535791;0.473613;0.119072;0.00254318;0.456676;0.120248;0.0123591;0.574506;0.133145;0.00539969;0.432586;0.146667;0.00343965;0.54699;0.2244;-0.00137168;0.487801;0.229777;0.00700114;0.669187;0.404845;-0.0338951;0.337587;0.427967;0.0485171;0.697414;0.799551;-0.00976191;0.308932;0.82899;0.161427;0.7069;1.09504;0.120875;0.358987;1.15938;-0.120207;0.72271;1.19086;-0.00969925;0.35212;1.27632;-0.00506199;0.696892;1.18058;-0.00663907;0.398137;1.26839;0.00642323;0.67513;1.15187;0.0026511;0.413165;1.22799;-0.00220722;0.643704;0.900329;0.483946;0.426642;0.927905;0.590449
0.515845;0.170772;0.000505347;0.530072;0.111709;0.00308519;0.546055;0.109699;-0.0065743;0.562039;0.107689;0.0070618;0.48822;0.115062;-0.00523716;0.471675;0.115233;0.0027213;0.454725;0.116092;0.0122711;0.576968;0.131904;0.00549483;0.431797;0.143157;0.00377117;0.545938;0.222989;-0.00122311;0.484916;0.22748;0.00659868;0.671962;0.407603;-0.0339301;0.33845;0.426628;0.0499758;0.698962;0.798763;0.000540169;0.304467;0.82291;0.177283;0.704665;1.09205;0.118003;0.341097;1.15304;-0.111429;0.720478;1.18807;-0.00958984;0.33069;1.26635;-0.00502823;0.692087;1.17764;-0.00659519;0.374722;1.26209;0.00652555;0.671556;1.14967;0.00262902;0.392425;1.22295;-0.0020475;0.6423;0.89498;0.506778;0.424956;0.91849;0.615979
0.515361;0.171691;0.000418356;0.530854;0.113931;0.00313789;0.546886;0.112719;-0.00674245;0.562029;0.11161;0.00694793;0.489832;0.116114;-0.00517525;0.473729;0.116062;0.00275305;0.457661;0.116641;0.0125933;0.577652;0.134617;0.00533893;0.435408;0.142105;0.00353143;0.545153;0.223597;-0.00144357;0.485842;0.226616;0.0065509;0.670098;0.407018;-0.0389502;0.338668;0.422315;0.0537724;0.699458;0.796731;-0.00382049;0.293321;0.811732;0.175861;0.710303;1.09698;0.131951;0.334764;1.14662;-0.129722;0.728289;1.19287;-0.00972361;0.325393;1.26474;-0.00528321;0.701053;1.18583;-0.0063698;0.375158;1.25901;0.00639766;0.678886;1.15785;0.0025528;0.391659;1.21894;-0.0022202;0.644527;0.884479;0.495263;0.428356;0.913209;0.620974
0.515222;0.167501;0.00054619;0.528688;0.110407;0.00318828;0.543793;0.108508;-0.0069306;0.559826;0.107128;0.00702816;0.489473;0.113427;-0.00517791;0.473401;0.114174;0.00275447;0.456884;0.114977;0.0128577;0.573759;0.129575;0.00546015;0.434712;0.140053;0.00391305;0.544329;0.21797;-0.00135023;0.485971;0.22276;0.00689924;0.66862;0.402298;-0.0362384;0.337472;0.419735;0.0500648;0.701935;0.7942;-0.00738706;0.288125;0.814389;0.172383;0.710464;1.08988;0.139936;0.327393;1.15078;-0.118416;0.725398;1.18607;-0.00972862;0.319148;1.27026;-0.0051814;0.699733;1.17656;-0.0063243;0.368385;1.26279;0.00631385;0.679109;1.14731;0.00283461;0.385054;1.22122;-0.00217605;0.643433;0.904717;0.454709;0.42477;0.930936;0.566434
