nose_x;nose_y;nose_z;right_eye_inner_x;right_eye_inner_y;right_eye_inner_z;right_eye_x;right_eye_y;right_eye_z;right_eye_outer_x;right_eye_outer_y;right_eye_outer_z;left_eye_inner_x;left_eye_inner_y;left_eye_inner_z;left_eye_x;left_eye_y;left_eye_z;left_eye_outer_x;left_eye_outer_y;left_eye_outer_z;right_ear_x;right_ear_y;right_ear_z;left_ear_x;left_ear_y;left_ear_z;mouth_right_x;mouth_right_y;mouth_right_z;mouth_left_x;mouth_left_y;mouth_left_z;right_shoulder_x;right_shoulder_y;right_shoulder_z;left_shoulder_x;left_shoulder_y;left_shoulder_z;right_elbow_x;right_elbow_y;right_elbow_z;left_elbow_x;left_elbow_y;left_elbow_z;right_wrist_x;right_wrist_y;right_wrist_z;left_wrist_x;left_wrist_y;left_wrist_z;right_pinky_1_x;right_pinky_1_y;right_pinky_1_z;left_pinky_1_x;left_pinky_1_y;left_pinky_1_z;right_index_1_x;right_index_1_y;right_index_1_z;left_index_1_x;left_index_1_y;left_index_1_z;right_thumb_2_x;right_thumb_2_y;right_thumb_2_z;left_thumb_2_x;left_thumb_2_y;left_thumb_2_z;right_hip_x;right_hip_y;right_hip_z;left_hip_x;left_hip_y;left_hip_z
0.533592;0.327836;0.000815666;0.550282;0.27326;0.00249342;0.56687;0.272381;-0.00536999;0.584212;0.271462;0.00587692;0.508785;0.274386;-0.00440327;0.491401;0.273697;0.002489;0.474017;0.273008;0.0103156;0.599994;0.297471;0.0041498;0.449042;0.299567;0.00292078;0.562155;0.380551;-0.00167259;0.501025;0.381643;0.00642512;0.664346;0.534596;-0.0189688;0.361007;0.556045;0.0335521;0.668393;0.861899;-0.0242386;0.333088;0.931216;0.11544;0.65944;1.09647;-0.0123669;0.400837;1.19716;-0.217487;0.67378;1.18269;-0.00947263;0.401887;1.29482;-0.0040997;0.644819;1.17241;-0.00603608;0.443255;1.27437;0.00504578;0.625211;1.14446;0.00313888;0.451809;1.24063;-0.00118334;0.62211;0.968513;0.489299;0.421887;0.992013;0.566259
0.526028;0.332522;0.000751114;0.543694;0.275876;0.00290859;0.559522;0.274111;-0.00528914;0.576116;0.272849;0.00591452;0.50258;0.278744;-0.00491451;0.485951;0.278395;0.00220356;0.469333;0.278583;0.0104485;0.594753;0.296213;0.00469917;0.448342;0.303676;0.00303543;0.557309;0.38166;-0.00143954;0.496558;0.384848;0.00615936;0.67541;0.53285;-0.0286257;0.362213;0.566394;0.0444135;0.674459;0.874054;-0.0181595;0.331444;0.943821;0.150657;0.656154;1.11125;0.0210386;0.377285;1.2126;-0.206917;0.666287;1.19569;-0.00926854;0.377482;1.3093;-0.00419769;0.639567;1.18289;-0.00571983;0.414382;1.2862;0.00582602;0.620849;1.15577;0.00340712;0.426851;1.25127;-0.00139382;0.638117;0.97557;0.467073;0.435088;1.0027;0.555806
0.527087;0.327668;0.00100675;0.546084;0.271535;0.00293654;0.563481;0.269567;-0.00528932;0.581657;0.268075;0.00605383;0.503252;0.27397;-0.00418405;0.485768;0.273784;0.00185497;0.467927;0.274168;0.010466;0.603241;0.294401;0.00503152;0.447014;0.301821;0.00332472;0.56041;0.381127;-0.000940818;0.497465;0.384133;0.00595012;0.675933;0.531584;-0.0467001;0.368766;0.564361;0.0609709;0.67403;0.859182;-0.027783;0.33612;0.930144;0.194007;0.662047;1.08819;0.0230775;0.369155;1.21057;-0.224919;0.674544;1.17145;-0.00922742;0.361394;1.30955;-0.00443888;0.64894;1.15842;-0.00544045;0.401386;1.29329;0.00577529;0.629716;1.13407;0.00349362;0.417071;1.25851;-0.000948967;0.636966;0.975694;0.457804;0.433932;0.999924;0.5879
0.532862;0.324928;0.000754932;0.550207;0.271345;0.0027332;0.566154;0.270336;-0.00556438;0.58286;0.269278;0.00591475;0.508787;0.272886;-0.00435589;0.492047;0.272864;0.00216755;0.474927;0.272866;0.0104993;0.599669;0.295808;0.00489926;0.451439;0.300324;0.00327508;0.562633;0.376609;-0.00122704;0.501452;0.378859;0.00613447;0.673393;0.536245;-0.0389091;0.362513;0.558635;0.0527814;0.673259;0.872259;-0.0452039;0.329204;0.928673;0.136158;0.659536;1.11445;0.0112356;0.372934;1.19536;-0.225568;0.672906;1.20125;-0.00908591;0.367936;1.2909;-0.00432323;0.643677;1.1912;-0.00583755;0.406224;1.27441;0.00556141;0.62454;1.16319;0.00306427;0.420052;1.24215;-0.0010526;0.628833;0.984368;0.449616;0.422038;1.00179;0.558694
0.529036;0.325369;0.000618337;0.547128;0.270446;0.00285776;0.563124;0.26878;-0.00556652;0.579892;0.267629;0.00592113;0.505957;0.272483;-0.00448778;0.489541;0.271994;0.00227965;0.472744;0.271518;0.0104834;0.597899;0.293023;0.00503311;0.451457;0.297253;0.00351931;0.559703;0.375808;-0.00128733;0.498693;0.378022;0.00592113;0.674678;0.531718;-0.040551;0.364986;0.560325;0.0543064;0.668627;0.874898;-0.0565473;0.326765;0.939402;0.150189;0.659162;1.11293;0.0335898;0.360416;1.19866;-0.226571;0.672882;1.19708;-0.00914245;0.353281;1.29008;-0.00448182;0.645976;1.18612;-0.00569764;0.389213;1.2725;0.00593901;0.627207;1.16075;0.00330177;0.404341;1.24373;-0.00101094;0.637781;0.984549;0.443605;0.432929;1.00826;0.553458
0.527341;0.318906;0.000637273;0.546188;0.265688;0.00288308;0.562271;0.264537;-0.00561938;0.579139;0.263875;0.00618252;0.503969;0.26598;-0.00375624;0.48668;0.26558;0.00211625;0.469773;0.265153;0.0105858;0.598483;0.28979;0.00537376;0.446497;0.290842;0.00407375;0.556112;0.372537;-0.000682204;0.495474;0.373056;0.0055445;0.673078;0.531782;-0.0558344;0.362216;0.5453;0.0696851;0.675954;0.873364;-0.0112687;0.324542;0.901797;0.209726;0.664985;1.12749;0.0654197;0.326943;1.17571;-0.210877;0.678752;1.21277;-0.00862078;0.310919;1.26531;-0.00489749;0.651562;1.20379;-0.005215;0.344041;1.25748;0.00563136;0.632984;1.17783;0.00305232;0.364138;1.22874;-0.000531685;0.625587;0.990535;0.415235;0.416239;0.997878;0.560548
0.525723;0.309036;0.000496606;0.54452;0.255452;0.00279878;0.560719;0.2546;-0.00563976;0.576922;0.254296;0.00606779;0.50324;0.256225;-0.00409945;0.486646;0.255987;0.00246118;0.470046;0.2552;0.0107671;0.595695;0.281384;0.00534135;0.4483;0.281949;0.00396984;0.554765;0.361724;-0.000951766;0.494575;0.362302;0.0053956;0.672825;0.526893;-0.0559455;0.361202;0.543703;0.0694495;0.677588;0.874733;-0.0624564;0.31634;0.907839;0.182884;0.665305;1.13179;0.0705588;0.32354;1.18539;-0.215101;0.678463;1.21935;-0.0091032;0.307804;1.27788;-0.00477767;0.649823;1.21001;-0.0053323;0.344373;1.26841;0.00606779;0.630289;1.18404;0.00326449;0.363775;1.23842;-0.000822905;0.627506;0.966769;0.445249;0.421592;0.9816;0.58762
0.521608;0.293249;0.00046891;0.539332;0.242351;0.00276115;0.554844;0.241235;-0.00570122;0.571132;0.240091;0.0061925;0.498996;0.244921;-0.0036876;0.483076;0.244947;0.00218193;0.466769;0.244988;0.0111902;0.589497;0.268141;0.00571032;0.445544;0.273923;0.00468228;0.551285;0.345738;-0.000631532;0.491925;0.348447;0.0049825;0.67083;0.515903;-0.0649697;0.36366;0.5359;0.0772455;0.68013;0.860717;-0.0670076;0.314892;0.890554;0.199713;0.670143;1.12616;0.0971391;0.296218;1.16956;-0.192143;0.682575;1.21296;-0.0088369;0.275298;1.25868;-0.0048703;0.653721;1.20627;-0.0052524;0.305466;1.25206;0.00614701;0.635375;1.17933;0.00328427;0.328253;1.22362;-0.000622434;0.62534;0.966529;0.412235;0.419329;0.976223;0.56168
0.518051;0.284824;0.000439694;0.535384;0.235492;0.00263893;0.550213;0.234552;-0.00599784;0.565823;0.233591;0.00625411;0.496745;0.237607;-0.00352061;0.481127;0.238013;0.00253368;0.46551;0.238418;0.011532;0.584147;0.261444;0.00566531;0.445954;0.2667;0.00517718;0.546826;0.335736;-0.000683757;0.489446;0.338337;0.00463109;0.66704;0.51203;-0.0693138;0.364169;0.528229;0.0805895;0.681605;0.855489;-0.0843969;0.307668;0.872978;0.197691;0.674848;1.12007;0.109731;0.275923;1.13821;-0.199546;0.68844;1.20526;-0.00861542;0.252005;1.22215;-0.0050338;0.661038;1.20041;-0.00505515;0.279668;1.21699;0.00604666;0.64275;1.17534;0.00331925;0.302405;1.19307;-0.00045266;0.623004;0.975882;0.371366;0.41804;0.982316;0.53069
0.51426;0.273472;0.000538616;0.532546;0.22498;0.00249973;0.548257;0.224604;-0.00618104;0.563176;0.223689;0.00624856;0.494858;0.227557;-0.00328387;0.47954;0.227923;0.00258413;0.464221;0.228289;0.0117483;0.583178;0.253944;0.00574217;0.446497;0.25777;0.00554882;0.543946;0.325288;-0.000603449;0.486607;0.327217;0.00417082;0.667972;0.513985;-0.0849018;0.364725;0.519557;0.0953611;0.679967;0.864053;-0.119422;0.305947;0.86517;0.193963;0.674494;1.1324;0.130422;0.266223;1.12763;-0.200052;0.688053;1.21589;-0.00874062;0.240085;1.20984;-0.00511608;0.662849;1.21091;-0.00502094;0.265576;1.20587;0.00600917;0.644478;1.18564;0.00324704;0.289271;1.18296;-0.00013897;0.614475;0.974022;0.360231;0.410529;0.971074;0.553114
