nose_x;nose_y;nose_z;right_eye_inner_x;right_eye_inner_y;right_eye_inner_z;right_eye_x;right_eye_y;right_eye_z;right_eye_outer_x;right_eye_outer_y;right_eye_outer_z;left_eye_inner_x;left_eye_inner_y;left_eye_inner_z;left_eye_x;left_eye_y;left_eye_z;left_eye_outer_x;left_eye_outer_y;left_eye_outer_z;right_ear_x;right_ear_y;right_ear_z;left_ear_x;left_ear_y;left_ear_z;mouth_right_x;mouth_right_y;mouth_right_z;mouth_left_x;mouth_left_y;mouth_left_z;right_shoulder_x;right_shoulder_y;right_shoulder_z;left_shoulder_x;left_shoulder_y;left_shoulder_z;right_elbow_x;right_elbow_y;right_elbow_z;left_elbow_x;left_elbow_y;left_elbow_z;right_wrist_x;right_wrist_y;right_wrist_z;left_wrist_x;left_wrist_y;left_wrist_z;right_pinky_1_x;right_pinky_1_y;right_pinky_1_z;left_pinky_1_x;left_pinky_1_y;left_pinky_1_z;right_index_1_x;right_index_1_y;right_index_1_z;left_index_1_x;left_index_1_y;left_index_1_z;right_thumb_2_x;right_thumb_2_y;right_thumb_2_z;left_thumb_2_x;left_thumb_2_y;left_thumb_2_z;right_hip_x;right_hip_y;right_hip_z;left_hip_x;left_hip_y;left_hip_z
0.440267;0.340845;0.000819333;0.463176;0.295787;0.00274886;0.477083;0.296243;-0.00729415;0.491978;0.296831;0.00738319;0.42742;0.294515;-0.00586939;0.414006;0.294126;0.00329088;0.400592;0.293736;0.0157575;0.516892;0.326378;0.00497891;0.390877;0.320039;0.00569516;0.470501;0.395179;-0.00354254;0.416938;0.392218;0.0057455;0.61588;0.634209;-0.110883;0.282024;0.616892;0.120981;0.620005;1.05104;-0.199714;0.211019;1.02574;0.246421;0.57509;1.38199;0.250262;0.191078;1.36287;-0.131697;0.576781;1.49124;-0.0108948;0.167234;1.47435;-0.00582293;0.545673;1.47997;-0.00584616;0.20273;1.47205;0.00595069;0.530952;1.44684;0.00541254;0.224705;1.44103;-0.000556063;0.537916;1.25238;0.26166;0.304795;1.23234;0.533232
0.439727;0.335696;0.0017176;0.461812;0.291734;0.0024504;0.47618;0.291504;-0.0063529;0.492001;0.292098;0.006546;0.424628;0.292909;-0.00717163;0.410753;0.293179;0.00314362;0.396355;0.294111;0.0156023;0.518243;0.328757;0.00513252;0.387007;0.329259;0.00459571;0.472024;0.393979;-0.00365919;0.416552;0.394357;0.00693219;0.615959;0.629727;-0.101708;0.283999;0.634887;0.113696;0.6052;1.04151;-0.357647;0.211741;1.06135;0.129638;0.517318;1.20613;0.211573;0.234121;1.35191;-0.130008;0.494674;1.2761;-0.010798;0.226833;1.45835;-0.0039276;0.48338;1.23715;-0.00742652;0.262347;1.43732;0.00679702;0.481102;1.22006;0.00598601;0.277038;1.40473;-0.000908522;0.546606;1.24093;0.339851;0.313158;1.23445;0.567984
0.437214;0.341683;0.00188485;0.462513;0.29864;0.00219454;0.47718;0.299534;-0.0072068;0.492826;0.300487;0.00621276;0.424802;0.298432;-0.00688565;0.411092;0.298293;0.00336827;0.39736;0.298849;0.0152012;0.522092;0.337103;0.00406792;0.389977;0.332535;0.00512313;0.471167;0.401573;-0.00389014;0.41441;0.399507;0.00616688;0.618754;0.640457;-0.115248;0.285461;0.631293;0.127604;0.612345;1.0483;-0.321274;0.215142;1.0631;0.0702252;0.554206;1.28718;0.182537;0.268353;1.31295;-0.170547;0.545741;1.37305;-0.0116609;0.277196;1.40963;-0.0047064;0.527916;1.34688;-0.0073712;0.30811;1.37529;0.00587249;0.51987;1.32132;0.00478669;0.316365;1.34514;-0.000235009;0.539692;1.24868;0.30855;0.305175;1.22882;0.592632
0.43775;0.34401;0.00154774;0.462698;0.299337;0.00200363;0.477741;0.300069;-0.00562608;0.492266;0.301444;0.00627816;0.42577;0.298608;-0.00718424;0.411696;0.297967;0.00281493;0.398074;0.298061;0.0154831;0.519771;0.337248;0.004974;0.388813;0.329694;0.00406033;0.469065;0.402309;-0.00375704;0.414254;0.399195;0.00708567;0.616148;0.626504;-0.123197;0.284605;0.633855;0.134298;0.60656;1.03923;-0.440138;0.21246;1.0531;0.14922;0.490298;1.15411;0.190104;0.233527;1.33039;-0.172877;0.455376;1.21444;-0.0104029;0.226337;1.43208;-0.0036035;0.445043;1.16504;-0.00733589;0.260067;1.4076;0.00695298;0.447624;1.15145;0.00620613;0.274203;1.37574;-0.00065587;0.545889;1.23407;0.31688;0.310635;1.23117;0.591057
0.434894;0.345087;0.00173077;0.460441;0.301499;0.00150678;0.474882;0.302456;-0.00633206;0.490285;0.303476;0.0058803;0.422829;0.301066;-0.00700968;0.409329;0.300858;0.00291945;0.395325;0.301302;0.0151111;0.51997;0.339746;0.00359896;0.38845;0.334464;0.00447611;0.46769;0.404203;-0.00383613;0.412794;0.401253;0.00598948;0.614502;0.634842;-0.119142;0.285114;0.632233;0.131189;0.602796;1.0512;-0.410552;0.211392;1.05683;0.0398445;0.522998;1.18998;0.140224;0.275682;1.27377;-0.182628;0.501726;1.25032;-0.0110679;0.290095;1.36391;-0.00401306;0.49537;1.20874;-0.00779272;0.315598;1.32169;0.00641864;0.49302;1.19211;0.00504456;0.321789;1.29466;-0.000152113;0.542697;1.23657;0.325743;0.308192;1.22378;0.612937
0.436192;0.343818;0.00162977;0.460743;0.300881;0.00216433;0.475503;0.302014;-0.00664572;0.489787;0.303111;0.00645946;0.424454;0.300811;-0.00663455;0.411097;0.300464;0.00329678;0.397714;0.300794;0.0154371;0.518047;0.338559;0.004541;0.390741;0.333536;0.00512585;0.468841;0.402015;-0.00373822;0.414485;0.399878;0.00601617;0.619153;0.643786;-0.112411;0.283765;0.635686;0.123974;0.621176;1.04327;-0.28371;0.206764;1.04133;0.132795;0.554322;1.29485;0.158305;0.240284;1.31556;-0.175829;0.546064;1.38658;-0.0110414;0.239658;1.4201;-0.00455962;0.521279;1.36023;-0.0067016;0.274594;1.3929;0.00597519;0.513737;1.33248;0.0051482;0.286303;1.3612;-0.000441667;0.544797;1.24387;0.286094;0.309062;1.22712;0.561221
0.436925;0.339492;0.00156646;0.46144;0.295357;0.00190425;0.475699;0.295775;-0.00619161;0.490882;0.296941;0.00632524;0.423882;0.294503;-0.00676325;0.410547;0.294832;0.00283411;0.396762;0.29445;0.0155458;0.518093;0.332191;0.00449894;0.387441;0.326894;0.00484786;0.468959;0.398121;-0.00364703;0.413846;0.395919;0.00615449;0.617712;0.640987;-0.108568;0.276665;0.637805;0.120328;0.615625;1.04687;-0.318341;0.206117;1.05467;0.118606;0.53821;1.25612;0.14646;0.246687;1.32712;-0.166654;0.523749;1.33622;-0.0109207;0.247588;1.4287;-0.00429107;0.504052;1.30358;-0.00711589;0.281029;1.40014;0.00634009;0.499229;1.2802;0.00555314;0.293171;1.36859;-0.000586959;0.543415;1.24434;0.300523;0.302141;1.23258;0.56256
0.433757;0.344189;0.00156272;0.457836;0.297996;0.00186692;0.47306;0.297797;-0.00601347;0.488259;0.298272;0.00643267;0.419751;0.299169;-0.00685187;0.405949;0.299476;0.00256713;0.391648;0.300422;0.0153583;0.516445;0.332869;0.0044999;0.383747;0.333638;0.00475216;0.468222;0.401579;-0.00376537;0.411619;0.402026;0.00629912;0.616365;0.635978;-0.106662;0.280563;0.638269;0.118415;0.609822;1.03923;-0.343313;0.206107;1.05193;0.121264;0.52553;1.23303;0.126546;0.247215;1.32556;-0.176168;0.508325;1.31153;-0.0108695;0.249066;1.4285;-0.00399909;0.490671;1.27502;-0.00710784;0.282523;1.39857;0.00649574;0.486738;1.25308;0.0054904;0.293269;1.36557;-0.000371437;0.545395;1.23588;0.322183;0.308903;1.22744;0.575038
0.429244;0.346246;0.0010608;0.454552;0.29806;0.000662188;0.469732;0.297734;-0.00745424;0.48489;0.298082;0.0047574;0.416105;0.299515;-0.00691044;0.401871;0.299904;0.00302424;0.387636;0.300294;0.0142426;0.515077;0.331129;0.00405082;0.38138;0.33156;0.00559346;0.464345;0.402548;-0.00344597;0.406979;0.402728;0.00543808;0.618036;0.6273;-0.133888;0.287984;0.630683;0.145489;0.611353;1.05565;-0.381421;0.223979;1.05786;-0.0270646;0.516466;1.20027;0.118143;0.22968;1.07173;-0.327913;0.494405;1.26486;-0.0102103;0.228445;1.09457;-0.00557496;0.477641;1.22732;-0.00751713;0.241634;1.04017;0.00682535;0.475475;1.20695;0.00372897;0.257288;1.03988;0.0021068;0.546697;1.23198;0.311813;0.311059;1.2188;0.612735
0.433275;0.341691;0.0016196;0.458978;0.296616;0.000746762;0.473564;0.29769;-0.00819368;0.488621;0.2988;0.00440972;0.421758;0.295216;-0.00626489;0.408559;0.294914;0.00367538;0.394914;0.293909;0.0143629;0.516721;0.330393;0.00392016;0.388219;0.322268;0.00656304;0.464189;0.39966;-0.00283797;0.410549;0.395709;0.00577165;0.616368;0.625587;-0.134633;0.28902;0.623613;0.143938;0.618673;1.05452;-0.352895;0.214198;1.07169;-0.0730879;0.533258;1.17169;0.140051;0.196501;1.0006;-0.37127;0.511205;1.23313;-0.0101372;0.193921;0.993701;-0.00626489;0.493895;1.19026;-0.00781823;0.203741;0.931352;0.00654096;0.491804;1.16997;0.00381709;0.223778;0.938196;0.00224903;0.539486;1.23387;0.288582;0.301076;1.21228;0.576222
