nose_x;nose_y;nose_z;right_eye_inner_x;right_eye_inner_y;right_eye_inner_z;right_eye_x;right_eye_y;right_eye_z;right_eye_outer_x;right_eye_outer_y;right_eye_outer_z;left_eye_inner_x;left_eye_inner_y;left_eye_inner_z;left_eye_x;left_eye_y;left_eye_z;left_eye_outer_x;left_eye_outer_y;left_eye_outer_z;right_ear_x;right_ear_y;right_ear_z;left_ear_x;left_ear_y;left_ear_z;mouth_right_x;mouth_right_y;mouth_right_z;mouth_left_x;mouth_left_y;mouth_left_z;right_shoulder_x;right_shoulder_y;right_shoulder_z;left_shoulder_x;left_shoulder_y;left_shoulder_z;right_elbow_x;right_elbow_y;right_elbow_z;left_elbow_x;left_elbow_y;left_elbow_z;right_wrist_x;right_wrist_y;right_wrist_z;left_wrist_x;left_wrist_y;left_wrist_z;right_pinky_1_x;right_pinky_1_y;right_pinky_1_z;left_pinky_1_x;left_pinky_1_y;left_pinky_1_z;right_index_1_x;right_index_1_y;right_index_1_z;left_index_1_x;left_index_1_y;left_index_1_z;right_thumb_2_x;right_thumb_2_y;right_thumb_2_z;left_thumb_2_x;left_thumb_2_y;left_thumb_2_z;right_hip_x;right_hip_y;right_hip_z;left_hip_x;left_hip_y;left_hip_z
0.555902;0.296208;0.00153131;0.577691;0.253856;0.00306051;0.59288;0.255462;-0.00913914;0.608068;0.257839;0.00785474;0.538632;0.250608;-0.00544279;0.52344;0.250546;0.00552757;0.508791;0.249714;0.0164725;0.627524;0.295732;0.00525204;0.488099;0.285897;0.00634992;0.583982;0.361917;-0.000694125;0.525393;0.357045;0.00717651;0.727811;0.60713;-0.109941;0.371878;0.605665;0.115909;0.857192;1.01974;-0.240093;0.29394;1.04366;0.171863;0.827111;1.40391;0.281872;0.308877;1.43573;-0.0336402;0.830137;1.51659;-0.0115129;0.288547;1.56066;-0.00586244;0.790036;1.49173;-0.00765127;0.335215;1.55776;0.00705359;0.778159;1.46236;0.00471793;0.354274;1.52389;-0.00328305;0.670101;1.23658;0.349424;0.417271;1.22937;0.63645
0.555624;0.296939;0.00159926;0.577537;0.252865;0.00299229;0.592607;0.25465;-0.00906526;0.606593;0.257182;0.00788686;0.538779;0.249153;-0.00505449;0.523709;0.247369;0.00545851;0.509171;0.24636;0.0166659;0.625694;0.292746;0.00438112;0.48843;0.27896;0.00653591;0.582031;0.360975;-0.000580782;0.524978;0.354658;0.00684734;0.723359;0.600091;-0.103228;0.367794;0.60028;0.109221;0.856825;1.00841;-0.207802;0.289826;1.03878;0.174672;0.851595;1.38069;0.276082;0.313431;1.44219;-0.0101511;0.857173;1.48805;-0.0117924;0.296208;1.57063;-0.00609822;0.822889;1.46449;-0.00759226;0.345803;1.56686;0.00683892;0.809112;1.43668;0.00487773;0.363895;1.52885;-0.00379613;0.668728;1.21367;0.355809;0.419278;1.21563;0.636201
0.55623;0.293221;0.00188726;0.577721;0.250628;0.00289366;0.591646;0.251432;-0.00934006;0.607711;0.253767;0.00771224;0.538623;0.248222;-0.00467421;0.524162;0.247415;0.00558646;0.509165;0.247369;0.0163116;0.626938;0.290393;0.00421391;0.488756;0.28311;0.00702178;0.583984;0.358059;-0.000287692;0.526678;0.354073;0.00634388;0.725015;0.604552;-0.102975;0.373117;0.596609;0.109135;0.855097;1.00565;-0.233267;0.294796;1.02525;0.147566;0.859913;1.35914;0.252014;0.313485;1.41382;-0.0113152;0.869394;1.46429;-0.011809;0.295619;1.5387;-0.00624344;0.835144;1.44438;-0.00740677;0.342757;1.53732;0.00648615;0.820189;1.41691;0.00423692;0.360488;1.50081;-0.00336652;0.659797;1.2214;0.340125;0.410751;1.20692;0.618653
0.554376;0.295949;0.00156691;0.574435;0.252079;0.00277198;0.589319;0.253444;-0.00921635;0.604188;0.255567;0.00756939;0.536668;0.24978;-0.00457075;0.522301;0.249193;0.00551484;0.507933;0.248606;0.0164281;0.622673;0.289648;0.00374934;0.487557;0.281859;0.00719092;0.58081;0.358381;-0.000644126;0.525514;0.35385;0.00583924;0.720829;0.598146;-0.0984852;0.374166;0.596109;0.105406;0.848138;0.992666;-0.214405;0.294928;1.01249;0.164896;0.860389;1.33553;0.24222;0.298739;1.37773;-0.0356676;0.872208;1.43599;-0.0117367;0.280422;1.49363;-0.00645893;0.840585;1.41955;-0.00719092;0.320986;1.48923;0.00652964;0.824077;1.39312;0.00458322;0.339249;1.45513;-0.00324194;0.664727;1.21392;0.326598;0.421983;1.20855;0.593041
0.552151;0.293444;0.00188635;0.573543;0.250082;0.00297975;0.588335;0.251755;-0.00935016;0.603124;0.25418;0.00809054;0.535504;0.245887;-0.00390691;0.521235;0.244972;0.00620316;0.506967;0.244056;0.0163215;0.623015;0.288993;0.00344023;0.486701;0.275402;0.00798729;0.578225;0.356899;0.000278512;0.522221;0.350995;0.00535239;0.719597;0.597607;-0.10381;0.371232;0.595123;0.109823;0.864297;0.997747;-0.203919;0.298458;1.03037;0.164404;0.903554;1.34706;0.261805;0.302648;1.41085;0.00777666;0.922005;1.44952;-0.0116547;0.281369;1.5279;-0.00672353;0.889308;1.43561;-0.00719847;0.321552;1.52685;0.00621142;0.869348;1.41283;0.00435295;0.340241;1.49399;-0.00358685;0.657986;1.20891;0.318236;0.412734;1.20159;0.607397
0.548827;0.293605;0.00214501;0.571046;0.250002;0.0027667;0.585788;0.251167;-0.00939524;0.60052;0.253081;0.00757136;0.532604;0.24742;-0.0048376;0.518378;0.247019;0.00543458;0.503625;0.246603;0.016699;0.622159;0.288924;0.00407388;0.486822;0.279864;0.00703202;0.57695;0.355868;-0.000544488;0.520605;0.352032;0.00634858;0.717978;0.599727;-0.105793;0.371646;0.601964;0.111524;0.849708;0.981258;-0.209742;0.28932;1.02544;0.171667;0.840546;1.33633;0.267184;0.307326;1.39777;-0.0455846;0.844458;1.4339;-0.0117502;0.293517;1.51883;-0.00615508;0.815266;1.41058;-0.00715965;0.339502;1.50963;0.00644327;0.804029;1.38478;0.0054387;0.356884;1.47263;-0.00330192;0.654456;1.22464;0.307499;0.412574;1.22082;0.593918
0.553202;0.289131;0.001838;0.572753;0.24509;0.00278664;0.587404;0.245564;-0.00928199;0.60309;0.246817;0.00754826;0.534021;0.244581;-0.00481273;0.518834;0.244834;0.00570413;0.504171;0.245104;0.0163723;0.62239;0.283925;0.00406036;0.483692;0.281669;0.00714345;0.581504;0.352591;-0.000400209;0.523946;0.350728;0.00594538;0.72091;0.605045;-0.0874061;0.37071;0.602645;0.0946027;0.851714;1.00241;-0.196925;0.28912;1.02292;0.154923;0.854442;1.35543;0.242199;0.30519;1.39275;-0.0276088;0.862241;1.45694;-0.01167;0.289133;1.51285;-0.00626841;0.831131;1.43806;-0.00731928;0.333205;1.50683;0.0065301;0.816885;1.41229;0.00466962;0.351044;1.47166;-0.00321598;0.658676;1.22251;0.333399;0.413246;1.21606;0.578346
0.550062;0.291739;0.00182471;0.570023;0.2456;0.00280224;0.584607;0.246768;-0.00919688;0.599202;0.247195;0.00769801;0.530909;0.24594;-0.00492021;0.515793;0.245498;0.00549858;0.501188;0.245813;0.0165772;0.619537;0.283387;0.0041667;0.481377;0.281574;0.00697708;0.578884;0.354137;-0.000463561;0.521548;0.352461;0.00628467;0.719253;0.60001;-0.0877817;0.368225;0.606065;0.0945592;0.852245;0.995477;-0.186903;0.286975;1.03235;0.165136;0.845954;1.35869;0.255069;0.308594;1.4127;-0.0285926;0.85073;1.46117;-0.0116;0.293242;1.53684;-0.00612989;0.82082;1.43805;-0.00728663;0.341303;1.53083;0.0066268;0.807632;1.41245;0.00516866;0.359582;1.4928;-0.00332358;0.659194;1.21974;0.337311;0.414627;1.22001;0.582865
0.552295;0.291247;0.00182813;0.572409;0.247231;0.00269398;0.587993;0.24823;-0.00903812;0.602532;0.249951;0.00765357;0.533439;0.245841;-0.00510373;0.518362;0.246329;0.00564781;0.503286;0.246817;0.0161192;0.621974;0.287235;0.00483982;0.482713;0.283433;0.00680498;0.580879;0.354556;-0.0003875;0.522167;0.352098;0.00644362;0.722261;0.605285;-0.0942628;0.370367;0.608283;0.100824;0.855184;0.999278;-0.213991;0.29358;1.03278;0.163449;0.833537;1.35521;0.245174;0.3082;1.40262;-0.0284867;0.834774;1.45724;-0.0112388;0.290075;1.52059;-0.00583052;0.801734;1.43008;-0.00725973;0.333765;1.51688;0.00679686;0.790509;1.40476;0.00494945;0.352741;1.48468;-0.00306549;0.664046;1.23559;0.313386;0.416161;1.23145;0.573762
0.54626;0.291527;0.00187729;0.567822;0.246175;0.00263387;0.583352;0.247138;-0.00865819;0.598882;0.248101;0.00799466;0.527942;0.246329;-0.00460017;0.512925;0.24611;0.00549026;0.497902;0.246627;0.0162725;0.621391;0.286731;0.00441406;0.479506;0.283924;0.00721381;0.576356;0.355311;-0.000279419;0.517845;0.353721;0.00585034;0.724762;0.602755;-0.102021;0.371522;0.607175;0.108883;0.855523;0.998728;-0.225016;0.295941;1.03328;0.1753;0.844718;1.3477;0.224886;0.304095;1.41052;-0.0223656;0.850188;1.4509;-0.0114822;0.282509;1.53101;-0.00592317;0.814109;1.42681;-0.00709243;0.327572;1.53019;0.00665548;0.800825;1.40157;0.00483483;0.347495;1.4966;-0.00281391;0.662336;1.21541;0.336617;0.414309;1.20884;0.611608
