nose_x;nose_y;nose_z;right_eye_inner_x;right_eye_inner_y;right_eye_inner_z;right_eye_x;right_eye_y;right_eye_z;right_eye_outer_x;right_eye_outer_y;right_eye_outer_z;left_eye_inner_x;left_eye_inner_y;left_eye_inner_z;left_eye_x;left_eye_y;left_eye_z;left_eye_outer_x;left_eye_outer_y;left_eye_outer_z;right_ear_x;right_ear_y;right_ear_z;left_ear_x;left_ear_y;left_ear_z;mouth_right_x;mouth_right_y;mouth_right_z;mouth_left_x;mouth_left_y;mouth_left_z;right_shoulder_x;right_shoulder_y;right_shoulder_z;left_shoulder_x;left_shoulder_y;left_shoulder_z;right_elbow_x;right_elbow_y;right_elbow_z;left_elbow_x;left_elbow_y;left_elbow_z;right_wrist_x;right_wrist_y;right_wrist_z;left_wrist_x;left_wrist_y;left_wrist_z;right_pinky_1_x;right_pinky_1_y;right_pinky_1_z;left_pinky_1_x;left_pinky_1_y;left_pinky_1_z;right_index_1_x;right_index_1_y;right_index_1_z;left_index_1_x;left_index_1_y;left_index_1_z;right_thumb_2_x;right_thumb_2_y;right_thumb_2_z;left_thumb_2_x;left_thumb_2_y;left_thumb_2_z;right_hip_x;right_hip_y;right_hip_z;left_hip_x;left_hip_y;left_hip_z
0.543509;0.405068;-0.000890477;0.56026;0.358154;-0.00275799;0.575166;0.359239;-0.00826198;0.590983;0.359803;0.00296026;0.518496;0.357116;-0.00533772;0.502207;0.357124;0.00297226;0.486355;0.357183;0.0116902;0.606889;0.389804;0.000867765;0.459186;0.385995;0.00468636;0.568254;0.465511;-0.00100532;0.509834;0.463187;0.00535486;0.693605;0.661476;-0.050902;0.352611;0.634851;0.0631339;0.76308;1.05076;-0.370137;0.260029;0.962951;-0.76353;0.676799;1.0972;-0.156984;0.361506;0.656534;-0.186824;0.652105;1.14446;-0.011032;0.387599;0.576882;-0.00506003;0.627148;1.08774;-0.00774775;0.389907;0.543963;0.00614678;0.624665;1.08496;-0.000418027;0.402497;0.593619;0.00126672;0.620326;1.22346;0.430693;0.364835;1.20289;0.563433
0.545287;0.39701;-0.000240653;0.565139;0.353393;-0.00411446;0.580021;0.354946;-0.00768718;0.59581;0.355967;0.00180179;0.521582;0.35323;-0.00551338;0.505728;0.353453;0.00256811;0.489875;0.353677;0.0120142;0.614307;0.389815;0.00158492;0.465317;0.386163;0.00320928;0.571904;0.46112;-9.78792e-05;0.513465;0.459405;0.00598997;0.706753;0.679218;-0.0506902;0.364641;0.657295;0.0642405;0.775816;1.08071;-0.506024;0.239624;0.939656;-0.894429;0.638818;0.972541;-0.148779;0.346689;0.544645;-0.191679;0.601433;0.963634;-0.00990899;0.364073;0.429424;-0.00419675;0.577185;0.904777;-0.00835236;0.37585;0.414381;0.00737174;0.578912;0.922481;-0.000705459;0.392251;0.471793;0.000749175;0.644142;1.24472;0.453359;0.385064;1.23396;0.556056
0.545441;0.407595;-0.000691925;0.563901;0.359748;-0.00359352;0.579804;0.360846;-0.00858297;0.595729;0.361316;0.00242044;0.520986;0.358674;-0.00499982;0.504598;0.358802;0.00191251;0.48821;0.35893;0.0118932;0.613296;0.391498;0.00113075;0.461516;0.388575;0.00414291;0.571676;0.469233;-1.35057e-06;0.512395;0.467659;0.00567706;0.700335;0.669564;-0.0598182;0.358079;0.642783;0.071815;0.767287;1.06905;-0.411098;0.252292;0.952878;-0.89473;0.651264;1.0434;-0.154908;0.344616;0.544241;-0.216496;0.617673;1.06753;-0.0104419;0.361417;0.428266;-0.00466466;0.59495;1.00677;-0.00824436;0.365302;0.405233;0.00665837;0.596674;1.00814;-0.000576172;0.384199;0.461327;0.00130438;0.627871;1.23575;0.451567;0.371167;1.21929;0.58425
0.546239;0.398778;0.000441785;0.566161;0.355858;-0.00502669;0.58121;0.357367;-0.0076683;0.597145;0.358966;0.00173334;0.521835;0.352677;-0.00382375;0.50628;0.352382;0.00342161;0.490283;0.352042;0.0113984;0.615154;0.390507;-0.000589336;0.464757;0.38238;0.00438535;0.572393;0.463402;0.00151407;0.513872;0.45943;0.00470775;0.698547;0.682303;-0.0369964;0.363279;0.643611;0.0497261;0.79636;1.07804;-0.561325;0.258684;0.922876;-0.873271;0.764793;0.853439;-0.227414;0.346069;0.52421;-0.159966;0.748575;0.80373;-0.0105803;0.36076;0.407377;-0.00535255;0.736523;0.741786;-0.00823683;0.367737;0.39226;0.00631282;0.721995;0.765635;-0.000614036;0.386044;0.444709;-0.000264334;0.635925;1.24541;0.442626;0.380598;1.23625;0.545794
0.5447;0.403565;2.52189e-05;0.565149;0.358759;-0.00360604;0.580266;0.360549;-0.00827821;0.596274;0.362406;0.00243713;0.521977;0.354826;-0.00527144;0.506391;0.353636;0.00274547;0.490335;0.353045;0.0116857;0.612963;0.393534;0.00112798;0.463804;0.381507;0.00375586;0.569124;0.466407;3.39155e-05;0.511256;0.461352;0.00658494;0.694655;0.666547;-0.051927;0.356004;0.63433;0.0639959;0.769353;1.07749;-0.511967;0.246978;0.990593;-0.850008;0.636384;0.979684;-0.127323;0.349629;0.602084;-0.16077;0.59982;0.978161;-0.00993664;0.368582;0.490471;-0.00423666;0.576191;0.91792;-0.00884961;0.372679;0.464742;0.00700652;0.576604;0.930655;-0.0011663;0.388881;0.520604;0.00129696;0.621426;1.23388;0.477182;0.363139;1.21415;0.587781
0.54687;0.394667;-0.000365018;0.565425;0.352171;-0.00350836;0.580568;0.353913;-0.00816871;0.595711;0.355654;0.00208407;0.52297;0.349838;-0.00554006;0.507755;0.349363;0.00268276;0.492058;0.34947;0.0118272;0.612652;0.388844;0.00129251;0.466062;0.380909;0.00374225;0.571061;0.458019;-0.000345381;0.514354;0.454046;0.00580537;0.695965;0.67386;-0.0526149;0.362676;0.638073;0.065238;0.763069;1.0705;-0.460241;0.245647;0.94595;-0.843179;0.655136;1.01345;-0.149913;0.352242;0.56929;-0.186442;0.62502;1.02274;-0.0102493;0.373063;0.463298;-0.00463592;0.602358;0.964028;-0.00837817;0.380595;0.441211;0.00687359;0.600891;0.97406;-0.00079418;0.394939;0.496417;0.000901526;0.627772;1.24238;0.441697;0.372811;1.22453;0.559438
0.545506;0.393833;-5.97063e-05;0.56555;0.350448;-0.00385969;0.580743;0.351926;-0.00875517;0.595936;0.353403;0.0019001;0.522559;0.348182;-0.00507044;0.506858;0.347932;0.0026437;0.49071;0.347639;0.0119605;0.613238;0.385734;0.00105853;0.465884;0.378426;0.0038422;0.571202;0.45699;0.000163044;0.513018;0.453247;0.0057598;0.697697;0.664677;-0.0567162;0.361473;0.635807;0.0694815;0.771171;1.06004;-0.430438;0.24841;0.951728;-0.877001;0.659196;1.01722;-0.155424;0.345925;0.557674;-0.202678;0.628786;1.03342;-0.0101549;0.361195;0.445504;-0.00501445;0.603709;0.976068;-0.00868519;0.370125;0.427856;0.00682707;0.602509;0.982337;-0.00103491;0.388622;0.482013;0.00146269;0.622826;1.23205;0.442756;0.369413;1.21762;0.568393
0.545584;0.393822;-0.000120418;0.566049;0.348818;-0.00464434;0.581304;0.349248;-0.00828772;0.596523;0.350312;0.00184094;0.522518;0.347781;-0.00457784;0.506334;0.347887;0.00258641;0.490598;0.348043;0.0119416;0.616309;0.382564;0.000294209;0.466887;0.378623;0.00400036;0.57265;0.456927;0.000546856;0.514345;0.454875;0.00536882;0.702706;0.6728;-0.0538422;0.366343;0.636433;0.0679817;0.778065;1.08131;-0.545645;0.239559;0.913674;-0.927328;0.685877;0.944453;-0.170682;0.351794;0.50954;-0.194985;0.659031;0.92611;-0.0104996;0.371318;0.392213;-0.00488233;0.640757;0.866545;-0.00830872;0.38288;0.378168;0.00681777;0.634344;0.885001;-0.00104121;0.399508;0.434992;0.000870595;0.627238;1.24083;0.449329;0.372628;1.22128;0.569837
0.545281;0.392708;-0.000792232;0.564082;0.347511;-0.00369474;0.57936;0.348005;-0.0092614;0.594638;0.348498;0.0020875;0.520858;0.347615;-0.00498124;0.504612;0.34829;0.00235391;0.488367;0.348965;0.012192;0.612527;0.381948;0.00097802;0.463962;0.381986;0.00451502;0.572332;0.454754;-0.000237494;0.512899;0.454896;0.00468679;0.70058;0.667488;-0.0687629;0.365894;0.639513;0.0822238;0.766365;1.05865;-0.336299;0.253315;0.914564;-0.924317;0.679387;1.11514;-0.13876;0.352743;0.515695;-0.228499;0.654178;1.16215;-0.010944;0.371353;0.403247;-0.00567883;0.631234;1.10699;-0.00796438;0.379977;0.386321;0.00654467;0.630632;1.10179;-0.000811073;0.39886;0.441656;0.00180881;0.625721;1.2344;0.411456;0.376488;1.21571;0.574333
0.542018;0.391553;-0.000393477;0.561494;0.346373;-0.00396495;0.577607;0.34747;-0.00849683;0.593755;0.347931;0.00218895;0.518378;0.346201;-0.00515479;0.502163;0.34701;0.00231843;0.485501;0.347771;0.0123043;0.613469;0.382638;0.00118896;0.462133;0.381671;0.00416093;0.570036;0.455905;-0.000242998;0.509913;0.45454;0.00528777;0.702109;0.675214;-0.0711102;0.362513;0.641193;0.0837645;0.762294;1.08037;-0.454657;0.246603;0.936655;-0.898117;0.64738;1.04499;-0.161706;0.348062;0.532942;-0.223521;0.615857;1.06332;-0.0106525;0.366278;0.418625;-0.00473485;0.592102;1.00326;-0.00824487;0.373648;0.398335;0.00669108;0.592724;1.00843;-0.000617665;0.391319;0.454545;0.00170514;0.619582;1.24644;0.438532;0.364472;1.22024;0.593518
